topicname	org	name	phone
Аппарат Мэра и Правительства города Москвы	Справочно-информационная служба Правительства Москвы	Противоправные действия сотрудников правоохранительных органов города при исполнении служебных обязанностей(08.00&mdash;17.00;пятн.&nbsp;&mdash; до&nbsp;15.45)	8 (495) 777-11-47
Аппарат Мэра и Правительства города Москвы	Справочно-информационная служба Правительства Москвы	Противоправные действия сотрудников органов исполнительной власти города при исполнении служебных обязанностей(08.00&mdash;17.00;пятн.&nbsp;&mdash; до&nbsp;15.45)	8 (495) 777-11-44
По вопросам экономической политики города Москвы		ГУП «Московский социальный регистр» (Департамент экономической политики и развития города Москвы) (получение и обслуживание социальных карт москвича)	8 (495) 921-45-91(08.00—20.00 по раб. дн.)
По вопросам экономической политики города Москвы		Информационная служба поддержки предпринимательства города Москвы	8 (495) 225-14-14(с 9.00 до 21.00 по раб. дн.)
По вопросам экономической политики города Москвы		Горячая линия Комитета города Москвы по обеспечению реализации инвестиционных проектов в строительстве и контролю в области долевого строительства (Москомстройинвест)	8 (495) 645-80-96(09.00—17.00 по раб. дн.)
По вопросам экономической политики города Москвы		Управление Федеральной налоговой службы РФ по городу Москве	8 (495) 957-62-07(09.00—18.00 по раб. дн.; пятн. — до 16.45)
По вопросам экономической политики города Москвы		Управление Федеральной налоговой службы РФ по г. Москве (жалобы на действия сотрудников налоговых инспекций)	8 (495) 957-61-76(телефон доверия)doverie@mosnalog.ru(09.00—18.00 по раб. дн.; пятн. — до 16.45)
По вопросам экономической политики города Москвы		Единая справочно-информационная служба Департамента города Москвы по конкурентной политике	8 (495) 957-99-77(08.00—20.00 по раб. дн.)
По социальным вопросам		Детский телефон доверия Центра экстренной психологической помощи МГППУ	8 (495) 624-60-01
По социальным вопросам		Городской отдел социального обеспечения(круглосуточно)	8 (495) 623-10-59,8 (495) 623-10-60
По социальным вопросам		Медицинское обслуживание в городе Москве	8 (499) 251-83-00
По социальным вопросам		Единый общероссийский номер детского телефона доверия	8 (800) 2000-122
По социальным вопросам		Беспризорность несовершеннолетних(08.00—18.00 по раб. дн.)	8 (499) 201-06-50
По социальным вопросам		Московская служба психологической помощи	8 (499) 173-09-09
По социальным вопросам		Департамент семейной и молодежной политики города Москвы (поддержка семей с детьми, создание благоприятных условий развития семейных форм воспитания и становления личности ребенка)	8 (499) 729-49-49ежедневно с 9:00 до 21:00
По социальным вопросам		Сектор социальной помощи бездомным гражданам:(08.00—16.45 по раб. дн.)	8 (499) 488-63-60
По социальным вопросам		Комитет общественных связей города Москвы (по вопросам взаимодействия с НКО и общественными объединениями)(08.00—16.45 по раб. дн.)	8 (495) 974-22-55
По социальным вопросам		ГБУ Московский городской правовой центр «Защита» (по вопросам трудового законодательства)	8 (495) 649-88-40(08.00—16.45 по раб. дн.)
По социальным вопросам		Неотложная ветеринарная помощь (круглосуточно все праздничные и выходные дни)	8 (495) 612-04-25
По социальным вопросам		Социальная защита бездомных граждан. Работа службы «Социальный патруль»	8 (495) 720-15-08,8 (499) 357-01-80
По социальным вопросам		ГБУ «Ресурсный центр для инвалидов»	8 (495) 677-08-11,8 (495) 674- 47-58
По социальным вопросам		Справочная служба Московского Дома ветеранов войны и Вооруженных сил	8 (495) 631-69-35
По социальным вопросам		Городская круглосуточная приемная для детей и подростков	8 (495) 607-17-19
По социальным вопросам		Городская круглосуточная мобильная служба по оказанию экстренной социальной помощи несовершеннолетним	8 (499) 975-27-50
По социальным вопросам		Единая диспетчерская служба «Социальное такси»:(ежедневно, без выходных дней – с 8.00 до 20.00)	8 (495) 276-03-33
По социальным вопросам		ЦАО	8 (495) 650-21-14
По социальным вопросам		САО	8 (495) 485-11-81
По социальным вопросам		ВАО	8 (499) 721-97-02
По социальным вопросам		ЗАО	8 (495) 738-02-02
По социальным вопросам		ЮАО	8 (495) 341-55-54
По социальным вопросам		ЮВАО	8 (495) 350-59-92
По социальным вопросам		ЮЗАО	8 (499) 723-59-00
По социальным вопросам		СВАО	8 (499) 473-81-26
По социальным вопросам		СЗАО	8 (495) 491-60-66
По социальным вопросам		г. Зеленоград	8 (499) 736-05-57
«Горячие линии» по вопросам льгот в административных округах города Москвы	ЦАО	Горячие линии по вопросам льгот в административных округах города Москвы	8 (499) 763-18-39
«Горячие линии» по вопросам льгот в административных округах города Москвы	САО		8 (495) 900-42-33
«Горячие линии» по вопросам льгот в административных округах города Москвы	СВАО		8 (495) 184-42-36
«Горячие линии» по вопросам льгот в административных округах города Москвы	ВАО		8 (495) 963-01-75
«Горячие линии» по вопросам льгот в административных округах города Москвы	ЮВАО		8 (495) 345-74-01
«Горячие линии» по вопросам льгот в административных округах города Москвы	ЮАО		8 (495) 675-61-73
«Горячие линии» по вопросам льгот в административных округах города Москвы	ЮЗАО		8 (495) 718-00-22,8 (499) 128-59-46
«Горячие линии» по вопросам льгот в административных округах города Москвы	ЗАО		8 (499) 131-90-01
«Горячие линии» по вопросам льгот в административных округах города Москвы	СЗАО		8 (499) 195-99-83
«Горячие линии» по вопросам льгот в административных округах города Москвы	ЗелАО		8 (499) 735-05-71,8 (499) 735-09-61
«Горячие линии» по вопросам льгот в административных округах города Москвы	Департамент труда и&nbsp;занятости населения	По&nbsp;вопросам занятости населения(08.00&mdash;16.00по&nbsp;раб. дн.)	8 (495) 645-23-84
«Горячие линии» по вопросам льгот в административных округах города Москвы	Департамент труда и&nbsp;занятости населения	Нарушения норм трудового законодательства(08.00&mdash;17.00по&nbsp;раб. дн.)	8 (495) 645-23-84
Сфера торговли и услуг		Горячая линия по работе ярмарок выходного дня:	8 (495) 623-80-058 (495) 628-93-398 (495) 624-82-31
Сфера торговли и услуг		Горячая линия по вопросам реализации законодательства в сфере розничной продажи алкогольной продукции	8 (495) 620-28-94Режим работы: по рабочим дням, понедельник – четверг  с 8.00 до 16.00, пятница – с 8.00 до 15.00.
Малое и среднее предпринимательство	Департамент поддержки и развития малого и среднего предпринимательства города Москвы	По&nbsp;вопросам малого и среднего предпринимательства(09.00&mdash;16.00по&nbsp;раб. дн.;пятн.&nbsp;&mdash; до&nbsp;15.00)	8 (499) 259-74-76
Малое и среднее предпринимательство	ЗАО "Московское агентство по развитию предпринимательства" 
(Департамент поддержки и развития малого и среднего предпринимательства города Москвы)	Неотложная правовая помощь малому бизнесу Москвы(09.00&mdash;19.00;пятн.&nbsp;&mdash; до&nbsp;18.00)	8 (495) 782-00-82
Малое и среднее предпринимательство	ЗАО&nbsp;&laquo;Московское агентство по&nbsp;развитию предпринимательства&raquo; (московский городской штаб при Правительстве Москвы по&nbsp;координации деятельности в&nbsp;области защиты юридических лиц и&nbsp;индивидуальных предпринимателей от&nbsp;противоправных поглощений и&nbsp;завладения имущественными правами)	По&nbsp;вопросам защиты юридических лиц и&nbsp;индивидуальных предпринимателей от&nbsp;противоправных поглощений и&nbsp;завладения имущественными правами(09.00&mdash;19.00;пятн.&nbsp;&mdash; до&nbsp;18.00)	8 (495) 782-00-22
Малое и среднее предпринимательство	Группа по обеспечению деятельности Общественно-экспертного совета по малому и среднему предпринимательству при Мэре и Правительстве Москвы (Департамент поддержки и развития малого и среднего предпринимательства города Москвы)	по вопросам малого и среднего предпринимательства(9.00-17.00 по р.д.)	8 (495) 629-01-79
Вопросы контроля за инвестициями и контрактами	Контрольный комитет города Москвы (Москонтроль)	По&nbsp;вопросам реализации конкурентной политики и&nbsp;обеспечения экономической безопасности города Москвы(09.00&mdash;17.00по&nbsp;раб. дн.)	8 (495) 645-80-96
По вопросам природопользования и охраны окружающей среды		Департамент природопользования и охраны окружающей среды (нарушения в области экологического законодательства)	8 (495) 644-20-77(круглосуточно)
«Горячие линии» Мосжилинспекции по проблемам отопления в округах	Жилищная инспекцияпо ЦАО	ЦАО	8 (495) 360-40-48
«Горячие линии» Мосжилинспекции по проблемам отопления в округах	Жилищная инспекцияпо САО	САО	8 (499) 158-13-34
«Горячие линии» Мосжилинспекции по проблемам отопления в округах	Жилищная инспекцияпо СВАО	СВАО	8 (495) 656-67-54
«Горячие линии» Мосжилинспекции по проблемам отопления в округах	Жилищная инспекцияпо ВАО	ВАО	8 (499) 268-38-36
«Горячие линии» Мосжилинспекции по проблемам отопления в округах	Жилищная инспекцияпо ЮВАО	ЮВАО	8 (499) 784-92-13
«Горячие линии» Мосжилинспекции по проблемам отопления в округах	Жилищная инспекцияпо ЮАО	ЮАО	8 (499) 619-63-05
«Горячие линии» Мосжилинспекции по проблемам отопления в округах	Жилищная инспекцияпо ЮЗАО	ЮЗАО	8 (495) 310-51-27
«Горячие линии» Мосжилинспекции по проблемам отопления в округах	Жилищная инспекцияпо ЗАО	ЗАО	8 (495) 416-60-20
«Горячие линии» Мосжилинспекции по проблемам отопления в округах	Жилищная инспекцияпо СЗАО	СЗАО	8 (499) 192-98-17
«Горячие линии» Мосжилинспекции по проблемам отопления в округах	Жилищная инспекцияпо ЗелАО	ЗелАО	8 (499) 732-35-33
