№ строки	Название	Адрес	Название ансамбля	Статус	Категория
25	Ограда, 2-я половина XIX в.	Воронцовская ул., дом 19А строение 2	Городская усадьба, XVIII - XIX вв. (Фряновская шерстопрядильная мануфактура)	объект культурного наследия	Объект культурного наследия регионального значения
26	Особняк со службами, 1903-1904 гг., архитектор Л.Н.Кекушев	Поварская ул., дом 42 строение 2	Городская усадьба М.Г. Понизовского	объект культурного наследия	Объект культурного наследия регионального значения
27	Мавзолей Волконских, 1830-е гг.	Новодевичий пр., дом 1 строение 28	Ансамбль Новодевичьего монастыря	объект культурного наследия	"
28	Часовня-усыпальница Прохоровых, 1911 г.	Новодевичий пр., дом 1 строение 34	Ансамбль Новодевичьего монастыря	объект культурного наследия	"
29	Усадьба "Виноградово"	Не задан	"	объект культурного наследия	Объект культурного наследия регионального значения
30	Надворные постройки: два боковых флигеля и центральный Флигель с проездом (быв. Каретный сарай)	ул. Солянка, дом 14 строение 7	Опекунский совет, 1814-1825 гг.	объект культурного наследия	Объект культурного наследия федерального значения
31	Надворные постройки: два боковых флигеля и центральный Флигель с проездом (быв. Каретный сарай)	ул. Солянка, дом 14 строение 5	Опекунский совет, 1814-1825 гг.	объект культурного наследия	Объект культурного наследия федерального значения
32	Ограда с воротами, 1891 г., 1903 г., архитекторы И.И.Поздеев, Ф.Л.Контрим	Нащокинский пер., дом 4	Доходное владение И.И.Поздеева, конец XIX - начало XX вв.	объект культурного наследия	Объект культурного наследия регионального значения
33	Доходный дом, 1892 г., архитектор И.И.Поздеев (в основе главный дом усадьбы В.Н.Никитина, 1830-е гг.)	Нащокинский пер., дом 4	Доходное владение И.И.Позднеева, конец XIX - начало XX вв.	объект культурного наследия	Объект культурного наследия регионального значения
34	Городская усадьба (Глебовых-Стрешневых), вторая половина XVIII в., перестроена в 1884 г., арх. Ф.Н.Кольбе, К.В.Терской	Не задан	"	объект культурного наследия	Объект культурного наследия регионального значения
35	Лефортовский парк (парк МВО) (65.5 га.)	Не задан	"	объект культурного наследия	Объект культурного наследия регионального значения
36	Флигель, XVIII в., 1810 г., 1873-1876 гг.	Малый Кисловский пер., дом 4 строение 2	Городская усадьба, XVIII-XIX в. Здесь в 1902-1918 гг. располагалось музыкально-драматическое училище Московского Филармонического Общества (с 1922 г. - ГИТИС). В училище преподавали В.И. Немирович-Данченко, В.Э. Мейерхольд, его окончили И.М. Москвин, Е.Н	объект культурного наследия	Объект культурного наследия регионального значения
37	Кладбище	Не задан	Грузинский некрополь: церковь Всех Святых в селе Всехсвятском и историческое кладбище деятелей культуры Грузии, XVII-XVIII вв.	объект культурного наследия	Объект культурного наследия федерального значения
38	Церковь	Ленинградский просп., дом 73А	Грузинский некрополь: церковь Всех Святых в селе Всехсвятском и историческое кладбище деятелей культуры Грузии, XVII-XVIII вв.	объект культурного наследия	Объект культурного наследия федерального значения
39	обелиск	Не задан	"	объект культурного наследия	Объект культурного наследия федерального значения
40	двор	Не задан	"	объект культурного наследия	Объект культурного наследия федерального значения
41	Бюст В.И.Ленина, 1947 г. Ск. С.Д.Меркуров, арх. А.Ф.Жуков, гранит	Не задан	"	объект культурного наследия	Объект культурного наследия федерального значения
42	Башня главных ворот	Не задан	Ансамбль Андроникова монастыря	объект культурного наследия	Объект культурного наследия федерального значения
43	Башня главных ворот	Не задан	Ансамбль Андроникова монастыря	объект культурного наследия	Объект культурного наследия федерального значения
44	Жилой дом	Воротниковский пер., дом 7 строение 4	Дома жилого кооператива артистов "Труженик искусства", 1927-1932 гг., архитектор В.С. Кузнецов. Здесь жили и работали артисты Малого театра: Рыжовы, Головины, Рафаиловы, Е.Н.Гоголева, В.Я.Хенкин, В.М.Барсова. В корпусе №3, в 1920-1930 гг., помещалась опе	объект культурного наследия	Объект культурного наследия регионального значения
45	Жилой дом	Воротниковский пер., дом 7 строение 3	Дома жилого кооператива артистов "Труженик искусства", 1927-1932 гг., архитектор В.С. Кузнецов. Здесь жили и работали артисты Малого театра: Рыжовы, Головины, Рафаиловы, Е.Н.Гоголева, В.Я.Хенкин, В.М.Барсова. В корпусе №3, в 1920-1930 гг., помещалась опе	объект культурного наследия	Объект культурного наследия регионального значения
46	Жилой дом	Воротниковский пер., дом 7 строение 2	Дома жилого кооператива артистов "Труженик искусства", 1927-1932 гг., архитектор В.С. Кузнецов. Здесь жили и работали артисты Малого театра: Рыжовы, Головины, Рафаиловы, Е.Н.Гоголева, В.Я.Хенкин, В.М.Барсова. В корпусе №3, в 1920-1930 гг., помещалась опе	объект культурного наследия	Объект культурного наследия регионального значения
47	Жилой дом	Воротниковский пер., дом 7 строение 1	Дома жилого кооператива артистов "Труженик искусства", 1927-1932 гг., архитектор В.С. Кузнецов. Здесь жили и работали артисты Малого театра: Рыжовы, Головины, Рафаиловы, Е.Н.Гоголева, В.Я.Хенкин, В.М.Барсова. В корпусе №3, в 1920-1930 гг., помещалась опе	объект культурного наследия	Объект культурного наследия регионального значения
48	Ограда парадного въезда с калиткой, кон. XIX в	Не задан	Усадьба, XVIII-XIX вв.	объект культурного наследия	Объект культурного наследия федерального значения
49	Палаты, XVII в. у колокольни и у башен Никольской, Чеботарной, Сетуньской, Напрудной (стрелецкие караульни)	Новодевичий пр., дом 1 строение 6 ; Новодевичий пр., дом 1 строение 17 ; Новодевичий пр., дом 1 строение 32 ; Новодевичий пр., дом 1??j???	Ансамбль Новодевичьего монастыря	объект культурного наследия	Объект культурного наследия федерального значения
50	Палаты, XVII в. у колокольни и у башен Никольской, Чеботарной, Сетуньской, Напрудной (стрелецкие караульни)	Новодевичий пр., дом 1 строение 6 ; Новодевичий пр., дом 1 строение 17 ; Новодевичий пр., дом 1 строение 32 ; Новодевичий пр., дом 1??j???	Ансамбль Новодевичьего монастыря	объект культурного наследия	Объект культурного наследия федерального значения
51	Палаты, XVII в. у колокольни и у башен Никольской, Чеботарной, Сетуньской, Напрудной (стрелецкие караульни)	Новодевичий пр., дом 1 строение 6 ; Новодевичий пр., дом 1 строение 17 ; Новодевичий пр., дом 1 строение 32 ; Новодевичий пр., дом 1??j???	Ансамбль Новодевичьего монастыря	объект культурного наследия	Объект культурного наследия федерального значения
52	Палаты, XVII в. у колокольни и у башен Никольской, Чеботарной, Сетуньской, Напрудной (стрелецкие караульни)	Новодевичий пр., дом 1 строение 6 ; Новодевичий пр., дом 1 строение 17 ; Новодевичий пр., дом 1 строение 32 ; Новодевичий пр., дом 1??j???	Ансамбль Новодевичьего монастыря	объект культурного наследия	Объект культурного наследия федерального значения
53	Здание бывш. больничных палат Новодевичьего монастыря, в которых с 1939 по 1984 г. жил выдающийся архитектор-реставратор П.Д.Барановский.	Новодевичий пр., дом 1 строение 16	"	объект культурного наследия	Объект культурного наследия регионального значения
54	Ограда	ул. Щепкина, дом 47 строение 2	Усадьба, кон. XVIII - нач. ХIХ вв.	объект культурного наследия	Объект культурного наследия федерального значения
55	Ограда	ул. Щепкина, дом 47 строение 2	Усадьба, кон. XVIII - нач. ХIХ вв.	объект культурного наследия	Объект культурного наследия федерального значения
56	Дом, в котором в 1859-1863 гг. жил великий русский актер М.С.Щепкин	Не задан	"	объект культурного наследия	Объект культурного наследия регионального значения
57	Усадьба "Братцево", (40.2 га.)	Светлогорский пр., дом 13	"	объект культурного наследия	Объект культурного наследия регионального значения
58	Особняк с художественными интерьерами, 1885 г., архитектор В.И.Веригин, 1894 г., архитектор Н.Д.Струков, 1909 г., архитектор Е.И.Опуховский	ул. Казакова, дом 23 строение 1	Городская усадьба Деминых, кон. XIX – нач. ХХ вв., архитекторы В.И.Веригин, Н.Д.Струков, Е.И.Опуховский	объект культурного наследия	Объект культурного наследия регионального значения
59	Екатерининская больница, площадью 3,0 га.	Не задан	"	объект культурного наследия	Объект культурного наследия регионального значения
60	Городская усадьба Барятинских, сер. XVIII в. 1-я пол. XX в.	ул. Малая Полянка, дом 11 строение 1	"	объект культурного наследия	Объект культурного наследия регионального значения
61	Усадьба "Царицыно", 284,9 га.	Не задан	"	объект культурного наследия	Объект культурного наследия регионального значения
62	Жилой дом	Школьная ул., дом 37	Ансамбль Рогожской ямской слободы, XIX в.	объект культурного наследия	Объект культурного наследия федерального значения
63	Жилой дом	ул. Поленова, дом 10	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
64	Жилой дом	ул. Поленова, дом 9	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
65	Жилой дом	ул. Поленова, дом 8/1	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
66	Жилой дом	ул. Поленова, дом 5/19	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
67	Жилой дом	ул. Поленова, дом 5/19	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
68	Жилой дом	ул. Поленова, дом 3	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
69	Жилой дом, 1925 г., арх. Н. Марковников	ул. Венецианова, дом 4	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
70	Жилой дом, 1925 г., арх. Братья Веснины	ул. Венецианова, дом 3	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
71	Жилой дом, 1928 г., арх. И. Кондаков	ул. Серова, дом 1/2	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
72	Жилой дом, 1928 г., арх. Н. Марковников	ул. Крамского, дом 3	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
73	Жилой дом, 1927 г., арх. Н. Марковников	ул. Верещагина, дом 22	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
74	Жилой дом, 1925 г., арх. Н. Марковников	ул. Верещагина, дом 20	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
75	Жилой дом, 1925 г., арх. Н. Марковников	ул. Верещагина, дом 18	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
76	Жилой дом, 1929 г., арх. Н. Кондаков	ул. Верещагина, дом 16	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
77	Жилой дом, 1927 г., арх. Н. Марковников	ул. Верещагина, дом 14	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
78	Жилой дом, 1926 г., арх. Н. Марковников	ул. Верещагина, дом 12	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
79	Жилой дом, 1927 г., арх. Н. Марковников	ул. Верещагина, дом 10	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
80	Жилой дом, 1924 г., арх. Н. Марковников	ул. Верещагина, дом 8	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
81	Жилой дом, 1926 г., арх. Н. Марковников	ул. Верещагина, дом 6	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
82	Жилой дом, 1928 г., арх. Н. Марковников	ул. Верещагина, дом 4	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
83	Жилой дом, 1925 г., арх. Н. Марковников	ул. Верещагина, дом 3	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
84	Жилой дом, 1928 г., арх. И. Кондаков	ул. Саврасова, дом 11	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
85	Жилой дом, 1928 г., арх. И. Кондаков	ул. Саврасова, дом 9	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
86	Жилой дом, 1931 г., арх. Н. Марковников	ул. Саврасова, дом 8	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
87	Жилой дом, 1931 г., арх. И. Кондаков	ул. Саврасова, дом 7	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
88	Жилой дом, 1929 г., арх. Н. Марковников	ул. Саврасова, дом 6	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
89	Жилой дом, 1928 г., арх. И. Кондаков	ул. Саврасова, дом 5	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
90	Жилой дом, 1929 г., арх. И. Кондаков	ул. Саврасова, дом 4	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
91	Жилой дом, 1928 г., арх. И. Кондаков	ул. Саврасова, дом 1/3	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
92	Жилой дом, 1930 г., арх. И. Кондаков	ул. Врубеля, дом 11/22	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
93	Жилой дом, 1931 г., арх. И. Кондаков	ул. Врубеля, дом 9	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
94	Жилой дом, 1928 г., арх. И. Кондаков	ул. Врубеля, дом 7/13	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
95	Жилой дом, 1930 г., арх. И. Кондаков	ул. Врубеля, дом 5/10	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
96	Жилой дом, 1930 г.	ул. Врубеля, дом 3	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
97	Жилой дом, 1930 г.	ул. Врубеля, дом 1	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
98	Жилой дом, 1928 г., арх. Н. Марковников	ул. Брюллова, дом 12	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
99	Жилой дом, 1928 г., арх. Н. Марковников	ул. Брюллова, дом 10	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
100	Жилой дом, 1925 г., арх. Н. Марковников	ул. Брюллова, дом 9	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
101	Жилой дом, 1925 г., арх. Н. Марковников	ул. Брюллова, дом 9	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
102	Жилой дом, 1926 г., арх. Н. Марковников	ул. Брюллова, дом 8	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
103	Жилой дом, 1926 г., арх. Н. Марковников	ул. Брюллова, дом 6	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
104	Жилой дом, 1929 г., арх. Н. Марковников	ул. Брюллова, дом 5	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
105	Жилой дом, 1928 г., арх. Н. Дюрнбаум	ул. Брюллова, дом 4	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
106	Жилой дом, 1926 г., арх. Н. Марковников	ул. Кипренского, дом 14	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
107	Жилой дом, 1933 г., арх. Н. Марковников	ул. Кипренского, дом 12	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
108	Жилой дом, 1925 г., арх. Н. Марковников	ул. Кипренского, дом 10	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
109	Жилой дом, 1924 г., арх. Братья Веснины	ул. Левитана, дом 24/2	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
110	Жилой дом, 1928 г., арх. Н. Марковников	ул. Левитана, дом 22	Жилой комплекс поселка "Сокол", 1923-1947 гг., архитекторы Морковников Н.В., Веснин В.А, Колли Н.Я. и  др. (114 объектов)	объект культурного наследия	Объект культурного наследия регионального значения
