№ строки	Название МФЦ	Округ	Район	Телефон	Дата открытия	Услуги МФЦ	Дополнительные услуги	График работы служб МФЦ	ФИО руководителя МФЦ
1	МФЦ района Фили-Давыдково	ЗАО	Фили-Давыдково	(499) 940 96 78	20121008	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет	http://pgu.mos.ru/ru/mfc/	Хрол Людмила Леонидовна
2	МФЦ района Филёвский парк	ЗАО	Филёвский парк	(499) 940 34 20	20121022	http://pgu.mos.ru/ru/services/#mfc	Доступ к сети Интернет	http://pgu.mos.ru/ru/mfc/	Есина Ольга Викторовна
3	МФЦ районов Можайский и Кунцево	ЗАО	Можайский и Кунцево	(499) 940 32 50 (Можайский), (499) 940 18 30 (Кунцево)	20121029	http://pgu.mos.ru/ru/services/#mfc	Доступ к сети Интернет	http://pgu.mos.ru/ru/mfc/	Сапожникова Анастасия Сергеевна (МФЦ Можайский), Мейер Виктор Викторович (МФЦ Кунцево)
4	МФЦ района Хорошево-Мнёвники	СЗАО	Хорошево-Мнёвники	(499) 940 99 06	20120604	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, нотариальные и юридические услуги, доступ к сети Интернет, оплата госпошлин и коммунальных услуг через платоматы	http://pgu.mos.ru/ru/mfc/	Беркут Виктория Николаевна
5	Межрайонный МФЦ районов Матушкино и Савёлки	ЗелАО	Матушкино и Савёлки	(499) 940-15-55	20111031	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин и коммунальных услуг через платоматы	http://pgu.mos.ru/ru/mfc/	Ещенко Оксана Александровна
6	МФЦ района Некрасовка	ЮВАО	Некрасовка	(499) 940 43 20	20121022	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет	http://pgu.mos.ru/ru/mfc/	Шутова Анастасия Владимировна
7	МФЦ района Замоскворечье	ЦАО	Замоскворечье	(495) 666-30-80	20110927	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин и коммунальных услуг через платоматы	http://pgu.mos.ru/ru/mfc/	Загрябина Лариса Владимировна
8	МФЦ района Восточное Дегунино	САО	Восточное Дегунино	(495) 531-30-20	20120206	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин и коммунальных услуг через платоматы	http://pgu.mos.ru/ru/mfc/	Марков Владимир Евгеньевич
9	МФЦ района Свиблово	СВАО	Свиблово	(495) 276-01-73	20111226	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин и коммунальных услуг через платоматы	http://pgu.mos.ru/ru/mfc/	Марон Бронислав Автандилович
10	МФЦ района Южное Медведково	СВАО	Южное Медведково	(495) 276 27 97	20120213	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин через платоматы	http://pgu.mos.ru/ru/mfc/	Филяева Зинаида Александровна
11	МФЦ района Нагорный	ЮАО	Нагорный	(499) 940 43 65	20120220	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин через платоматы	http://pgu.mos.ru/ru/mfc/	Некрасова Надежда Александровна
12	МФЦ района Нагатино-Садовники	ЮАО	Нагатино-Садовники	(499) 940 43 74	20120227	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин через платоматы	http://pgu.mos.ru/ru/mfc/	-
13	МФЦ района Царицыно	ЮАО	Царицыно	(499) 940 44 68	20121015	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет	http://pgu.mos.ru/ru/mfc/	Мантрова Светлана Ивановна
14	МФЦ района Южное Бутово	ЮЗАО	Южное Бутово	(499) 940-98-18	20120326	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин через платоматы	http://pgu.mos.ru/ru/mfc/	Гоч Сергей Степанович
15	МФЦ района Теплый Стан	ЮЗАО	Теплый Стан	(499) 940-98-58	20120502	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин через платоматы	http://pgu.mos.ru/ru/mfc/	Кузьменко Елена Николаевна
16	МФЦ района Тропарёво-Никулино	ЗАО	Тропарево-Никулино	(499) 940-98-01	20120313	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин и коммунальных услуг через платоматы	http://pgu.mos.ru/ru/mfc/	Орловский Игорь Константинович
17	МФЦ района Северное Медведково	СВАО	Северное Медведково	(495) 276 11 83	20120910	http://pgu.mos.ru/ru/services/#mfc	Доступ к сети Интернет	http://pgu.mos.ru/ru/mfc/	Иванникова Татьяна Юрьевна
18	МФЦ района Ростокино	СВАО	Ростокино	(495) 276 11 26	20120917	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет	http://pgu.mos.ru/ru/mfc/	Земенков Михаил Владимирович
19	МФЦ района Измайлово	ВАО	Измайлово	(499) 940-02-75	20120130	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин через платоматы	http://pgu.mos.ru/ru/mfc/	Колчерина Светлана Юрьевна
20	МФЦ района Соколина Гора	ВАО	Соколиная Гора	(499) 940 17 12	20121001	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин через платоматы	http://pgu.mos.ru/ru/mfc/	Честнова Ирина Викторовна
21	МФЦ района Новогиреево	ВАО	Новогиреево	(499) 940 92 91	20121022	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети ИнтернетЮ оплата госпошлин и коммунальных услуг через платоматы	http://pgu.mos.ru/ru/mfc/	Цветкова Людмила Леонидовна
22	МФЦ района Лефортово	ЮВАО	Лефортово	(495) 531-09-20	20110822	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин и коммунальных услуг через платоматы	http://pgu.mos.ru/ru/mfc/	Жучков Сергей Валерьевич
23	МФЦ района Нижегородский	ЮВАО	Нижегородский	(495) 531-00-80	20110823	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин и коммунальных услуг через платоматы	http://pgu.mos.ru/ru/mfc/	Куракин Владимир Борисович
24	МФЦ района Печатники	ЮВАО	Печатники	(495) 530-44-30	20111017	http://pgu.mos.ru/ru/services/#mfc	Фото- и копировальные услуги, доступ к сети Интернет, оплата госпошлин и коммунальных услуг через платоматы	http://pgu.mos.ru/ru/mfc/	Сергеев Александр Николаевич
