№ строки	Округ	Адрес	Телефон
1	ЦАО	г. Москва, Радио ул., д.20, стр.1	(495) 780-92-42
2	ЗАО	г. Москва, Мичуринский пр-т, д.27, корп.2	(495) 932-55-01, (495)735-33-05, (495) 932-69-10
3	ЮАО	г. Москва, Автозаводская ул., д.1	(495) 780-92-08
4	ВАО	г. Москва, Средняя Первомайская ул., д.3	(495)258-67-91, (495)644-23-57
5	САО	г. Москва, Соломенной Сторожки пр., д.5, корп.1	(495) 223-27-07, (499) 977-89-80, (499) 977-89-91, (499) 977-89-43, (499) 977-89-87
6	СЗАО	г. Москва, ул. Народного Ополчения, д.33, корп.1.	(499)197-97-40
7	СВАО	г. Москва, Бабушкина летчика ул., д.1, корп.1	(495)956-61-34, (495)956-61-43
8	ЮЗАО	г. Москва, Каховка ул., д.37, корп.1	(495)780-92-23
9	ЮВАО	г. Москва, Волочаевская ул., д.18	(495) 362-18-16, (495) 362-18-26, (495) 362-57-31
10	Зеленоград	Зеленоград, Юности ул., д.8	(495) 989-10-31, (495) 989-10-41, (495) 989-10-37
