№ строки	Название объекта	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1499	129128 г. Москва, ул. Ростокинская, д.3	Бюджетное	Общеобразовательное учреждение	Центр образования	(499) 181-04-47	http//co1499.svao.mskobr.ru
2	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 604	124498, г. Москва, Зеленоград, корп. 222А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 734-16-00	http://s604.zouo.ru/
3	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 618	124498, г. Москва, Зеленоград, корп. 429А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 734-10-17; (499) 735-83-03; (499) 735-03-30; (499) 735-02-79	http://schzg618.mskobr.ru
4	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 775	109382, г.Москва Армавирская ул., д. 4	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 358-93-65; (495) 358-94-92; (495) 358-93-92; (495) 358-93-74; (495) 359-33-07	http://sch775.uvuo.ru/
5	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 536	117452, г.Москва, ул.Азовская, д.41	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	318-59-09	http://sch536.ru
6	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 790	117588, г. Москва, Новоясеневский проспект, дом 24, корпус 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	427-68-01	http://kadet790.ru
7	Государственное бюджетное образовательное учреждение города Москвы центр образования "Школа здоровья" № 1071	117628, г.Москва, бульвар Дмитрия Донского, дом 6А	Бюджетное	Общеобразовательное учреждение	Центр образования "Школа Здоровья"	712-19-59	http://1071.ru
8	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1445	117574, г.Москва, улица Голубинская, дом 5, корпус 4	Бюджетное	Общеобразовательное учреждение	Центр образования	423-38-22	http://www.1445.ru
9	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1136	123181, г. Москва, ул. Кулакова, д. 3, к. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	750-56-76	http://school1136.ru
10	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1688	107065, г.Москва, ул. Камчатская, д.6	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 467-44-65	http://www.s1688.ru
11	Государственное бюджетное образовательное учреждение города Москвы центр образования №1452 "Богородский"	107564, г. Москва, ул. 1-я Гражданская, д.96	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 964-88-01	http://co1452.ru
12	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1475	107497, г. Москва, ул. Новосибирская, д. 8 А	Бюджетное	Общеобразовательное учреждение	Центр образования	469-50-08	http://co1475/mskobr.ru
13	Государственное бюджетное образовательное учреждение города Москвы центр образования №1637	111401, г. Москва, ул. 3-я Владимирская, дом 12 А	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 672-02-35; (495) 672-01-99; (495) 603-46-09	http://school1637.ru/
14	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1926	111672, г. Москва, ул. Салтыковская, д. 5 А	Бюджетное	Общеобразовательное учреждение	Центр образования	702-75-40	http://1926.edu.ru/
15	Государственное бюджетное образовательное учреждение города Москвы центр образования № 491 "Марьино"	109651, г. Москва, Новочеркасский бульвар, дом 19	Бюджетное	Общеобразовательное учреждение	Центр образования	357-52-01	http://cog491.mskobr.ru
16	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1811 "Измайлово"	105203, г. Москва, Первомайская ул., .111.	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 465-14-49	http://www.1811.ru/
17	Государственное бюджетное образовательное учреждение города Москвы центр образования № 556	117570 г. Москва, Днепропетровская ул. д.33 А	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 313-74-10	http://co556.ru/
18	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1471	121614 г. Москва, ул. Крылатская, д.25	Бюджетное	Общеобразовательное учреждение	Центр образования	413-33-32	http://www.sch1129.edusite.ru
19	Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1306	119607 Мичуринский проспект, д. 15,к.2	Бюджетное	Общеобразовательное учреждение	Гимназия	932-89-42	http://www.gymnasium1306.ru
20	Государственное бюджетное образовательное учреждение города Москвы Центр образования "Школа здоровья" № 1679	125239,Москва, ул. Новопетровская, д.1а	Бюджетное	Общеобразовательное учреждение	Центр образования "Школа Здоровья"	(495) 601-46-70; (495) 459-40-43; (495) 459-40-42; (495) 450-30-80; (495) 450-89-26; (495) 459-30-64	http://coe1679.ru/
21	Государственное бюджетное образовательное учреждение города Москвы гимназия № 1569 "Созвездие"	115573 г. Москва, ул. Мусы Джалиля, д.36,к.2	Бюджетное	Общеобразовательное учреждение	Гимназия	(495) 396-43-50	http://sch1569.edusite.ru/
22	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1490	127253 г. Москва, ул. Псковская, дом 12, корпус 3	Бюджетное	Общеобразовательное учреждение	Центр образования	400-76-00	http://www.co1490.svao.mskobr.ru
23	Государственное бюджетное образовательное учреждение города Москвы центр образования № 1178	117405 Москва, Варшавское ш. д.152,к.10	Бюджетное	Общеобразовательное учреждение	Центр образования	(495) 386-15-48; (495) 389-57-11	http://sch1178.edusite.ru
24	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 514	115142 г. Москва, Коломенская наб. д.16	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	(499) 615-76-18	http://sch514.edusite.ru
25	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1375	115533 г. Москва, Нагатинская наб., д.24	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	(499) 618-99-10	http://dou2233.edusite.ru
26	Государственное бюджетное образовательное учреждение города Москвы Центр образования № 2006	117216, г.Москва, ул. Грина, дом 18, корпус 3, строение 1	Бюджетное	Общеобразовательное учреждение	Центр образования	714-86-63	http://www.school2006msk.ru
27	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1000	119619 г. Москва, ул.Наро-Фоминская, д.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 435-14-23; (495) 435-04-68; (495) 435-08-18; (495) 439-10-33	http://ds49.mskzapad.ru
28	Государственное автономное образовательное учреждение города Москвы центр образования № 548 "Царицыно"	115569 г.Москва, ул. Маршала Захарова д.8, к.1	Автономное	Общеобразовательное учреждение	Центр образования	393-43-81	http://mhs548.ru/
29	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 65	121354,г.Москва, ул.Кутузова, д.20	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	447-12-57	http://sch65.mskzapad.ru
30	Государственное бюджетное образовательное учреждение города Москвы Центр образования № 117	117393, г. Москва, ул. Академика Пилюгина, дом 18, корпус 1	Бюджетное	Общеобразовательное учреждение	Центр образования	134-70-95	http://www.school117.ru
31	Государственное бюджетное образовательное учреждение города Москвы Центр образования "Школа здоровья" № 287 имени С. К. Годовикова	129085, г. Москва, ул. Годовикова, дом 16А	Бюджетное	Общеобразовательное учреждение	Центр образования "Школа Здоровья"	(495) 615-32-00; (495) 615-48-65	http://co287sv.mskobr.ru
32	Государственное бюджетное образовательное учреждение города Москвы центр образования № 170 имени А.П.Чехова	117485, г. Москва, Профсоюзная ул., дом 96 Б	Бюджетное	Общеобразовательное учреждение	Центр образования	335-50-77	http://center170.ru
33	Государственное бюджетное образовательное учреждение города Москвы центр образования "Школа здоровья" № 1317	119602 г.Москва, ул. Академика Анохина, д.4, корпус 5	Бюджетное	Общеобразовательное учреждение	Центр образования "Школа Здоровья"	735-66-11	http://школа 1317.рф
34	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 516	117149, г. Москва, ул. Одесская, д. 13	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	310-26-66	http://school516-msk.narod.ru
