№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Доп. информация
1	Быв.ГКБ № 33 им. проф. А. А. Остроумова - филиал Государственного бюджетного учреждение здравоохранения города Москвы «Городская клиническая больница № 14 им. В. Г. Короленко Департамента здравоохранения города Москвы»	107014, Москва, ул. Стромынка, д.7	ВАО		(499) 268-2475	(499) 268-2425	
2	Гинекологическая больница  № 1 - филиал Государственного бюджетного учреждение здравоохранения города Москвы «Городская клиническая больница № 14 им. В. Г. Короленко Департамента здравоохранения города Москвы»	107014, Москва, ул.  Гастелло, д. 42	ВАО	Коровина Людмила Геннадьевна	 (499) 268-3962	(499) 268-3962	
3	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 15   им. О. М. Филатова  Департамента здравоохранения города Москвы»	111539, Москва, ул. Вешняковская. д.23	ВАО	Тюлькина Екатерина Евгеньевна	(495) 375-0447	(495) 770-0123	
4	Государственное   бюджетное   учреждение здравоохранения города Москвы «Городская больница № 17   Департамента здравоохранения города Москвы»	119620, Москва, Волынская ул., д.7	ЗАО	Попович Виктор Константинович	(495) 439-2577	(495) 439-1488	
5	Государственное  бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 19   Департамента здравоохранения города Москвы»	123022, Москва, Б. Предтеченский пер., д.15	ЦАО	Бутырина Светлана Федоровна	(495) 605-4810	(495) 655-1687	
6	Государственное  бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 20   Департамента здравоохранения города Москвы»	129327, Москва, ул. Ленская. д.15	СВАО	Каприн Андрей Дмитриевич	(495) 471-1044	(495) 471-1253	
7	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 23   им. Медсантруд Департамента здравоохранения города Москвы»	109240, Москва, Яузская ул., д.11	ЦАО	Хрупкин Валерий Иванович	(495) 915-3648	(495) 915-3042	
8	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 24    Департамента здравоохранения города Москвы»	127015, Москва, ул. Писцовая, д.10	ЦАО	Родоман Григорий Владимирович	(495)  613-0408	(495) 613-0434	
9	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 29   им. Н. Э. Баумана Департамента здравоохранения города Москвы»	111020, Москва, Госпитальная площадь, д.2	ЮВАО	Дубровский Андрей Викторович	(499) 263-2630	(499) 263-2630	
10	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 31   Департамента здравоохранения города Москвы»	119415, Москва, ул. Лобачевского, дом  42	ЗАО	и.о. Маслова Римма Александровна	(499) 936-9916		
11	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 36   Департамента здравоохранения города Москвы»	105318, Москва, ул. Фортунатовская,  д.1	ВАО	Митичкин Александр Евгеньевич	(499) 366-7719	(499) 369-4089	
12	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская больница № 43  с поликлиническим отделением  Департамента здравоохранения города Москвы»	127204, Москва, 1-я Северная линия, д.27		Семерчев Демьян Петрович	(499) 767-8711	(499) 767-8300	
13	Государственное  бюджетное  учреждение здравоохранения города Москвы «Городская больница № 49   Департамента здравоохранения города Москвы»	109429, Москва, р-н Капотня, 2-ой квартал, д.16		Леков Руслан Мурадович	(495) 355-1547	(495) 355-3638	
14	Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 50      Департамента здравоохранения города Москвы	125206, Москва, ул. Вучетича, д.21	САО	Переходов Сергей Николаевич	 (499) 760-7933	(499) 760-8199	
15	Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская клиническая больница № 51   Департамента здравоохранения города Москвы»	121309, Москва, ул. Алябьева, д.7/33	ЗАО	и.о. Кулешов Игорь Юрьевич	(499) 146-8124	(499) 146-8015	
16	Государственное учреждение здравоохранения города Москвы Городская клиническая больница № 40   Департамента здравоохранения города Москвы	129301, Москва, ул. Касаткина, д.7	СВАО	Самохин Александр Яковлевич	(495) 686-8050	(495) 686-3128	
17	Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская клиническая больница № 52   Департамента здравоохранения города Москвы»	123182, Москва, ул. Пехотная, д.3	СЗАО	Лысенко Марьяна Анатольевна	(499) 196-3936	(499) 196-2114	
18	Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская клиническая больница № 53 Департамента здравоохранения города Москвы»	109432, Москва, ул Трофимова, д. 26	ЮВАО	Аракелов Сергей Эрнестович	(495) 958-9559	(495) 958-9434	
19	Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская  клиническая больница № 54   Департамента здравоохранения города Москвы»	107370, Москва, Шитова набережная, д.72	ВАО	Нахаев Виктор Иванович	(499) 168-3328	(499) 168-3328	
20	Государственное учреждение здравоохранения города Москвы  Городская  клиническая больница № 55   Департамента здравоохранения города Москвы	117152, Москва, Загородное шоссе, д.18-а	ЮАО	и.о. Бышов Андрей Алексеевич	(495) 952-9022	(495) 952-8722	
21	Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская  больница № 56  Департамента здравоохранения города Москвы»	113114, Москва, Павелецкая набережная. д.6		Ермоленко Галина Леонидовна	(495) 705-9167	(499) 235-9566	С 15.09.2012г. – присоединяется   Гинекологическая больница  № 11
22	Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская клиническая больница № 57   Департамента здравоохранения города Москвы»	105077, Москва, 11-я Парковая ул.,д.32	ВАО	Назарова Ирина Александровна	(495) 465-1553	(495) 465-9994	
