№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Электронная почта
1	Государственное бюджетное учреждение культуры города Москвы «ЦБС №2 ЦАО»	129110, г.Москва, ул. Большая Переяславская, д.15	Центральный АО	Мещанский	129110, г.Москва, ул. Большая Переяславская, д.15	(495) 680-54-13	(495) 680-58-01	cbs2cao.ru	director@cbs2cao.ru
2	Библиотека №3 «Социально-правовая»	129110, г.Москва, Банный пер., д.4 стр.2	Центральный АО	Мещанский	129110, г.Москва, ул. Большая Переяславская, д.15	(495) 680-54-13	(495) 680-58-01	cbs2cao.ru	director@cbs2cao.ru
3	Библиотека им. Ю.В.Трифонова	125047, г.Москва, ул. 4-я Тверская-Ямская, д.26/8	Центральный АО	Мещанский	129110, г.Москва, ул. Большая Переяславская, д.15	(495) 680-54-13	(495) 680-58-01	cbs2cao.ru	director@cbs2cao.ru
4	Центральная детская библиотека №46 им. А.С. Грибоедова	129272, г.Москва, ул. Сущевский вал, д.66	Центральный АО	Мещанский	129110, г.Москва, ул. Большая Переяславская, д.15	(495) 680-54-13	(495) 680-58-01	cbs2cao.ru	director@cbs2cao.ru
5	Детская библиотека им. Х.К.Андерсена	129010, г.Москва, пр-т Мира, д.68 стр.1	Центральный АО	Мещанский	129110, г.Москва, ул. Большая Переяславская, д.15	(495) 680-54-13	(495) 680-58-01	cbs2cao.ru	director@cbs2cao.ru
6	Библиотека №74 «Экономика и бизнес»	103055, г.Москва, ул. Лесная, д.63/43 стр.1	Центральный АО	Мещанский	129110, г.Москва, ул. Большая Переяславская, д.15	(495) 680-54-13	(495) 680-58-01	cbs2cao.ru	director@cbs2cao.ru
7	Центральная библиотека №88 им. А.С. Грибоедова	129110, г.Москва, ул. Большая Переяславская, д.15 стр.1	Центральный АО	Мещанский	129110, г.Москва, ул. Большая Переяславская, д.15	(495) 680-54-13	(495) 680-58-01	cbs2cao.ru	director@cbs2cao.ru
8	Государственное бюджетное учреждение культуры города Москвы «ЦБС №3 ЦАО»	121099, г.Москва, Смоленская пл., д.13/21	Центральный АО	Арбат	121099, г.Москва, Смоленская пл., д.13/21	(495) 241-29-04, (495) 241-34-21, (495) 241-13-02	(495) 241-29-04	cbs.hamovniki.net	director@hamovniki.net
9	Центральная детская библиотека №13 им. Н.К. Крупской	119034, г.Москва, ул. Пречистенка, д.36/21 стр.2	Центральный АО	Арбат	121099, г.Москва, Смоленская пл., д.13/21	(495) 241-29-04, (495) 241-34-21, (495) 241-13-02	(495) 241-29-04	cbs.hamovniki.net	director@hamovniki.net
10	Детская библиотека №15	121002, г.Москва, Глазовский пер., д.4 стр.8	Центральный АО	Арбат	121099, г.Москва, Смоленская пл., д.13/21	(495) 241-29-04, (495) 241-34-21, (495) 241-13-02	(495) 241-29-04	cbs.hamovniki.net	director@hamovniki.net
11	Детская библиотека №23 им. М. Горького	121099, г.Москва, ул. Новый Арбат, д.30/9	Центральный АО	Арбат	121099, г.Москва, Смоленская пл., д.13/21	(495) 241-29-04, (495) 241-34-21, (495) 241-13-02	(495) 241-29-04	cbs.hamovniki.net	director@hamovniki.net
12	Библиотека №7 им. В.А. Жуковского, ЦБС №1 ЦАО	103062, г.Москва, Лялин пер., д.24/26 стр.2	Центральный АО	Басманный	105066, г.Москва, ул. Спартаковская, д.9	(499) 261-35-05, (499) 267-57-20	(499) 261-35-05, (499) 267-57-20		cb112pushkin@mail.ru
13	Библиотека №8 им. Ф.М. Достоевского, ЦБС №1 ЦАО	103062, г.Москва, Чистопрудный б-р, д.23. стр.1	Центральный АО	Басманный	105066, г.Москва, ул. Спартаковская, д.9	(499) 261-35-05, (499) 267-57-20	(499) 261-35-05, (499) 267-57-20		cb112pushkin@mail.ru
14	Библиотека №8 им. Ф.М. Достоевского, ЦБС №1 ЦАО	103062, г.Москва, ул. Покровка, д.21-23/25 стр.3	Центральный АО	Басманный	105066, г.Москва, ул. Спартаковская, д.9	(499) 261-35-05, (499) 267-57-20	(499) 261-35-05, (499) 267-57-20		cbs1cao@cumail.ru
15	Библиотека №12 им. Н.Ф. Погодина	103062, г.Москва, ул. Чаплыгина, д.8 стр.1	Центральный АО	Басманный	105066, г.Москва, ул. Спартаковская, д.9	(499) 261-35-05, (499) 267-57-20	(499) 261-35-05, (499) 267-57-20		cb112pushkin@mail.ru
16	Библиотека №12 им. Н.Ф. Погодина	105094, г.Москва, ул. Госпитальный вал, д.5 стр.2	Центральный АО	Басманный	105066, г.Москва, ул. Спартаковская, д.9	(499) 261-35-05, (499) 267-57-20	(499) 261-35-05, (499) 267-57-20		cb112pushkin@mail.ru
17	Детская библиотека №60 им. А.С. Пушкина	105082, г.Москва, ул. Большая Почтовая, д.16	Центральный АО	Басманный	105066, г.Москва, ул. Спартаковская, д.9	(499) 261-35-05, (499) 267-57-20	(499) 261-35-05, (499) 267-57-20		cb112pushkin@mail.ru
18	Центральная детская библиотека №61 им. Г.А. Усиевича	105005, г.Москва, Аптекарский пер., д.8/2 стр.1	Центральный АО	Басманный	105066, г.Москва, ул. Спартаковская, д.9	(499) 261-35-05, (499) 267-57-20	(499) 261-35-05, (499) 267-57-20		cb112pushkin@mail.ru
19	Детская библиотека №71	109028, г.Москва, Дурасовский пер., д.9 стр.1	Центральный АО	Басманный	105066, г.Москва, ул. Спартаковская, д.9	(499) 261-35-05, (499) 267-57-20	(499) 261-35-05, (499) 267-57-20		cb112pushkin@mail.ru
20	Центральная библиотека №112 им. А.С. Пушкина	105066, г.Москва, ул. Спартаковская, д.9	Центральный АО	Басманный	105066, г.Москва, ул. Спартаковская, д.9	(499) 261-35-05, (499) 267-57-20	(499) 261-35-05, (499) 267-57-20		cb112pushkin@mail.ru
21	Библиотека им. А.А. Дельвига	105082, г.Москва, ул. Большая Почтовая, д.18/20 корп.18а стр.18	Центральный АО	Басманный	105066, г.Москва, ул. Спартаковская, д.9	(499) 261-35-05, (499) 267-57-20	(499) 261-35-05, (499) 267-57-20		cb112pushkin@mail.ru
22	Центральная детская библиотека №23	125252, г.Москва, ул. Куусинена, д.17 корп.2	Северный АО	Беговой	125284, г.Москва, ул. Беговая, д.13	(495) 945-37-31	(495) 945-37-31	cbs5.uksao.ru	cbs5sao@bk.ru
23	Библиотека №25 им. Е.А. Фурцевой	119270, г.Москва, Фрунзенская наб., д.50	Центральный АО	Арбат	121099, г.Москва, Смоленская пл., д.13/21	(495) 241-29-04, (495) 241-34-21, (495) 241-13-02	(495) 241-29-04	cbs.hamovniki.net	director@hamovniki.net
