№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Доп. информация
1	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 3 Департамента здравоохранения города Москвы»	123001, .Москва, Ермолаевский пер, д.22/26	ЦАО	Дорошев Игорь Анатольевич.	(495) 650-1430	(495) 650-1431	
2	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 4 Департамента здравоохранения города Москвы»	109544, Москва, ул. Рабочая, д.34		и.о. Карелина Тамара Ивановна	(495) 678-7401	(495) 678-7512	С 15.09.2012г. присоединяется к «ГП № 46»
3	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 1 им. Н. И. Пирогова Департамента здравоохранения города Москвы»	117049,  Москва, Ленинский проспект, дом 8	ЦАО	Шабунин Алексей Васильевич	(499) 236-6069	(499) 236-6528	
4	Государственное  бюджетное учреждение здравоохранения города Москвы «Диагностический  клинический  центр № 1   Департамента  здравоохранения  города Москвы»	117485, Москва, ул. Миклухо-Маклая, д.29, к.2		Манукян Левон Мамиконович	(495) 336-67-55	(495) 336-69-22	С 15.09.2012г. – присоединяютя городские поликлиники № 33, 74, 84, 203 и 205
5	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 5 Департамента здравоохранения  города Москвы»	107045, Москва, Даев пер., д.3	ЦАО	и.о. Петухова Юлия Олеговна	(495) 608-1680	(495) 608-1681	
6	Государственное  бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностический центр № 2    Департамента  здравоохранения   города Москвы»	107564, Москва, ул. Миллионная, д.6		Зайцев Леонид Васильевич	(499) 169-41-00	(499) 169-41-01	С 15.09.2012г. – присоединяютя городские поликлиники №41, 149 и 186
7	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 6  Департамента здравоохранения города Москвы»	127206, г. Москва, ул. Вучетича, дом 7Б		Сенникова Татьяна Николаевна	(495) 611-2729	(495) 611- 2938	
8	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 4  Департамента здравоохранения города Москвы»	115093, Москва, ул. Павловская, д.25	 ЮАО	Алексеев Михаил Сергеевич	(499) 235-0443	(495) 952-6940	
9	Государственное бюджетное  учреждение здравоохранения города Москвы «Диагностический центр № 3 Департамента  здравоохранения города Москвы»	109444, Москва, ул. Сормовская, д.9		Цайтлер Александр Викторович	(495) 919-11-44	(495) 919-11-76	С 15.09.2012г. – присоединяютя городские поликлиники №55, 133 и 187
10	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 12 Департамента здравоохранения  города Москвы»	127276, Москва, ул. акад. Комарова, д.5,к.1		Курняева Марина Витальевна	(495)619-2925	(495)619-1091	
11	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 13 Департамента здравоохранения города Москвы»	115280, Москва, ул. Велозаводская. д.1/1	ЮВАО	Аронов Леонид Семенович	(495) 674-5022	(495) 674-8076	
12	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 13 Департамента здравоохранения  города Москвы»	107031, Москва, ул. Неглинная, д.14		Иорданян Альберт Вардович	(495)621-1528	(495)628-9050	С 15.09.2012г. присоединяется к «ГП № 5»
13	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 14 им. В. Г. Короленко Департамента здравоохранения города Москвы»	107076, Москва, ул. Короленко, д.3,корп.2	ВАО	Гайнулин Шамиль Мухтарович	(495) 964-3929	(495) 964-1121	
