№ строки	Название_объекта	Адрес	Административный_округ	Руководитель	Телефон	Факс	Доп.информация
1	Государственное   казенное  учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 8   Департамента здравоохранения города Москвы»	107061, Москва, Преображенский вал, д.19	ВАО	Родина Ирина Анатольевна	(499) 161-0230	(499) 161-0230	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
2	Государственное  казенное   учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 10  Департамента  здравоохранения   города Москвы»	123376, Москва, Волков пер., д.15, стр.1	ЦАО	и.о. Лошкарев Валерий Алексеевич	(499) 255-1642	(499) 255-1642	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
3	Государственное казенное учреждение здравоохранения города Москвы «Противотуберкулезный клинический диспансер № 12  Департамента  здравоохранения   города Москвы»	129226, Москва, ул. Докукина, д.18	СВАО	Дитятков Александр Елизарович	(499) 187-9690	(499) 187-3691	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
4	Государственное   казенное  учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 13   Департамента  здравоохранения   города Москвы»	123182, Москва, ул. Щукинская. д.38	СЗАО	Миядина Раиса Гвидоновна	(499) 190-0156	(499) 720-4185	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
5	Государственное   казенное  учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 14    Департамента здравоохранения города Москвы»	121108, Москва, ул. Тарутинская, д.2	ЗАО	Воробьёва Татьяна Ивановна	(499) 144-1621	(499) 144-1481	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
6	Государственное казенное  учреждение здравоохранения города Москвы Противотуберкулезный диспансер № 15 Департамента здравоохранения города Москвы»	117630, Москва, ул. Новаторов, д.17	ЮЗАО	Абросимова Наталья Николаевна	(495) 935-1459	(495) 935-1459	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
7	Государственное   казенное  учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 16   Департамента здравоохранения города Москвы»	125438, Москва, ул. Михалковская, д.65. корп.1	САО	Собкин Александр Лазаревич	(495) 450-48-06	(495) 450-1606	С 01.11.2012г. присоединяется к  «МНПЦ  борьбы с туберкулезом»
8	Государственное  казенное   учреждение здравоохранения города Москвы «Психоневрологический диспансер № 1    Департамента здравоохранения города Москвы»	119285, Москва, ул. Мосфильмовская, д.6	ЗАО	Забелина Ирина Николаевна	(499) 143-4920	(499) 143-4920	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. клин.. б-це № 1 им. Н.А.Алексеева»
9	Государственное   казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 2   Департамента  здравоохранения   города Москвы»	121099, Москва, Смоленская площадь, д. 13/21	ЦАО	Штангаров Борис Львович	(499) 143-4920	(499) 143-4920	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. клин. б-це № 1 им. Н.А.Алексеева»
10	Государственное   казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 3   Департамента  здравоохранения   города Москвы»	125362, Москва, ул. Циолковского, д.5	СЗАО	Беликов Михаил Иванович	(495) 491-6966	(495) 491-6944	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. б-це № 4 им. П.Б. Ганнушкина»
