№ строки	Название_объекта	Адрес	Административный_округ	Руководитель	Телефон	Факс	Доп.информация
1	Государственное   казенное  учреждение здравоохранения города Москвы «Специализированный дом ребенка № 14     для детей с органическим поражением центральной нервной системы и нарушением психики Департамента здравоохранения города Москвы»	111020, Москва, ул. 2-я Синичкина, д.18	ЮВАО	Сергеев Андрей Викторович	(495) 361-6368	(495) 361-1019	присоединение к ГКУЗ "СДР № 3ДЗМ" и ГКУЗ "СДР № 20ДЗМ"
2	Государственное  казенное  учреждение здравоохранения города Москвы «Специализированный дом ребенка № 15    для детей с органическим  поражением центральной нервной системы и нарушением психики  Департамента здравоохранения города Москвы»	111538, Москва, ул. Вешняковская, д.27а	ВАО	Лазаров Игорь Бексултанович	(495) 373-9510	(495) 373-7350	Филиал ГКУЗ "СДР№6"путем присоединения
3	Государственное казенное  учреждение здравоохранения города Москвы «Специализированный  дом ребенка  № 17    для детей с органическим поражением центральной нервной системы и нарушением психики Департамента  здравоохранения  города Москвы»	113534, Москва, ул. Чертановская,  д.56а	ЮАО	Графов Владислав Алексеевич	(495) 387-4238	(495) 387-1396	С 01.09.2012г. присоединяется к  МНПЦ  мед. помощи детям с пороками развития черепно-лицевой области и врожденными заболеваниями нервной системы
4	Государственное казенное  учреждение здравоохранения города Москвы «Специализированный  дом ребенка  № 19    для детей с органическим поражением центральной нервной системы и нарушением психики Департамента  здравоохранения  города Москвы»	107143, Москва,  Открытое шоссе, д.29, кор.12	ВАО	Музякова Людмила Платоновна	(499) 167-7066	(499) 167-1510	самостоятельный
5	Государственное  казенное   учреждение здравоохранения города Москвы «Специализированный  дом ребенка  № 21 для детей  с органическим поражением центральной нервной системы и нарушением психики Департамента здравоохранения города Москвы»	119517, Москва,  ул. Нежинская, д.12	ЗАО	Белкина Елена Борисовна	(495) 442-4564	(495) 442-4564	самостоятельный
6	Государственное   казенное  учреждение здравоохранения города Москвы «Специализированный Дом ребенка № 23   для детей с органическим поражением центральной нервной системы и нарушением психики Департамента  здравоохранения   города Москвы»	127221, Москва, ул. Молодцова, д.1-б	СВАО	Садикова Елена Николаевна	(495) 478-4501	(495) 478-1564	присоединяется к ГКУЗ "СДР№ 8ДЗМ"
7	Государственное   казенное   учреждение здравоохранения города Москвы «Специализированный дом  ребенка № 24    для детей с органическим поражением центральной нервной системы и нарушением психики Департамента  здравоохранения   города Москвы»	107061, Москва, ул.2-я Пугачевская, д.12	ВАО	Караневская Наталья Михайловна	(499) 161-3110	(499) 161-3110	присоединяется к ГКУЗ "СДР№ 19ДЗМ"
8	Государственное казенное  учреждение здравоохранения города Москвы «Специализированный  дом ребенка  № 25    для детей с органическим поражением центральной нервной системы и нарушением психики Департамента  здравоохранения  города Москвы»	115583, Москва, ул.Елецкая, д.10, корп.2	ЮАО	Комаров Андрей Сергеевч	(495) 399-5112	(495) 399-5112	самостоятельный
9	Государственное  казенное  учреждение здравоохранения города Москвы «Специализированный дом ребенка № 2   для детей с органическим поражением центральной нервной системы и нарушением психики Департамента здравоохранения города Москвы»	125480, Москва, ул. Вилиса Лациса, д.31, корп.3	СЗАО	Усачева Галина Анатольевна	(495) 496-4218	(495) 496-9662	самостоятельный
10	Государственное  казенное  учреждение здравоохранения города Москвы «Специализированный дом ребенка № 3   для детей с органическим поражением центральной нервной системы и нарушением психики Департамента здравоохранения города Москвы»	109439, Москва, ул. Юных Ленинцев, д.96, корп.2	ЮВАО	Адрианова Элеонора Юрьевна	(499) 172-4608	(499) 172-4608	присоединение к ГКУЗ "СДР № 14ДЗМ"
