№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Адрес электронной почты
1	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Патриот»	125008, г.Москва, ул. Большая Академическая, д.35	Северный АО	Коптево	125008, г.Москва, ул. Большая Академическая, д.35	(499) 156-23-06	(499) 150-82-45	uksao.ru	dkpatriot@mail.ru
2	Государственное бюджетное учреждение культуры города Москвы «Клуб культуры и эстетики «Родничок»	125083, г.Москва, ул. Юннатов, д.17	Северный АО	Савеловский	125083, г.Москва, ул. Юннатов, д.17б	(495) 613-40-89	(495) 614-61-68	клуб-родничок.рф	rodnichok2010@yandex.ru
3	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Юность»	127591, г.Москва, ул. Дубнинская, д.73а	Северный АО	Восточное Дегунино	127591, г.Москва, ул. Дубнинская, д.73а	(499) 480-77-48	(499) 481-01-39	unostdk.ru	dkunost2012@yandex.ru
4	Государственное бюджетное учреждение культуры города Москвы «Дом культуры имени К.А.Тимирязева»	127550, г.Москва, Лиственничная аллея, д.12а	Северный АО	Тимирязевский	127550, г.Москва, Лиственничная аллея, д.12а	(495) 976-38-74	(495) 976-46-03	uksao.ru	timkult@yandex.ru
5	Государственное бюджетное учреждение культуры города Москвы «Центр культуры и творчества «Нега»	127550, г.Москва, Дмитровское ш., д.33 стр.5	Северный АО	Тимирязевский	127550, г.Москва, Дмитровское ш., д.33 стр.5	(499) 976-58-95	(499) 976-58-95	nega.ru	artnega@yandex.ru
6	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Культурный центр»	129085, г.Москва, ул. Большая Марьинская, д.15 корп.2 стр.2	Северо-Восточный АО	Останкинский	129085, г.Москва, ул. Большая Марьинская, д.15 корп.2 стр.2	(495) 615-47-39, (495) 615-47-67, (495) 615-80-35	(495) 615-47-39		centr@culturcentr.ru
7	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Северный»	127204, г.Москва, ул. 3-я Северная линия, д.17	Северо-Восточный АО	Северное Тушино	127204, г.Москва, ул. 3-я Северная линия, д.17	(499) 767-84-22, (495) 409-67-80	(499) 767-84-22		dk-sever@mail.ru
8	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Юность»	129327, г.Москва, ул. Шушенская, д.7	Северо-Восточный АО	Лосиноостровский	129327, г.Москва, ул. Шушенская, д.7	(495) 184-35-95	(495) 474-15-53		dk-unost@yandex.ru
9	Государственное бюджетное учреждение культуры города Москвы «Московский государственный культурный центр «Октябрь»	127055, г.Москва, ул. Новослободская, д.73 стр.1	Центральный АО	Савеловский	127055, г.Москва, ул. Новослободская, д.73 стр.1	(499) 973-17-27, (499) 973-11-40, (499) 978-99-14	(499) 973-19-18		mgkcoctober@mail.ru
10	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Гайдаровец»	105064, г.Москва, Земляной Вал, д.27, стр. 3	Центральный АО	Басманный	105064, г.Москва, Большой Казенный пер., д.8 стр.2	(495) 510-92-56		dkgaydarovets.samomu.net	9179103@mail.ru
