№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Доп. информация
1	Государственное бюджетное  учреждение здравоохранения города Москвы «Диагностический центр  (Центр лабораторных исследований) Департамента здравоохранения  города Москвы»	115580, Москва, Ореховый бульвар, д.49, к.1	"	и.о.  Гаврилова Ирина Николаевна	(495) 396-73-70	(495) 396-65-10	"
2	Государственное бюджетное учреждение здравоохранения города Москвы «Городская больница № 9  Департамента здравоохранения города Москвы»	105173, Москва, ул. Западная, д.2	"	Дрошнев Вячеслав Михайлович	(499) 780-5117	"	"
3	Государственное бюджетное учреждение здравоохранения города Москвы «Городская больница № 49  Департамента здравоохранения города Москвы»	109429, Москва, р-н Капотня, 2-ой квартал, д.16	"	Леков Руслан Мурадович	(495) 355-1547	(495) 355-3638	"
4	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 36  Департамента здравоохранения  города Москвы»	109652, Москва, ул. Новомарьинская, д.2	"	Пуделев Игорь Анатольевич	(499) 722-2634	"	"
5	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 43  Департамента здравоохранения города Москвы»	127410, Москва, ул. Инженерная, д. 3	"	Карлович Сергей Эдуардович	(499) 900-9081	(499) 900-9081	С 15.09.2012г. присоединяется к «ДЦ № 5 с поликлиническим отделением»
6	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 66   Департамента здравоохранения города Москвы»	111672, Москва, ул. Салтыковская, д.7б	"	Паскачев Абдулбек Баклуевич	701-7655	701-7655	"
7	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 68 Департамента здравоохранения  города Москвы»	109180,Москва, ул. Якиманка, д.22	"	Кашежева Анисат Заурбековна	(499) 238-5079	(499) 951-4872	"
8	Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская клиническая больница № 9  им. Г.Н. Сперанского  Департамента здравоохранения города Москвы»	123317, Москва, Шмитовский проезд, д.29	ЦАО	Продеус Пётр Павлович	(499) 256-2162	(499) 256-6127	С 01.09.2012г. присоединяется Детская инфекционная больница № 12 и Детская городская больница № 21
9	Государственное бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностическая поликлиника № 121  Департамента здравоохранения города Москвы»	117042, Москва, ул. Южнобутовская.д.87	"	Сафарян Сергей Левони	(495) 474-5436	(495) 474-5436	"
10	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 219  Департамента здравоохранения  города Москвы»	125373, Москва, бул. Яна Райниса, д.47	"	Тедтоев Таймураз Асламбекович	948-3200	948-2500	"
11	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 221  Департамента здравоохранения города Москвы»	117628, Москва, ул. Ратная, д.8в	"	Ульянов Валентин Юрьевич	711-1572	711-0445	с 15.09.2012г. присоединяется к «КДП № 121»
12	Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 1  Департамента здравоохранения города Москвы»	115407, Москва, ул. Затонная, д.11,к.1	"	 Майорова Людмила Павловна	8-499-614-6649	8-499-614-6649	с 01.11.2012г. присоединяется к «ДГП № 91»
13	Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 2 Департамента здравоохранения города Москвы»	113453, Москва, ул. Ялтинская, д.1,кор.2	"	Бучнева Наталья Николаевна	8-499-619-1117	8-499-610-0586	с 01.11.2012г. присоединяется к «ДГП № 129»
14	Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 3 Департамента здравоохранения города Москвы»	113452, Москва, Булатниковский проезд, д.16а	"	и.о. Кучерова Виктория Николаевна	385-2849	385-0698	с 01.11.2012г. присоединяется к «ДГП № 98»
15	Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 4 Департамента здравоохранения города Москвы»	125481, Москва, ул. Планерная, д.16	"	Мохова Татьяна Александровна	494-21-64	494-2164	с 01.11.2012г. присоединяется к «ДГП № 94»
