№ строки	Название	Адрес	Руководитель	Телефон	Факс
1	Государственное бюджетное учреждение здравоохранения города Москвы Научно-исследовательский институт скорой  помощи  им. Н. В. Склифосовского Департамента здравоохранения города Москвы	129010, Москва, Б. Сухаревская пл. д. 3	Хубутия Могели Шалвович	(495) 628-3897	(495) 621-0812
2	Государственное  бюджетное   учреждение здравоохранения города Москвы «Центр патологии речи и нейрореабилитации  Департамента здравоохранения города Москвы»	109240, Москва, ул.  Николоямская, дом 20, стр.1	Фукалов Юрий Александрович	698-0117	689-0082
3	Государственное бюджетное учреждение здравоохранения города Москвы «Научно-практический центр  интервенционной  кардиоангиологии Департамента здравоохранения города Москвы»	101000, Москва, Сверчков пер., д.5	Иоселиани Давид Георгиевич	(495) 624-9636	(495) 624-6733
4	Государственное  бюджетное учреждение здравоохранения города Москвы Городская клиническая больница им. С.П. Боткина Департамента здравоохранения города Москвы	125284, Москва, 2-й Боткинский проезд, д.5	Яковлев Владимир Николаевич	 (495) 945-2616	 (499) 762-6229
5	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 1 им. Н. И. Пирогова Департамента здравоохранения города Москвы»	117049,  Москва,               ЦАО   Ленинский проспект, дом 8	 Шабунин Алексей Васильевич	(499) 236-6069	(499) 236-6528
6	Государственное учреждение здравоохранения города Москвы Городская больница № 3  Департамента здравоохранения города Москвы	124489, Зеленоград, Каштановая аллея, дом 2, стр.1	Голоусиков Иван Яковлевич	(499) 735-6429  	(499) 735-3206
7	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 4  Департамента здравоохранения города Москвы»	115093, Москва, ул. Павловская, д.25	Алексеев Михаил Сергеевич	(499) 235-0443 	952-6940
8	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 6  Департамента здравоохранения города Москвы»	105066, Москва,  ул. Новая Басманная, д.26	"	"	"
9	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 7    Департамента здравоохранения города Москвы»	115446, Москва, Коломенский проезд, д.4	и.о. Татуева  Татьяна Васильевна	(499) 782-30-70	(499) 782-3192
10	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская больница № 8   Департамента здравоохранения города Москвы»	127287, Москва, 4-й Вятский пер., д.39	Дуленков  Андрей Борисович	(495) 613-4509	(495) 613-4359
11	Государственное  бюджетное  учреждение здравоохранения города Москвы  «Городская больница № 9   Департамента здравоохранения города Москвы»	105173, Москва,ул. Западная, д.2	 Дрошнев Вячеслав Михайлович	(499) 780-5117	"
