№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Адрес электронной почты
1	Парк «Сад Будущего»	(сквер у м. «Ботанический сад»)	СВАО						
2	Парк «Воровского»	(Старопетровский проезд, д.1)	САО						
3	Парк «Вагоноремонт»	(Лобненская ул., д.13А)	САО						
4	Парк «Грачевка»	между Зеленоградской и Клинской ул	САО						
5	Лесопарк	Свободный проспект,11	ВАО						
6	Парк	Загородноое ш., д. 2 А	ЮАО						
7	Парк «Победы»	Кировоградская, д. 20—22	ЮАО						
8	Школьный парк	Кировоградская ул., 6—8	ЮАО						
9	Детский парк	ул. Восточная, дом 4	ЮАО						
10	Детский парк	Варшавское шоссе, дом 13 А	ЮАО						
11	Детский парк	Загородное ш., вл. 2	ЮАО						
12	Парк «Победы»	ул. Чертановская, дом 32—34	ЮАО						
13	Детский парк	Сумской проезд, дом 29	ЮАО						
14	Сквер	ул. Медынская, дом 7 А	ЮАО						
15	Каскад прудов	ул. Кировоградская, дом 42	ЮАО						
16	Парк у пруда	л. Чертановская, д.48	ЮАО						
17	Сквер	ул. Гарибальди вл.34-36	ЮЗАО						
18	Парк	ул. Каховка, 9-13	ЮЗАО						
19	Парк	ул. Академика  Арцимовича	ЮЗАО						
20	Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»	111141, г.Москва, ул. Лазо, вл.7	Восточный АО	Перово	111141, г.Москва, ул. Лазо, вл.7	(495) 368-26-10	(495) 368-26-21	perovskiypark.ru	ppkio@mail.ru
21	Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки»	109472, г.Москва, Кузьминки-Заречье, д.1 стр.2	Юго-Восточный АО	Кузьминки	109472, г.Москва, Кузьминки-Заречье, д.1 стр.2	(499) 175-33-69	(499) 175-33-69	park-kuzminki.ru	kyzay07@yandex.ru
22	Государственное бюджетное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»	109387, г.Москва, ул. Тихая, д.23	Юго-Восточный АО	Люблино	109387, г.Москва, ул. Тихая, д.23	(495) 350-03-87	(495) 350-29-19	http://www.kuzpark.ru/kuzpark/ru/	parklublino@mail.ru
23	Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Фили»	121309, г.Москва, ул. Большая Филевская, д.22	Западный АО	Филевский парк	121309, г.Москва, ул. Большая Филевская, д.22	(499) 146-05-31, (499) 146-23-14	(499) 146-05-31		info@parkfili.ru
24	Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»	123364, г.Москва, ул. Свободы, д.61/2	Северо-Западный АО	Северное Тушино	123364, г.Москва, ул. Свободы, д.61/2	(495) 497-51-84	(495) 497-64-61	parkk.ru	tushpark@yandex.ru
25	Государственное автономное учреждение культуры города Москвы «Центральный парк культуры и отдыха имени М.Горького»	119049, г.Москва, ул. Крымский вал, д.9	Центральный АО	Якиманка	119049, г.Москва, ул. Крымский вал, д.9	(495) 237-11-00, (499) 237-11-00, (499) 237-35-24	(495) 237-35-24	gorkypark.info	cpko-gorky@mail.ru
26	Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»	127006, г.Москва, ул. Каретный ряд, д.3	Центральный АО	Тверской	127006, г.Москва, ул. Каретный ряд, д.3 стр.7	(495) 699-08-49, (495) 650-65-85	(495) 699-43-79	mosgorsad.ru	info@mosgorsad.ru
27	Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Красная Пресня»	123100, г.Москва, ул. Мантулинская, д.5	Центральный АО	Пресненский	123100, г.Москва, ул. Мантулинская, д.5 стр.2	(499) 256-33-42, (499) 256-23-06	(499) 256-23-06		pkiokp@gmail.com
28	Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»	109147, г.Москва, ул. Таганская, д.40/42	Центральный АО	Таганский	109147, г.Москва, ул. Таганская, д.40-42	(495) 912-27-17	(495) 912-27-17	parktaganskiy. ru	gpkiotag@mail.ru
29	Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»	105064, г.Москва, ул. Старая Басманная, д.15	Центральный АО	Басманный	105064, г.Москва, ул. Старая Басманная, д.15	(495) 261-58-83, (495) 265-11-05	(495) 265-11-05	sadbaumana.ru	info@sbaumana.ru
30	Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»	129327, г.Москва, ул. Менжинского, д.6	Северо-Восточный АО	Бабушкинский	129327, г.Москва, ул. Менжинского, д.6	(495) 184-34-22, (495) 184-09-18	(495) 184-34-22		babkapark@yandex.ru
31	Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»	127572, г.Москва, ул. Угличская, д.13	Северо-Восточный АО	Лианозово	127572, г.Москва, ул. Угличская, д.13	(499) 908-35-00	(499) 908-35-00	lia-park.ru	liapark@yandex.ru
32	Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Сокольники»	107113, г.Москва, Сокольнический вал, д.1 стр.1	Восточный АО	Сокольники	107113, г.Москва, Сокольнический вал, д.1 стр.1	(499) 268-54-30 , (499) 268-76-37	(499) 268-76-37	park-sokolniki.ru	info@park.sokolniki.com
33	Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Измайловский»	105187, г.Москва, Народный пр-т, д.17	Восточный АО	Измайлово	105187, г.Москва, Народный пр-т, д.17	(499) 166-61-19, (495) 657-97-32	(499) 657-97-32	izmailovsky-park.ru	izmpark@mail.ru
34	Парк «Центральный»	Боровское ш.	ЗАО						
