№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Доп. информация
1	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 1  Департамента здравоохранения города Москвы»	127006, Москва, Садовая-Каретная ул., д. 4/6	"	Чекалина Татьяна Леонидовна	699-8481	699-8481	"
2	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 6  Департамента здравоохранения города Москвы»	109469, Москва, Марьинский бульвар, д.10,к.1	"	Шошина Валерия Станиславовна	345-9314	346-0311	"
3	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 10  Департамента здравоохранения   города Москвы»	125167, Москва, Эльдорадовский пер., д.5	"	Мельникова Оксана Витальевна	(495) 614-6923	(495) 614-6923	"
4	Государственное бюджетное учреждение здравоохранения города Москвы « Детская стоматологическая поликлиника № 16  Департамента здравоохранения  города Москвы»	127572, Москва, Алтуфьевское шоссе, д.93	"	Цымбал Нелля Дмитриевна	(499) 200-8792	(499) 200-6755	"
5	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 21   Департамента здравоохранения города Москвы»	127434, Москва, Дмитровское шоссе, д. 13, к.2	"	Ширягина Галина Степановна	(499) 977-1529	(499) 977-6292	"
6	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 25 Департамента здравоохранения города Москвы»	109443, Москва, Волгоградский проспект, д.110, к.2	"	Кирсанова Елена Юрьевна	8-499-172-3850	8-499-172-3850	"
7	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 26  Департамента здравоохранения города Москвы»	123098, Москва, ул. маршала Новикова, д.4	"	Елкина Наталия Михайловна	8-499-190-4738	8-499-190-2394	"
8	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 28 Департамента здравоохранения города Москвы»	121170, Москва, ул. генерала Ермолова, д.12	"	Цыбульский Сергей Андреевич	8-499-148-5261	8-499148-0655	"
9	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 29 Департамента здравоохранения города Москвы»	125252, Москва, 3-я Песчаная ул., д. 5, к.4	"	 Галкин Олег Игоревич	(499) 157-5781	(499) 157-5781	"
10	Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 46  Департамента здравоохранения  города Москвы»	111399, Москва, ул. Новогиреевская, д.17	"	Белова Людмила Николаевна	303-3153	303-3153	"
