№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 394	117461, г.Москва, ул. Херсонская, дом 10, корпус 1	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	121-60-61	http://ds394.ru
2	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 523	117485, г. Москва, улица Бутлерова, дом 10А	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	336-66-44	http://GOU523.ru
3	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 549	117393, город Москва, улица Академика Пилюгина, дом 14Б	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	936-30-33	http://ds549.ru
4	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 983	117574, Москва, Новоясеневский проспект, дом 16, корпус 3	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	422-01-88	http://www.sad983.ru
5	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2308	117624, город Москва, улица Веневская, дом 11	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	716-19-90	
6	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 47	111555,г.Москва, Свободный проспект, д.9А	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(495) 300-67-80	http://dskvp47.mskobr.ru/
7	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида №1286	111555,г.Москва,ул. Молостовых,дом 1,корпус 5	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	300-02-30	http://ds1286.ru
8	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2220	109145, г. Москва, ул. Пронская, дом № 5, корп. 2	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	705-63-21	http://sad2220log.mirasem.ru
9	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2282	119602, г.Москва, ул. Никулинская, д. 17	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	232-89-20	http://www.dskvp2282.mskzapad.ru
10	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 72	121108 г.Москва, ул. Кастанаевская, д. 25, стр. 2	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	144-65-63	http://dskvp72.mskzapad.ru
11	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 77	121108, г. Москва, ул. Герасима Курина, д. 30, корпус 2	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	144-07-75	http://dskvp77.mskzapad.ru
12	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 815	119526, г.Москва, ул. 26 Бакинских комиссаров, д. 2, корп. 3	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	434-50-34	http://dskvp815.mskzapad.ru
13	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1226	124536, г. Москва, Зеленоград, корп. 517	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(499) 734-51-59	http://d1226@zou.ru
14	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2412	125310, г. Москва, Пятницкое шоссе,  дом 45, корпус 1	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	753-84-17	http://www.dskvp2412.mskobr.ru
15	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 174	125581, г. Москва, ул Ляпидевского, дом 10 А	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	455-61-02	http://dskvp174.mskobr.ru/
16	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 624	127422, г. Москва, улица Костякова, дом 4 А	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	976-42-24	http://souo-mos.ru/
17	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1715	121614, г.Москва, ул. Крылатские холмы, д. 28, корп. 3	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	415-77-85	http://www.dskvp1715.mskzapad.ru
18	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 828	125183, г. Москва, 4-ый Новомихалковский проезд, дом 6 А	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	154-31-18	http://dskvp828.mskobr.ru/
19	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 92	129327, город Москва, улица Ленская, дом 5	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	471-46-77	http://www.dskvp92.mskobr.ru
20	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 820	127349, город Москва, улица Мурановская, дом 7А	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	406-62-88	http://www.dskvp820.mskobr.ru
21	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 908	127349, г. Москва, Шенкурский проезд, дом 10а	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(499) 909-72-21	http://www.dskvp908.mskobr.ru
22	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 4	119333, г.Москва, Университетский проспект, дом 6, корп. 4	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(499) 137-65-61	http://www.detsad4.ru
23	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 605	107143. Москва, улица Николая Химушина, дом 17 А	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	966-33-75	http://irinabel4.ru.gg
24	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 637	123154, г. Москва, ул. Генерала Глаголева, д. 28, корп. 1	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(499) 199-19-73	http://www.crrds637.mskobr.ru
25	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 190	117437, г.Москва, улица Профсоюзная, дом 110 Б	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	335-99-48	http://detsad190.ru
26	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1221	117593, г.Москва, Новоясеневский проспект, дом 19, корпус 3	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	426-97-11	http://www.sad1221.ru
27	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 65	115280, г. Москва, улица 1-ая Машиностроения, дом 2/7, корпус 2	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	679-47-40	http://www.ds1743.uvuo.ru
28	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1935	121596, г.Москва, ул. Запорожская, д. 3	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	448-13-05	http://www.dskvp1935.mskobr.ru
29	Государственное бюджетное образовательное учреждение города Москвы Детский сад компенсирующего вида № 2107	119270 г.Москва, улица Комсомольский пр. д.47 А	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(499) 242-16-20	http://dskvp2107.mskobr.ru
30	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2204	119049 г. Москва, ул. Шаболовка, д. 19 а	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	237-44-32	http://www.dskvp2204.mskobr.ru
31	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2555	105066 г. Москва, Денисовский пер., д.15	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(499) 261-80-14; (499) 267-85-94	http://www.dskvp2555.mskobr.ru
32	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 671	109388, г. Москва, ул.Шоссейная, д. 15	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(495) 353-51-79; (495) 353-40-85	http://www.ds671.uvuo.ru
33	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 763	111024, Москва, улица Авиамоторная, д.45	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	362-23-17	http://www.ds763.uvuo.ru
34	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1016	109559, г. Москва ул. Ставропольская, д. 52, корп. 2	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	358-26-07	http://dskuv1016.mskobr.ru/
35	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1212	109651, Москва, ул. Донецкая, д.5	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(499) 356-66-51; (499) 357-49-81	http://ds1212.uvuo.ru
36	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1288	109651, г. Москва, ул. Донецкая, 31	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(499) 356-30-10; (499) 357-90-66	http://www.dou1288.ru
37	Государственное бюджетное образовательное учреждение города Москвы  детский сад компенсирующего вида № 1333	109378, город Москва, ул. Академика Скрябина, д.28, кор.3	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(495) 379-08-67; (495) 379-36-31	http://www.ds1333.uvuo.ru
38	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2334	109469, г. Москва, Марьинский бульвар, дом 8	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	658-64-21	http://www.sad2334.mirastem.ru
39	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2363	109431, г.Москва, ул.Авиаконструктора Миля, дом 22, корпус 2	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(495) 704-08-89	http://ds2363.ru
40	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2408	109559,  г.Москва, ул. Цимлянская, д. 18	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	359-77-11	http://www.ds2408.uvuo.ru
41	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2316	109153, г.Москва, Жулебинский бульвар, дом 28, корпус 2	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	704-51-11	http://dskuv2316.mskobr.ru
42	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 972	117546 г. Москва, Харьковский пр-д, д. 11а	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(495) 383-45-83	http://dou972.edusite.ru
43	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 954	109559, г. Москва ул. Краснодарская, д. 53	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	352-19-12	http://ds954.uvuo.ru
44	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2720	117623, г.Москва, ул. Маршала Савицкого, дом 30, корп.2	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(499) 232-49-90	http://detsad2720.ru
45	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1949	111020, г. Москва, ул. Авиамоторная, дом 13	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(495) 362-11-44	http://ds1949.uvuo.ru
46	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1881	115432,  г. Москва Трофимова ул., д. 30, корп. 1	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	677-39-30	http://www.kolobok1881.ru
47	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1652	107207,г.Москва,ул.Уральская,д.6	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(495) 466-59-22	http://www.dskvp1652.mskobr.ru
48	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1231	119333, г. Москва, ул. Фотиевой, д.12	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	137-06-76	
49	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1505	117393, г.Москва, ул. Гарибальди, дом № 10, корп. 5	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	132-01-00	http://www.skazka1505.ru
50	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1701	117465, г.Москва, улица Генерала Тюленева, дом 5, корпус 2	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	339-11-61	http://www.1701moydetsad.ru
51	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2156	117628, г. Москва, ул. Куликовская, дом 1 Г	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(495) 712-08-46	http://www.ds2156.ru
52	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2168	117593, город Москва, Новоясеневский проспект, дом 21, корпус 2	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	425-65-11	http://детскийсад2168.рф/
53	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2708	117148, г. Москва, ул. Маршала Савицкого, дом 18, корп. 3	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(499)232-39-38	http://detsad2708.ru
54	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 829	109388, г. Москва Гурьянова ул., д. 45	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(495) 353-04-60	http://ds829.uvuo.ru
55	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 557	117209, г. Москва, Перекопская улица, дом 7, корпус 2	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(499) 122-91-71	http://www.gou557.ra-art.ru
56	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2075	117628, г. Москва, ул. Знаменские Садки, дом 1Г	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	712-08-45	http://ds2075.ru
57	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2309	117624, город Москва,  улица Веневская, дом 13	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	716-19-63	
58	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 63	125171, г. Москва, 1-й Войковский проезд, дом 4, корпус 2	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(499) 150-49-13; (499) 150-19-87	http://souo-mos.ru
59	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 795	117465, город Москва, улица Профсоюзная, дом 156, корпус 4	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	337-18-88	http://ds795.ru
60	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2007	117447, г. Москва, Севастопольский проспект, д.12А	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	123-52-03	http://ds2007.ru
61	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 455	124498, г.Москва, Зеленоград, корп. 419А	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(499) 736-40-37; (499) 734-24-57	http://d455.zouo.ru
