№ строки	Название объекта	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1174	117216, г. Москва, улица Феодосийская, дом 11А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	712-40-36	http://school1174.ru
2	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 750	129337, г. Москва, ул. Палехская, д. 8	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 182-78-87	http://sch750.svao.mskobr.ru
3	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 849	127247, г. Москва, Бескудниковский бульвар, дом 50-а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	488-12-75	http://sc849.edusite.ru/
4	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 546	117452 г. Москва, Симферопольский б-р, д.23а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 619-90-69; (499) 610-98-11; (499) 619-84-72; (499) 619-34-48; (499) 619-90-61; (499) 619-88-80	http://sch546.edusite.ru/
5	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 870	115516 г. Москва, ул. Веселая, дом № 12	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 322-08-76	http://dou2071@sinergi.ru
6	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 979	115597 г. Москва, ул. Тамбовская, дом 10	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(095) 397-05-83	http://sch979.edusite.ru
7	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 14	119602  Москва, ул. Анохина, д.32	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	430-31-01	http://sch14.mskzapad.ru
8	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 61	121471 г.Москва, ул. Рябиновая, д.8, корп.2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	443-32-14	http://sch61.mskzapad.ru
9	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 424	111020 г. Москва ул. Авиамоторная д.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	361-20-60	http://schuv424.mskobr.ru
10	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2047	117148, г.Москва, ул. Маршала Савицкого, дом 26, корпус 4	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(916) 772-76-60	http://sch2047.ru
11	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 728	113208 г.Москва,ул. Кировоградская д.6 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 312-62-38; (495) 311-05-60	http://sch728.edusite.ru
12	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 589	121596 г.Москва, ул. Говорова, д. 7	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 446-20-79	http://sch589.mskzapad.ru
13	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 591	121095 г.Москва, Украинский бульвар, дом 9	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 240-11-56	http://sch591.mskzapad.ru
14	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 713	121614 г.Москва, ул. Крылатские холмы, д. 45, корп.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	412-67-77	http://sch713.mskzapad.ru
15	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 731	121500 г.Москва, ул. Новорублевская, д.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 727-22-34	http://sch731.mskzapad.ru/
16	Государственное бюджетное образовательное учреждение города Москвы Средняя общеобразовательная школа № 484 имени дважды Героя Советского Союза В.И.Попкова	109129, г. Москва, 11-я ул. Текстильщиков, дом 6	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 178-15-12	http://sch484.uvao.mskobr.ru/
17	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 732	121467 Москва, ул. Ельнинская, д.10	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 141-75-83	http://sch732.mskzapad.ru
18	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 737	121309 Москва,ул. Новозаводская д. 19	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 148-54-42; (499) 148-36-61; (499) 148-14-47; (499) 148-35-27	http://sch737.mskzapad.ru
19	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 749	121351 г.Москва, ул.Партизанская, д. 11	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 417-23-74; (495) 417-23-84; (495) 417-22-93; (495) 417-25-15	http://sch749.mskzapad.ru
20	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 364	107113, г.Москва, ул.Старослободская, д.8	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 264-30-47; (499) 264-31-47; (499) 264-09-31; (499) 264-88-29	http://sсh364.ru
21	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 809	121596 г.Москва, Можайское шоссе, д. 50	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 446-18-04	http://sch809.mskzapad.ru
22	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 743	125008 г. Москва, Матроса Железняка бульвар,  дом 12	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 154-71-32; (499) 154-33-41; (495) 450-76-14	http://sch743edusite.ru/
23	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 581	115583 г. Москва,т ул. Ясеневая д.21,к 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	399-45-10	http://sch581.edusite.ru/
24	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 856	113208 г.Москва, Сумской пр, д .12, корп.6	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 723-32-90	http://sch856.edusite.ru/
25	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 859	117535 г. Москва, ул. Дорожная д.22 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 382-85-85; (499) 382-10-83	http://sch859.edusite.ru/
26	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 925	113546 г. Москва, Востряковский пр-д,д.5 б	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 383-84-56	http://sch925.edusite.ru/
27	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 949	115597 г. Москва, ул. Воронежская,дом 46 корп.3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 397-23-37; (495) 397-96-66	http://dou1687.edusite.ru
28	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 997	115612 Москва, Борисовские пруды, 20, к3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	341-78-06	http://sch997.ru/
