№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2466	109451, Москва, ул. Белореченская, д.41, к.3	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	658-49-90	http://www.ds2466.uvuo.ru
2	Государственное  бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2494	109469,  Москва, Перервинский бульвар д.21, корп. 2	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	358-90-12	http://www.dskuv2494.mskobr.ru
3	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 656	127644, г. Москва, улица Клязьминская, дом 19А	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	486-90-69	
4	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №2616	111674, Москва, ул. Лухмаковская,д. 13А	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	(499) 797-41-07	http://dskv2616.mskobr.ru/
5	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2613	105173,Москва,улица 9 Мая,дом 16,стр.1	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	460-94-87	http://ds2613.mskobr.ru
6	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2591 Сказка	141335, Московская область, Сергиево-Посадский район, с. Шеметово, мкр. Новый, д.53	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	(496) 546-25-76; (496) 546-27-47; (496) 546-25-12	http://www.skazka2591.ru
7	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2346	111672, г. Москва, ул. Новокосинская, д.14 Б	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	(495) 702-03-43	http://dskv2346.mskobr.ru
8	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 937	127560, город Москва, улица Плещеева, дом 11 Б	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	(499) 206-92-66; (499) 206-98-98	http://www.crrds937.mskobr.ru
9	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2093	119634, г.Москва, ул. Скульптора Мухиной , д. 4, корп. 1	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	(495) 731-55-38; (495) 733-10-04	http://dskv2093.mskzapad.ru
10	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1186	109316 г. Москва,Волгоградский проспект, д.11/2	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	676-30-51	http://www.dskv1186.mskobr.ru
11	Государственное бюджетное образовательное учреждение города Москвы детский сад №1690	111672,г.Москва,ул. Городецка д.10А	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	701-24-70	http://www.ds1690.mskobr.ru
