№ строки	Название	Адрес	Телефон	Электронная почта	Режим работы
1	Государственное казенное учреждение Дирекция ЖКХиБ ЦАО	г.Москва, ул.2-я Фрунзенская, д.7	(495) 609-12-24	guis-cao555@mail.ru	пн. 16.00-18.00
2	Государственное казенное учреждение Дирекция ЖКХиБ СВАО	Москва, пр.Шокальского, д.55, стр.3	(499) 478-2204;  (499) 476-18-63	ShabanovaDE@svao.mos.ru	прием населения не ведется
3	Государственное казенное учреждение Дирекция ЖКХиБ ВАО	г.Москва, Колодезный пер., д.14/23, корп.1	(499) 748-00-64	"	пн.-пт. 09.00-18.00, без  перерыва, сб., вс.-выходной
4	Государственное казенное учреждение Дирекция ЖКХиБ ЮВАО	г.Москва, ул.Трофимова, д.15	(495) 679-55-09	"	"
5	ЕИРЦ Зел.АО	г.Зеленоград, корп.406	(499) 736-61-33;  (499) 735-04-13	okno@z-eirc.ru	пн.-чт. 10.00-18.00, пт. 10.00-16.45, сб., вс.-выходной
6	Государственное казенное учреждение Дирекция ЖКХиБ ЗАО	г.Москва, ул.Кременчугская, д.7 корп. 2	(495) 437-10-20	"	"
7	Государственное казенное учреждение Дирекция ЖКХиБ СЗАО	г.Москва, ул.Туристская, д.16, корп.3	(495) 948-00-03	"	"
8	Филиал Государственного казенного учреждения Дирекции ЖКХиБ ЗАО	г.Москва, ул.Коштоянца, д.12	(499) 726-81-93;  (499) 726-86-31	kanc@komhozzao.ru	пн.-пт. - приём населения осуществляется по предварительной записи
9	Государственное казенное учреждение Дирекция ЖКХиБ  ЮЗАО	г.Москва, ул.Гарибальди, д.14	(499) 132-58-33	"	пн.-чт. 08.00-17.00 (перерыв 12.00-12.45) , пт. 8.00-15.45 (перерыв 12.00-12.45) , сб., вс. - выходной
10	Филиал Государственного казенного учреждения ДЗ ЖКХиБ ЮЗАО	г.Москва, ул.Миклухо-Маклая, д.44	(495) 335-17-25	dzuzao@bk.ru; guisuzao@mail.ru	пн.-чт. 08.00-17.00 (перерыв 12.00-12.45) , пт. 8.00-15.45 (перерыв 12.00-12.45) , сб., вс. - выходной
11	Государственное казенное учреждение Дирекция ЖКХиБ ЮАО	г.Москва, Варшавское ш., д.74, корп.3	(499) 794-57-36	"	"
12	Государственное казенное учреждение Дирекция ЖКХиБ САО	Москва, ул.Дубнинская, д.37 , корп.2	(499) 767-57-18	is200700@bk.ru	пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной
