№ строки	Название	Адрес	Телефон	Режим работы
1	Управление социальной защиты населения района Восточное Измайлово, ВАО	г. Москва, ул. Первомайская, д. 107 а	(495) 965-98-51, (495) 965-97-90	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
2	Управление социальной защиты населения района Гольяново, ВАО	г. Москва, Щелковское шоссе, д. 27	(499) 163-05-77, (499) 164-32-22	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
3	Управление социальной защиты населения района Ивановское, ВАО	г. Москва, Свободный пр-т, д. 19	(495) 918-45-10, (495) 918-93-21	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
4	Управление социальной защиты населения района Измайлово, ВАО	г. Москва, Заводской пр-д, д. 3	(499) 367-00-05, (499) 165-90-13	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
5	Управление социальной защиты населения района Новокосино, ВАО	г. Москва, ул. Новокосинская, д. 15, корп. 2	(495) 702-09-01, (495) 702-09-01	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
6	Управление социальной защиты населения района Перово, ВАО	г. Москва, ул. Металлургов, д. 23 а	(495) 304-44-00, (495) 304-44-16	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
7	Управление социальной защиты населения района Преображенское, ВАО	г. Москва, ул. Стромынка, д. 21 стр. 1	(499) 269-10-64, (499) 269-81-90	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
8	Управление социальной защиты населения района Северное Измайлово, ВАО	г. Москва, ул. 3-я Парковая, д. 44 Б	(499) 164-77-24, (499) 164-84-79	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
9	Управление социальной защиты населения района Соколиная гора, ВАО	г. Москва, Измайловское шоссе, д. 15	(495) 366-07-77, (495) 366-04-10	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
10	Управление социальной защиты населения района Сокольники, ВАО	г. Москва, 2-й Полевой пер., д. 2	(499) 268-69-34, (499) 268-06-48	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
11	Управление социальной защиты населения района Восточный, ВАО	г. Москва, ул. 9 Мая, д. 14 а	(499) 780-17-40, (499) 780-55-14	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
12	Управление социальной защиты населения Центрального административного округа г. Москвы	г. Москва, Переяславский пер., д.6	(499) 763-18-39, (499) 763-19-17	пн 08.00-17.00, ср 08.00-17.00, перерыв 13.00-14.00
13	Управление социальной защиты населения района Арбат, ЦАО	г. Москва, Трубниковский переулок, дом 21, строение 3	(495) 691-02-21; (495) 691-51-83	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
14	Управление социальной защиты населения Басманного района, ЦАО	г. Москва, Гороховский пер., д. 5, стр.11	(499) 267-63-00, (499) 261-25-09	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
15	Управление социальной защиты населения Красносельского района, ЦАО	г. Москва, ул. Краснопрудная, д. 13	(499) 264-71-85	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
16	Управление социальной защиты населения Мещанского района, ЦАО	г. Москва, Переяславский пер., д. 6	(499) 763-19-35, (499) 763-18-42	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
17	Управление социальной защиты населения Пресненского района, ЦАО	г. Москва, Улица 1905 года, д. 5	(499) 256-24-11, (499) 256-67-40	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
18	Управление социальной защиты населения района Замоскворечье, ЦАО	г. Москва, ул. Люсиновская, д. 43	(499) 764-53-23, (499) 764-51-84	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
19	Управление социальной защиты населения района Хамовники, ЦАО	г. Москва, Комсомольский пр-т, д. 5/2	(499) 246-83-43, (499) 246-76-32	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
20	Управление социальной защиты населения района Якиманка, ЦАО	г. Москва, ул. Малая Полянка, д. 4/6	(499) 238-11-57	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
21	Управление социальной защиты населения Таганского района, ЦАО	г. Москва, ул.Воронцовская, д. 21	(495) 912-27-03, (495) 912-77-16	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
22	Управление социальной защиты населения Тверского района, ЦАО	г. Москва. 4-й Самотечный переулок, д.9	(495) 688-18-33, (495) 631-61-87	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
23	Управление социальной защиты населения Северного административного округа г. Москвы	г. Москва, ул. Дубнинская, д. 26, корп. 1	(499) 900-42-33, (499) 900-41-88	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
24	Управление социальной защиты населения Бескудниковского района, САО	г. Москва, ул. Дубнинская, д. 31	(499) 219-31-50, (499) 481-95-22	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
25	Управление социальной защиты населения Войковского района, САО	г. Москва, 2-ой Новоподмосковный переулок, д. 5	(499) 159-22-91, (499) 159-26-38	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
26	Управление социальной защиты населения Головинского района, САО	г. Москва, ул. Онежская, д. 9/4, корп. А.	(499) 153-30-77, (499) 154-72-52	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
27	Управление социальной защиты населения Дмитровского района, САО	г. Москва, Дмитровское ш., д. 115, корп. 1	(495) 485-68-26, (495) 485-15-27	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
28	Управление социальной защиты населения района Аэропорт, САО	г. Москва, Большой Коптевский проезд, 4	(499) 152-85-17, (499) 152-15-08	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
29	Управление социальной защиты населения района Беговой, САО	г. Москва, ул. М. Расковой, д. 16/26, корп. 3	(495) 612-20-19, (495) 614-86 -03	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
30	Управление социальной защиты населения района Восточное Дегунино, САО	г. Москва, Керамический пр-д, д. 57, корп.1	(499) 900-44-72, (499) 900-44-18	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
31	Управление социальной защиты населения района Западное Дегунино, САО	г. Москва, ул. Дегунинская, д. 1, корп. 1	(495) 489-72-98	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
32	Управление социальной защиты населения района Коптево, САО	г. Москва, ул. Космонавта Волкова, д. 27	(499) 156-06-90, (499) 156-05-80	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
33	Управление социальной защиты населения района Левобережный, САО	г. Москва, ул. Беломорская, д.5, корп.3	(495) 458-80-49, (495) 457-51-02	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
34	Управление социальной защиты населения района Сокол, САО	г. Москва Чапаевский переулок д.18/1	(499)-195-92-96, (499) 195-91-17	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
35	Управление социальной защиты населения района Ховрино, САО	г. Москва , ул. Онежская, д. 53, корп. 4 а	(495) 453-31-91, (495) 454-01-26	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
36	Управление социальной защиты населения Тимирязевского района, САО	г. Москва, Дмитровское ш., д. 5, корп. 1	(499) 976-71-56, (499) 976-79-33	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
37	Управление социальной защиты населения Хорошевского района, САО	г. Москва, Хорошевское шоссе, д. 68, корп. 5	(499)-195-81-02, (499)-195-30-17	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
38	Управление социальной защиты населения Савеловского района, САО	г. Москва, ул. Верхняя Масловка, д. 24	(495) 614-89-60, (495) 614-86-10	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
39	Управление социальной защиты населения Северо-Восточного административного округа г. Москвы	г. Москва, ул. Коминтерна, д. 20/2	(499) 184-42-66, (499) 184-41-81	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
40	Управление социальной защиты населения Алексеевского района, СВАО	г. Москва, ул. Космонавтов, д. 4	(495) 686-05-81, (495) 683-67-12	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
41	Управление социальной защиты населения Алтуфьевского района, СВАО	г. Москва, проезд Черского, д. 1	(499) 766-64-41	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
42	Управление социальной защиты населения Бабушкинского района, СВАО	г. Москва, ул. Верхоянская, д.10	(495) 470-30-76, (495) 470-34-43	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
43	Управление социальной защиты населения Бутырского района, СВАО	г. Москва, ул. Бутырская, д. 84	(499) 760-95-63, (499) 760-89-21	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
44	Управление социальной защиты населения Лосиноостровского района (в том числе обслуживание района Свиблово), СВАО	г. Москва, ул. Рудневой, д. 6	(495) 471-08-33, (495) 471-18-81	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
45	Управление социальной защиты населения района Бибирево, СВАО	г. Москва, ул. Плещеева, д. 7Б	(495) 405-65-49, (495) 405-65-49	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
46	Управление социальной защиты населения района Лианозово, СВАО	г. Москва, Алтуфьевское ш., д. 87	(499) 200-60-08, (499) 200-60-08	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
47	Управление социальной защиты населения района Марьина Роща, СВАО	г. Москва, шоссе Старомарьинское, д. 15	(495) 619-49-01, (495) 619-49-01	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
48	Управление социальной защиты населения района Отрадное, СВАО	г. Москва, ул. Римского-Корсакова, д. 16	(499) 204-33-17, (499) 202-10-88	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
49	Управление социальной защиты населения района Ростокино, СВАО	г. Москва, ул. Докукина, д. 11 стр.2	(495) 187-36-10, (495) 187-45-28	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
50	Управление социальной защиты населения района Северное Медведково, СВАО	г. Москва, ул. Грекова, д. 7	(499) 476-25-24, (495) 478-40-91	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
51	Управление социальной защиты населения района Южное Медведково, СВАО	г. Москва, пр-д Дежнева, д. 34	(495) 477-10-10, (499) 790-30-04	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
52	Управление социальной защиты населения Ярославского района, СВАО	г. Москва, ул. Палехская, д. 14	(499) 188-70-74, (499) 188-78-16	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
53	Управление социальной защиты населения Восточного административного округа г. Москвы	г. Москва, ул. Буженинова, д. 12	(495) 963-01-72, (495) 964-90-05	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
