№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Доп. информация
1	Государственное  казенное   учреждение здравоохранения города Москвы «Психоневрологический диспансер № 1    Департамента здравоохранения города Москвы»	119285, Москва, ул. Мосфильмовская, д.6	"	Забелина Ирина Николаевна	(499) 143-4920	(499) 143-4920	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. клин.. б-це № 1 им. Н.А.Алексеева»
2	Государственное   казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 2   Департамента  здравоохранения   города Москвы»	121099, Москва, Смоленская площадь, д. 13/21	"	Штангаров Борис Львович	(499) 143-4920	(499) 143-4920	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. клин. б-це № 1 им. Н.А.Алексеева»
3	Государственное   казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 3   Департамента  здравоохранения   города Москвы»	125362, Москва, ул. Циолковского, д.5	"	Беликов Михаил Иванович	(495) 491-6966	(495) 491-6944	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. б-це № 4 им. П.Б. Ганнушкина»
4	Государственное   казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 4   Департамента  здравоохранения   города Москвы»	125493, Москва, ул. Смольная, д.5	"	Прытова Елена Борисовна	(495) 452-4290	(495) 452-5801	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. б-це № 4 им. П.Б. Ганнушкина»
5	Государственное   казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 5  Департамента  здравоохранения   города Москвы»	125422, Москва, ул. Костякова, д.8/6	"	Волков Лев Зигмундович	(499) 976-1100	(499) 976-1591	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. б-це № 4 им. П.Б. Ганнушкина»
6	Государственное   казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 7  Департамента  здравоохранения   города Москвы»	125362, Москва, ул. Циолковского, д.5	"	Ефанова Наталья Николаевна	(495) 602-1331	(495) 602-1331	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. клин.. б-це № 15»
7	Государственное   казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 8   Департамента  здравоохранения   города Москвы»	107258, Москва, ул. Игральная, д.8	"	Грудочкина Ирина Витальевна	(499) 169-4000	(499) 169-4000	С 01.09.2012г. присоединяется к  «Псих.б-це № 3 им. В.А. Гиляровского»
8	Государственное  казенное   учреждение здравоохранения города Москвы «Психоневрологический диспансер № 9   Департамента  здравоохранения   города Москвы»	105275, Москва, Окружной проезд, д.34	"	и.о. Холодова Елена Михайловна	(495) 365-1058	(495) 918-2400	С 01.09.2012г. присоединяется к  «Псих.б-це № 3 им. В.А. Гиляровского»
9	Государственное  казенное  учреждение здравоохранения города Москвы «Психоневрологический диспансер № 11   Департамента здравоохранения города Москвы»	109029, Москва, ул. Средняя Калитниковская, д. 29	"	и.о. Подкопаев Игорь Сергеевич	(495) 670-8518	(495) 911-1734	С 01.09.2012г. присоединяется к  «Псих.б-це № 13»
10	Государственное  казенное  учреждение здравоохранения города Москвы Психоневрологический диспансер № 10   Департамента здравоохранения города Москвы»	109193, Москва, ул. Петра Романова, д.2	"	Зязин Юрий Иванович	(495) 679-3955	(495) 679-3800	С 01.09.2012г. присоединяется к  ГКУЗ «Псих. б-це № 14»
