№ строки	Название объекта	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
11	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат V вида № 60	117186, город Москва, улица Нагорная, дом 22, корпус 1	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	127-66-14	http://shin60@mosuzedu.ru
12	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат IV вида № 5	129226 г.Москва, 2-й Сельскохозяйственный проезд, дом 2	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	(499) 181-35-62	http://spschi5.svao.mskobr.ru
13	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа - интернат v вида № 45	129272 г. Москва, Олимпийский пр-т, д.11	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	(495) 689-42-56	http://inter45.ucoz.ru
14	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат II вида № 10	111539,г. Москва, ул. Реутовская, дом 22 Б	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	370-00-89	http://www.shkola10inter.ru
15	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VI вида № 20	109651, г. Москва, Новочеркасский бульвар, д. 28	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	356-34-31	http://schkg20.mskobr.ru/
16	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат I вида № 37	119034 г. Москва, Пречистенская набер., д.1	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	(499) 246-56-31; (499) 246-82-09; (499) 245-28-38	http://sch37.ru
17	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная)общеобразовательная школа-интернат II вида № 30 имени К.А. Микаэльяна	107076, г. Москва, ул. Олений вал, дом 22	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	603-07-33	http://schi30.mskobr.ru/
18	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VIII вида № 108	119331, г. Москва, ул. Крупской, дом 9	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	138-53-29	http://int108.ru
19	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VIII вида № 35	127055 г. Москва, Новосущевская ул., д 7 и 20	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	(499) 978-14-78; (499) 978-26-73; (499) 978-88-46; (499) 978-69-64; (499) 978-28-08	http://spschi35.svao.mskobr.ru/
20	Государственное бюджетное образовательное учреждение города Москвы специальная  (коррекционная) общеобразовательная школа-интернат II вида № 52	125040 г. Москва,  ул. Расковой, дом 20А, строение 1	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	614-94-56	http://52school.ru
21	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VI вида № 44	119634  г.Москва, ул. Федосьинская, д. 20	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	(499) 737-99-57; (499) 737-99-62; (499) 737-99-59	http://spsch44.mskzapad.ru
22	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат III-IV видов № 1	129626 г. Москва, ул. 3-я Мытищинская, дом 5	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	687-55-01	http://unischool.ru/
23	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат V вида № 96	125445, г. Москва ул. Смольная, дом 75	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	(495) 457-65-41	http://www.internat96.narod.ru
24	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа - интернат VIII вида № 7	124536, г. Москва, Зеленоград, Никольский проезд, дом 3	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	(499) 734-27-83; (499) 734-69-07	http://i7.zouo.ru/
25	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VIII вида № 81	127422, г. Москва, ул. Тимирязевская, д. 21	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	(495) 610-20-09	http://souo-mos.ru/~schi81/
26	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VII вида № 73	117638 г. Москва, Нахимовский пр-т, д. 6	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	(499) 613-97-09	http://sch73.ru/
27	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат IV  вида № 2	125315, г. Москва, Большой Коптевский проезд, д. 5	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	(499) 152-64-61	http://schsi2.mskobr.ru/
28	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VIII вида № 105	109518 Саратовская улица, 21, стр.1	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	179-70-28	http://internat105.ucoz.ru/
29	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат I и  II видов № 101	123103, г. Москва, улица Паршина, д. 39	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа-интернат	(499) 720-39-05	http://sites.google.com/site/scoshi101
