1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
1;Государственное бюджетное учреждение культуры города Москвы «Московский хоровой ансамбль духовной музыки «Благовест»                                                                                                                                          ;ГБУК г.Москвы «Московский хоровой ансамбль духовной музыки «Благовест»                                                                                                                                                                                        ;103009, г.Москва, Брюсов пер., д.8/10 стр.1                                                                                                                                                                                                                   ;6957,6116;10334,79508;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Тверской                                                                                                                                                                                                                                                      ;103009, г.Москва, Брюсов пер., д.8/10 стр.1                                                                                                                                                                                                                   ;(499) 152-24-04                                                                                                                                                                                                                                               ;(499) 152-24-04                                                                                                                                                                                                                                               ;blagovest-ensemble.ru                                                                                                                                                                                                                                         ;lvkoro@mail.ru                                                                                                                                                                                                                                                
2;Государственное бюджетное учреждение культуры города Москвы «Творческое объединение по эстетическому воспитанию молодежи «Музыкальная юность»                                                                                                                 ;ГБУК г.Москвы «Творческое объединение по эстетическому воспитанию молодежи «Музыкальная юность»                                                                                                                                                               ;121099, г.Москва, 2-й Смоленский пер., д.1/4                                                                                                                                                                                                                  ;5212,3;8911,080732;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Мещанский                                                                                                                                                                                                                                                     ;129110, г.Москва, пр-т Мира, д.52 стр.3                                                                                                                                                                                                                       ;(499) 241-40-62, (499) 241-39-09                                                                                                                                                                                                                              ;(499) 241-39-09                                                                                                                                                                                                                                               ;muzyunost.ru                                                                                                                                                                                                                                                  ;muzyunost@mail.ru                                                                                                                                                                                                                                             
3;Государственное бюджетное учреждение культуры города Москвы «Хор солистов»                                                                                                                                                                                    ;ГБУК г.Москвы «Хор солистов»                                                                                                                                                                                                                                  ;129110, г.Москва, пр-т Мира, д.25 стр.1                                                                                                                                                                                                                       ;8399,192225;12500,54273;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Мещанский                                                                                                                                                                                                                                                     ;129110, г.Москва, пр-т Мира, д.25 стр.1,2                                                                                                                                                                                                                     ;(499) 241-05-75                                                                                                                                                                                                                                               ;(499) 241-05-75                                                                                                                                                                                                                                               ;office@arthor.ru                                                                                                                                                                                                                                              ;horsolistov@cumail.ru                                                                                                                                                                                                                                         
4;Государственное бюджетное учреждение культуры города Москвы «Хор солистов»                                                                                                                                                                                    ;ГБУК г.Москвы «Хор солистов»                                                                                                                                                                                                                                  ;129110, г.Москва, пр-т Мира, д.25 стр.2                                                                                                                                                                                                                       ;8369,4827;12507,97685;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Мещанский                                                                                                                                                                                                                                                     ;129110, г.Москва, пр-т Мира, д.25 стр.1,2                                                                                                                                                                                                                     ;(499) 241-05-75                                                                                                                                                                                                                                               ;(499) 241-05-75                                                                                                                                                                                                                                               ;office@arthor.ru                                                                                                                                                                                                                                              ;horsolistov@cumail.ru                                                                                                                                                                                                                                         
5;Государственное бюджетное учреждение культуры города Москвы «Государственный центральный концертный зал «Россия»                                                                                                                                              ;ГБУК г.Москвы «Государственный центральный концертный зал «Россия»                                                                                                                                                                                            ;119048, г.Москва, ул. Лужники, д.24 стр.2                                                                                                                                                                                                                     ;3099,289883;6160,238279;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Хамовники                                                                                                                                                                                                                                                     ;127495, г.Москва, ул. Варварка, д.6                                                                                                                                                                                                                           ;(495) 637-06-35, (495) 637-02-86                                                                                                                                                                                                                              ;(495) 637-02-86                                                                                                                                                                                                                                               ;rossia-hall.ru                                                                                                                                                                                                                                                ;info@rossia-hall.ru                                                                                                                                                                                                                                           
6;Государственное бюджетное учреждение культуры города Москвы «Театр миниатюр под руководством Евгения Петросяна»                                                                                                                                               ;ГБУК г.Москвы «Театр миниатюр под руководством Евгения Петросяна»                                                                                                                                                                                             ;107031, г.Москва, ул. Петровка, д.26 стр.2                                                                                                                                                                                                                    ;7466,185775;10996,78819;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Беговой                                                                                                                                                                                                                                                       ;125040, г.Москва, Ленинградский пр-т, д.30 стр.2                                                                                                                                                                                                              ;(495) 625-07-95, (495) 625-72-62                                                                                                                                                                                                                              ;(495) 625-72-62                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;ofice.petrosyan@gmail.com                                                                                                                                                                                                                                     
7;Государственное бюджетное учреждение культуры города Москвы «Вокальный ансамбль п\р В. Рыбина «Мужской камерный хор»                                                                                                                                          ;ГБУК г.Москвы «Вокальный ансамбль п\р В. Рыбина «Мужской камерный хор»                                                                                                                                                                                        ;107023, г.Москва, пл. Журавлева, д.1 стр.1                                                                                                                                                                                                                    ;12975,3001;13042,55843;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Тверской                                                                                                                                                                                                                                                      ;109012, г.Москва, ул. Варварка, д.2                                                                                                                                                                                                                           ;(495) 963-54-11, (495) 963-54-18                                                                                                                                                                                                                              ;(495) 963-54-11                                                                                                                                                                                                                                               ;moschorus.ru                                                                                                                                                                                                                                                  ;mos-chorus@list.ru                                                                                                                                                                                                                                            
8;Государственное бюджетное учреждение культуры города Москвы «Центр оперного пения под руководством Галины Вишневской»                                                                                                                                         ;ГБУК г.Москвы «Центр оперного пения под руководством Галины Вишневской»                                                                                                                                                                                       ;119034, г.Москва, ул. Остоженка, д.25 стр.1                                                                                                                                                                                                                   ;6241,864548;8142,17395;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Хамовники                                                                                                                                                                                                                                                     ;119034, г.Москва, ул. Остоженка, д.25 стр.1                                                                                                                                                                                                                   ;(495) 637-77-03                                                                                                                                                                                                                                               ;(495) 637-54-64                                                                                                                                                                                                                                               ;opera-centre.ru                                                                                                                                                                                                                                               ;buh@opera-centre.ru                                                                                                                                                                                                                                           
9;Государственное бюджетное учреждение культуры города Москвы «Московский международный Дом музыки»                                                                                                                                                             ;ГБУК г.Москвы «Московский международный Дом музыки»                                                                                                                                                                                                           ;115054, г.Москва, Космодамианская наб., д.52 стр.8                                                                                                                                                                                                            ;9318,427467;7381,274026;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Замоскворечье                                                                                                                                                                                                                                                 ;115054, г.Москва, Космодамианская наб., д.52 стр.8                                                                                                                                                                                                            ;(495) 730-81-35, (495) 730-22-27                                                                                                                                                                                                                              ;(495) 730-18-53                                                                                                                                                                                                                                               ;mmdm.ru                                                                                                                                                                                                                                                       ; mail@mmdm.ru                                                                                                                                                                                                                                                 
10;Государственное бюджетное учреждение культуры города Москвы «Симфонический оркестр Москвы «Русская филармония»                                                                                                                                                ;ГБУК г.Москвы «Симфонический оркестр Москвы «Русская филармония»                                                                                                                                                                                              ;115054, г.Москва, Космодамианская наб., д.52 стр.8                                                                                                                                                                                                            ;9318,427467;7381,274026;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Замоскворечье                                                                                                                                                                                                                                                 ;115054, г.Москва, Космодамианская наб., д.52 стр.8                                                                                                                                                                                                            ;(495) 730-15-61, (495) 730-15-60                                                                                                                                                                                                                              ;(495) 730-15-60                                                                                                                                                                                                                                               ;orchestra.ru                                                                                                                                                                                                                                                  ; mail@mmdm.ru                                                                                                                                                                                                                                                 
