1_Адрес;1_Телефон;1_Ф.И.О. управляющего;1_Время работы
Рассветная ал., вл. 10;8(901)547-56-76;Храмешина Наталья Валентиновна;Ежедневно, с 10-00 до 20-00
г. Зеленоград, Фирсановское ш., пр-д № 5500;8(906)046-26-87;Маркина Александра Александровна;Ежедневно, круглосуточно (по согласованию с управляющим)
ул. 6-я Радиальная - ул. Дуговая;8(985)967-54-59;"БАНО ""ЭКО""";Ср, Сб, Вс, с 12-00 до 18-00 (для волонтеров, имеющих пропуска)
ул. 1-й Маевки, 7А;8(985)967-54-59;"БАНО ""ЭКО""";Ср, Сб, Вс, с 12-00 до 18-00 (для волонтеров, имеющих пропуска)
Машкинское ш., вл. 4;8(915)316-08-39;Данильченко Вячеслав Анатольевич;Вт - Вс, с 10-00 до 18-00, Пн - санитарный день
Молжаниновский р-н, 75 км МКАД, Проектируемый пр-д № 727;8(926)331-87-68;Рукавицына Ирина Александровна;Вт - Вс, с 10-00 до 18-00, Пн - санитарный день
пр. Дубовой Рощи, вл. 23-25;8(916)712-63-33 8(916)712-44-47;Джихаев Валерий Леонтьевич;Ежедневно, круглосуточно (посещения 2 раза в неделю по согласованию с управляющим)
ул. Искры, д. 23А;8(916)712-63-33 8(916)712-44-47;Джихаев Валерий Леонтьевич;Ежедневно, круглосуточно (посещения 2 раза в неделю по согласованию с управляющим)
ул. Красной Сосны*;8(968)759-59-16;*Алиса (волонтер) - до определения упр. организации;Ежедневно, с 10-00 до 19-00
"промзона ""Руднево"", Проектируемый пр-д № 265";8(985)281-92-86;Токмачева Елена Алексеевна;Ср - Вс, с 12-00 до 18-00, Пн, Вт - санитарный день
2-я Вольская ул., вл. 17, стр. 3;8(985)967-54-59;"БАНО ""ЭКО""";Ср, Сб, Вс, с 12-00 до 18-00 (для волонтеров, имеющих пропуска)
"промзона ""Курьяново"", Проектируемый пр-д № 5112, вл. 1-3";8(985)967-54-59;"БАНО ""ЭКО""";Ср, Сб, Вс, с 12-00 до 18-00 (для волонтеров, имеющих пропуска)
ул. Пруд Ключики - Андроновское ш.;8(495)361-46-29 8(926)658-77-75 8(916)403-38-78 ;Бычкова Людмила Васильевна;Ежедневно, круглосуточно (по согласованию с управляющим)
ул. Привольная, д. 12;8(495)762-27-60 8(495)741-32-98;Тараскина Дарья Сергеевна ;Ежедневно, круглосуточно (по согласованию с управляющим)
Востряковский пр-д, вл. 10А;8(985)967-54-59;"БАНО ""ЭКО""";Ср, Сб, Вс, с 12-00 до 18-00 (для волонтеров, имеющих пропуска)
р-н Ю. Бутово, п. Щербинка, Проектируемый проезд № 828;8(985)967-54-59;"БАНО ""ЭКО""";Ср, Сб, Вс, с 12-00 до 18-00 (для волонтеров, имеющих пропуска)
ул. Родниковая, вл. 26;8(926)909-06-72;Масло Игорь Александрович;Ср, Сб, Вс, с 10-00 до 16-00
