0_OBJECTID;0_UIDNFTN;0_Код;0_АС УР OLD_ID;0_Наименование объекта;1_Адресный ориентир;1_Стоимость посещения;0_Координата X;0_Координата Y;0_УНОМ БТИ;0_ID спортивной зоны/зоны отдыха;0_Тип спортивной зоны/зоны отдыха;0_Название спортивной зоны/зоны отдыха;1_Наличие проката оборудования и инвентаря (да/нет);1_Время работы;1_Тип покрытия;1_Освещение;1_Наличие бесплатных занятий (да/нет);1_Стоимость проката оборудования и инвентаря (указать наименование);0_Уточненные координаты (широта);0_Уточненные координаты  (долгота);0_ID объекта;0_Тип объекта;1_Ведомственная принадлежность;1_Округ;1_Район;1_Наличие сервиса технического обслуживания инвентаря (да/нет);1_Наличие раздевалки (да/нет);1_Наличие звукового сопровождения (да/нет);1_Наличие точки питания (да/нет);1_Наличие туалета (да/нет);1_Наличие точки доступа в интернет, Wi-Fi (да/нет);1_Наличие банкомата (да/нет);1_Наличие медпункта (да/нет);1_ОГРН эксплуатирующей организации;1_Наименование эксплуатирующей организации, предоставляющей услугу по спортивной зоне/зоне объекта;1_Телефон эксплуатирующей организации;1_Сайт эксплуатирующей организации;1_Электронная почта эксплуатирующей организации;0_Статус;0_Комментарии
1;590;590;DK____274;"Скалодром в ПКиО ""Перовский""";ул. Лазо, вл.7;временно на ремонте;17459,423;8020,139;;0;скалодром;;нет;будни с 11.00-21.00,выходные с 9.00-23.00;специальное;без освещения;да;нет;;;0;плоскостные спортивные сооружения;Департамент культуры города Москвы;ВАО;Перово;нет;да;нет;нет;нет;да;нет;нет;"1027700441746
";"ГАУК г.Москвы ""ПКиО ""Перовский""";"8(495)368-26-21
";"http://perovskiypark.ru
";"ppkio@mail.ru
";Подтверждено;
2;3564;3564;DOGM__2972;"Государственное бюджетное образовательное учреждение города Москвы дом детского и юношеского туризма и экскурсий ""Родина"" имени А.А. Остапца-Свешникова";Восточный / Ивановское / Челябинская ул. / Дом- 5Б;бесплатно;20319,7072;12421,3965;2116321;10403;скалодром;"Площадка ""Скалодром""";нет;будни с 08:00 до 20:00, выходные с 08:00 до 20:00;специальное;уличные столбы освещения;да;нет;нет данных;нет данных;10403;учреждения (центры) дополнительного образования;Департамент образования города Москвы;ВАО;Ивановское;нет;нет;нет;нет;нет;нет;нет;нет;1037739193084;"ГБОУ ДДЮТЭ ""Родина""";(499) 308-40-03;rodina.dop.mskobr.ru;rodinavao@mail.ru;нет данных;
3;6274;6274;UVAO__92;"Региональная общественная организация ""СК""Горизонт""";ул. Маршала Кожедуба 14;250;18466,1646;678,8629;"303845
";102217;скалодром;;нет;16-20;специальное;лампы дневного освещения;да;нет;;;17230;физкультурно-оздоровительные комплексы;муниципалитет;ЮВАО;Люблино;нет;да;да;нет;да;нет;нет;нет;"1067799009244
";"Региональная общественная организация СК""Горизонт""";"+7 (495) 658 5031
";skgorizont.ru;"skginfo@yandex.ru
";Подтверждено;
5;5;;;"«Скалатории»
";"ул. Летниковская, д. 4, стр. 2
";"350р.
";9164,8384;6731,2905;;;"Скалодром
";нет данных;"да
";"8.00 до 23.00
";"специальное покрытие
";"смешанное освещение
";"нет
";нет данных;нет данных;нет данных;;"спортивный комплекс
";"нет данных
";"ЦАО
";"Замоскворечье
";"да
";"да
";"да
";"да
";"да
";"да
";нет;нет;нет данных;нет данных;"(495) 642-58-78
";"http://www.skalatoria.ru/
";"info@skalatoria.ru
";нет данных;
6;6;;;"Скалодром в «Двореце детского спорта»
";"ул. Рабочая, д. 53
";нет данных;12077,5917;8235,6419;;;Скалодром;;"да
";"18.00 до 22.00
";"специальное покрытие
";смешанное освещение;да;;;;;физкультурно-оздоровительные комплексы;нет данных;ЦАО;Таганский;"да
";"да
";нет;нет;нет;нет;нет;нет;нет данных;нет данных;"(495) 670-21-70
";"http://dds-sport.ru/
";"нет данных
";;
9;9;;;"""Скала сити""
";"Кутузовский проспект, дом 36, строение 3
";500;1764,7207;8127,0726;;;Скалодром;;да;15.00 до 23.30;"специальное покрытие
";"смешанное освещение
";"нет
";;;;;"спортивный комплекс
";"нет данных
";"ЗАО
";"Дорогомилово
";да;да;нет;да;да;нет;нет;нет;;;"(495) 980 06 68
";"http://www.skala-city.ru/
";;;
8;8;;;"Скалолазный центр Rock Zona
";"проспект Андропова, 22
";"нет данных
";10310,7164;1752,6274;;;"Скалодром
";;да;"нет данных
";"специальное покрытие
";смешанное освещение;"нет
";;;;;"физкультурно-оздоровительные комплексы
";"нет данных
";ЮАО;"Нагатино-садовники
";да;да;нет;да;да;да ;нет;нет;"нет данных
";"нет данных
";"(499) 409-16-90
";"нет данных
";"нет данных
";;
10;10;;;"Скалодром Marina Club
";"Ленинградское шоссе, дом 25а стр.4
";нет данных;-1275,9989;17862,4582;;;"Скалодром
";нет данных;да;"с 11.00 до 22.00
";"специальное покрытие
";"смешанное освещение
";"нет
";нет данных;нет данных;нет данных;;"физкультурно-оздоровительные комплексы
";"нет данных
";СЗАО;"Покровское-Стрешнево
";да;да;да;да;да;нет;нет;нет;"нет данных
";"нет данных
";"(495) 363-60-61
";"http://www.marina-club.ru/
";"нет данных
";нет данных;
11;11;;;"Скалодром Red Point
";"улица Вятская, дом 27, корпус 12
";380;5181,2126;14485,2697;;;"Скалодром
";;да;"18:00 до 23:00
";"специальное покрытие
";"смешанное освещение
";"нет
";;;;;"физкультурно-оздоровительные комплексы
";;"САО
";"Савеловский
";да;да;нет;да;да;да;нет;нет;;;"(985) 967-58-68
";"http://redpoint.msk.ru/
";"tbr@baurock.ru
";;
12;12;;;"BigWall
";"ул. Бумажный проезд, д.19 стр.1 
";450;5484,2294;13627,5508;;;"Скалодром
";;да;нет данных;"специальное покрытие
";"смешанное освещение
";"нет
";;;;;"физкультурно-оздоровительные комплексы
";"нет данных
";"САО 
";"Беговой
";да;да;да;да;да;да;нет;нет;"нет данных
";"нет данных
";"(499) 653 60 30
";"http://www.bigwallsport.ru/
";"нет данных
";;
