0_OBJECTID;0_UIDNFTN;0_Код;0_АС УР OLD_ID;0_Наименование объекта;1_Адресный ориентир;1_Стоимость посещения;0_Координата X;0_Координата Y;0_УНОМ БТИ;0_ID спортивной зоны/зоны отдыха;0_Тип спортивной зоны/зоны отдыха;0_Название спортивной зоны/зоны отдыха;1_Наличие проката оборудования и инвентаря (да/нет);1_Время работы;1_Тип покрытия;1_Освещение;1_Наличие бесплатных занятий (да/нет);1_Стоимость проката оборудования и инвентаря (указать наименование);0_Уточненные координаты (широта);0_Уточненные координаты  (долгота);0_ID объекта;0_Тип объекта;1_Ведомственная принадлежность;1_Округ;1_Район;1_Наличие сервиса технического обслуживания инвентаря (да/нет);1_Наличие раздевалки (да/нет);1_Наличие звукового сопровождения (да/нет);1_Наличие точки питания (да/нет);1_Наличие туалета (да/нет);1_Наличие точки доступа в интернет, Wi-Fi (да/нет);1_Наличие банкомата (да/нет);1_Наличие медпункта (да/нет);1_ОГРН эксплуатирующей организации;1_Наименование эксплуатирующей организации, предоставляющей услугу по спортивной зоне/зоне объекта;1_Телефон эксплуатирующей организации;1_Сайт эксплуатирующей организации;1_Электронная почта эксплуатирующей организации;0_Статус;0_Комментарии
25;2711;2711;;;Щербаковская ул.  дом 36А;бесплатно;14688,9801;12823,1517;2138283;;Автодром детский учебный;;Да; 9.00-21.00;асфальтовое, бетонное;уличные столбы освещения;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ВАО;Соколиная Гора;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1027700481654;ГБОУ СОШ №1947;(495) 366-68-00;schv1947.mskobr.ru;sc1947@yandex.ru;;являеться учебным детским автодромом
26;1417;1417;;;"ул. Маршала Тухачевского  дом 58; корп. 2";бесплатно;-2549,8959;13202,3592;2114733;;Автодром детский учебный;;Нет; 8:30-19:00;специальное;уличные столбы освещения;Да;Нет;;;;дошкольные учреждения;Департамент образования города Москвы;СЗАО;Хорошёво-Мневники;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1037739147929;Государственное образовательное учреждение гимназия №1517;(499) 720-25-67;gymsz1517.mskobr.ru;gym1517@szouo.ru;;являеться учебным детским автодромом
27;1783;1783;;ГБОУСОШ№1275;"ул. Достоевского  дом 25; Стр- 1";бесплатно;6811,7838;13003,8162;2111194;;Автодром детский учебный;ГБОУСОШ №1275;Нет; с 9:00 до 21:00;асфальтовое, бетонное;уличные столбы освещения;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЦАО;Тверской;Нет;Да;Нет;Нет;Да;Да;Нет;Да;1027739383760;ГБОУ СОШ №1275;(495) 684-30-30;schuc1275.mskobr.ru;sch1275@mail.ru;;являеться учебным детским автодромом
28;3792;3792;;;"ул. Маршала Василевского  дом 3; корп. 2";бесплатно;-1662,9898;15082,9808;2131121;;Автодром детский учебный;;Нет; будни с 08:00 до 20:00;асфальтовое, бетонное;без освещения;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;СЗАО;Щукино;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1127747122084;Государственное образовательное учреждение г. Москвы средняя образовательная школа №1874;(499) 193-53-58;1874.my1.ru;sch1874@szouo.ru;;являеться учебным детским автодромом
29;1457;1457;;;"ул. Свободы  дом 81; корп. 1";бесплатно;-3317,7559;21695,8756;2113829;;Автодром детский учебный;;Нет; будни с 15:00 до 20:00, выходные с 12:00 до 21:00;асфальтовое, бетонное;без освещения;Да;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;СЗАО;Северное Тушино;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1037739302776;ГБОУ лицей № 1571;(495) 492-35-11;нет;нет;;являеться учебным детским автодромом
30;2122;2122;;;ул. Бестужевых  дом 25Б;бесплатно;7225,3966;22794,4043;2103659;;Автодром детский учебный;;Нет; с 9.00 до 21.00;асфальтовое, бетонное;без освещения;Нет;бесплатно;;;;общеобразовательные учреждения;Департамент образования города Москвы;СВАО;Отрадное;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;1027700543551;ГБОУ СОШ № 606;(499) 204-05-04;schz606sv.mskobr.ru;sch606@yandex.ru;;являеться учебным детским автодромом
1;3034;3034;;;Широкая ул.  дом 16Д;бесплатно;10379,3925;24436,4848;2109146;;Автодром детский учебный;;Нет; будни с 10:00 до 19:00;асфальтовое, бетонное;уличные столбы освещения;Да;Нет;;;;дошкольные учреждения;Департамент образования города Москвы;СВАО;Северное Медведково;Да;Да;Да;Нет;Да;Да;Нет;Да;1037739130824;ГБОУЦРР-детский сад №1888;(499) 479-17-28;www.vsesadiki.ru/detskiy-sad-1888.html;dou1888@yandex.ru;;являеться учебным детским автодромом
2;1915;1915;;;ул. Лескова  дом 8А;бесплатно;6097,3301;25544,5638;2114128;;Автодром детский учебный;;Нет; 10:00 до 21:00;асфальтовое, бетонное;уличные столбы освещения;Да;бесплатно;;;;общеобразовательные учреждения;Департамент образования города Москвы;СВАО;Бибирево;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1037739094304;ГБОУ СОШ №254;(499) 909-80-38;sch254sv.mskobr.ru;shc254@yandex.ru;;являеться учебным детским автодромом
3;2846;2846;;;Зеленоград, пл. Колумба  дом 1;бесплатно;-19279,8784;35759,9459;2106520;;Автодром детский учебный;;Да; Ежедневно 09.00-20.00;асфальтовое, бетонное;уличные столбы освещения;Да;Нет;;;;учреждения (центры) дополнительного образования;Департамент образования города Москвы;ЗелАО;Старое Крюково;Нет;Нет;Да;Нет;Нет;Нет;Нет;Нет;1027739338615;ГБОУ ЗДТДиМ;(499) 731-14-61;www.dvtv.zou.ru;dvtv@zou.ru;;являеться учебным детским автодромом
4;435;435;;школа;"Воронежская ул.  дом 46; корп. 2";бесплатно;15955,4021;-6467,2548;2123144;;Автодром детский учебный;автогородок;Нет; с 8:00 до 21:00 суббота с 8:00 до 15:00;грунтовое;уличные столбы освещения;Нет;Нет;;;;общеобразовательные учреждения;Департамент образования города Москвы;ЮАО;Орехово-Борисово Южное;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;1027739613527;ГБОУ СОШ № 949;(495) 399-06-36;www.sch949.ru;sch949@sinergi.ru;;являеться учебным детским автодромом
