№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Контактный телефон	Факс	Сайт	Адрес электронной почты
1	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская художественная школа имени В.А.Ватагина»	129110, г.Москва, ул. Средняя Переяславская, д.7/2 стр.1	Центральный АО	Мещанский	129110, г.Москва, ул. Средняя Переяславская, д.7/2	(495) 681-82-00, (495) 681-85-69	(495) 631-46-90	artschool3.ru	artschool-3@yandex.ru
2	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская художественная школа имени В.А.Серова»	119034, г.Москва, ул. Пречистенка, д.32/1 стр.1	Центральный АО	Хамовники	119034, г.Москва, ул. Пречистенка, д.32/1 стр.1	(495) 637-47-68	(495) 637-47-68	serovartschool.ru	muradeli-sch@allnt.ru
3	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств «Старт» архитектурно-художественного профиля»	123242, г.Москва, ул. Зоологическая, д.18	Центральный АО	Пресненский	123242, г.Москва, ул. Зоологическая, д.18	(495) 605-99-46, (495) 605-99-42	(495) 605-99-42	startschool.narod.ru	startartschool@gmail.com
4	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская художественная школа №6»	127254, г.Москва, ул. Гончарова, д.9	Северо-Восточный АО	Бутырский	127254, г.Москва, ул. Руставели, д.3/12 стр.2	(495) 639-80-58, (495) 618-31-97	(495) 639-80-58	dhsh6.msk.muzkult.ru	dhsh6@mail.ru
5	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская художественная школа имени М.А.Врубеля»	107564, г.Москва, ул. Краснобогатырская, д.19 корп.1	Восточный АО	Богородское	107564, г.Москва, ул. Краснобогатырская, д.19 корп.1	(495) 963-24-31	(495) 963-24-31	dhsh8.ru	dhsh8@mail.ru
6	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская художественная школа имени И.Е.Репина»	111558, г.Москва, Зеленый пр-т, д.99	Восточный АО	Ивановское	111558, г.Москва, Зеленый пр-т, д.99	(495) 302-52-22, (495) 302-10-93, (495) 309-29-91	(495) 302-52-22	сайт в разработке	dxsh5@bk.ru
7	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская художественная школа имени И.Е.Репина»	111141, г.Москва, ул. 2-я Владимирская, д.56	Восточный АО	Ивановское	111558, г.Москва, Зеленый пр-т, д.99	(495) 302-52-22, (495) 302-10-93, (495) 309-29-91	(495) 302-52-22	сайт в разработке	dxsh5@bk.ru
8	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская художественная школа имени И.Е.Репина»	105568, г.Москва, ш. Энтузиастов, д.53	Восточный АО	Ивановское	111558, г.Москва, Зеленый пр-т, д.99	(495) 302-52-22, (495) 302-10-93, (495) 309-29-91	(495) 302-52-22	сайт в разработке	dxsh5@bk.ru
9	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская художественная школа №7»	105203, г.Москва, ул. Нижняя Первомайская, д.48/9	Восточный АО	Восточное Измайлово	105203, г.Москва, ул. Нижняя Первомайская, д.48/9	(495) 465-20-13	(495) 465-20-13	dhsh7.msk.muzkult.ru	hudschool7@gmail.com
10	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская художественная школа №2»	123423, г.Москва, ул. Народного Ополчения, д.7 корп.2	Северо-Западный АО	Хорошево-Мневники	123423, г.Москва, ул. Народного Ополчения, д.7 корп.2	(499) 199-01-22	(499) 199-01-22	dhsh2.ru	dhsh2@mail.ru
