0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Телефон;1_Сайт ;1_Подчинение
6640;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VIII вида № 105                                                                                                             ;ГБОУ СКОШИ № 105                                                                                                                                                                                                                                              ;109518 Саратовская улица, 21, стр.1                                                                                                                                                                                                                           ;15245,92918;5564,678258;2130130;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;179-70-28                                                                                                                                                                                                                                                     ;http://internat105.ucoz.ru/                                                                                                                                                                                                                                   ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
6780;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат I и  II видов № 101                                                                                                         ;ГБОУ СКОШИ № 101                                                                                                                                                                                                                                              ;123103, г. Москва, улица Паршина, д. 39                                                                                                                                                                                                                       ;-3007,662025;13463,49339;2114843;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;(499) 720-39-05                                                                                                                                                                                                                                               ;http://sites.google.com/site/scoshi101                                                                                                                                                                                                                        ;Северо-Западное окружное управление образования                                                                                                                                                                                                               
6875;Государственное бюджетное образовательное учреждение города Москвы Специальная (коррекционная) общеобразовательная школа-интернат II вида №22                                                                                                                 ;ГБОУ СКОШИ № 22                                                                                                                                                                                                                                               ;127006 Малая Дмитровка улица, д. 14А, стр. 5                                                                                                                                                                                                                  ;6828,521566;11482,65191;2111210;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;"(495) 699-94-18; (495) 699-61-12                                                                                                                                                                                                                              ";http://schic22.mskobr.ru/                                                                                                                                                                                                                                     ;Центральное окружное управление образования                                                                                                                                                                                                                   
6973;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат V вида № 60                                                                                                                 ;ГБОУ СКОШИ № 60                                                                                                                                                                                                                                               ;117186, город Москва, улица Нагорная, дом 22, корпус 1                                                                                                                                                                                                        ;37,602015;55,678735;2113486;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;127-66-14                                                                                                                                                                                                                                                     ;http://shin60@mosuzedu.ru                                                                                                                                                                                                                                     ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6878;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат I вида № 37                                                                                                                 ;ГБОУ СКОШИ № 37                                                                                                                                                                                                                                               ;119034 г. Москва, Пречистенская набер., д.1                                                                                                                                                                                                                   ;37,59828;55,735327;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;"(499) 246-56-31; (499) 246-82-09; (499) 245-28-38                                                                                                                                                                                                             ";http://sch37.ru                                                                                                                                                                                                                                               ;Центральное окружное управление образования                                                                                                                                                                                                                   
7548;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная)общеобразовательная школа - интернат VIII вида № 29                                                                                                             ;ГБОУ СКОШИ № 29                                                                                                                                                                                                                                               ;107076 Потешная улица, 5 а                                                                                                                                                                                                                                    ;12765,3751;14961,52199;2109427;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;963-12-20                                                                                                                                                                                                                                                     ;http://schi29.mskobr.ru                                                                                                                                                                                                                                       ;Восточное окружное управление образования                                                                                                                                                                                                                     
6876;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат V вида № 28                                                                                                                 ;ГБОУ СКОШИ V вида № 28                                                                                                                                                                                                                                        ;105066 Денисовский переулок, д. 6, стр.1                                                                                                                                                                                                                      ;10904,5501;10967,90046;2116411;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;261-76-78                                                                                                                                                                                                                                                     ;http://internat28.ru/                                                                                                                                                                                                                                         ;Центральное окружное управление образования                                                                                                                                                                                                                   
7550;Государственное бюджетное образовательное учреждение города Москвы специальная(коррекционная) общеобразовательная школа- интернат VI вида № 31                                                                                                                ;ГБОУ СКОШИ № 31                                                                                                                                                                                                                                               ;111395 г. Москва, ул. Молдагуловой, дом 6 А                                                                                                                                                                                                                   ;19537,30005;6701,048837;2121982;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;374-13-01                                                                                                                                                                                                                                                     ;http://www.internat31narod.ru                                                                                                                                                                                                                                 ;Восточное окружное управление образования                                                                                                                                                                                                                     
8741;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) школа-интернат для детей - сирот и детей, оставшихся без попечения родителей, с ограниченными возможностями здоровья VIII вида № 80                            ;ГБОУ СКШИ № 80                                                                                                                                                                                                                                                ;107150,г. Москва, ул. Лосиноостровская , дом 29, стр.1                                                                                                                                                                                                        ;13607,9799;17802,46115;2109424;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;160-16-01                                                                                                                                                                                                                                                     ;http://internat80.ru/                                                                                                                                                                                                                                         ;Восточное окружное управление образования                                                                                                                                                                                                                     
9005;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа - интернат VIII вида № 79                                                                                                            ;ГБОУ СКОШИ № 79                                                                                                                                                                                                                                               ;115093 1-й Павловский переулок, 7                                                                                                                                                                                                                             ;8407,2028;5528,900151;2118398;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;952-60-81                                                                                                                                                                                                                                                     ;http://sch79.edusite.ru                                                                                                                                                                                                                                       ;Южное окружное управление образования                                                                                                                                                                                                                         
8526;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VIII вида № 102                                                                                                             ;ГБОУ СКОШИ VIII вида № 102                                                                                                                                                                                                                                    ;129343, г. Москва, проезд Нансена, дом 14                                                                                                                                                                                                                     ;9650,318675;20821,85378;2124964;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;"(499) 180-45-96; (499) 180-70-05; (499) 180-98-59                                                                                                                                                                                                             ";http://www.скоши102.рф                                                                                                                                                                                                                                        ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
8525;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа - интернат VIII вида № 68                                                                                                            ;ГБОУ СКОШИ №68                                                                                                                                                                                                                                                ;117335 Архитектора Власова улица, 19,к.4                                                                                                                                                                                                                      ;3343,12625;1026,386315;2108333;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;128-18-22                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6639;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат I вида № 65                                                                                                                 ;ГБОУ СКОШИ № 65                                                                                                                                                                                                                                               ;109518, г. Москва, Саратовская улица, дом 19                                                                                                                                                                                                                  ;15019,52505;5454,352925;2130131;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;179-66-81                                                                                                                                                                                                                                                     ;http://schuvc65.mskobr.ru                                                                                                                                                                                                                                     ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
6972;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VI вида № 17                                                                                                                ;ГБОУ СКОШИ № 17                                                                                                                                                                                                                                               ;117393, г. Москва, ул. Профсоюзная, дом № 62                                                                                                                                                                                                                  ;3233,507;-10,49782961;2801219;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;128-78-78                                                                                                                                                                                                                                                     ;http://shkola-internat17.narod.ru                                                                                                                                                                                                                             ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
7114;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат IV вида № 5                                                                                                                 ;ГБОУ СКОШИ IV вида № 5                                                                                                                                                                                                                                        ;129226 г.Москва, 2-й Сельскохозяйственный проезд, дом 2                                                                                                                                                                                                       ;9139,45375;18635,7855;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;(499) 181-35-62                                                                                                                                                                                                                                               ;http://spschi5.svao.mskobr.ru                                                                                                                                                                                                                                 ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
6879;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа - интернат v вида № 45                                                                                                               ;ГБОУ СКОШИ № 45                                                                                                                                                                                                                                               ;129272 г. Москва, Олимпийский пр-т, д.11                                                                                                                                                                                                                      ;7755,137338;13646,25996;2126258;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;(495) 689-42-56                                                                                                                                                                                                                                               ;http://inter45.ucoz.ru                                                                                                                                                                                                                                        ;Центральное окружное управление образования                                                                                                                                                                                                                   
7547;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат II вида № 10                                                                                                                ;ГБОУ СКОШИ № 10                                                                                                                                                                                                                                               ;111539,г. Москва, ул. Реутовская, дом 22 Б                                                                                                                                                                                                                    ;21235,48968;7468,625117;2122251;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;370-00-89                                                                                                                                                                                                                                                     ;http://www.shkola10inter.ru                                                                                                                                                                                                                                   ;Восточное окружное управление образования                                                                                                                                                                                                                     
7602;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VI вида № 20                                                                                                                ;ГБОУ СКОШИ № 20                                                                                                                                                                                                                                               ;109651, г. Москва, Новочеркасский бульвар, д. 28                                                                                                                                                                                                              ;14293,87875;-2383,92911;2129716;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;356-34-31                                                                                                                                                                                                                                                     ;http://schkg20.mskobr.ru/                                                                                                                                                                                                                                     ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
7549;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная)общеобразовательная школа-интернат II вида № 30 имени К.А. Микаэльяна                                                                                           ;ГБОУ СКОШИ № 30                                                                                                                                                                                                                                               ;107076, г. Москва, ул. Олений вал, дом 22                                                                                                                                                                                                                     ;12251,68483;14842,45969;2402108;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа-интернат                                                                                                                                                                                                ;603-07-33                                                                                                                                                                                                                                                     ;http://schi30.mskobr.ru/                                                                                                                                                                                                                                      ;Восточное окружное управление образования                                                                                                                                                                                                                     
