0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
1;Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Солянка ВПА»                                                                                                                                                                    ;ГБУК г.Москвы «Выставочный зал «Солянка ВПА»                                                                                                                                                                                                                  ;109028, г.Москва, ул. Солянка, д.1/2 стр.2                                                                                                                                                                                                                    ;8828,7673;9637,482621;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Басманный                                                                                                                                                                                                                                                     ;109028, г.Москва, ул. Солянка, д.1/2 стр.2                                                                                                                                                                                                                    ;(495) 621-55-72, (495) 621-59-61                                                                                                                                                                                                                              ;(495) 621-59-61                                                                                                                                                                                                                                               ;solgallery.ru                                                                                                                                                                                                                                                 ;info@solyanka.org                                                                                                                                                                                                                                             
2;Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Творчество»                                                                                                                                                                     ;ГБУК г.Москвы «Выставочный зал «Творчество»                                                                                                                                                                                                                   ;109147, г.Москва, ул. Таганская, д.31/22                                                                                                                                                                                                                      ;10822,3626;8091,702053;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Таганский                                                                                                                                                                                                                                                     ;109147, г.Москва, ул. Таганская, д.31/22                                                                                                                                                                                                                      ;(495) 678-55-78                                                                                                                                                                                                                                               ;(495) 678-55-78                                                                                                                                                                                                                                               ;zal-tv.ru                                                                                                                                                                                                                                                     ;grig@zal-tv.ru                                                                                                                                                                                                                                                
3;Государственное бюджетное учреждение культуры города Москвы «Московский выставочный зал «Галерея А3»                                                                                                                                                          ;ГБУК г.Москвы «Московский выставочный зал «Галерея А3»                                                                                                                                                                                                        ;119002, г.Москва, Староконюшенный пер., д.39                                                                                                                                                                                                                  ;6040,121754;9147,098523;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Арбат                                                                                                                                                                                                                                                         ;119002, г.Москва, Староконюшенный пер., д.39                                                                                                                                                                                                                  ;(495) 697-14-56                                                                                                                                                                                                                                               ;(495) 697-14-56                                                                                                                                                                                                                                               ;a3.artfor.ru                                                                                                                                                                                                                                                  ;a3@complat.ru                                                                                                                                                                                                                                                 
4;Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Ковчег»                                                                                                                                                         ;ГБУК г.Москвы «Государственный выставочный зал «Ковчег»                                                                                                                                                                                                       ;127434, г.Москва, ул. Немчинова, д.12                                                                                                                                                                                                                         ;4220,444958;17424,25087;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Тимирязевский                                                                                                                                                                                                                                                 ;127434, г.Москва, ул. Немчинова, д.12                                                                                                                                                                                                                         ;(499) 977-00-44, (499) 977-00-88                                                                                                                                                                                                                              ;(499) 977-00-88                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;gvz-kovcheg@mail.ru                                                                                                                                                                                                                                           
5;Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Галерея на Песчаной»                                                                                                                                            ;ГБУК г.Москвы «Государственный выставочный зал «Галерея на Песчаной»                                                                                                                                                                                          ;125252, г.Москва, ул. Новопесчаная, д.23/7                                                                                                                                                                                                                    ;922,3928758;14020,02423;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Сокол                                                                                                                                                                                                                                                         ;125252, г.Москва, ул. Новопесчаная, д.23/7                                                                                                                                                                                                                    ;(499) 943-51-31                                                                                                                                                                                                                                               ;(499) 943-51-31                                                                                                                                                                                                                                               ;na-peskah.ucoz.ru                                                                                                                                                                                                                                             ;napeskax@mail.ru                                                                                                                                                                                                                                              
6;Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Ростокино»                                                                                                                                                      ;ГБУК г.Москвы «Государственный выставочный зал «Ростокино»                                                                                                                                                                                                    ;129128, г.Москва, ул. Ростокинская, д.1                                                                                                                                                                                                                       ;10064,9312;18817,75706;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Ростокино                                                                                                                                                                                                                                                     ;129128, г.Москва, ул. Ростокинская, д.1                                                                                                                                                                                                                       ;(499) 187-10-45                                                                                                                                                                                                                                               ;(499) 187-13-49                                                                                                                                                                                                                                               ;vzrostokino.ru                                                                                                                                                                                                                                                ;1871349@mail.ru                                                                                                                                                                                                                                               
7;Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Галерея L»                                                                                                                                                      ;ГБУК г.Москвы «Государственный выставочный зал «Галерея L»                                                                                                                                                                                                    ;127018, г.Москва, ул. Октябрьская, д.26                                                                                                                                                                                                                       ;7259,33425;13532,25106;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Марьина Роща                                                                                                                                                                                                                                                  ;127018, г.Москва, ул. Октябрьская, д.26                                                                                                                                                                                                                       ;(495) 689-24-91                                                                                                                                                                                                                                               ;(495) 689-24-91                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;l-gallery@newmail.ru                                                                                                                                                                                                                                          
8;Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал «Галерея «Измайлово»                                                                                                                                             ;ГБУК г.Москвы «Государственный выставочный зал «Галерея «Измайлово»                                                                                                                                                                                           ;105037, г.Москва, Измайловский пр-д, д.4                                                                                                                                                                                                                      ;17071,7236;13829,33653;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Измайлово                                                                                                                                                                                                                                                     ;105037, г.Москва, Измайловский пр-д, д.4                                                                                                                                                                                                                      ;(499) 166-44-96                                                                                                                                                                                                                                               ;(499) 166-44-96                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;gallery-izmailovo@mail.ru                                                                                                                                                                                                                                     
9;Государственное бюджетное учреждение культуры города Москвы «Выставочный зал «Богородское»                                                                                                                                                                    ;ГБУК г.Москвы «Выставочный зал «Богородское»                                                                                                                                                                                                                  ;107370, г.Москва, Открытое ш., д.5 корп.6                                                                                                                                                                                                                     ;14825,8001;16343,18369;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Богородское                                                                                                                                                                                                                                                   ;107370, г.Москва, Открытое ш., д.5 корп.6                                                                                                                                                                                                                     ;(499) 168-30-15                                                                                                                                                                                                                                               ;(499) 168-87-60                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;art-bogorod@yandex.ru                                                                                                                                                                                                                                         
10;Государственное бюджетное учреждение культуры города Москвы «Государственный выставочный зал истории войны в Афганистане»                                                                                                                                     ;ГБУК г.Москвы «Государственный выставочный зал истории войны в Афганистане»                                                                                                                                                                                   ;111123, г.Москва, ул. 1-я Владимирская, д.12 корп.1                                                                                                                                                                                                           ;17341,69592;10148,83229;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Перово                                                                                                                                                                                                                                                        ;111141, г.Москва, Зеленый пр-т, д.7а                                                                                                                                                                                                                          ;(495) 306-43-30                                                                                                                                                                                                                                               ;(495) 306-43-30                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;afghan-museum@mail.ru                                                                                                                                                                                                                                         
