0_udfn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт;0_podchineni
8372;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2408                                                                                                                                                    ;ГБОУ детский сад № 2408                                                                                                                                                                                                                                       ;109559,  г.Москва, ул. Цимлянская, д. 18                                                                                                                                                                                                                      ;17155,7628;536,4088961;2704851;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;359-77-11                                                                                                                                                                                                                                                     ;http://www.ds2408.uvuo.ru                                                                                                                                                                                                                                     ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8409;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2316                                                                                                                                                    ;ГБОУ детский сад № 2316                                                                                                                                                                                                                                       ;109153, г.Москва, Жулебинский бульвар, дом 28, корпус 2                                                                                                                                                                                                       ;22480,54428;2573,734681;2700006;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;704-51-11                                                                                                                                                                                                                                                     ;"	http://dskuv2316.mskobr.ru                                                                                                                                                                                                                                   ";Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
191;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 972                                                                                                                                                     ;ГБОУ детский сад № 972                                                                                                                                                                                                                                        ;117546 г. Москва, Харьковский пр-д, д. 11а                                                                                                                                                                                                                    ;9130,225475;-8602,42277;2107470;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;(495) 383-45-83                                                                                                                                                                                                                                               ;http://dou972.edusite.ru                                                                                                                                                                                                                                      ;Южное окружное управление образования                                                                                                                                                                                                                         
3143;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 954                                                                                                                                                     ;ГБОУ д/с компенсирующего вида № 954                                                                                                                                                                                                                           ;109559, г. Москва ул. Краснодарская, д. 53                                                                                                                                                                                                                    ;16927,76432;1241,007435;2129344;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;352-19-12                                                                                                                                                                                                                                                     ;http://ds954.uvuo.ru                                                                                                                                                                                                                                          ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
5878;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2720                                                                                                                                                    ;ГБОУ детский сад № 2720                                                                                                                                                                                                                                       ;117623, г.Москва, ул. Маршала Савицкого, дом 30, корп.2                                                                                                                                                                                                       ;6350,722057;-18317,16677;2901141;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;(499) 232-49-90                                                                                                                                                                                                                                               ;http://detsad2720.ru                                                                                                                                                                                                                                          ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
5920;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1949                                                                                                                                                    ;ГБОУ детский сад № 1949                                                                                                                                                                                                                                       ;111020, г. Москва, ул. Авиамоторная, дом 13                                                                                                                                                                                                                   ;13602,81712;10484,48134;2120519;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;(495) 362-11-44                                                                                                                                                                                                                                               ;http://ds1949.uvuo.ru                                                                                                                                                                                                                                         ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
5884;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1881                                                                                                                                                    ;ГБОУ детский сад № 1881                                                                                                                                                                                                                                       ;115432,  г. Москва Трофимова ул., д. 30, корп. 1                                                                                                                                                                                                              ;11684,56983;3890,979668;2124678;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;677-39-30                                                                                                                                                                                                                                                     ;http://www.kolobok1881.ru                                                                                                                                                                                                                                     ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
5999;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1652                                                                                                                                                    ;ГБОУ детский сад №1652                                                                                                                                                                                                                                        ;107207,г.Москва,ул.Уральская,д.6                                                                                                                                                                                                                              ;18969,3233;16255,94587;2114439;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;(495) 466-59-22                                                                                                                                                                                                                                               ;http://www.dskvp1652.mskobr.ru                                                                                                                                                                                                                                ;Восточное окружное управление образования                                                                                                                                                                                                                     
6233;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1231                                                                                                                                                    ;ГБОУ детский сад № 1231                                                                                                                                                                                                                                       ;119333, г. Москва, ул. Фотиевой, д.12                                                                                                                                                                                                                         ;3853,33025;3605,672502;2101042;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;137-06-76                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6259;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1505                                                                                                                                                    ;ГБОУ детский сад №1505                                                                                                                                                                                                                                        ;117393, г.Москва, ул. Гарибальди, дом № 10, корп. 5                                                                                                                                                                                                           ;2350,031651;552,2526595;2108170;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;132-01-00                                                                                                                                                                                                                                                     ;http://www.skazka1505.ru                                                                                                                                                                                                                                      ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6267;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1701                                                                                                                                                    ;ГБОУ детский сад № 1701                                                                                                                                                                                                                                       ;117465, г.Москва, улица Генерала Тюленева, дом 5, корпус 2                                                                                                                                                                                                    ;-754,3691021;-4745,071209;2108189;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;339-11-61                                                                                                                                                                                                                                                     ;http://www.1701moydetsad.ru                                                                                                                                                                                                                                   ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6296;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2156                                                                                                                                                    ;ГБОУ детский сад № 2156                                                                                                                                                                                                                                       ;117628, г. Москва, ул. Куликовская, дом 1 Г                                                                                                                                                                                                                   ;4317,466964;-10642,36875;2137448;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;(495) 712-08-46                                                                                                                                                                                                                                               ;http://www.ds2156.ru                                                                                                                                                                                                                                          ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6177;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 394                                                                                                                                                     ;ГБОУ детский сад компенсирующего вида № 394                                                                                                                                                                                                                   ;117461, г.Москва, ул. Херсонская, дом 10, корпус 1                                                                                                                                                                                                            ;4822,240731;-1726,788078;2113451;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад компенсирующего вида                                                                                                                                                                                                                              ;121-60-61                                                                                                                                                                                                                                                     ;http://ds394.ru                                                                                                                                                                                                                                               ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
