"0_ID";"1_Название объекта";"1_Название улицы";"1_Номер дома";"1_Корпус/строение";"1_Контактный телефон";"1_Электронная почта/Интернет-сайт"
"1";"Отдел «Таганский»";"ул. Покровка";"д.41";"стр.1";"8-(495)-917-23-79";"dtiz-cao-czn@trud.mos.ru"
"2";"Отдел «Якиманка»";"Старомонетный пер.";"д.9";"стр.1";"8-(495)-951-14-64";"dtiz-cao-czn@trud.mos.ru"
"3";"Отдел «Пресненский»";"ул. 2-я Брестская";"д.39";"стр.3";"8-(495)-250-96-59";"dtiz-cao-czn@trud.mos.ru"
"4";"Отдел «Басманный»";"Лялин пер.";"д.14/16";"стр.1";"8-(495)-917-00-21";"dtiz-cao-czn@trud.mos.ru"
"5";"Отдел содействия занятости инвалидов";"Лялин пер.";"д.14/16";"стр.1";"8-(495)-916-05-00";"dtiz-cao-czn@trud.mos.ru"
"6";"Информационно-консультационный отдел ГКУ ЦЗН ЦАО";"ул. Новослободская";"д. 46";"стр.1";"8-(499)-972-11-01";"dtiz-cao-czn@trud.mos.ru"
"7";"Отдел «Дмитровский»";"Дмитровское ш.";"д.131";"корп.2";"8-(495)-484-43-55";"dmitrovka@labor.ru"
"8";"Отдел «Головинский»";"ул. Онежская";"д.15";"стр.1";"8-(495)-153-11-10";"golovinka@labor.ru"
"9";"Отдел «Коптевский»";"ул. Б. Академическая";"д.22 Б";"стр.1";"8-(495)-450-03-34";"koptevo@labor.ru"
"10";"Отдел «Бабушкинский»";"ул. Печорская";"д.11";"стр.1";"8-(495)-470-62-33";"NikitenkoOK@trud.mos.ru"
"11";"Отдел «Марьина Роща»";"ул. Сущёвский Вал";"д.14/22";"корп.1";"8-(499)-978-02-26";"IlinaNA@trud.mos.ru"
"12";"Отдел «Останкинский»";"ул. Годовикова";"д.6";"стр.1";"8-(495)-616-25-85";"DeryuginaMN@trud.mos.ru"
"13";"Отдел «Отрадное»";"Алтуфьевское ш.";"д.40 Г";"стр.1";"8-(499)-904-11-88";"ScherbakovaEA@trud.mos.ru"
"14";"Отдел «Лосиноостровский»";"ул. Малыгина";"д.1";"корп.2";"8-(495)-475-03-49";"VasilievaLN@trud.mos.ru"
"15";"Отдел «Ивановский»";"ш. Энтузиастов";"д.98";"корп.8";"8-(495)-918-95-39";"ivanovsky@labor.ru"
"16";"Отдел «Перовский»";"ул. 3-я Владимирская";"д.12";"корп.1";"8-(495)-672-32-94";"perovo@labor.ru"
