0_OBJECTID;0_Shape;0_UID;1_Название объекта;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4180866.205699999 7510735.0320999995);9127.0;Государственное бюджетное образовательное учреждение города Москвы окружной центр психолого–медико–социального сопровождения;ГБОУ ОЦПМСС;123100 1905 года улица, 5;3712.000025;10324.4947037;26503.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-медико-социального сопровождения;(499) 242-24-66;
2;POINT (4168742.5207 7494055.561099999);5330.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения ""Росток""";"ГБОУ ЦПМСС ""Росток""";119361, г.Москва, ул. Большая Очаковская, д. 39, корп. 2;-3132.2885;927.79379614;2117029.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-медико-социального сопровождения;"(495) 437-09-57; (495) 437-97-25; (495) 437-96-89";http://rostok.mskzapad.ru
3;POINT (4188438.6429000013 7491104.051600002);2587.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения ""Взаимодействие""";"ГБОУ ЦПМСС ""Взаимодействие""";115201 г. Москва, Каширский пр.д7;8002.361525;-731.26991657;2122527.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-медико-социального сопровождения;(499) 613-52-14;http://www.vzaimodeystvie.ru/
4;POINT (4175161.6180999987 7467382.550800003);6937.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения ""Бутово""";"ГБОУ ЦПМСС ""Бутово""";117042, Москва ул. Адмирала Лазарева, дом 68, корп. 3;496.74415006;-14141.8181172;69213.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-медико-социального сопровождения;(495) 714-76-72;http://www.centrbutovo.ru
5;POINT (4169739.9373000003 7524697.3972999975);6767.0;Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения;ГБОУ ЦПМСС;123362, г. Москва, ул. Большая Набережная, д. 13;-2557.77424314;18174.1973745;15455.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-медико-социального сопровождения;491-13-83;http://cpmsp.mskobr.ru
6;POINT (4136048.5122999996 7554520.669500001);7518.0;Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения;ГБОУ ЦПМСС;124683, г. Москва, Зеленоград, корп. 1554;-21440.1987;34948.2146186;32036.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-медико-социального сопровождения;(499) 738-50-20;http://www.cpmss.1gb.ru
7;POINT (4172358.8610000014 7511692.8759);4167.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения ""Фили""";"ГБОУ ЦПМСС ""Фили""";"121601, г.Москва, Филевский бульвар, д. 17, корп. ""А""";-1085.58965;10862.223325;2127946.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-медико-социального сопровождения;738-50-84;http://fili.mskzapad.ru
8;POINT (4162082.350499999 7526954.9388);6768.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения ""Митино""";"ГБОУ ЦПМСС ""Митино""";125464, г. Москва, Пятницкое шоссе, д. 16, к.5;-6866.44585;19447.0106706;3301332.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-медико-социального сопровождения;794-72-10;http://cpmss.moskobr.ru
9;POINT (4184529.3161000013 7539238.009599999);7142.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения ""Открытый Мир""";"ГБОУ ЦПМСС ""Открытый Мир""";127349, г. Москва, Алтуфьевского шоссе, д. 98, к. 2;5757.15162766;26337.3675319;2114027.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-медико-социального сопровождения;"(495) 601-27-22; (495) 601-27-55; (495) 601-28-01";http://open-world.edu.ru
10;POINT (4196405.4716 7535435.425399996);7144.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения ""Родник""";"ГБОУ ЦПМСС ""Родник""";129336, г. Москва, улица Таймырская, дом 5;12436.1192939;24218.5471781;2125340.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-медико-социального сопровождения;475-05-58;
