0_udfn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт;0_podchineni
6254;Государственное бюджетное образовательное учреждение города Москвы детский сад № 1450                                                                                                                                                                         ;ГБОУ детский сад № 1450                                                                                                                                                                                                                                       ;117574, г.Москва, улица Голубинская, дом 7, корпус 4                                                                                                                                                                                                          ;1044,463258;-6916,593392;2108141;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад                                                                                                                                                                                                                                                   ;422-09-75                                                                                                                                                                                                                                                     ;http://www.detsad1450.ru                                                                                                                                                                                                                                      ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6313;Государственное бюджетное образовательное учреждение города Москвы детский сад № 2393                                                                                                                                                                         ;ГБОУ детский сад № 2393                                                                                                                                                                                                                                       ;117042, г. Москва, ул. Южнобутовская, д.72, корпус 4                                                                                                                                                                                                          ;1352,914067;-14613,6457;2900117;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад                                                                                                                                                                                                                                                   ;715-46-59                                                                                                                                                                                                                                                     ;http://ds2393.ru                                                                                                                                                                                                                                              ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
8190;Государственное бюджетное образовательное учреждение города Москвы детский сад № 2642                                                                                                                                                                         ;ГБОУ детский сад № 2642                                                                                                                                                                                                                                       ;125299, г. Москва, ул. Клары Цеткин, д. 15Б                                                                                                                                                                                                                   ;1177,211117;17089,11163;2106758;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад                                                                                                                                                                                                                                                   ;(495) 601-46-94                                                                                                                                                                                                                                               ;http://ds2642.mskobr.ru/                                                                                                                                                                                                                                      ;Северное окружное управление образования                                                                                                                                                                                                                      
8191;Государственное бюджетное образовательное учреждение города Москвы детский сад № 1831                                                                                                                                                                         ;ГБОУ детский сад № 1831                                                                                                                                                                                                                                       ;103051 г.Москва, ул. Трубная, 31                                                                                                                                                                                                                              ;7939,672773;11727,51416;26275;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад                                                                                                                                                                                                                                                   ;608-09-89                                                                                                                                                                                                                                                     ;http://www.ds1831.mskobr.ru                                                                                                                                                                                                                                   ;Центральное окружное управление образования                                                                                                                                                                                                                   
8197;Государственное бюджетное образовательное учреждение города Москвы детский сад № 1874                                                                                                                                                                         ;ГБОУ детский сад № 1874                                                                                                                                                                                                                                       ;109172 Москва, Крестьянская площадь, дом 10/2                                                                                                                                                                                                                 ;9858,01355;7351,885008;2124581;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад                                                                                                                                                                                                                                                   ;912-12-69                                                                                                                                                                                                                                                     ;http://www.ds1874.mskobr.ru                                                                                                                                                                                                                                   ;Центральное окружное управление образования                                                                                                                                                                                                                   
8206;Государственное бюджетное образовательное учреждение города Москвы детский сад № 77                                                                                                                                                                           ;ГБОУ детский сад № 77                                                                                                                                                                                                                                         ;115088, г. Москва, Дубровский проезд, дом 7                                                                                                                                                                                                                   ;10509,52747;6320,701283;2124677;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад                                                                                                                                                                                                                                                   ;674-55-92                                                                                                                                                                                                                                                     ;http://kids.uauo.ru                                                                                                                                                                                                                                           ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8209;Государственное бюджетное образовательное учреждение города Москвы детский сад № 125                                                                                                                                                                          ;ГБОУ детский сад № 125                                                                                                                                                                                                                                        ;111024, г. Москва, ул. Авиамоторная, д. 32                                                                                                                                                                                                                    ;13950,9345;8637,66525;2708723;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад                                                                                                                                                                                                                                                   ;673-37-53                                                                                                                                                                                                                                                     ;http://dsuv125.mskobr.ru/                                                                                                                                                                                                                                     ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8212;Государственное бюджетное образовательное учреждение города Москвы детский сад № 139                                                                                                                                                                          ;ГБОУ детский сад №139                                                                                                                                                                                                                                         ;109439, г. Москва, ул. Юных Ленинцев, д. 107, корп. 2                                                                                                                                                                                                         ;17937,1;3612,551547;2128811;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад                                                                                                                                                                                                                                                   ;175-52-22                                                                                                                                                                                                                                                     ;http://ds139.ru                                                                                                                                                                                                                                               ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8223;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 346                                                                                                                                                    ;ГБОУ детский сад № 346                                                                                                                                                                                                                                        ;109462, г. Москва, улица Маршала Чуйкова, дом 11, корпус 4                                                                                                                                                                                                    ;16617,82911;3173,633516;2708409;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад                                                                                                                                                                                                                                                   ;(499) 746-51-90                                                                                                                                                                                                                                               ;http://ds346.mskobr.ru                                                                                                                                                                                                                                        ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
8225;Государственное бюджетное образовательное учреждение города Москвы детский сад № 395                                                                                                                                                                          ;ГБОУ детский сад № 395                                                                                                                                                                                                                                        ;109202, город Москва, улица Басовская, дом 3                                                                                                                                                                                                                  ;15067,51777;8036,33421;2709383;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад                                                                                                                                                                                                                                                   ;673-38-51                                                                                                                                                                                                                                                     ;http://www.ds395.my1.ru                                                                                                                                                                                                                                       ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
