0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Телефон;1_Сайт;1_Подчинение
7448;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1688                                                                                                                                                   ;ГБОУ СОШ № 1688                                                                                                                                                                                                                                               ;107065, г.Москва, ул. Камчатская, д.6                                                                                                                                                                                                                         ;19770,2861;17949,25411;2114472;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа                                                                                                                                                                                                                             ;(495) 467-44-65                                                                                                                                                                                                                                               ;http://www.s1688.ru                                                                                                                                                                                                                                           ;Восточное окружное управление образования                                                                                                                                                                                                                     
7487;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1452 ""Богородский""                                                                                                                                                      ";"ГБОУ ЦО № 1452 ""Богородский""                                                                                                                                                                                                                                  ";107564, г. Москва, ул. 1-я Гражданская, д.96                                                                                                                                                                                                                  ;13216,22918;15632,6799;2401019;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;(495) 964-88-01                                                                                                                                                                                                                                               ;http://co1452.ru                                                                                                                                                                                                                                              ;Восточное окружное управление образования                                                                                                                                                                                                                     
7491;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1475                                                                                                                                                                   ;ГБОУ ЦО № 1475                                                                                                                                                                                                                                                ;107497, г. Москва, ул. Новосибирская, д. 8 А                                                                                                                                                                                                                  ;20359,73763;16586,8371;2114447;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;469-50-08                                                                                                                                                                                                                                                     ;http://co1475/mskobr.ru                                                                                                                                                                                                                                       ;Восточное окружное управление образования                                                                                                                                                                                                                     
7498;Государственное бюджетное образовательное учреждение города Москвы центр образования №1637                                                                                                                                                                    ;ГБОУ ЦО № 1637                                                                                                                                                                                                                                                ;111401, г. Москва, ул. 3-я Владимирская, дом 12 А                                                                                                                                                                                                             ;17928,3626;10341,77263;2122203;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;"(495) 672-02-35; (495) 672-01-99; (495) 603-46-09                                                                                                                                                                                                             ";http://school1637.ru/                                                                                                                                                                                                                                         ;Восточное окружное управление образования                                                                                                                                                                                                                     
7509;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1926                                                                                                                                                                   ;ГБОУ ЦО № 1926                                                                                                                                                                                                                                                ;111672, г. Москва, ул. Салтыковская, д. 5 А                                                                                                                                                                                                                   ;22758,70792;7424,785028;2401239;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;702-75-40                                                                                                                                                                                                                                                     ;http://1926.edu.ru/                                                                                                                                                                                                                                           ;Восточное окружное управление образования                                                                                                                                                                                                                     
7563;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 491 ""Марьино""                                                                                                                                                          ";"ГБОУ ЦО № 491 ""Марьино""                                                                                                                                                                                                                                       ";109651, г. Москва, Новочеркасский бульвар, дом 19                                                                                                                                                                                                             ;14141,39918;-1974,373251;17043;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;357-52-01                                                                                                                                                                                                                                                     ;http://cog491.mskobr.ru                                                                                                                                                                                                                                       ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
7582;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1811 ""Измайлово""                                                                                                                                                       ";"ГБОУ ЦО № 1811 "" Измайлово""                                                                                                                                                                                                                                   ";105203, г. Москва, Первомайская ул., .111.                                                                                                                                                                                                                    ;19851,89709;14173,55808;2115777;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;(495) 465-14-49                                                                                                                                                                                                                                               ;http://www.1811.ru/                                                                                                                                                                                                                                           ;Восточное окружное управление образования                                                                                                                                                                                                                     
2425;Государственное бюджетное образовательное учреждение города Москвы центр образования № 556                                                                                                                                                                    ;ГБОУ ЦО № 556                                                                                                                                                                                                                                                 ;117570 г. Москва, Днепропетровская ул. д.33 А                                                                                                                                                                                                                 ;5488,84695;-5586,395848;3803538;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;(495) 313-74-10                                                                                                                                                                                                                                               ;http://co556.ru/                                                                                                                                                                                                                                              ;Южное окружное управление образования                                                                                                                                                                                                                         
5267;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1471                                                                                                                                                                   ;ГБОУ ЦО № 1471                                                                                                                                                                                                                                                ;121614 г. Москва, ул. Крылатская, д.25                                                                                                                                                                                                                        ;-5311,2516;11526,28222;2127010;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;413-33-32                                                                                                                                                                                                                                                     ;http://www.sch1129.edusite.ru                                                                                                                                                                                                                                 ;Западное окружное управление образования                                                                                                                                                                                                                      
5446;Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1306                                                                                                                                                                            ;ГБОУ гимназия № 1306                                                                                                                                                                                                                                          ;119607 Мичуринский проспект, д. 15,к.2                                                                                                                                                                                                                        ;683,92595;3447,71445;3101697;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;932-89-42                                                                                                                                                                                                                                                     ;http://www.gymnasium1306.ru                                                                                                                                                                                                                                   ;Западное окружное управление образования                                                                                                                                                                                                                      
5448;"Государственное бюджетное образовательное учреждение города Москвы Центр образования ""Школа здоровья"" № 1679                                                                                                                                                  ";ГБОУ ЦО № 1679                                                                                                                                                                                                                                                ;125239,Москва, ул. Новопетровская, д.1а                                                                                                                                                                                                                       ;1300,9903;17888,78245;2108745;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;"Центр образования ""Школа Здоровья""                                                                                                                                                                                                                            ";"(495) 601-46-70; (495) 459-40-43; (495) 459-40-42; (495) 450-30-80; (495) 450-89-26; (495) 459-30-64                                                                                                                                                          ";http://coe1679.ru/                                                                                                                                                                                                                                            ;Северное окружное управление образования                                                                                                                                                                                                                      
5502;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1569 ""Созвездие""                                                                                                                                                                ";"ГБОУ Гимназия №1569 ""Созвездие""                                                                                                                                                                                                                               ";115573 г. Москва, ул. Мусы Джалиля, д.36,к.2                                                                                                                                                                                                                  ;15176,50575;-5526,386735;3801952;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Гимназия                                                                                                                                                                                                                                                      ;(495) 396-43-50                                                                                                                                                                                                                                               ;http://sch1569.edusite.ru/                                                                                                                                                                                                                                    ;Южное окружное управление образования                                                                                                                                                                                                                         
4790;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1178                                                                                                                                                                   ;ГБОУ ЦО № 1178                                                                                                                                                                                                                                                ;117405 Москва, Варшавское ш. д.152,к.10                                                                                                                                                                                                                       ;6185,951512;-8388,80598;3802931;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;"(495) 386-15-48; (495) 389-57-11                                                                                                                                                                                                                              ";http://sch1178.edusite.ru                                                                                                                                                                                                                                     ;Южное окружное управление образования                                                                                                                                                                                                                         
