№ строки	Название объекта	Адрес	Телефон	Режим работы
1	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Хорошевский»	125252, г. Москва, ул. Зорге, д. 18	499 195-99-24	пон.-пятн.: 09.00-20.00,суббота:  10.00-18.00
2	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Благополучие»	125310, г. Москва, Пятницкое ш., д. 36	495 794 30 52	пон.-четв.: 09.00-19.45, пятн.: 09-00-18.30суббота: 10.00 - 17.00
3	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Благополучие»	125464, г. Москва, Пятницкое ш., д. 6, к. 3	495 751 49 92	пон.-четв.:  09.00-18.00, пятн. 09.00-16.45
4	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Благополучие»	125222, г. Москва, Пенягинская ул., д. 20, к. 1	495 794 28 51	пон.-четв.:  09.00-18.00, пятн. 09.00-16.45
5	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям "Истоки"	115432, г. Москва, 2-ой Южнопортовый проезд, д. 19, корп. 1	495 958-73-69	пон.-пятн.: 08.00-20.00,суббота., воскресенье: 09.00-16.45
6	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям "Истоки" филиал "Рязанский"	109125, г. Москва, Волжский бульвар, д. 11	499 500-29-21	пон.-пятн.: 08.00-20.00,суббота., воскресенье: 09.00-16.45
7	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям "Можайский"	121353, г.Москва, Сколковское шоссе, д.30	495 447-00-64	пон.-пятн.: 09.00-20.00,суббота:  10.00-18.00
8	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям "Планета Семьи"	115230, г.Москва,Каширское шоссе д. 8, корпус 2	499 613-06-05	пон.-пятн.: 09.00-21.00,суббота: 10-18.00
9	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям "Зеленоград"	124365,Москва,г.Зеленоград, корп.1615	499 717-26-24	пон.-пятн.: 09.00-20.00, суббота:  10.00-18.00
10	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям "Хамовники"	119048, Москва,ул. Доватора, д.13 	499 245-11-42	пон.-пятн.: 09.00-20.00, суббота:  10.00-18.00
11	Государственное бюджетное учреждение  города  Москвы Центр  социальной  помощи  семье  и  детям «Восточное Дегунино»	127237, г.Москва,ул.  800-летия Москвы, д.26, корп.1	495 900-01-90	пон.-четв.: 09.00-20.00, пятн.: 09.00-18.45,суббота:  09.00-17.00
12	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Берегиня»	115533 г.Москва, ул. Нагатинская д.27, кор 3	(499) 612-92-52	пон.-четв.: 09.00-20.00, пятн.: 09.00-18.45,суббота:  09.00-18.00
13	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям «Берегиня» Филиал "Орехово"	115582 Каширское шоссе, д.148, кор. 2	(499) 782-79-62	пон.-четв.: 09.00-20.00, пятн.: 09.00-18.45,суббота:  09.00-18.00
14	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям "Диалог"	127562, г.Москва, ул. Каргопольская, д.11, к.2	(499) 477-23-16	пон.-пятн.: 09.00-20.00,суббота: 10.00-18.00
15	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям "Гелиос"	117623, г. Москва,ул. Старонародная,д.2	(495) 712-59-00	пон.-четв.: 09.00-20.00,пятн.: 09.00-18.45,суббота: 10.00-18.00
16	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям "Косино-Ухтомский"	111675, г.Москва, ул.Рудневка, д.24	(499) 721-72-40  (499)721-72-46	пон.-пятн.: 09.00-20.00,суббота:  10.00-18.00
17	Государственное бюджетное учреждение города МосквыЦентр социальной помощи семье и детям "Кутузовский"	121248, Москва, Кутузовский проспект, дом 14	(499) 243-60-29	пон.-четв.: 09.00-20.00, пятн.: 09.00-18.45,  суббота:  10.00-18.00
18	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям "Кунцево"	123351, г. Москва, ул. Кунцевская, дом 17	(495)416-41-15	пон.-пятн.: 09.00-20.00,суббота:  10.00-18.00
19	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям "Гелиос" (филиал "Северное Бутово")	г. Москва, ул. Коктебельская, д.8	(495) 713-88-90	пон.-четв.: 09.00-20.00,пятн.: 09.00-18.45,суббота: 10.00-18.00
20	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям "Гелиос" (филиал "Ломоносовский")	г. Москва, ул.Гарибальди, д.6	(499) 134-86-20	пон.-четв.: 09.00-20.00,пятн.: 09.00-18.45,суббота: 10.00-18.00
21	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям "Гелиос" (филиал "Щербинка")	г. Москва, ул. Брусилова, л.7	(499) 234-04-91	пон.-четв.: 09.00-20.00,пятн.: 09.00-18.45,суббота: 10.00-18.00
22	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям "Измайлово"	105037 г.Москва, Измайловский пр-д.,д.4 А	(495) 603-96-06	пон.-пятн.: 09.00-20.00,суббота:  10.00-18.00
23	Государственное бюджетное учреждение города Москвы Центр социальной помощи семьи и детям "Дмитровский"	127644, г.Москва, Карельский бульвар., д.5, стр.1	(495) 483-44-02	пон.-пятн.: 09.00-20.00,суббота:  10.00-18.00
24	Государственное бюджетное учреждение города Москвы Центр социальной помощи семьи и детям "Журавушка"	119027, г. Москва, ул. Интернациональная, д.2, корп.1	(495) 736-03-11	пон.-пятн.: 09.00-20.00,суббота:  10.00-18.00
25	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям "Тропарево-Никулино"	119571, город Москва, улица Академика Анохина, дом 5, корпус 2	(499) 792-05-57	пон.-четв.: 09.00-20.00, пятн.: 09.00-18.45, суббота:  10.00-17.00
26	Государственное бюджетное учреждение города Москвы Центр социальной помощи семье и детям "Родник"	127254,г. Москва, ул. Добролюбова, д.29/16	(495) 610-19-70	пон.-пятн.: 09.00-20.00,суббота:  10.00-18.00
