1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Телефон;0_email;1_Режим работы;0_moddate;0_moduser
13;ГБУ МФЦ ЮВАО                                                                                                                                                                                                                                                  ;ГБУ МФЦ ЮВАО                                                                                                                                                                                                                                                  ;г.Москва, пр-д Завода Серп и Молот, д.10                                                                                                                                                                                                                      ;12818,0635;9550,120896;0;                                                                                                                                                                                                                                                              ;проезд Завода Серп и Молот                                                                                                                                                                                                                                    ;10;                                                                                                                                                                                                                                                              ;(495) 531-00-80                                                                                                                                                                                                                                               ;rodina_ta@uvao.asueirc.ru                                                                                                                                                                                                                                     ;пн.-пт. 08.00-20.00, без перерыва, сб. 09.00-15.45,  вс.-выходной                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
14;" Государственное казенное учреждение ""Дирекция ЖКХиБ ЮАО""                                                                                                                                                                                                     "; ГКУ Дирекция ЖКХиБ ЮАО                                                                                                                                                                                                                                       ;г.Москва, ул.Шипиловский проезд , д.43                                                                                                                                                                                                                        ;12681,89211;-6248,049996;0;                                                                                                                                                                                                                                                              ;Шипиловский проезд                                                                                                                                                                                                                                            ;43;                                                                                                                                                                                                                                                              ;(495) 343-21-22                                                                                                                                                                                                                                               ;gudezuao@mail.ru                                                                                                                                                                                                                                              ;пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной                                                                                                                                                                                        ;25.01.2013;opens\fedinaon                                                                                      
15;"Государственное казенное учреждение ""Дирекция ДЖКХиБ СЗАО""                                                                                                                                                                                                    ";ГКУ Дирекция ДЖКХиБ СЗАО                                                                                                                                                                                                                                      ;ул.Туристская, д.16, корп.3                                                                                                                                                                                                                                   ;-4557,113862;20840,35369;0;                                                                                                                                                                                                                                                              ;ул.Туристская                                                                                                                                                                                                                                                 ;16;3;9480003@bk.ru                                                                                                                                                                                                                                                 ;8(499)948-00-03                                                                                                                                                                                                                                               ;пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной                                                                                                                                                                                        ;25.01.2013;opens\fedinaon                                                                                      
16;" Государственное казенное учреждение ""Дирекция ЖКХиБ ЗелАО""                                                                                                                                                                                                   "; ГКУ Дирекция ЖКХиБ ЗелАО                                                                                                                                                                                                                                     ;124365, г.Москва, г.Зеленоград, корп. 2022, н.п. IV                                                                                                                                                                                                           ;37,168212;55,976523;0;                                                                                                                                                                                                                                                              ;Корп. 2022                                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 210-29-20                                                                                                                                                                                                                                               ;zel_guis@mail.ru                                                                                                                                                                                                                                              ;" Государственное казенное учреждение ""Дирекция ЖКХиБ ЗелАО""                                                                                                                                                                                                   ";25.01.2013;opens\fedinaon                                                                                      
1;Государственное казенное учреждение Дирекция ЖКХиБ ЦАО                                                                                                                                                                                                        ;ГКУ Дирекция ЖКХиБ ЦАО                                                                                                                                                                                                                                        ;105066, г. Москва, ул.Н.Басманная,д.37                                                                                                                                                                                                                        ;10696,18101;11535,88612;0;                                                                                                                                                                                                                                                              ;Н.Басманная                                                                                                                                                                                                                                                   ;д.37                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                              ;8-499-267-37-34                                                                                                                                                                                                                                               ;direkciacao@mail.ru                                                                                                                                                                                                                                           ;пн. 16.00-18.00                                                                                                                                                                                                                                               ;12:00:00 AM;                                                                                                    
2;"Филиал Государственное казенное учреждение ""Дирекция ЖКХиБ ЦАО""                                                                                                                                                                                               ";Филиал ГКУ Дирекция ЖКХиБ ЦАО                                                                                                                                                                                                                                 ;119146, г. Москва, 2-я Фрунзенская ул.,д.7                                                                                                                                                                                                                    ;5174,8826;6194,447407;0;                                                                                                                                                                                                                                                              ;2-я Фрунзенская                                                                                                                                                                                                                                               ;д.7                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;8-495-609-12-24                                                                                                                                                                                                                                               ;guis-cao77@mail.ru                                                                                                                                                                                                                                            ;пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной                                                                                                                                                                                        ;25.01.2013;opens\fedinaon                                                                                      
3;"Филиал Государственное казенное учреждение ""Дирекция ЖКХиБ САО""                                                                                                                                                                                               ";Филиал ГКУ Дирекция ЖКХиБ САО                                                                                                                                                                                                                                 ;Москва, ул.Дубнинская, д.37 , корп.2                                                                                                                                                                                                                          ;3921,24245;22259,22785;0;                                                                                                                                                                                                                                                              ;Дубнинская                                                                                                                                                                                                                                                    ;37;2;8 (499) 767-57-18                                                                                                                                                                                                                                             ;is200700@bk.ru                                                                                                                                                                                                                                                ;пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной                                                                                                                                                                                        ;24.01.2013;opens\egipuser                                                                                      
4;Дирекция ЖКХиБ САО                                                                                                                                                                                                                                            ;Дирекция ЖКХиБ САО                                                                                                                                                                                                                                            ;127434, г. Москва, Дмитровское шоссе д. 5                                                                                                                                                                                                                     ;4771,853311;16139,36684;0;                                                                                                                                                                                                                                                              ; Дмитровское шоссе д. 5                                                                                                                                                                                                                                       ;д.5                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;8(499)977-39 92                                                                                                                                                                                                                                               ;gendircom@list.ru                                                                                                                                                                                                                                             ;пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной                                                                                                                                                                                        ;25.01.2013;opens\fedinaon                                                                                      
5;Филиал Государственное казенное учреждение Дирекция ЖКХиБ СВАО                                                                                                                                                                                                ;Филиал ГКУ Дирекция ЖКХиБ СВАО                                                                                                                                                                                                                                ;Москва, пр.Шокальского, д.55, стр.3                                                                                                                                                                                                                           ;10139,09735;24046,33547;0;                                                                                                                                                                                                                                                              ;Шокальского                                                                                                                                                                                                                                                   ;55;3;8 496 619-92-80                                                                                                                                                                                                                                               ;zvbsvao@yandex.ru                                                                                                                                                                                                                                             ;пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной                                                                                                                                                                                        ;25.01.2013;opens\fedinaon                                                                                      
6;" Государственное казенное учреждение ""Дирекция ЖКХиБ СВАО""                                                                                                                                                                                                    "; ГКУ Дирекция ЖКХиБ СВАО                                                                                                                                                                                                                                      ;127322, Москва, ул. Милашенкова, д. 14,                                                                                                                                                                                                                       ;5148,696964;17991,35795;0;                                                                                                                                                                                                                                                              ;ул. Милашенкова                                                                                                                                                                                                                                               ;д.14                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                              ;8 497 619-92-80                                                                                                                                                                                                                                               ;zvbsvao@yandex.ru                                                                                                                                                                                                                                             ;пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной                                                                                                                                                                                        ;25.01.2013;opens\fedinaon                                                                                      
7;"Государственное казенное учреждение ""Дирекция ЖКХиБ ВАО""                                                                                                                                                                                                      ";ГКУ Дирекция ЖКХиБ ВАО                                                                                                                                                                                                                                        ;107023, г. Москва, ул. Буженинова, д.12                                                                                                                                                                                                                       ;13180,79045;13498,47795;0;                                                                                                                                                                                                                                                              ; ул. Буженинова                                                                                                                                                                                                                                               ;д.12                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                              ;8 963-77-00                                                                                                                                                                                                                                                   ;gku@dgkhb.ru                                                                                                                                                                                                                                                  ;пн.-пт. 09.00-18.00, без  перерыва, сб., вс.-выходной                                                                                                                                                                                                         ;12:00:00 AM;                                                                                                    
8;"Филиал Государственное казенное учреждение ""Дирекция ЖКХиБ ВАО""                                                                                                                                                                                               ";Филиал ГКУ Дирекция ЖКХиБ ВАО                                                                                                                                                                                                                                 ;107076, г. Москва, Колодезный переулок, д.14\23, стр.1                                                                                                                                                                                                        ;12607,48313;14335,16151;0;                                                                                                                                                                                                                                                              ;Колодезный пер.                                                                                                                                                                                                                                               ;д.14\23                                                                                                                                                                                                                                                       ;стр.1                                                                                                                                                                                                                                                         ;8-499-748-00-64                                                                                                                                                                                                                                               ;guisvao@mail.ru                                                                                                                                                                                                                                               ;пн.-чт. 09.00-18.00, пт. 09.00-16.45, без перерыва, сб.,вс. - выходной                                                                                                                                                                                        ;25.01.2013;opens\fedinaon                                                                                      
9;"Государственное казенное учреждение ""Дирекция ЖКХиБ ЗАО""                                                                                                                                                                                                      ";ГКУ Дирекция ЖКХиБ ЗАО                                                                                                                                                                                                                                        ;119602, г. Москва, ул. Академика Анохина, д.6, кор. 5                                                                                                                                                                                                         ;-1584,1885;173,105855;0;                                                                                                                                                                                                                                                              ;ул. Академика Анохина                                                                                                                                                                                                                                         ;д.6                                                                                                                                                                                                                                                           ;кор. 5                                                                                                                                                                                                                                                        ;8-499-739-96-87                                                                                                                                                                                                                                               ;gd-zao@mail.ru                                                                                                                                                                                                                                                ;"Государственное казенное учреждение ""Дирекция ЖКХиБ ЗАО""                                                                                                                                                                                                      ";25.01.2013;opens\fedinaon                                                                                      
