0_OBJECTID;0_ UIDNFTN;Название;0_ LABEL;Адрес;0_ X;0_ Y;Телефон;Режим работы
1;41;Управление социальной защиты населения Ярославского района, СВАО;Управление социальной защиты населения Ярославского района, СВАО г. Москва, ул. Палехская, д. 14;г. Москва, ул. Палехская, д. 14;12659,58575;22376,53374;(499) 188-70-74, (499) 188-78-16;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
2;42;Управление социальной защиты населения Восточного административного округа г. Москвы;Управление социальной защиты населения Восточного административного округа г. Москвы г. Москва, ул. Буженинова, д. 12;г. Москва, ул. Буженинова, д. 12;13180,79045;13498,47795;(495) 963-01-72, (495) 964-90-05;пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
3;43;Управление социальной защиты населения района Богородское, ВАО;Управление социальной защиты населения района Богородское, ВАО г. Москва, ул. Бойцовая, д. 10 корп. 5;г. Москва, ул. Бойцовая, д. 10 корп. 5;13938,8005;16014,93018;(499) 160-78-06, (499) 160-08-10;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
4;44;Управление социальной защиты населения района Вешняки, ВАО;Управление социальной защиты населения района Вешняки, ВАО г. Москва, ул. Молдагуловой, д. 15 а;г. Москва, ул. Молдагуловой, д. 15 а;20954,95218;5994,831345;(499) 373-00-90, (499) 373-42-40;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
5;45;Управление социальной защиты населения района Восточное Измайлово, ВАО;Управление социальной защиты населения района Восточное Измайлово, ВАО г. Москва, ул. Первомайская, д. 107 а;г. Москва, ул. Первомайская, д. 107 а;19638,766;14143,2441;(495) 965-98-51, (495) 965-97-90;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
6;46;Управление социальной защиты населения района Гольяново, ВАО;Управление социальной защиты населения района Гольяново, ВАО г. Москва, Щелковское шоссе, д. 27;г. Москва, Щелковское шоссе, д. 27;17551,1797;15958,91299;(499) 163-05-77, (499) 164-32-22;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
7;47;Управление социальной защиты населения района Ивановское, ВАО;Управление социальной защиты населения района Ивановское, ВАО г. Москва, Свободный пр-т, д. 19;г. Москва, Свободный пр-т, д. 19;20267,31723;10266,4729;(495) 918-45-10, (495) 918-93-21;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
8;48;Управление социальной защиты населения района Измайлово, ВАО;Управление социальной защиты населения района Измайлово, ВАО г. Москва, Заводской пр-д, д. 3;г. Москва, Заводской пр-д, д. 3;17674,17313;13661,46575;(499) 367-00-05, (499) 165-90-13;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
9;49;Управление социальной защиты населения района Новокосино, ВАО;Управление социальной защиты населения района Новокосино, ВАО г. Москва, ул. Новокосинская, д. 15, корп. 2;г. Москва, ул. Новокосинская, д. 15, корп. 2;22287,97738;7931,471838;(495) 702-09-01, (495) 702-09-01;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
10;50;Управление социальной защиты населения района Перово, ВАО;Управление социальной защиты населения района Перово, ВАО г. Москва, ул. Металлургов, д. 23 а;г. Москва, ул. Металлургов, д. 23 а;18268,11273;10355,89059;(495) 304-44-00, (495) 304-44-16;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
11;11;Управление социальной защиты населения Тверского района, ЦАО;Управление социальной защиты населения Тверского района, ЦАО г. Москва. 4-й Самотечный переулок, д.9;г. Москва. 4-й Самотечный переулок, д.9;7172,7465;12444,50946;(495) 688-18-33, (495) 631-61-87;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
12;12;Управление социальной защиты населения Северного административного округа г. Москвы;Управление социальной защиты населения Северного административного округа г. Москвы г. Москва, ул. Дубнинская, д. 26, корп. 1;г. Москва, ул. Дубнинская, д. 26, корп. 1;3890,1052;23095,40441;(499) 900-42-33, (499) 900-41-88;пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
13;13;Управление социальной защиты населения Бескудниковского района, САО;Управление социальной защиты населения Бескудниковского района, САО г. Москва, ул. Дубнинская, д. 31;г. Москва, ул. Дубнинская, д. 31;4106,8142;22098,81065;(499) 219-31-50, (499) 481-54-92;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
14;14;Управление социальной защиты населения Войковского района, САО;Управление социальной защиты населения Войковского района, САО г. Москва, 2-ой Новоподмосковный переулок, д. 5;г. Москва, 2-ой Новоподмосковный переулок, д. 5;626,00695;16846,79054;(499) 159-22-91, (499) 159-26-38;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
15;15;Управление социальной защиты населения Головинского района, САО;Управление социальной защиты населения Головинского района, САО г. Москва, ул. Онежская, д. 9/4, корп. А.;г. Москва, ул. Онежская, д. 9/4, корп. А.;1362,25915;20197,59957;(499) 153-56-77, (499) 154-72-52;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
16;16;Управление социальной защиты населения Дмитровского района, САО;Управление социальной защиты населения Дмитровского района, САО г. Москва, Дмитровское ш., д. 115, корп. 1;г. Москва, Дмитровское ш., д. 115, корп. 1;2699,667125;24204,44261;(495) 485-68-26, (495) 485-15-27;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
17;17;Управление социальной защиты населения района Аэропорт, САО;Управление социальной защиты населения района Аэропорт, САО г. Москва, Большой Коптевский проезд, 4;г. Москва, Большой Коптевский проезд, 4;2223,473852;15726,10741;(499) 152-15-08;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
18;18;Управление социальной защиты населения района Беговой, САО;Управление социальной защиты населения района Беговой, САО г. Москва, ул. М. Расковой, д. 16/26, корп. 3;г. Москва, ул. М. Расковой, д. 16/26, корп. 3;4905,4223;13367,32746;(495) 612-20-19, (495) 614-86 -03;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
19;19;Управление социальной защиты населения района Восточное Дегунино, САО;Управление социальной защиты населения района Восточное Дегунино, САО г. Москва, Керамический пр-д, д. 57, корп.1;г. Москва, Керамический пр-д, д. 57, корп.1;4250,665287;23567,25027;(499) 900-44-72, (499) 900-44-18;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
20;20;Управление социальной защиты населения района Западное Дегунино, САО;Управление социальной защиты населения района Западное Дегунино, САО г. Москва, ул. Дегунинская, д. 1, корп. 1;г. Москва, ул. Дегунинская, д. 1, корп. 1;2634,4878;21830,70819;(495) 489-72-98;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
21;1;Управление социальной защиты населения Центрального административного округа г. Москвы;Управление социальной защиты населения Центрального административного округа г. Москвы г. Москва, Переяславский пер., д.6;г. Москва, Переяславский пер., д.6;8669,670734;13450,32702;(499) 763-18-39, (499) 763-19-17;пн 08.00-17.00, ср 08.00-17.00, перерыв 13.00-14.00
22;2;Управление социальной защиты населения района Арбат, ЦАО;Управление социальной защиты населения района Арбат, ЦАО г. Москва, Трубниковский переулок, дом 21, строение 3;г. Москва, Трубниковский переулок, дом 21, строение 3;5527,96;9861,40481;"(495) 691-02-21 (495) 691-51-83";пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
23;3;Управление социальной защиты населения Басманного района, ЦАО;Управление социальной защиты населения Басманного района, ЦАО г. Москва, Гороховский пер., д. 5;г. Москва, Гороховский пер., д. 5;10378,0626;10970,93835;(499) 267-63-00, (499) 261-25-09;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
24;4;Управление социальной защиты населения Красносельского района, ЦАО;Управление социальной защиты населения Красносельского района, ЦАО г. Москва, ул. Краснопрудная, д. 13;г. Москва, ул. Краснопрудная, д. 13;10541,1164;12668,11003;(499) 264-71-85;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
25;5;Управление социальной защиты населения Мещанского района, ЦАО;Управление социальной защиты населения Мещанского района, ЦАО г. Москва, Переяславский пер., д. 6;г. Москва, Переяславский пер., д. 6;8669,670734;13450,32702;(499) 763-19-35, (499) 763-18-42;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
26;6;Управление социальной защиты населения Пресненского района, ЦАО;Управление социальной защиты населения Пресненского района, ЦАО г. Москва, Улица 1905 года, д. 5;г. Москва, Улица 1905 года, д. 5;3712,000025;10324,4947;(499) 256-24-11, (499) 256-67-40;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
27;7;Управление социальной защиты населения района Замоскворечье, ЦАО;Управление социальной защиты населения района Замоскворечье, ЦАО г. Москва, ул. Люсиновская, д. 43;г. Москва, ул. Люсиновская, д. 43;7928,418032;6059,283541;(499) 764-53-23, (499) 764-51-84;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
28;8;Управление социальной защиты населения района Хамовники, ЦАО;Управление социальной защиты населения района Хамовники, ЦАО г. Москва, Комсомольский пр-т, д. 5/2;г. Москва, Комсомольский пр-т, д. 5/2;5978,3275;7222,853773;(499) 246-83-43, (499) 246-76-32;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
29;9;Управление социальной защиты населения района Якиманка, ЦАО;Управление социальной защиты населения района Якиманка, ЦАО г. Москва, ул. Малая Полянка, д. 4/6;г. Москва, ул. Малая Полянка, д. 4/6;7443,61125;7639,322639;(499) 238-11-57;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
30;10;Управление социальной защиты населения Таганского района, ЦАО;Управление социальной защиты населения Таганского района, ЦАО г. Москва, ул.Воронцовская, д. 21;г. Москва, ул.Воронцовская, д. 21;10124,5201;7786,433124;(495) 912-27-03, (495) 912-77-16;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
31;21;Управление социальной защиты населения района Коптево, САО;Управление социальной защиты населения района Коптево, САО г. Москва, ул. Космонавта Волкова, д. 27;г. Москва, ул. Космонавта Волкова, д. 27;1631,20575;16638,06183;(499) 156-06-90, (499) 156-05-80;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
32;22;Управление социальной защиты населения района Левобережный, САО;Управление социальной защиты населения района Левобережный, САО г. Москва, ул. Беломорская, д.5, корп.3;г. Москва, ул. Беломорская, д.5, корп.3;-1810,136699;22165,35536;(499) 458-80-49, (499) 457-51-02;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
33;23;Управление социальной защиты населения района Сокол, САО;Управление социальной защиты населения района Сокол, САО г. Москва Чапаевский переулок д.18/1;г. Москва Чапаевский переулок д.18/1;1206,049725;14371,85779;(499)-195-92-96, (499) 195-91-17;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
34;24;Управление социальной защиты населения района Ховрино, САО;Управление социальной защиты населения района Ховрино, САО г. Москва , ул. Онежская, д. 53, корп. 4 а;г. Москва , ул. Онежская, д. 53, корп. 4 а;449,2272095;21425,89507;(495) 453-31-91, (495) 454-01-26;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
35;25;Управление социальной защиты населения Тимирязевского района, САО;Управление социальной защиты населения Тимирязевского района, САО г. Москва, Дмитровское ш., д. 5, корп. 1;г. Москва, Дмитровское ш., д. 5, корп. 1;4448,897425;19887,30759;(499) 976-71-56, (499) 976-79-33;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
36;26;Управление социальной защиты населения Хорошевского района, САО;Управление социальной защиты населения Хорошевского района, САО г. Москва, Хорошевское шоссе, д. 68, корп. 5;г. Москва, Хорошевское шоссе, д. 68, корп. 5;1826,492375;12534,82962;(499)-195-81-02, (499)-195-30-17;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
37;27;Управление социальной защиты населения Савеловского района, САО;Управление социальной защиты населения Савеловского района, САО г. Москва, ул. Верхняя Масловка, д. 24;г. Москва, ул. Верхняя Масловка, д. 24;3882,396;14495,69216;(495) 614-89-60, (495) 614-86-10;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
38;28;Управление социальной защиты населения Северо-Восточного административного округа г. Москвы;Управление социальной защиты населения Северо-Восточного административного округа г. Москвы г. Москва, ул. Коминтерна, д. 20/2;г. Москва, ул. Коминтерна, д. 20/2;11468,20793;21988,1454;(499) 184-42-66, (499) 184-41-81;пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
