0_OBJECTID;0_UIDNFTN;0_Код;0_АС УР OLD_ID;0_Наименование объекта;1_Адресный ориентир;1_Стоимость посещения;0_Координата X;0_Координата Y;0_УНОМ БТИ;0_ID спортивной зоны/зоны отдыха;0_Тип спортивной зоны/зоны отдыха;0_Название спортивной зоны/зоны отдыха;1_Наличие проката оборудования и инвентаря (да/нет);1_Время работы;1_Тип покрытия;1_Освещение;1_Наличие бесплатных занятий (да/нет);1_Стоимость проката оборудования и инвентаря (указать наименование);0_Уточненные координаты (широта);0_Уточненные координаты  (долгота);0_ID объекта;0_Тип объекта;1_Ведомственная принадлежность;1_Округ;1_Район;1_Наличие сервиса технического обслуживания инвентаря (да/нет);1_Наличие раздевалки (да/нет);1_Наличие звукового сопровождения (да/нет);1_Наличие точки питания (да/нет);1_Наличие туалета (да/нет);1_Наличие точки доступа в интернет, Wi-Fi (да/нет);1_Наличие банкомата (да/нет);1_Наличие медпункта (да/нет);1_ОГРН эксплуатирующей организации;1_Наименование эксплуатирующей организации, предоставляющей услугу по спортивной зоне/зоне объекта;1_Телефон эксплуатирующей организации;1_Сайт эксплуатирующей организации;1_Электронная почта эксплуатирующей организации;0_Статус;0_Комментарии
1;580;580;DK____264;"ПКиО ""Перовский""";ул.Лазо,вл.7;сведения отсутствуют;17482,3518;8359,7966;2122314;0;летняя эстрада, сцена;;нет;6:00-24:00;специальное;без освещения;да;нет;;;0;парки (озелененные городские территории);Департамент культуры города Москвы;ВАО;Перово;нет;нет;да;нет;нет;да;нет;нет;1027700441746;"ГАУК г.Москвы ""ПКиО ""Перовский""";(495) 368-26-21;perovskiypark.ru;ppkio@mail.ru;Подтверждено;
2;515;515;DK____199;"ГАУК г. Москвы МГС ""Эрмитаж""";ул. Каретный ряд, д.3 стр.7;бесплатно;6854,5746;11619,2473;2111236;0;летняя эстрада, сцена;;нет;10:00-21:00;специальное;смешанное освещение;нет;нет;;;0;досуговые центры;Департамент культуры города Москвы;ЦАО;Тверской;нет;да;да;нет;нет;да;нет;нет;1027739198057;"ГАУК г. Москвы МГС ""Эрмитаж""";(495) 699-08-49;www.mosgorsad.ru;info@mosgorsad.ru;Подтверждено;
3;406;406;DK____90;Сад культуры и отдыха им. Н.Э. Баумана;ул. Старая Басманная, д.15;бесплатно;10113,3274;11027,5089;0;0;летняя эстрада, сцена;;нет;в соответсвии с расписанием мероприятий;деревянное;смешанное освещение;нет;нет;;;0;парки (озелененные городские территории);Департамент культуры города Москвы;ЦАО;Басманный;нет;да;да;да;да;да;нет;нет;1027739060315;"ГАУК ""Сад культуры и отдыха им. Н.Э. Баумана""";(499) 261-58-83;sadbaumana.ru;info@sbaumana.ru;Подтверждено;
4;448;448;DK____132;"эстрада ""Солнечная""";Народный пр-т, д.17;сведения отсутствуют;16149,7418;11698,4627;0;0;летняя эстрада, сцена;"эстрада ""Солнечная""";нет;вых. с 12:00 до 20:00;асфальтовое, бетонное;уличные столбы освещения;да;нет;;;0;парки (озелененные городские территории);Департамент культуры города Москвы;ВАО;Измайлово;нет;нет;да;нет;да;да;нет;нет;1037739542719;"ГАУК г. Москвы ""Измайловский ПКиО""";(499) 166-61-19;www.izmailovsky-park.ru;izmpark@mail.ru;Подтверждено;
5;2591;2591;DOGM__1999;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 302;Северо-Восточный / Алтуфьевский / Инженерная ул. / Дом- 16;бесплатно;5080,2004;23721,85;2108949;9869;летняя эстрада, сцена;;нет;круглосуточно;деревянное;без освещения;да;нет;;;9869;общеобразовательные учреждения;Департамент образования города Москвы;СВАО;Алтуфьевский;нет;нет;нет;нет;нет;нет;нет;нет;1037739208517;ГБОУ СОШ №302;(499) 900-90-30;sch302sv.mskobr.ru;scool302@mail.ru;;
6;558;558;DK____242;Открытая эстрада;ул. Таганская, д. 40-42 стр.9;бесплатно;10620,1084;7958,7137;4302684;0;летняя эстрада, сцена;;нет;с 7.00 до 23.00;асфальтовое, бетонное;смешанное освещение;да;нет;;;0;парки (озелененные городские территории);Департамент культуры города Москвы;ЦАО;Таганский;нет;нет;да;да;да;нет;нет;нет;1027739718203;"ГАУК г. Москвы ПКиО ""Таганский""";(495) 912-27-17;www.parktaganskiy.ru;gpkiotag@mail.ru;Подтверждено;
7;510;510;DK____194;эстрада;Мантулинская ул., д.5 стр.2;бесплатно;3374,9662;9837,9855;2106452;0;летняя эстрада, сцена;;нет;"будни с 16:00 до 23:00; выходные с 10:00 до 23:00";деревянное;смешанное освещение;да;нет;;;0;досуговые центры;Департамент культуры города Москвы;ЦАО;Пресненский;нет;да;да;нет;да;да;нет;нет;1027739692188;"ГАУК г.Москвы ПКиО ""Красная Пресня""";(499) 256-13-02;www.p-kp.ru;pkiokp@gmail.com;Подтверждено;
8;367;367;DK____51;"ПКиО ""Северное Тушино""";ул. Свободы, д.56;сведения отсутствуют;-2846,2486;21398,0047;0;0;летняя эстрада, сцена;;нет;10:00-22:00;деревянное;лампы дневного освещения;да;нет;;;0;парки (озелененные городские территории);Департамент культуры города Москвы;СЗАО;Северное Тушино;нет;нет;да;да;да;да;нет;нет;1027739926631;"ГАУК г.Москвы ПКиО ""Северное Тушино""";(495) 497-51-84;mosparks.ru;tushpark@yandex.ru;Подтверждено;
9;4588;4588;DPIOOS92;"ПП ""Серебряный бор""";ул. Таманская 107 б;нет;-5293,2994;13422,2169;;0;летняя эстрада, сцена;;нет;"будни с 00:00 до 24:00; выходные с 00:00 до 24:00";деревянное;лампы дневного освещения;да;нет;;;0;досуговые центры;Департамент природопользования и охраны окружающей среды города Москвы;СЗАО;Хорошёво-Мневники;нет;нет;нет;нет;нет;нет;нет;нет;1047796141326;"ГПБУ ""Управление ООПТ по СЗАО""";(499) 199-01-14;www.oopt-szao.ru;gpbu@oopt-szao.ru;Добавлено;
10;4589;4589;DPIOOS93;"ПП ""Серебряный бор""";ул. Таманская 110;нет;-5134,5491;13300,5083;;0;летняя эстрада, сцена;;нет;"будни с 00:00 до 24:00; выходные с 00:00 до 24:00";деревянное;уличные столбы освещения;да;нет;;;0;досуговые центры;Департамент природопользования и охраны окружающей среды города Москвы;СЗАО;Хорошёво-Мневники;нет;нет;нет;нет;нет;нет;нет;нет;1047796141326;"ГПБУ ""Управление ООПТ по СЗАО""";(499) 199-01-14;www.oopt-szao.ru;gpbu@oopt-szao.ru;Добавлено;
