0_OBJECTID;0_UIDNFTN;0_Код;0_АС УР OLD_ID;0_Наименование объекта;1_Адресный ориентир;1_Стоимость посещения;0_Координата X;0_Координата Y;0_УНОМ БТИ;0_ID спортивной зоны/зоны отдыха;0_Тип спортивной зоны/зоны отдыха;0_Название спортивной зоны/зоны отдыха;1_Наличие проката оборудования и инвентаря (да/нет);1_Время работы;1_Тип покрытия;1_Освещение;1_Наличие бесплатных занятий (да/нет);1_Стоимость проката оборудования и инвентаря (указать наименование);0_Уточненные координаты (широта);0_Уточненные координаты  (долгота);0_ID объекта;0_Тип объекта;1_Ведомственная принадлежность;1_Округ;1_Район;1_Наличие сервиса технического обслуживания инвентаря (да/нет);1_Наличие раздевалки (да/нет);1_Наличие звукового сопровождения (да/нет);1_Наличие точки питания (да/нет);1_Наличие туалета (да/нет);1_Наличие точки доступа в интернет, Wi-Fi (да/нет);1_Наличие банкомата (да/нет);1_Наличие медпункта (да/нет);1_ОГРН эксплуатирующей организации;1_Наименование эксплуатирующей организации, предоставляющей услугу по спортивной зоне/зоне объекта;1_Телефон эксплуатирующей организации;1_Сайт эксплуатирующей организации;1_Электронная почта эксплуатирующей организации;0_Статус;0_Комментарии
9;4098;4098;DOGM__3506;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1142; ул. Перерва, дом 36;бесплатно;14955,8356;-1815,4456;2131292;9295;стрелковый тир;;нет;по графику;асфальтовое, бетонное;без освещения;да;нет;;;9295;общеобразовательные учреждения;Департамент образования города Москвы;ЮВАО;Марьино;нет;нет;нет;нет;нет;нет;нет;нет;1037739320255;ГБОУ СОШ № 1142;(499) 356-35-81;schuv1142.mskobr.ru;school1142@mail.ru;;
10;3978;3978;DOGM__3386;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 644 ""Гармония"""; ул. Вилиса Лациса, дом11, корп.2;бесплатно;-4461,9963;21763,511;2113827;9587;стрелковый тир;стрелковый тир;нет;Свободный график;асфальтовое, бетонное;лампы дневного освещения;да;нет;;;9587;общеобразовательные учреждения;Департамент образования города Москвы;СЗАО;Северное Тушино;нет;нет;нет;нет;нет;нет;нет;нет;1027700554430;"ГБОУ ЦО № 644 ""Гармония""";(495) 495-52-45;www.co644.mskobr.ru;sch644@szouo.ru;нет данных;
11;4473;4473;DOGM__3881;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 883"; Планерная ул.,дом 5, корп. 2;бесплатно;-4180,8967;21537,0847;2113821;9579;стрелковый тир;стрелковый тир;нет;с 9:00 до 22:00;искусственное;лампы дневного освещения;да;нет;;;9579;общеобразовательные учреждения;Департамент образования города Москвы;СЗАО;Северное Тушино;нет;нет;нет;нет;нет;нет;нет;да;1037739180093;ГБОУ СОШ № 883;(495) 495-84-28;sch883.mskobr.ru;sch883@rambler.ru;нет данных;
36;36;;;"ГБОУ СОШ № 709
";" 9-я Северная линия  дом 1; корп. 2
";бесплатно;3634,5732;29901,8601;;;Стрелковый тир;стрелковый тир;"Нет
";" будни с 15:00 до 19:00,
";"искусственное покрытие
";"
лампы дневного освещения
";да;нет;;;;"общеобразовательные учреждения
";"Департамент образования города Москвы
";"СВАО
";"Северный
";"Нет
";"Да
";"Да
";"Нет
";да;"Нет
";"Нет
";да;" 1027700565640
";"ГБОУ СОШ № 709
";" (499) 767-60-11
";http://schz709sv.mskobr.ru/; sch709@yandex.ru;нет данных;
13;4652;4652;MSPORT32;Государственное бюджетное учреждение дополнительного образования детей спортивной направленности города Москвы «Специализированная Детско-юношеская спортивная школа олимпийского резерва «Северный» Департамента физической культуры и спорта города Москвы;9-я Северная линия 1Б;только для учащихся;3623,4002;30050,785;;106911;стрелковый тир;стрелковый тир;нет;Понедельник с 8:00 до 23:00 Вторник с 8:00 до 23:00 Среда с 8:00 до 23:00 Четверг с 8:00 до 23:00 Пятница с 8:00 до 23:00 Суббота с 8:00 до 23:00 Воскресенье с 8:00 до 23:00;искусственное;смешанное освещение;да;нет;55.93691655345247;37.55620005266622;39815;учреждения (центры) дополнительного образования;Департамент физической культуры и спорта города Москвы;СВАО;Северный;нет;да;да;да;да;нет;нет;да;1037739219319;"Государственное бюджетное образовательное учреждение дополнительного образования детей спортивной направленности города Москвы ""Специализированная детско-юношеская спортивная школа олимпийского резерва ""Северный"" Департамента физической культуры и спорта";(499) 767-89-16;severny.mossport.ru;severny@mossport.ru;внесены изменения;
37;37;;;"ГБОУ СОШ № 1007
";" Солнцевский просп.  дом 7А
";"бесплатно
";-6285,3585;-2012,2573;;;"Стрелковый тир
";;"Нет
";" с 8.30 до 17.00
";"асфальтовое, бетонное покрытие
";"лампы дневного освещения
";"Да
";"Нет
";;;;"общеобразовательные учреждения
";"Департамент образования города Москвы
";"ЗАО
";"Солнцево
";"Нет
";"Нет
";"Нет
";"Нет
";"Нет
";да;"Нет
";да;" 1037739029899
";"ГБОУ СОШ № 1007
";" (495) 435-99-32
";"http://sch1007.mskzapad.ru/
";" sch1007@yandex.ru
";;
19;4759;4759;MSPORT139;"СК ""Борисово"" ГБОУ ДОДСН МГФСО Москомспорта";ул. Борисовские Пруды 29А;только для учащихся;14389,3539;-3450,9424;;105968;стрелковый тир;стрелковый тир;нет;Понедельник с 8:00 до 23:00 Вторник с 8:00 до 23:00 Среда с 8:00 до 23:00 Четверг с 8:00 до 23:00 Пятница с 8:00 до 23:00 Суббота с 8:00 до 23:00 Воскресенье с 8:00 до 23:00;искусственное;лампы дневного освещения;да;нет;55.63581841428601;37.72672324539477;39574;учреждения (центры) дополнительного образования;Департамент физической культуры и спорта города Москвы;ЮАО;Москворечье-Сабурово;нет;нет;нет;нет;нет;нет;нет;нет;1027700174677;"Государственное бюджетное образовательное учреждение дополнительного образования детей спортивной направленности города Москвы Специализированная детско-юношеская спортивная школа олимпийского резерва ""Московское городское физкультурно-спортивное объедин";(499) 242-88-59;mgfso.ru;mgfso@mossport.ru;внесены изменения;
38;38;;;"стрелковый клуб
";" Боровское шоссе  дом 2; Стр- 78
";"бесплатно
";-5339,0178;-696,1392;;;"Стрелковый тир
";;"Нет
";" с 15:00 до 20:00
";"искусственное покрытие
";"лампы дневного освещения
";"Да
";"Нет
";;;;"учреждения (центры) дополнительного образования
";"Департамент образования города Москвы
";"ЗАО
";"Раменки
";"Нет
";да;да;нет;да;нет;нет;нет;" 1027739350803
";"ГБОУ ЦТРиГО ""Дар""
";" (495) 931-42-27
";"www.ctr-dar.ru
";" ctrigo.dar@mail.ru
";;
40;40;;;"Спорткомплекс №3
";"Волоколамское шоссе д.4
";"бесплатно
";237,2698;15796,2889;;;"стрелковый тир
";;"нет
";"9.00-17.00
";"искусственное
";"лампы дневного освещения
";"да
";нет;;;;"ВУЗы
";;"САО
";Сокол;"нет
";да;"нет
";"нет
";да;"нет
";"нет
";да;"нет данных
";"нет данных
";"нет данных
";"нет данных
";"нет данных
";;
42;42;;;"Автономная некомерческая организация ""Спортивный досуговый клуб ""Альтаир""
";"2-й Южнопортовый пр. 9
";"Бесплатно
";11516,9633;3762,7218;;;"стрелковый тир
";;"нет
";"будние: с 17:00 до 22:00
";"специальное
";"лампы дневного освещения
";"да
";"Нет
";;;;"стрелковые стенды, стрельбища, тиры
";"Общественная организация
";"ЮВАО
";"Южнопортовый
";"да
";"да
";"да
";"нет
";"да
";"нет
";"нет
";"да
";"1077799004502
";"Автономная некомерческая организация ""Спортивный досуговый клуб ""Альтаир""
";"+7 (495) 710 3945
";нет;"altairklub@yandex.ru
";;
