0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_ui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
1;Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Искра»                                                                                                                                               ;ГБУК г.Москвы «Московский кинотеатр для детей и юношества «Искра»                                                                                                                                                                                             ;127422, г.Москва, ул. Костякова, д.10                                                                                                                                                                                                                         ;4575,627625;16411,90365;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Тимирязевский                                                                                                                                                                                                                                                 ;127422, г.Москва, ул. Костякова, д.10                                                                                                                                                                                                                         ;(495) 976-14-44, (495) 976-27-24                                                                                                                                                                                                                              ;(495) 976-14-44, (495) 976-27-24                                                                                                                                                                                                                              ;kino-iskra.ru                                                                                                                                                                                                                                                 ;kino-iskra@mail.ru                                                                                                                                                                                                                                            
2;Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Арктика»                                                                                                                                             ;ГБУК г.Москвы «Московский кинотеатр для детей и юношества «Арктика»                                                                                                                                                                                           ;129327, г.Москва, ул. Менжинского, д.6                                                                                                                                                                                                                        ;11462,74444;22165,01118;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Лосиноостровский                                                                                                                                                                                                                                              ;129327, г.Москва, ул. Менжинского, д.6                                                                                                                                                                                                                        ;(499) 184-27-27, (499) 184-27-18, (499) 184-27-00                                                                                                                                                                                                             ;(499) 184-27-00                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;kino-arktika@mail.ru                                                                                                                                                                                                                                          
3;Государственное бюджетное учреждение культуры города Москвы «Московский кинотеатр для детей и юношества «Вымпел»                                                                                                                                              ;ГБУК г.Москвы «Московский кинотеатр для детей и юношества «Вымпел»                                                                                                                                                                                            ;129344, г.Москва, ул. Коминтерна, д.8                                                                                                                                                                                                                         ;11199,31108;21708,28842;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Восточный АО                                                                                                                                                                                                                                           ;Бабушкинский                                                                                                                                                                                                                                                  ;129344, г.Москва, ул. Коминтерна, д.8                                                                                                                                                                                                                         ;(499) 184-41-09                                                                                                                                                                                                                                               ;(499) 184-41-09                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;vympel-sv@yandex.ru                                                                                                                                                                                                                                           
4;Государственное бюджетное учреждение культуры города Москвы «Московское кино»                                                                                                                                                                                 ;ГБУК г.Москвы «Московское кино»                                                                                                                                                                                                                               ;105187, г.Москва, Окружной пр-д, д.17                                                                                                                                                                                                                         ;15261,61193;13455,2924;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Соколиная Гора                                                                                                                                                                                                                                                ;105187, г.Москва, Окружной пр-д, д.16                                                                                                                                                                                                                         ;(499) 369-77-51, (499) 369-77-82                                                                                                                                                                                                                              ;(499) 369-77-82                                                                                                                                                                                                                                               ;mos-kino.ru                                                                                                                                                                                                                                                   ;mos-kino@yandex.ru                                                                                                                                                                                                                                            
5;Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Баку»                                                                                                                                                               ;Кинотеатр «Баку»                                                                                                                                                                                                                                              ;125315, г.Москва, ул. Усиевича, д.12                                                                                                                                                                                                                          ;1883,012091;15510,53408;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;105187, г.Москва, Окружной пр-д, д.16                                                                                                                                                                                                                         ;(499) 369-77-51, (499) 369-77-82                                                                                                                                                                                                                              ;(499) 369-77-82                                                                                                                                                                                                                                               ;mos-kino.ru                                                                                                                                                                                                                                                   ;mos-kino@yandex.ru                                                                                                                                                                                                                                            
6;Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Бирюсинка»                                                                                                                                                          ;Кинотеатр «Бирюсинка»                                                                                                                                                                                                                                         ;117403, г.Москва, ул. Булатниковская, д.9а                                                                                                                                                                                                                    ;9497,54809;-9722,657372;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;105187, г.Москва, Окружной пр-д, д.16                                                                                                                                                                                                                         ;(499) 369-77-51, (499) 369-77-82                                                                                                                                                                                                                              ;(499) 369-77-82                                                                                                                                                                                                                                               ;mos-kino.ru                                                                                                                                                                                                                                                   ;mos-kino@yandex.ru                                                                                                                                                                                                                                            
7;Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Владивосток»                                                                                                                                                        ;Кинотеатр «Владивосток»                                                                                                                                                                                                                                       ;111398, г.Москва, ул. Лазо, д.3                                                                                                                                                                                                                               ;17351,5626;8562,14182;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;105187, г.Москва, Окружной пр-д, д.16                                                                                                                                                                                                                         ;(499) 369-77-51, (499) 369-77-82                                                                                                                                                                                                                              ;(499) 369-77-82                                                                                                                                                                                                                                               ;mos-kino.ru                                                                                                                                                                                                                                                   ;mos-kino@yandex.ru                                                                                                                                                                                                                                            
8;Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Волга»                                                                                                                                                              ;Кинотеатр «Волга»                                                                                                                                                                                                                                             ;127411, г.Москва, Дмитровское ш., д.133 корп.1                                                                                                                                                                                                                ;2629,400239;24793,40707;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;105187, г.Москва, Окружной пр-д, д.16                                                                                                                                                                                                                         ;(499) 369-77-51, (499) 369-77-82                                                                                                                                                                                                                              ;(499) 369-77-82                                                                                                                                                                                                                                               ;mos-kino.ru                                                                                                                                                                                                                                                   ;mos-kino@yandex.ru                                                                                                                                                                                                                                            
9;Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Восход»                                                                                                                                                             ;Кинотеатр «Восход»                                                                                                                                                                                                                                            ;109428, г.Москва, ул. Михайлова, д.29                                                                                                                                                                                                                         ;17155,41559;6665,082287;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;105187, г.Москва, Окружной пр-д, д.16                                                                                                                                                                                                                         ;(499) 369-77-51, (499) 369-77-82                                                                                                                                                                                                                              ;(499) 369-77-82                                                                                                                                                                                                                                               ;mos-kino.ru                                                                                                                                                                                                                                                   ;mos-kino@yandex.ru                                                                                                                                                                                                                                            
10;Государственное бюджетное учреждение культуры города Москвы «Московское кино». Кинотеатр «Звезда»                                                                                                                                                             ;Кинотеатр «Звезда»                                                                                                                                                                                                                                            ;105064, г.Москва, ул. Земляной Вал, д.18-22 стр.2                                                                                                                                                                                                             ;9912,250014;10471,00743;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;105187, г.Москва, Окружной пр-д, д.16                                                                                                                                                                                                                         ;(499) 369-77-51, (499) 369-77-82                                                                                                                                                                                                                              ;(499) 369-77-82                                                                                                                                                                                                                                               ;mos-kino.ru                                                                                                                                                                                                                                                   ;mos-kino@yandex.ru                                                                                                                                                                                                                                            
