0_OBJECTID;0_UIDNFTN;0_Код;0_АС УР OLD_ID;0_Наименование объекта;1_Адресный ориентир;1_Стоимость посещения;0_Координата X;0_Координата Y;0_УНОМ БТИ;0_ID спортивной зоны/зоны отдыха;0_Тип спортивной зоны/зоны отдыха;0_Название спортивной зоны/зоны отдыха;1_Наличие проката оборудования и инвентаря (да/нет);1_Время работы;1_Тип покрытия;1_Освещение;1_Наличие бесплатных занятий (да/нет);1_Стоимость проката оборудования и инвентаря (указать наименование);0_Уточненные координаты (широта);0_Уточненные координаты  (долгота);0_ID объекта;0_Тип объекта;1_Ведомственная принадлежность;1_Округ;1_Район;1_Наличие сервиса технического обслуживания инвентаря (да/нет);1_Наличие раздевалки (да/нет);1_Наличие звукового сопровождения (да/нет);1_Наличие точки питания (да/нет);1_Наличие туалета (да/нет);1_Наличие точки доступа в интернет, Wi-Fi (да/нет);1_Наличие банкомата (да/нет);1_Наличие медпункта (да/нет);1_ОГРН эксплуатирующей организации;1_Наименование эксплуатирующей организации, предоставляющей услугу по спортивной зоне/зоне объекта;1_Телефон эксплуатирующей организации;1_Сайт эксплуатирующей организации;1_Электронная почта эксплуатирующей организации;0_Статус;0_Комментарии
15;15;;;Скейт парк в ГАУК г. Москвы ПКиО «Сокольники»;"Сокольнический вал, 1, стр. 1
";"бесплатно
";11197,4699;13961,7692;;;"Роллердром, скейтпарк
";;нет;"нет данных
";"асфальтовое, бетонное
";"уличные столбы освещения
";нет;нет данных;;;;"парки (озелененные городские территории
";"Департамент культуры города Москвы
";ВАО;"Сокольники
";нет;нет;да;нет;да;да;нет;нет;"1027700123285
";"ГАУК г.Москвы ПКиО ""Сокольники""
";"(499) 268-54-30
";"http://park.sokolniki.com/
";"info@park.sokolniki.com
";;
16;16;;;"Роллердром в ТРЦ Роллхолл
";"Холодильный пер., д.3
";"300-350 со своими роликами
";7974,398;4600,9648;;;"Роллердром, скейтпарк
";;"да
";"10.00-22.00
";"специальное
";"прожекторное освещение
";да;"240-270
";;;;"досуговые центры
";нет данных;ЮАО;"Донской
";"да
";"да
";"да
";"да
";"да
";"да
";"да
";нет;"нет данных
";нет данных;"(495) 954-55-52
";"http://rollholl.ru/
";"info@centr.ru
";;
17;17;;;"Роллердром в парке 850-летия Москвы
";"Луговой пр-д, 9, к. 2
";"бесплатно
";16220,7189;-2175,1872;;;"Роллердром, скейтпарк
";;"нет
";"нет данных
";"асфальтовое, бетонное
";"смешанное освещение
";да;"нет данных
";;;;"парки (озелененные городские территории
";"нет данных
";ЮВАО;"Марьино
";"нет
";"нет
";"нет
";"нет
";"нет
";"нет
";"нет
";"нет
";нет данных ;нет данных;"(495) 743-56-48
";"http://www.park850.ru/
";"info@park850.ru
";;
18;18;;;сведения отсутствуют;Парковая зона поймы реки Яуза, у Метромоста;бесплатно;10262,0805;23822,5424;;;роллердром, скейтпарк;Парковая зона поймы реки Яуза;нет;круглосуточно;асфальтовое, бетонное;уличные столбы освещения;да;нет;;;;плоскостные спортивные сооружения;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;СВАО;Бабушкинский;нет;нет;нет;нет;нет;нет;нет;нет;1087746279830;"Государственное казенное учреждение ""Единая городская служба заказчика по озеленительным работам в Москве""";(495) 625-48-32;нет;info@guzenlenxoz.ru;Добавлено;
19;19;;;Роллердром в учебно-спортивном оздоровительном комплексе «Октябрь»;"ул. Живописная, 21
";"нет данных
";-3083,4917;13669,5756;;;"Роллердром, скейтпарк
";;да;"нет данных
";"асфальтовое, бетонное
";"смешанное освещение
";нет;"нет данных
";;;;"физкультурно-оздоровительные комплексы
";нет данных;СЗАО;"Щукино
";нет;да;"нет
";"нет
";да;"нет
";"нет
";"нет
";"нет данных
";"нет данных
";"нет данных
";"нет данных
";"нет данных
";;
20;20;;;Роллердром на Гребном канале в Крылатском;"ул. Крылатская, 2
";"бесплатно
";-3934,7203;9777,3108;;;"Роллердром, скейтпарк
";;"нет
";"нет данных
";"асфальтовое, бетонное
";"смешанное освещение
";да;нет данных;;;;"парки (озелененные городские территории
";нет данных;ЗАО;"Крылатское
";"нет
";"нет
";"нет
";"нет
";"нет
";"нет
";"нет
";"нет
";нет данных;нет данных;нет данных;нет данных;нет данных;;
1;343;343;DK____27;сведения отсутствуют;Народный пр-т, д.17;0;16686,8471;10540,2468;;0;роллердром, скейтпарк;;нет;ежедневно с 09:00 до 22:00;асфальтовое, бетонное;уличные столбы освещения;нет;0;;;0;плоскостные спортивные сооружения;Департамент культуры города Москвы;ВАО;Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1037739542719;"ГАУК г. Москвы ""Измайловский ПКиО""";(499) 166-61-19;www.izmailovsky-park.ru;izmpark@mail.ru;Подтверждено;
2;549;549;DK____233;"ПКиО ""Фили""";ул. Большая Филевская, д.22;0;-2056,4149;8157,5903;;0;роллердром, скейтпарк;;да;11.00-20.00;асфальтовое, бетонное;без освещения;да;0;;;0;велодромы;Департамент культуры города Москвы;ЗАО;Филёвский Парк;нет;нет;нет;нет;нет;нет;нет;нет;1037739444060;"ГАУК г. Москвы ""ПКиО ""Фили""";(499) 145-45-05;parkfili.com;info@parkfili.com;Подтверждено;
5;500;500;DK____184;"ГАУК г.Москвы ПКиО ""Красная Пресня""";Мантулинская ул., д.5 стр.2;бесплатно;3610,6047;9662,3702;;0;роллердром, скейтпарк;;нет;будни,выходные с 00.00 до 00.00;асфальтовое, бетонное;уличные столбы освещения;да;нет;;;0;плоскостные спортивные сооружения;Департамент культуры города Москвы;ЦАО;Пресненский;нет;нет;да;нет;да;да;нет;нет;1027739692188;"ГАУК г.Москвы ПКиО ""Красная Пресня""";8(499) 256-13-02;www.p-kp.ru;pkiokp@gmail.com;Подтверждено;
21;21;;;"сведения отсутствуют

";Извилистый проезд, д. 15;бесплатно;11038,6154;24028,5637;;;роллердром, скейтпарк;Парковая зона поймы реки Яуза;нет;круглосуточно;асфальтовое, бетонное;без освещения;да;нет;;;;плоскостные спортивные сооружения;Департамент физической культуры и спорта города Москвы;СВАО;Бабушкинский;нет;нет;нет;нет;нет;нет;нет;нет;;Префектура СВАО;(495) 681-17-10;http://www.svao.mos.ru/; prefectura@svao.mos.ru;Добавлено;
