0_UIDNFTN;1_Название;0_LABEL;1_Адрес;0_X;0_Y;0_BUI_NO_BTI;0_CAD_NO;0_STREET_BTI;0_HOUSE_BTI;0_HADD_BTI;1_Административный округ;1_Руководитель;1_Телефон;1_Факс;1_Доп. информация;0_POINT_X;0_POINT_Y
1;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 1  Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 1  Департамента здравоохранения города Москвы;127006, Москва, Садовая-Каретная ул., д. 4/6;6770.28702500000;11732.92275010000;0;;;;;;Чекалина Татьяна Леонидовна;699-8481;699-8481;;4186292.93550000010;7513231.83750000040
2;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 6  Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 6  Департамента здравоохранения города Москвы;109469, Москва, Марьинский бульвар, д.10,к.1;16713.06939350000;-1568.61219739000;0;;;;;;Шошина Валерия Станиславовна;345-9314;346-0311;;4203839.56610000040;7489576.92540000010
3;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 10  Департамента здравоохранения   города Москвы»; Детская стоматологическая поликлиника № 10  Департамента здравоохранения   города Москвы;125167, Москва, Эльдорадовский пер., д.5;3092.29735000000;14803.71043910000;0;;;;;;Мельникова Оксана Витальевна;(495) 614-6923;(495) 614-6923;;4179772.70310000000;7518699.40909999980
4;Государственное бюджетное учреждение здравоохранения города Москвы « Детская стоматологическая поликлиника № 16  Департамента здравоохранения  города Москвы»; Детская стоматологическая поликлиника № 16  Департамента здравоохранения  города Москвы;127572, Москва, Алтуфьевское шоссе, д.93;5475.30752976000;25968.31609500000;0;;;;;;Цымбал Нелля Дмитриевна;(499) 200-8792;(499) 200-6755;;4184026.89869999980;7538580.46090000030
5;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 21   Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 21   Департамента здравоохранения города Москвы;127434, Москва, Дмитровское шоссе, д. 13, к.2;4648.59710000000;16852.94797400000;0;;;;;;Ширягина Галина Степановна;(499) 977-1529;(499) 977-6292;;4182538.92730000010;7522343.09179999960
6;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 25 Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 25 Департамента здравоохранения города Москвы;109443, Москва, Волгоградский проспект, д.110, к.2;17452.60000000000;4018.83052940000;0;;;;;;Кирсанова Елена Юрьевна;8-499-172-3850;8-499-172-3850;;4205186.46439999990;7499479.82149999960
7;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 26  Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 26  Департамента здравоохранения города Москвы;123098, Москва, ул. маршала Новикова, д.4;-1945.25512500000;15123.17664510000;0;;;;;;Елкина Наталия Михайловна;8-499-190-4738;8-499-190-2394;;4170830.64940000000;7519268.54169999990
8;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 28 Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 28 Департамента здравоохранения города Москвы;121170, Москва, ул. генерала Ермолова, д.12;1060.64165053000;8142.12064295000;0;;;;;;Цыбульский Сергей Андреевич;8-499-148-5261;8-499148-0655;;4176164.02900000010;7506860.37000000010
9;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 29 Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 29 Департамента здравоохранения города Москвы;125252, Москва, 3-я Песчаная ул., д. 5, к.4;1009.50012500000;14149.90792750000;0;;;;;; Галкин Олег Игоревич;(499) 157-5781;(499) 157-5781;;4176075.46160000000;7517538.11830000020
19;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 46  Департамента здравоохранения  города Москвы»; Детская стоматологическая поликлиника № 46  Департамента здравоохранения  города Москвы;111399, Москва, ул. Новогиреевская, д.17;18728.53620000000;10138.26403550000;0;;;;;;Белова Людмила Николаевна;303-3153;303-3153;;4207491.83720000000;7510336.32299999990
20;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 47  Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 47  Департамента здравоохранения города Москвы;115551, Москва, ул.Домодедовская, д.14;13139.43759710000;-6004.34736645000;0;;;;;;Педан Михаил Алексеевич;392-1994;391-7716;;4197496.89219999970;7481741.53980000040
21;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 52  Департамента здравоохранения города Москвы»;Детская стоматологическая поликлиника № 52  Департамента здравоохранения города Москвы;125239, Москва, 3-й Михалковский пер., д.19;1652.95762500000;18819.06535380000;0;;;;;;Плеханова Елена Владимировна;(495) 708-8772;(495) 708-8772;;4177220.28510000000;7525846.52799999990
22;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 54  Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 54  Департамента здравоохранения города Москвы;119415, Москва, ул. Удальцова, д.4;1216.98362800000;658.37661747000;0;;;;;;Ножницкий Михаил Петрович;8-499-131-0178;8-499-131-3220;;4176437.91250000010;7493579.83320000020
23;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 58  Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 58  Департамента здравоохранения города Москвы;115533, Москва, ул. Высокая, д.1;9624.00572500000;1381.31305503000;0;;;;;;Толордава Геронтий Автандилович;8-499-612-8301;8-499-612-8301;;4191314.93990000010;7494843.79239999970
24; Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 59  Департамента здравоохранения города Москвы»;Детская стоматологическая поликлиника № 59  Департамента здравоохранения города Москвы;127566, Москва, Северный бульвар, д.7г, стр.1;6798.10746589000;22179.46450660000;0;;;;;;Фадеев Юрий Макарович;(499) 204-8505;(499) 204-9001;;4186370.62710000020;7531823.24469999970
25;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 63  Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 63  Департамента здравоохранения города Москвы;121351, Москва, ул. Молодогвардейская, д.43/17;-5471.04800000000;7409.35717793000;0;;;;;;Белоусова Алла Владимировна;417-4726;4174226;;4164589.54730000020;7505552.71499999990
10;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 30 Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 30 Департамента здравоохранения города Москвы;119270, Москва, 3-я Фрунзенская ул. , д.6;5250.18757500000;5967.77511714000;0;;;;;;Спивак Григорий Алексеевич;(499) 242-5189;(499) 242-5189;;4183584.69359999990;7502994.38229999970
11;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 36  Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 36  Департамента здравоохранения города Москвы;129090, Москва, М.Сухаревская площадь, д.3/1;8270.55020000000;11863.49966160000;0;;;;;;и.о. Демурия Любовь Эдвардовна;(495) 694-0302;(495) 694-0302;;4188954.48199999980;7513459.43709999970
12;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 37 Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 37 Департамента здравоохранения города Москвы;109382, Москва, ул. Судакова, д.8;15431.29537500000;617.45540093000;0;;;;;;Фролов Виктор Алексеевич;351-6708;351-6708;;4201586.47250000010;7493460.16839999980
13;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 38  Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 38  Департамента здравоохранения города Москвы;107589, Москва, ул. Байкальская, д. 49;20321.41270000000;16895.02872250000;0;;;;;; Колтунов Дмитрий Ефимович;469-50-65;469-5065;;4210371.72819999980;7522338.83829999990
14;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 39  Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 39  Департамента здравоохранения города Москвы;127254, Москва, ул. Гончарова, д.17, стр.1;5702.33390000000;16566.99003440000;0;;;;;;Козлова Ольга Алексеевна;(495) 619-4608;(495) 619-4608;;4184409.56820000010;7521832.04289999980
15;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 41 Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 41 Департамента здравоохранения города Москвы;125363, Москва, ул. Сходненская, д.52;-3595.40021751000;20226.22179920000;0;;;;;;Миленин Вадим Викторович;497-3325;497- 9855;;4167893.53750000010;7528349.84609999970
16;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 43 Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 43 Департамента здравоохранения города Москвы;113570, Москва, ул. Днепропетровская, д.33-б;5590.63443234000;-5573.74491614000;0;;;;;;Ласточкин Александр Александрович;313-4714;313-4714;;4184162.38870000000;7482532.00810000020
17;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 44  Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 44  Департамента здравоохранения города Москвы;119333, Москва, Университетский проспект, д.4а, к.1;3564.71251183000;3427.08546041000;0;;;;;;Спиваков Павел Викторович;930-3369;8-499-137-3808;;4180595.49560000000;7498488.34650000000
18;Государственное бюджетное учреждение здравоохранения города Москвы «Детская стоматологическая поликлиника № 45 Департамента здравоохранения города Москвы»; Детская стоматологическая поликлиника № 45 Департамента здравоохранения города Москвы;105203, Москва, ул. Нижняя Первомайская, д.63;19882.96690000000;13921.42148050000;0;;;;;;Киселева Нина Сергеевна;465-3419;465-3419;;4209569.16069999990;7517052.35529999990
