0_OBJECTID;0_UIDNFTN;0_Код;0_АС УР OLD_ID;0_Наименование объекта;1_Адресный ориентир;1_Стоимость посещения;0_Координата X;0_Координата Y;0_УНОМ БТИ;0_ID спортивной зоны/зоны отдыха;0_Тип спортивной зоны/зоны отдыха;0_Название спортивной зоны/зоны отдыха;1_Наличие проката оборудования и инвентаря (да/нет);1_Время работы;1_Тип покрытия;1_Освещение;1_Наличие бесплатных занятий (да/нет);1_Стоимость проката оборудования и инвентаря (указать наименование);0_Уточненные координаты (широта);0_Уточненные координаты  (долгота);0_ID объекта;0_Тип объекта;1_Ведомственная принадлежность;1_Округ;1_Район;1_Наличие сервиса технического обслуживания инвентаря (да/нет);1_Наличие раздевалки (да/нет);1_Наличие звукового сопровождения (да/нет);1_Наличие точки питания (да/нет);1_Наличие туалета (да/нет);1_Наличие точки доступа в интернет, Wi-Fi (да/нет);1_Наличие банкомата (да/нет);1_Наличие медпункта (да/нет);1_ОГРН эксплуатирующей организации;1_Наименование эксплуатирующей организации, предоставляющей услугу по спортивной зоне/зоне объекта;1_Телефон эксплуатирующей организации;1_Сайт эксплуатирующей организации;1_Электронная почта эксплуатирующей организации;0_Статус;0_Комментарии
1;518;518;DK____202;"ГАУК г. Москвы МГС ""Эрмитаж""";ул. Каретный ряд, д.3 стр.7;бесплатно;7030,7874;11555,7472;2111236;0;пешеходная зона;;нет;круглосуточно;асфальтовое, бетонное;уличные столбы освещения;нет;нет;;;0;парки (озелененные городские территории;Департамент культуры города Москвы;ЦАО;Тверской;нет;нет;да;да;да;да;нет;нет;1027739198057;"ГАУК г. Москвы МГС ""Эрмитаж""";(495) 699-08-49;www.mosgorsad.ru;info@mosgorsad.ru;Подтверждено;
2;911;911;DOGM__319;"Государственное бюджетное образовательное учреждение города Москвы центр образования ""Школа здоровья"" № 943";"Южный / Зябликово / ул. Мусы Джалиля / Дом- 29; Корп- 2";бесплатно;15657,828;-5472,4353;2123162;7938;пешеходная зона;;нет;будни с 18:00 до 21:00;асфальтовое, бетонное;уличные столбы освещения;нет;нет;;;7938;общеобразовательные учреждения;Департамент образования города Москвы;ЮАО;Зябликово;нет;нет;нет;нет;нет;нет;нет;нет;1027739433303;"ЦО ""Школа здоровья"" №943";(495) 396-16-55;sch943.edusite.ru;sch943@sinergi.ru;;
3;552;552;DK____236;"ПКиО ""Фили""";ул. Большая Филевская, д.22;сведения отсутствуют;-1355,2677;8964,5711;0;0;пешеходная зона;;нет;11.00-20.00;натуральное;уличные столбы освещения;да;нет;;;0;парки (озелененные городские территории;Департамент культуры города Москвы;ЗАО;Филёвский Парк;нет;нет;нет;нет;нет;нет;нет;нет;1037739444060;"ГАУК г. Москвы ""ПКиО ""Фили""";(499) 145-45-05;parkfili.com;info@parkfili.com;Подтверждено;
4;393;393;DK____77;сведения отсутствуют;ул. Менжинского, д.6;бесплатно;12060,4848;22933,5079;0;0;пешеходная зона;;нет;06.00-24.00;специальное;уличные столбы освещения;да;нет;;;0;парки (озелененные городские территории;Департамент культуры города Москвы;СВАО;Лосиноостровский;нет;нет;да;да;да;да;нет;нет;1027739522030;"ГАУК г. Москвы ""ПКиО ""Бабушкинский""";(499) 184-34-22;www.parkbabushkinskiy.jimdo.com;babkapark@mail.ru;Подтверждено;
5;396;396;DK____80;Пешеходные дорожки;ул. Люблинская, д.53;нет;15286,5972;2383,3156;0;0;пешеходная зона;Люблино;нет;с 08:00 до 22:00;асфальтовое, бетонное;уличные столбы освещения;да;нет;;;0;парки (озелененные городские территории;Департамент культуры города Москвы;ЮВАО;Люблино;нет;нет;нет;нет;нет;нет;нет;нет;1027700189087;МГОМЗ;(499) 612-11-55;www.mgomz.ru;info@mgomz.ru;Подтверждено;
6;390;390;DK____74;Пешеходные дорожки;проспект Андропова, д.39;нет;10695,2594;-423,7668;0;0;пешеходная зона;Коломенское;нет;с 08:00 до 22:00;асфальтовое, бетонное;уличные столбы освещения;да;нет;;;0;парки (озелененные городские территории;Департамент культуры города Москвы;ЮАО;Нагатинский Затон;нет;нет;нет;нет;нет;нет;нет;нет;1027700189087;МГОМЗ;(499) 612-11-55;www.mgomz.ru;info@mgomz.ru;Подтверждено;
7;399;399;DK____83;Пешеходно-дорожечная сеть;ул. Таганская, вл. 40-42;бесплатно;10671,6869;7970,0155;0;0;пешеходная зона;;нет;с 7.00 до 23.00;асфальтовое, бетонное;уличные столбы освещения;да;нет;;;0;парки (озелененные городские территории;Департамент культуры города Москвы;ЦАО;Таганский;нет;нет;нет;да;да;нет;нет;нет;1027739718203;"ГАУК г. Москвы ПКиО ""Таганский""";(495) 912-27-17;www.parktaganskiy.ru;gpkiotag@mail.ru;Подтверждено;
8;376;376;DK____60;ПКиО «Северное Тушино»;ул. Свободы, д.56;сведения отсутствуют;-2939,2498;21671,0553;0;0;пешеходная зона;;нет;Круглосуточно;асфальтовое, бетонное;уличные столбы освещения;да;нет;;;0;парки (озелененные городские территории;Департамент культуры города Москвы;СЗАО;Северное Тушино;нет;нет;да;да;да;да;нет;нет;1027739926631;"ГАУК г.Москвы ПКиО ""Северное Тушино""";(495) 497-51-84;mosparks.ru;tushpark@yandex.ru;Подтверждено;
9;3349;3349;DOGM__2757;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1583;Северный / Головинский / Смольная ул. / Дом- 25;бесплатно;-230,2051;20349,7097;2112071;11526;пешеходная зона;;нет;c 6:00 до 21:30;асфальтовое, бетонное;уличные столбы освещения;да;нет;;;11526;общеобразовательные учреждения;Департамент образования города Москвы;САО;Головинский;нет;нет;нет;нет;нет;нет;нет;нет;1027700556564;ГБОУ гимназия №1583;(499) 458-02-57;g1583.ru;1583gi@gmail.com;;
10;4545;4545;DPIOOS49;Зона отдыха без купания, Дунькин пруд;Зеленоград, корп.1207;бесплатно;-18913,0527;36711,4806;31151;;пешеходная зона;;нет;круглосуточно;асфальтовое, бетонное;уличные столбы освещения;да;нет;;;;парки (озелененные городские территории;Департамент природопользования и охраны окружающей среды города Москвы;ЗелАО;Силино;нет;нет;нет;нет;нет;да;нет;нет;1037739175979;"ГПБУ ""Управление ООПТ по ЗелАО""";(499) 735-55-56;www.zeloopt.ru;zelleshoz46@mail.ru;Внесены изменения;
