0_OBJECTID;0_Shape;0_UID;1_Название объекта;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4182943.5812 7471979.517800003);3392.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1174;ГБОУ СОШ № 1174;117216, г. Москва, улица Феодосийская, дом 11А;4907.232375;-11538.613878;2132048.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;712-40-36;http://school1174.ru
2;POINT (4196257.2161 7531530.893600002);170.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 750;ГБОУ СОШ № 750;129337, г. Москва, ул. Палехская, д. 8;12358.941175;22027.462974;2124950.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 182-78-87;http://sch750.svao.mskobr.ru
3;POINT (4178909.8357999995 7533678.096000001);186.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 849;ГБОУ СОШ № 849;127247, г. Москва, Бескудниковский бульвар, дом 50-а;2601.45203687;23215.93906;2109672.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;488-12-75;http://sc849.edusite.ru/
4;POINT (4186503.7630000003 7489058.228399999);2418.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 546;ГБОУ СОШ № 546;117452 г. Москва, Симферопольский б-р, д.23а;6910.19125;-1887.4515797;2107310.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(499) 619-90-69; (499) 610-98-11; (499) 619-84-72; (499) 619-34-48; (499) 619-90-61; (499) 619-88-80";http://sch546.edusite.ru/
5;POINT (4192669.385400001 7483965.067400001);2468.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 870;ГБОУ СОШ № 870;115516 г. Москва, ул. Веселая, дом № 12;10403.79725;-4755.80802981;2123044.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495) 322-08-76;http://dou2071@sinergi.ru
6;POINT (4201841.147500001 7479779.023900002);2513.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 979;ГБОУ СОШ № 979;115597 г. Москва, ул. Тамбовская, дом 10;15602.492675;-7105.03717001;2123140.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(095) 397-05-83;http://sch979.edusite.ru
7;POINT (4170638.751699999 7491423.791599996);527.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 14;ГБОУ СОШ № 14;119602  Москва, ул. Анохина, д.32;-2061.351;-557.35252561;2111795.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;430-31-01;http://sch14.mskzapad.ru
8;POINT (4165551.5808000006 7502286.401600003);537.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 61;ГБОУ СОШ № 61;121471 г.Москва, ул. Рябиновая, д.8, корп.2;-4930.29275;5568.94956566;2127011.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;443-32-14;http://sch61.mskzapad.ru
9;POINT (4197636.329 7511491.9344);5479.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 424;ГБОУ СОШ № 424;111020 г. Москва ул. Авиамоторная д.1;13168.2812507;10768.4096229;2708301.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;361-20-60;http://schuv424.mskobr.ru
10;POINT (4185190.8183000013 7459923.388099998);5486.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2047;ГБОУ СОШ № 2047;117148, г.Москва, ул. Маршала Савицкого, дом 26, корпус 4;6190.294175;-18360.8460787;2901143.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(916) 772-76-60;http://sch2047.ru
