0_OBJECTID;0_UIDNFTN;0_Код;0_АС УР OLD_ID;0_Наименование объекта;1_Адресный ориентир;1_Стоимость посещения;0_Координата X;0_Координата Y;0_УНОМ БТИ;0_ID спортивной зоны/зоны отдыха;0_Тип спортивной зоны/зоны отдыха;0_Название спортивной зоны/зоны отдыха;1_Наличие проката оборудования и инвентаря (да/нет);1_Время работы;1_Тип покрытия;1_Освещение;1_Наличие бесплатных занятий (да/нет);1_Стоимость проката оборудования и инвентаря (указать наименование);0_Уточненные координаты (широта);0_Уточненные координаты  (долгота);0_ID объекта;0_Тип объекта;1_Ведомственная принадлежность;1_Округ;1_Район;1_Наличие сервиса технического обслуживания инвентаря (да/нет);1_Наличие раздевалки (да/нет);1_Наличие звукового сопровождения (да/нет);1_Наличие точки питания (да/нет);1_Наличие туалета (да/нет);1_Наличие точки доступа в интернет, Wi-Fi (да/нет);1_Наличие банкомата (да/нет);1_Наличие медпункта (да/нет);1_ОГРН эксплуатирующей организации;1_Наименование эксплуатирующей организации, предоставляющей услугу по спортивной зоне/зоне объекта;1_Телефон эксплуатирующей организации;1_Сайт эксплуатирующей организации;1_Электронная почта эксплуатирующей организации;0_Статус;0_Комментарии
1;419;419;95943;"Спортивный клуб АМ ""Клуб""";ул. Берзарина 17с2;300 руб. заезд;-1211,0619;13464,3313;2138976;95943;Автодром спортивный;;да;10:00-22:00;асфальтовое, бетонное;уличные столбы освещения;да;нет;;;95943;плоскостные спортивные сооружения;частная;СЗАО;Хорошёво-Мневники;да;да;да;нет;да;нет;нет;нет;сведений нет;сведения отсутсвуют;нет;нет;нет;Удалить;Не функционирует в связи с размещением на данной территории бытовых городков (ведется строительство Северо-Западной хорды)
2;264;264;105312;"Картинг- центр ""Arena GP""";Бумажный пр. 19с1;500-2000;5478,3699;13633,5318;3400555;105312;Автодром спортивный;;да;14.00-24.00;асфальтовое, бетонное;лампы дневного освещения;нет;нет;;;105312;автодром;частная;САО;Беговой;да;да;да;да;да;да;нет;да;сведений нет;сведения отсутсвуют;(495) 540-57-63;www.arena-gp.ru;нет;Внесены изменения;
3;3900;3900;;Взрослые игры;ул. Большая Академическая, 38;от 400 до 1000;2322,5463;18426,1462;2133891;;Автодром спортивный;;Да;12.00 до 23.00;асфальтовое, бетонное;уличные столбы освещения;Нет;от 400 до 1000;;;;автодромы;частная;САО;Коптево;Да;Да;Нет;Нет;Да;Да;Нет;Нет;сведений нет;сведения отсутсвуют;(495) 786-22-44;www.ikart.ru;info@ikart.ru;;
4;3;3;105321;"Картинг-клуб ""Пигмалион""";Южнопортовая ул. 7с1;Стоимость заезда: 5 минут - 200р. 10 минут - 300р. Одновременный старт (режим гонки) - 350р. Бронирование трассы на 1 час - 7000р. (вне зависимости от количества машин);12222,8848;4454,899;2702991;105321;Автодром спортивный;"Картинг-клуб ""Пигмалион""";да;"Понедельник-Пятница:
- 10.00 - 22.00 (до последнего клиента)
Суббота - Воскресенье:
- Круглосуточно";асфальтовое, бетонное;смешанное освещение;нет;Стоимость заезда: 5 минут - 200р. 10 минут - 300р. Одновременный старт (режим гонки) - 350р. Бронирование трассы на 1 час - 7000р. (вне зависимости от количества машин);;;105321;автодром;частная;ЮВАО;Южнопортовый;да;да;да;да;да;да;нет;да;сведений нет;сведения отсутсвуют;нет;нет;нет;Удалить;
5;4;4;105306;"Картинг-центр ""Forza karting"" Волгоградка";Волгоградский просп. 32к4;сеанс продолжительностью 10 мин от 350 до 700 рублей;12214,4247;6001,5022;2704577;105306;Автодром спортивный;"Картинг-центр ""Forza karting""";да;"будни: с 14:00 до 02:00
выходные с 12:00 до 02:00";асфальтовое, бетонное;смешанное освещение;да;Нет;;;105306;автодром;частная;ЮВАО;Южнопортовый;да;да;да;да;да;да;нет;да;1097847332604;ИП  Буренко И.Е.;(495) 580-63-56;www.forza-karting.ru;info@forza-karting.ru;Внесены изменения;
6;479;479;105300;"Картинг центр ""Move-kart""";ул. Правды 24с5;650-1150;5413,4926;13534,691;3400560;105300;Автодром спортивный;;да;12.00-02.00;асфальтовое, бетонное;лампы дневного освещения;нет;650-700;;;105300;автодром;частная;САО;Беговой;да;да;нет;да;да;да;нет;нет;1117746177031;"ООО ""Медиа Пресса""";(945) 980-25-15;m-kart,ru/contacts;manager@m-kart.ru;Внесены изменения;
7;317;317;;10 баллов;ул Складочная д.1.стр.6;1000 руб.;6077,8313;15226,6874;2137133;;Автодром спортивный;10 Дюймов;да;будни с 14.00- до 02.00 суббота с12.00 до 06.00 воскресенье с 12.00 до 02.00;асфальтовое, бетонное;прожекторное освещение;нет;от 300 до 690 руб.;;;;автодромы;Частная;СВАО;Бутырский;да;да;да;да;да;да;да;да;1027739873710;"ООО "" Картинг Формула""";(499) 610-20-49;10d.ru;manager@10d.ru;Добавлено;график работы зависит от дня недели, с понедельника по четверг с 14.00 до 02.00, пятница с 14.00 до 06.00, суббота с 12.00 до 06.00, воскресенье с12.00 до 02.00
8;3895;3895;;Le Mans Karting club;ул. Молодогвардейская, д. 54, стр. 5;400 - 650 р. 10 мин.;-6384,2238;7581,9072;3200226;;Автодром спортивный;;Да;12.00 до 23.00;асфальтовое, бетонное;прожекторное освещение;Нет;400 - 650 р. 10 мин.;;;;автодромы;частная;ВАО;Кунцево;Да;Да;Да;Да;Да;Да;Нет;Да;сведений нет;сведения отсутсвуют;(495) 505-02-27;www.lemanskarting.ru;нет данных;;
9;3899;3899;;«Серебряный Дождь»;Варшавское шоссе, д 170-Г;600 р. 10 мин.;5824,2828;-9717,1736;3801838;;Автодром спортивный;;Да;18:00 до 02:00;асфальтовое, бетонное;смешанное освещение;Нет;600 р. 10 мин.;;;;автодромы;частная;ЮАО;Чертаново Южное;Да;Да;Да;Да;Да;Да;Нет;Нет;сведений нет;сведения отсутсвуют;(499) 426-08-30;www.kartcenter.ru;нет данных;;
10;461;461;102858;"Автономная некомерческая организация  ""Русская спортивная компания""";ул. Верхние Поля 12;Бесплатно;15677,7197;-500,2896;;102858;Автодром спортивный;;да;с 10:00 до 20.00;асфальтовое, бетонное;уличные столбы освещения;нет;нет;;;102858;досуговые центры;Общественная организация;ЮВАО;Марьино;да;да;да;да;да;нет;нет;нет;1057748652532;"АНО ""Русская спортивная компания""";(495) 507-06-23;нет;ANO-RSK@rambler.ru;Добавлено;
