0_Код;1_Название;1_Адрес;0_Признак закрытого ЛПУ;0_Полное наименование согласно документам;1_Краткое наименование;0_Причина закрытия;0_Дата закрытия;0_Дата повторного открытия после закрытия;1_Административный округ по территориальной принадлежности;1_Главное ЛПУ;1_Руководитель;0_Пол руководителя;1_Должность руководителя;1_Телефон руководителя;1_Общий телефон;0_факс;0_Доп информация;0_X;0_Y
3;Врачебно-физкультурный диспансер № 16;111399, город Москва, Федеративный проспект, дом 3; ;Государственное бюджетное учреждение здравоохранения города Москвы «Врачебно-физкультурный диспансер № 16 Департамента здравоохранения города Москвы»;ВФД № 16; ;;;ДЗ;МНПЦ МРВиСМ ДЗМ;Сапожников Виктор Анатольевна;женский;Главный врач;(495) 304-20-63;(495) 301-53-11; ; ;18820,3253;10115,7819
439;Противотуберкулезный диспансер № 16;125438, город Москва, Михайловская улица, дом 65, корпус 1; ;Государственное казенное учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 16 Департамента здравоохранения города Москвы»;ПТД № 16; ;;;ДЗ;МГНПЦ БсТ;Собкин Александр Лазаревич;женский;Главный врач;(495) 450-16-04;(499) 298-22-50; ; ;744,5224;18926,7441
453;Врачебно-физкультурный диспансер № 17;129085, город Москва, Мира проспект, дом 99; ;Государственное бюджетное учреждение здравоохранения города Москвы «Врачебно-физкультурный диспансер № 17 Департамента здравоохранения города Москвы»;ВФД № 17; ;;;ДЗ;МНПЦ МРВиСМ ДЗМ;Коковина Галина Григорьевна;женский;Главный врач;(495) 475-39-01;(495) 602-46-60; ; ;8654,7001;15968,5634
515;Психоневрологический диспансер № 7;125362, город Москва, Циолоковского улица, дом 5; ;Государственное казенное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 7 Департамента здравоохранения города Москвы»;ПНД № 7; ;;;ЮАО;ПКБ № 15;Ефанова Н Н;женский;Главный врач;(495) 602-13-31;(499) 324-54-79; ; ;-2999,2586;17898,7934
345;Противотуберкулезный диспансер № 20;121108, город Москва, Тарутинская улица, дом 2; ;Государственное казенное учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 20 Департамента здравоохранения города Москвы»;ПТД № 20; ;;;ДЗ;МГНПЦ БсТ;Глебова Валентина Юрьевна;женский;Главный врач;(499) 144-14-81;(499) 268-22-50; ; ;-1582,3021;7178,4476
438;Психоневрологический диспансер № 5;125422, город Москва, Костякова улица, дом 8/6; ;Государственное казенное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 5 Департамента здравоохранения города Москвы»;ПНД № 5; ;;;ВАО;ПКБ № 4 им. П.Б. Ганнушкина;Волков Лев Зигмундович;мужской;Главный врач;(495) 963-01-64;(495) 963-09-68; ; ;4630,736;16261,4151
77;Психоневрологический диспансер № 9;105275, город Москва, Окружной проезд, дом 34; ;Государственное казенное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 9 Департамента здравоохранения города Москвы»;ПНД № 9; ;;;ВАО;Психиатрическая больница № 3 им. В.А.Гиляровского;Холодова Елена Михайловна;женский;Заведующая филиалом;(495) 365-10-58;(499) 268-89-76; ; ;15415,174;11372,3112
816;Противотуберкулезный диспансер № 2;109129, город Москва, 8-я Текстильщиков улица, дом 2; ;Государственное казенное учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 2 Департамента здравоохранения города Москвы»;ПТД № 2; ;;;ДЗ;МГНПЦ БсТ;Волошина Евгения Петровна;женский;Главный врач;(499) 178-61-55;(499) 178-19-52; ; ;15138,5619;4171,7064
891;Противотуберкулезный клинический диспансер № 4;117209, город Москва, Севастопольский проспект, дом 26; ;Государственное казенное учреждение здравоохранения города Москвы «Противотуберкулезный клинический диспансер № 4 Департамента здравоохранения города Москвы»;ПТКД № 4; ;;;ДЗ;МГНПЦ БсТ;Смирнов Вячеслав Юрьевич;женский;Главный врач;(499) 120-41-09;(499) 268-25-76; ; ;5189,1808;18,2581
369;Противотуберкулезный диспансер № 6;124305, город Зеленоград, Западный 1-й проезд, дом 8, корпус 1; ;Государственное казенное учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 6 Департамента здравоохранения города Москвы»;ПТД № 6; ;;;ДЗ;МГНПЦ БсТ;Соколова Наталья Николаевна;женский;Главный врач;(499) 734-21-34;(499) 268-00-05; ; ;-19062,9916;38405,081
79;Противотуберкулезный диспансер № 8;107061, город Москва, Преображенский Вал улица, дом 19; ;Государственное казенное учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 8 Департамента здравоохранения города Москвы»;ПТД № 8; ;;;ДЗ;МГНПЦ БсТ;Родина Ирина Анатольевна;женский;Главный врач;(499) 161-02-30;(499) 268-25-86; ; ;13599,9535;14072,8167
658;Противотуберкулезный диспансер № 10;123376, город Москва, Волков переулок, дом 15; ;Государственное казенное учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 10 Департамента здравоохранения города Москвы»;ПТД № 10; ;;;ДЗ;МГНПЦ БсТ;Ясюченя Татьяна Владимировна;женский;Главный врач;(499) 255-16-42;(499) 268-22-50; ; ;4737,2961;10781,3941
517;Противотуберкулезный клинический диспансер № 12;129226, город Москва, Докукина улица, дом 18; ;Государственное казенное учреждение здравоохранения города Москвы «Противотуберкулезный клинический диспансер № 12 Департамента здравоохранения города Москвы»;ПТКД № 12; ;;;ДЗ;МГНПЦ БсТ;Дитятков Александр Елизарович;женский;Главный врач;(499) 187-16-49;(495) 602-88-14; ; ;9367,1404;19574,5808
78;Противотуберкулезный диспансер № 17;105425, город Москва, Сиреневый бульвар, дом 6; ;Государственное казенное учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 17 Департамента здравоохранения города Москвы»;ПТД № 17; ;;;ДЗ;МГНПЦ БсТ;Левченко Марина Владимировна;женский;Главный врач;(499) 164-37-55;(499) 268-22-50; ; ;17434,7512;15053,8737
516;Противотуберкулезный диспансер № 18;127254, город Москва, Гончарова улица, дом 4; ;Государственное казенное учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 18 Департамента здравоохранения города Москвы»;ПТД № 18; ;;;ДЗ;МГНПЦ БсТ;Гладышева Ирина Германовна;женский;Главный врач;(499) 760-51-46;(495) 618-13-00; ; ;5408,7679;16439,9174
585;Врачебно-физкультурный диспансер № 5;119034, город Москва, Остоженка улица, дом 6; ;Государственное бюджетное учреждение здравоохранения города Москвы «Врачебно-физкультурный диспансер № 5 Департамента здравоохранения города Москвы»;ВФД № 5; ;;;ДЗ;МНПЦ МРВиСМ ДЗМ;Сидоров Север Павлович;мужской;Главный врач;(495) 695-19-56;(495) 695-17-65; ; ;6401,4627;8512,0153
436;Онкологический диспансер № 2;125130, город Москва, Старопетровский проезд, дом 6; ;Государственное учреждение здравоохранения города Москвы Онкологический диспансер № 2 Управления здравоохранения Северного АО города Москвы;ОД № 2; ;;;ДЗ;ГОБ № 62;Федотов Александр Юрьевич;мужской;Главный врач;(499) 159-66-51;(495) 450-96-01; ; ;321,5002;17402,8924
437;Психоневрологический диспансер № 4;125493, город Москва, Смольная улица, дом 5; ;Государственное казенное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 4 Департамента здравоохранения города Москвы»;ПНД № 4; ;;;ВАО;ПКБ № 4 им. П.Б. Ганнушкина;Прытова Елена Борисовна;женский;Главный врач;(495) 452-38-94;(495) 946-11-01; ; ;4,493;19864,7844
514;Психоневрологический диспансер № 19;127572, город Москва, Алтуфьевское шоссе улица, дом 149, строение 2; ;Государственное казенное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 19 Департамента здравоохранения города Москвы»;ПНД № 19; ;;;ЮАО;ПКБ № 15;Скриганова Татьяна Сергеевна;женский;Главный врач;(499) 209-54-00;(499) 782-86-73; ; ;5376,782;26980,2861
741;Онкологический диспансер № 4;115304, город Москва, Медиков улица, дом 7; ;Государственное бюджетное учреждение здравоохранения города Москвы «Онкологический диспансер № 4 Департамента здравоохранения города Москвы»;ОД № 4; ;;;ЮАО; ;Киреев Владимир Александрович;мужской;Главный врач;(495) 323-38-59;(495) 310-75-16; ; ;11338,4238;-3666,6801
343;Психоневрологический диспансер № 24;119634, город Москва, Боровское шоссе улица, дом 54; ;Государственное казенное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 24 Департамента здравоохранения города Москвы»;ПНД № 24; ;;;ЮАО;ПКБ № 1 им. Н.А. Алексеева;Архипова Ольга Владимировна;женский;Главный врач;(495) 952-87-90;(495) 952-87-91; ; ;-9578,0345;-3475,1119
745;Противотуберкулезный диспансер № 5;115142, город Москва, Речников улица, дом 25; ;Государственное казенное учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 5 Департамента здравоохранения города Москвы»;ПТД № 5; ;;;ДЗ;МГНПЦ БсТ;Албегов Анатолий Цараевич;женский;Главный врач;(499) 618-59-24;(499) 268-01-31; ; ;12049,6572;1191,962
743;Психоневрологический диспансер № 10;109193, город Москва, Петра Романова улица, дом 2; ;Государственное казенное учреждение здравоохранения города Москвы Психоневрологический диспансер № 10 Департамента здравоохранения города Москвы»;ПНД № 10; ;;;ЮАО;ПБ № 14;Зязин Юрий Иванович;мужской;Главный врач;(495) 325-39-20;(495) 325-51-12; ; ;11387,4134;4773,049
344;Противотуберкулезный диспансер № 14;121108, город Москва, Тарутинская улица, дом 2; ;Государственное казенное учреждение здравоохранения города Москвы «Противотуберкулезный диспансер № 14 Департамента здравоохранения города Москвы»;ПТД № 14; ;;;ДЗ;МГНПЦ БсТ;Воробьева Татьяна Ивановна;женский;Главный врач;(499) 144-16-21;(499) 268-22-50; ; ;-1585,0383;7187,052
657;Психоневрологический диспансер № 23;119146, город Москва, Фрунзенская Набережная улица, дом 24/1; ;Государственное казенное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 23 Департамента здравоохранения города Москвы»;ПНД № 23; ;;;ЮАО;ПКБ № 1 им. Н.А. Алексеева;Суторма Владимир Михайлович;мужской;Главный врач;(495) 952-87-90;(495) 952-87-91; ; ;5602,1029;6518,4811
654;Психоневрологический диспансер № 14;127473, город Москва, Селезневская улица, дом 20; ;Государственное учреждение здравоохранения города Москвы Психоневрологический диспансер № 14 Управления здравоохранения Центрального АО города Москвы;ПНД № 14; ;;;ВАО;Психиатрическая больница № 3 им. В.А.Гиляровского;Загиев Валерий Васильевич;мужской;Главный врач;(499) 972-14-74;(499) 268-89-76; ; ;6797,496;12626,8473
377;Врачебно-физкультурный диспансер № 13;125176, город Москва, Ленинградский проспект, дом 54/1; ;Государственное бюджетное учреждение здравоохранения города Москвы «Врачебно-физкультурный диспансер № 13 Департамента здравоохранения города Москвы»;ВФД № 13; ;;;ДЗ;МНПЦ МРВиСМ ДЗМ;Кагина Ольга Васильевна;женский;Главный врач;(499) 155-81-60;(499) 917-11-64; ; ;2600,0063;14559,4534
570;Психоневрологический диспансер № 3;125362, город Москва, Циолоковского улица, дом 5; ;Государственное казенное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 3 Департамента здравоохранения города Москвы»;ПНД № 3; ;;;ВАО;ПКБ № 4 им. П.Б. Ганнушкина;Беликов Михаил Иванович;мужской;Главный врач;(495) 963-01-64;(495) 963-09-02; ; ;-3008,276;17899,619
513;Психоневрологический диспансер № 16;129226, город Москва, Докукина улица, дом 18, корпус 1; ;Государственное казенное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 16 Департамента здравоохранения города Москвы»;ПНД № 16; ;;;ЮАО; ;Кумечко Вадим Михайлович;мужской;Главный врач;(499) 324-28-17;(499) 324-54-79; ; ;9440,6949;19686,8295
738;Кардиологический диспансер № 2;113556, город Москва, Фруктовая улица, дом 12; ;Государственное бюджетное учреждение здравоохранения города Москвы «Кардиологический диспансер № 2 Департамента здравоохранения города Москвы»;КД № 2; ;;;ЮАО; ;Глазков Александр Львович;мужской;Главный врач;(499) 317-00-54;(499) 317-65-23; ; ;7257,1512;-750,6893
656;Психоневрологический диспансер № 21;119180, город Москва, Малая Полянка улица, дом 9, строение 2; ;Государственное казенное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 21 Департамента здравоохранения города Москвы»;ПНД № 21; ;;;ЮАО;ПКБ № 1 им. Н.А. Алексеева;Ванштейн Александр Эдуардович;мужской;Главный врач;(495) 952-87-91;(495) 952-87-91; ; ;7473,9639;7505,4377
677;Врачебно-физкультурный диспансер № 27;115551, город Москва, Домодедовская улица, дом 11, корпус 2; ;Государственное бюджетное учреждение здравоохранения города Москвы «Врачебно-физкультурный диспансер № 27 Департамента здравоохранения города Москвы»;ВФД № 27; ;;;ДЗ;МНПЦ МРВиСМ ДЗМ;Иусов Игорь Григорьевич;мужской;Главный врач;(495) 343-15-93;(495) 391-89-63; ; ;13342,8771;-6159,7346
744;Психоневрологический диспансер № 18;115522, город Москва, Пролетарский проспект, дом 4; ;Государственное казенное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 18 Департамента здравоохранения города Москвы»;ПНД № 18; ;;;ЮАО;ПБ № 14;Мамошин Андрей Игоревич;мужской;Главный врач;(495) 325-39-20;(495) 325-51-12; ; ;9915,8147;-2218,1812
890;Противотуберкулезный диспансер № 15;117630, город Москва, Новаторов улица, дом 17; ;Государственное казенное учреждение здравоохранения города Москвы Противотуберкулезный диспансер № 15 Департамента здравоохранения города Москвы»;ПТД № 15; ;;;ДЗ;МГНПЦ БсТ;Абросимова Наталья Николаевна;женский;Главный врач;(495) 935-14-59;(499) 268-22-50; ; ;1650,4508;-822,8495
766;Онкологический диспансер № 5;109451, город Москва, Перервинский бульвар, дом 5, корпус 1; ;Государственное бюджетное учреждение здравоохранения города Москвы «Онкологический диспансер № 5 Департамента здравоохранения города Москвы»;ОД № 5; ;;;ЮВАО; ;Бартош Людмила Кузьминична;женский;Главный врач;(495) 654-96-79;(495) 658-86-86; ; ;16800,5398;-428,9727
889;Психоневрологический диспансер № 13;117209, город Москва, Зюзинская улица, дом 1; ;Государственное казенное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 13 Департамента здравоохранения города Москвы»;ПНД № 13; ;;;ЮАО;ПКБ № 1 им. Н.А. Алексеева;Еналиев Иршат Рашидович;мужской;Главный врач;(495) 952-87-90;(495) 952-87-91; ; ;5056,401;-12,2058
814;Психоневрологический диспансер № 20;109462, город Москва, Волжский бульвар, дом 27, корпус 4; ;Государственное казенное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 20 Департамента здравоохранения города Москвы»;ПНД № 20; ;;;ЮВАО;ПБ № 13;Кайзер Олег Васильевич;мужской;Главный врач;(499) 179-31-81;(499) 178-73-11; ; ;16082,0749;4111,4778
341;Психоневрологический диспансер № 1;119285, город Москва, Мосфильмовская улица, дом 6; ;Государственное казенное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 1 Департамента здравоохранения города Москвы»;ПНД № 1; ;;;ЮАО;ПКБ № 1 им. Н.А. Алексеева;Забелина Ирина Николаевна;женский;Главный врач;(495) 952-87-90;(499) 143-49-20; ; ;2013,3182;6400,3096
284;Врачебно-физкультурный диспансер № 6;121309, город Москва, Филевская Большая улица, дом 13; ;Государственное бюджетное учреждение здравоохранения города Москвы «Врачебно-физкультурный диспансер № 6 Департамента здравоохранения города Москвы;ВФД № 6; ;;;ДЗ;МНПЦ МРВиСМ ДЗМ;Молчанова Марина Анатольевна;женский;Главный врач;(499) 145-37-65;(499) 145-76-41; ; ;136,0327;9075,5129
342;Психоневрологический диспансер № 2;121099, город Москва, Смоленская площадь, дом 13/21; ;Государственное казенное учреждение здравоохранения города Москвы «Психоневрологический диспансер № 2 Департамента здравоохранения города Москвы»;ПНД № 2; ;;;ЮАО;ПКБ № 1 им. Н.А. Алексеева;Штангаров Борис Львович;мужской;Главный врач;(495) 952-87-90;(499) 248-36-95; ; ;5272,1045;9190,8174
222;Онкологический клинический диспансер № 1;105005, город Москва, Бауманская улица, дом 17/1; ;Государственное бюджетное учреждение здравоохранения города Москвы «Онкологический клинический диспансер № 1 Департамента здравоохранения города Москвы»;ОКД № 1; ;;;ДЗ; ;Сдвижков Александр Михайлович;мужской;Главный врач;(499) 261-92-60;(499) 261-86-41; ; ;11313,8756;12097,0629
277;Эндокринологический диспансер;119034, город Москва, Пречистенка улица, дом 37; ;Государственное бюджетное учреждение здравоохранения города Москвы «Эндокринологический диспансер Департамента здравоохранения города Москвы;ЭД; ;;;ДЗ; ;Анциферов Михаил Борисович;мужской;Главный врач;(499) 246-65-73;(499) 246-50-48; ; ;5663,4121;8030,231
