0_Код;1_Название;1_Адрес;0_Признак закрытого ЛПУ;0_Полное наименование согласно документам;1_Краткое наименование;0_Причина закрытия;0_Дата закрытия;0_Дата повторного открытия после закрытия;1_Административный округ по территориальной принадлежности;0_Главное ЛПУ;1_Руководитель;0_Пол руководителя;1_Должность руководителя;1_Телефон руководителя;0_Общий телефон;1_Факс;0_Часы работы;0_Рабочие дни;1_Выходные дни;0_Тип Выходного;0_Доп информация;0_X;0_Y
881;Женская консультация № 13 филиал Родильного дома № 4;117485, город Москва, Профсоюзная улица, дом 98, корпус 11; ;Женская консультация № 13 филиал Родильного дома № 4;ЖК № 13; ;;;ЮЗАО;Родильный дом № 4;Ильина Елена Вячеславовна;женский;Заведующая;(495) 336-52-77; ;(495) 138-44-85;; ;вс праздничные;; ;1376,1435;-1958,0004
882;Женская консультация № 9;119331, город Москва, Вернадского проспект, дом 33а; ;Женская консультация № 9;ЖК № 9; ;;;ЮЗАО; ;Яворовская Ксения Александровна;женский;Главный врач;(499) 138-23-76; ;(499) 138-47-93;; ;вс праздничные;; ;1113,6835;1435,1151
880;Женская консультация № 1 филиал Родильного Дома № 10;117292, город Москва, Профсоюзная улица, дом 24, корпус 3; ;Женская консультация № 1 филиал Родильного Дома № 10;ЖК № 1; ;;;ЮЗАО;Родильный дом № 10;Ремизова Валентина Ивановна;женский;Зам. главного врача;(499) 125-03-66; ;(499) 125-50-42;; ;вс праздничные;; ;4058,565;1424,8138
735;Женская консультация № 16 филиал Городской клинической больницы № 7;115280, город Москва, Ленинская слобода улица, дом 5, корпус 1; ;Женская консультация № 16 филиал Городской клинической больницы № 7;ЖК № 16; ;;;ЮАО;Городская клиническая больница № 7;Воронова Нина Зиновьевна;женский;Зам. главного врача;(495) 675-14-61; ;(495) 675-14-61;; ;вс праздничные;; ;10316,3353;5009,9282
751;Центр планирования семьи и репродукции № 2;115162, город Москва, Шаболовка улица, дом 57; ;Центр планирования семьи и репродукции № 2;ЦПСиР № 2; ;;;ЮАО; ;Клишина Ирина Гариковна;женский;Главный врач;(499) 764-70-67; ;(499) 236-30-75;; ;вс праздничные;; ;6983,544;5441,0703
634;Женская консультация № 3 филиал Родильного дома № 32;109044, город Москва, Дубровская 1-я улица, дом 3; ;Женская консультация № 3 филиал Родильного дома № 32;ЖК № 3; ;;;ЦАО;Родильный дом № 32;Коротыгина Екатерина Дмитриевна;женский;Заведующая;(495) 677-14-10; ;(495) 677-16-13;; ;вс праздничные;; ;10777,8844;6757,6361
637;Женская консультация (филиал городской поликлиники № 20 );103055, город Москва, Палиха улица, дом 7/9, корпус 1; ;Женская консультация (филиал городской поликлиники № 20 );ЖК (филиал ГП № 20); ;;;ЦАО;Городская поликлиника № 20 филиал ГП № 3;Виноградова Татьяна Викторовна;женский;Заведующая;(499) 972-46-40; ;(499) 972-46-40;; ;вс праздничные;; ;6265,4936;13185,4194
425;Женская консультация № 4 филиал Родильного дома № 17;125183, город Москва, 4-й Новомихалковский проезд, дом 6; ;Женская консультация № 4 филиал Родильного дома № 17;ЖК № 4; ;;;САО;Родильный дом № 17;Лукина Надежда Александровна;женский;Главный врач;(499) 154-52-70; ;(499) 154-52-70;; ;вс праздничные;; ;2931,4642;19415,2964
427;Женская консультация № 8 филиал Родильного дома № 17;127411, город Москва, Дмитровское шоссе, дом 135, корпус 1; ;Женская консультация № 8 филиал Родильного дома № 17;ЖК № 8; ;;;САО;Родильный дом № 17;Муравьева Наталья Валентиновна;женский;Заведующая;(495) 614-13-48; ;(495) 484-42-01;; ;вс праздничные;; ;2703,9181;24964,0909
632;Женская консультация № 12 филиал Родильного дома № 32;119435, город Москва, Малая Пироговская улица, дом 15; ;Женская консультация № 12 филиал Родильного дома № 32;ЖК № 12; ;;;ЦАО;Родильный дом № 32;Чепурная Юлия Юрьевна;женский;Заведующая;(499) 246-55-63; ;(499) 245-77-09;; ;вс праздничные;; ;4492,8783;6804,3409
