0_OBJECTID;0_Shape;0_UID;1_Название объекта;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4192417.7701000012 7525734.495499998);7101.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1499;ГБОУ ЦО № 1499;129128 г. Москва, ул. Ростокинская, д.3;10207.029075;18767.5063328;2304088.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;(499) 181-04-47;http//co1499.svao.mskobr.ru
2;POINT (4141126.603100002 7558941.101899996);7342.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 604;ГБОУ СОШ № 604;124498, г. Москва, Зеленоград, корп. 222А;-18581.8502;37407.7857619;2106690.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 734-16-00;http://s604.zouo.ru/
3;POINT (4141910.882199999 7557180.9362);7352.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 618;ГБОУ СОШ № 618;124498, г. Москва, Зеленоград, корп. 429А;-18146.4877;36421.3905512;2117093.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(499) 734-10-17; (499) 735-83-03; (499) 735-03-30; (499) 735-02-79";http://schzg618.mskobr.ru
4;POINT (4202684.8473000005 7494056.391199999);6418.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 775;ГБОУ СОШ № 775;109382, г.Москва Армавирская ул., д. 4;16050.8860459;955.92903627;2706886.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(495) 358-93-65; (495) 358-94-92; (495) 358-93-92; (495) 358-93-74; (495) 359-33-07";http://sch775.uvuo.ru/
5;POINT (4185112.807500001 7487842.873999998);6504.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 536;ГБОУ СОШ № 536;117452, г.Москва, ул.Азовская, д.41;6124.493;-2574.50280536;2108464.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;318-59-09;http://sch536.ru
6;POINT (4174351.1691999994 7492511.376100004);6546.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 790;ГБОУ СОШ № 790;117588, г. Москва, Новоясеневский проспект, дом 24, корпус 3;37.528431;55.603880999999994;2800992.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;427-68-01;http://kadet790.ru
7;POINT (4174351.245099999 7492511.315399997);6580.0;"Государственное бюджетное образовательное учреждение города Москвы центр образования ""Школа здоровья"" № 1071";ГБОУ ЦО № 1071;117628, г.Москва, бульвар Дмитрия Донского, дом 6А;37.571334;55.569582999999994;31523.0;;;;;Бюджетное;Общеобразовательное учреждение;"Центр образования ""Школа Здоровья""";712-19-59;http://1071.ru
8;POINT (4176424.3817999996 7480164.304300003);6636.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1445;ГБОУ ЦО № 1445;117574, г.Москва, улица Голубинская, дом 5, корпус 4;1211.15065;-6914.46459726;3000584.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;423-38-22;http://www.1445.ru
9;POINT (4163574.2485999987 7521531.475400001);6731.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1136";ГБОУ СОШ № 1136;123181, г. Москва, ул. Кулакова, д. 3, к. 1;-6031.196325;16398.9710285;2114756.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа Здоровья""";750-56-76;http://school1136.ru
10;POINT (4209401.4745000005 7524219.669200003);7448.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1688;ГБОУ СОШ № 1688;107065, г.Москва, ул. Камчатская, д.6;19770.2861;17949.2541094;2114472.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495) 467-44-65;http://www.s1688.ru
11;POINT (4197747.269900002 7520140.993000001);7487.0;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1452 ""Богородский""";"ГБОУ ЦО № 1452 ""Богородский""";107564, г. Москва, ул. 1-я Гражданская, д.96;13216.2291777;15632.6799048;2401019.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;(495) 964-88-01;http://co1452.ru
12;POINT (4210437.241500001 7521790.079599999);7491.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1475;ГБОУ ЦО № 1475;107497, г. Москва, ул. Новосибирская, д. 8 А;20359.737625;16586.8371005;2114447.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;469-50-08;http://co1475/mskobr.ru
13;POINT (4206074.5353999995 7510703.873999998);7498.0;Государственное бюджетное образовательное учреждение города Москвы центр образования №1637;ГБОУ ЦО № 1637;111401, г. Москва, ул. 3-я Владимирская, дом 12 А;17928.3626;10341.7726253;2122203.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;"(495) 672-02-35; (495) 672-01-99; (495) 603-46-09";http://school1637.ru/
14;POINT (4214612.6658000015 7505482.520000003);7509.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1926;ГБОУ ЦО № 1926;111672, г. Москва, ул. Салтыковская, д. 5 А;22758.7079239;7424.78502835;2401239.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;702-75-40;http://1926.edu.ru/
15;POINT (4199289.680500001 7488873.815099999);7563.0;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 491 ""Марьино""";"ГБОУ ЦО № 491 ""Марьино""";109651, г. Москва, Новочеркасский бульвар, дом 19;14141.399175;-1974.37325066;17043.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;357-52-01;http://cog491.mskobr.ru
16;POINT (4209516.050500002 7517501.018600002);7582.0;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1811 ""Измайлово""";"ГБОУ ЦО № 1811 "" Измайлово""";105203, г. Москва, Первомайская ул., .111.;19851.8970946;14173.5580786;2115777.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;(495) 465-14-49;http://www.1811.ru/
17;POINT (4183982.529100001 7482509.830700003);2425.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 556;ГБОУ ЦО № 556;117570 г. Москва, Днепропетровская ул. д.33 А;5488.84695;-5586.39584776;3803538.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;(495) 313-74-10;http://co556.ru/
18;POINT (4164863.527800001 7512867.324699998);5267.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1471;ГБОУ ЦО № 1471;121614 г. Москва, ул. Крылатская, д.25;-5311.2516000000005;11526.2822211;2127010.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;413-33-32;http://www.sch1129.edusite.ru
19;POINT (4175495.3792999983 7498527.244000003);5446.0;Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1306;ГБОУ гимназия № 1306;119607 Мичуринский проспект, д. 15,к.2;683.9259500000001;3447.71444964;3101697.0;;;;;Бюджетное;Общеобразовательное учреждение;Гимназия;932-89-42;http://www.gymnasium1306.ru
20;POINT (4176594.523699999 7524190.579099998);5448.0;"Государственное бюджетное образовательное учреждение города Москвы Центр образования ""Школа здоровья"" № 1679";ГБОУ ЦО № 1679;125239,Москва, ул. Новопетровская, д.1а;1300.9903000000002;17888.7824526;2108745.0;;;;;Бюджетное;Общеобразовательное учреждение;"Центр образования ""Школа Здоровья""";"(495) 601-46-70; (495) 459-40-43; (495) 459-40-42; (495) 450-30-80; (495) 450-89-26; (495) 459-30-64";http://coe1679.ru/
21;POINT (4201098.377300002 7482576.207400002);5502.0;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1569 ""Созвездие""";"ГБОУ Гимназия №1569 ""Созвездие""";115573 г. Москва, ул. Мусы Джалиля, д.36,к.2;15176.50575;-5526.38673509;3801952.0;;;;;Бюджетное;Общеобразовательное учреждение;Гимназия;(495) 396-43-50;http://sch1569.edusite.ru/
22;POINT (4180504.1570000015 7539206.396899998);5441.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1490;ГБОУ ЦО № 1490;127253 г. Москва, ул. Псковская, дом 12, корпус 3;3495.52325;26317.311417;21190.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;400-76-00;http://www.co1490.svao.mskobr.ru
23;POINT (4185207.3198999986 7477548.0418);4790.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1178;ГБОУ ЦО № 1178;117405 Москва, Варшавское ш. д.152,к.10;6185.95151248;-8388.80597995;3802931.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;"(495) 386-15-48; (495) 389-57-11";http://sch1178.edusite.ru
24;POINT (4196734.449900001 7494419.749499999);2410.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 514;ГБОУ СОШ № 514;115142 г. Москва, Коломенская наб. д.16;12687.3205;1149.90013949;2124460.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования;(499) 615-76-18;http://sch514.edusite.ru
25;POINT (4191950.401700001 7495195.779600002);5228.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1375;ГБОУ СОШ № 1375;115533 г. Москва, Нагатинская наб., д.24;9982.66615;1580.58856261;3900841.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 618-99-10;http://dou2233.edusite.ru
26;POINT (4183677.9804 7472445.7842999995);5454.0;Государственное бюджетное образовательное учреждение города Москвы Центр образования № 2006;ГБОУ ЦО № 2006;117216, г.Москва, ул. Грина, дом 18, корпус 3, строение 1;5323.167;-11274.4477761;2900678.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;714-86-63;http://www.school2006msk.ru
27;POINT (4174350.9257000014 7492511.471699998);605.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1000;ГБОУ СОШ № 1000;119619 г. Москва, ул.Наро-Фоминская, д.1;37.390733;55.657759999999996;0.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;"(495) 435-14-23; (495) 435-04-68; (495) 435-08-18; (495) 439-10-33";http://ds49.mskzapad.ru
28;POINT (4197006.7283000015 7483872.3332);2420.0;"Государственное автономное образовательное учреждение города Москвы центр образования № 548 ""Царицыно""";"ГАОУ ЦО № 548 ""Царицыно""";115569 г.Москва, ул. Маршала Захарова д.8, к.1;12858.478487;-4801.73886381;2123166.0;;;;;Автономное;Общеобразовательное учреждение;Центр образования;393-43-81;http://mhs548.ru/
29;POINT (4164957.475299999 7503410.993000001);540.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 65;ГБОУ СОШ № 65;121354,г.Москва, ул.Кутузова, д.20;-5264.9174;6202.86373433;2127036.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;447-12-57;http://sch65.mskzapad.ru
30;POINT (4178275.3742000014 7492839.1701000035);5476.0;Государственное бюджетное образовательное учреждение города Москвы Центр образования № 117;ГБОУ ЦО № 117;117393, г. Москва, ул. Академика Пилюгина, дом 18, корпус 1;2255.72645;240.99962825;2108186.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;134-70-95;http://www.school117.ru
31;POINT (4189169.3209000006 7520430.339500003);5856.0;"Государственное бюджетное образовательное учреждение города Москвы Центр образования ""Школа здоровья"" № 287 имени С. К. Годовикова";"ГБОУ ЦО ""Школа здоровья"" № 287";129085, г. Москва, ул. Годовикова, дом 16А;8384.250100000001;15783.4797226;2126169.0;;;;;Бюджетное;Общеобразовательное учреждение;"Центр образования ""Школа Здоровья""";"(495) 615-32-00; (495) 615-48-65";http://co287sv.mskobr.ru
32;POINT (4177262.0702 7489018.053800002);6480.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 170 имени А.П.Чехова;ГБОУ ЦО № 170;117485, г. Москва, Профсоюзная ул., дом 96 Б;1683.69745;-1915.06776025;3000599.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;335-50-77;http://center170.ru
33;POINT (4171226.6625999995 7493298.828699999);649.0;"Государственное бюджетное образовательное учреждение города Москвы центр образования ""Школа здоровья"" № 1317";"ГБОУ ЦО ""Школа здоровья"" № 1317";119602 г.Москва, ул. Академика Анохина, д.4, корпус 5;-1728.5101000000002;500.17082482;3101763.0;;;;;Бюджетное;Общеобразовательное учреждение;"Центр образования ""Школа Здоровья""";735-66-11;http://школа 1317.рф
34;POINT (4185243.7885 7491076.815800004);6491.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 516;ГБОУ СОШ № 516;117149, г. Москва, ул. Одесская, д. 13;6196.058575;-749.50409793;2108481.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;310-26-66;http://school516-msk.narod.ru
35;POINT (4201903.057700001 7492679.023500003);6555.0;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1877 ""Люблино""";"ГБОУ ЦО № 1877 ""Люблино""";109382, г. Москва, ул. Краснодонская, д. 40;15611.791925;177.49452682;2129817.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;351-00-00;http://sch1877.uvuo.ru/
36;POINT (4174351.561999999 7492511.4668999985);6556.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1902;ГБОУ СОШ № 1902;109341, г. Москва, Мячковский бульвар, д. 10, корп. 2;37.750423;55.65511;2705471.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;347-88-31;http://school1902.ru
37;POINT (4201796.608399998 7491064.518600002);6587.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1965;ГБОУ СОШ № 1965;109341, г. Москва, ул. Перерва, д. 41, корпус 2;15554.8289905;-733.48970838;2704803.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;345-05-61;http://www.sch1965.yuvao.mskobr.ru
38;POINT (4182342.838399999 7472374.3094);6672.0;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1681 ""Бутово-3""";"ГБОУ ЦО № 1681 ""Бутово-3""";117216, г. Москва, бульвар Дмитрия Донского, д. 14А;4566.51718275;-11315.694762;2132007.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;711-51-63;http://school1681.mosuzedu.ru
39;POINT (4178635.6094000004 7479343.002400003);6674.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1693 имени 1-й дивизии народного ополчения Москвы";ГБОУ СОШ № 1693;117463, г. Москва, улица Паустовского, дом 6, корпус 2;2463.3586;-7378.02100946;3000602.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа Здоровья""";423-33-00;http://www.sch1693.ru
40;POINT (4190765.7161 7507554.449299999);6823.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 497;ГБОУ ЦО № 497;109240 г. Москва, 1-ый Котельнический пер., д.5;9298.61330319;8542.38249459;4300369.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;(495) 915-30-55;http://www.co497.cao.mskobr.ru
41;POINT (4184294.5527999997 7514668.041100003);6861.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1447 имени Н.А.Островского;ГБОУ ЦО № 1447;125047 г.Москва, 4-й Лесной переулок, д.6;5642.6392000000005;12539.2498594;4303651.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;"(499) 250-23-03; (499) 251-24-06; (499) 251-50-00; (499) 251-39-95";http://coc1447.mskobr.ru/
42;POINT (4186886.1666 7538257.711900003);7102.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1682;ГБОУ ЦО № 1682;127543 г. Москва, ул. Белозерская, д.7;7082.2883;25789.604406;2109141.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;"(499) 206-64-77; (499) 206-45-50; (499) 206-82-00; (499) 206-82-01";http://www.co1682.svao.mskobr.ru
43;POINT (4179434.7470999993 7481675.432999998);6676.0;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1694 ""Ясенево""";"ГБОУ ЦО № 1694 ""Ясенево""";117593, г. Москва, Литовский бульвар, дом 11, корпус 6;2915.0375000000004;-6060.06510767;3000594.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;426-77-88;http://co1694.ru
44;POINT (4173620.2562000006 7512851.933799997);6693.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1010;ГБОУ СОШ № 1010;123308, город Москва, улица Мневники, дом 7, корус 5;-374.229225;11514.2109308;2114763.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 191-35-12;http://sch1010.ru
45;POINT (4173048.8095999993 7518538.982799999);6707.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка № 1212;ГБОУ СОШ № 1212;123060, г. Москва, ул. Маршала Рыбалко, д. 14;-695.77760721;14712.6201806;2114863.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 728-40-02;http://www.ds1106.mskobr.ru
46;POINT (4174351.3616000004 7492511.623899996);6825.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 518;ГБОУ СОШ № 518;115035 г. Москва, Садовническая набережная, дом 37;37.637133999999996;55.743703;2101945.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;951-49-82;http://sch518.ru
47;POINT (4190354.9525999986 7514756.544799998);6871.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1840;ГБОУ ЦО № 1840;129110 г. Москва, Б. Переяславская ул., д.1, стр.1;9058.57855041;12594.6755481;2126216.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;680-08-44;http://1840.ru/
48;POINT (4180680.9428000003 7510673.7491);6874.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 2030;ГБОУ ЦО № 2030;123022 г.Москва, ул. 2-ая Звенигородская, д.8;3607.5477;10289.9235379;4305884.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;205-79-57;http://2030.edu.ru
49;POINT (4182292.3643000014 7537471.797700003);7095.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1449;ГБОУ ЦО № 1449;127576, город Москва, улица Угличская, дом 6 А;4501.25315;25345.5179436;2108901.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;400-62-90;http://co1449.svao.mskobr.ru
50;POINT (4187080.3310000002 7530101.772399999);7096.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1459;ГБОУ ЦО № 1459;127273, г. Москва, ул. Отрадная, д. 11А;7198.8240000000005;21213.8531245;2103760.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;404-87-31;http://co1459.svao.mskobr.ru/
51;POINT (4202177.4219 7502147.1401999965);6518.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов социального профиля № 1386;ГБОУ СОШ № 1386;109125, г. Москва, Васильцовский переулок, д. 1;15747.80355;5515.37728077;2709346.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 796-22-60;http://schuvu1386.mskobr.ru
52;POINT (4200671.100200001 7489356.988600001);6554.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1881;ГБОУ ЦО № 1881;109369, г. Москва, ул. Перерва, дом 44;14921.736025;-1699.14048861;2132575.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;"(495) 349-21-31; (495) 349-05-30; (495) 349-14-03";http://sch1881.uvuo.ru
53;POINT (4173954.9091 7506374.461800002);663.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1816;ГБОУ ЦО № 1816;121096 г. Москва, ул. Кастанаевская, д. 9А;-185.8449;7868.45109947;0.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;(499) 144-37-82;http://co1816.mskzapad.ru
54;POINT (4179731.0458999984 7469250.9113000035);6709.0;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1883 ""Бутово""";"ГБОУ ЦО № 1883 ""Бутово""";117042, г. Москва, улица Поляны, дом 53;3087.45078854;-13083.6796504;2134409.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;716-47-45;http://ec1883.ru
55;POINT (4172437.5604999997 7518105.457000002);5012.0;"Негосударственное образовательное учреждение средняя общеобразовательная школа ""Морозко""";НОУ СОШ Морозко;123060 Расплетина улица, д.17 к.2;-1040.21334685;14468.9724824;21678.0;;;;;Негосударственное;Общеобразовательное учреждение;Начальная школа – детский сад;(499) 194-60-10;
56;POINT (4194683.7498 7482537.174699999);5029.0;Частное учреждение Центр образования «Русская школа»;Частное учреждение ЦО «Русская школа»;115569 Дольская улица, 2;11545.8369667;-5559.38532886;2123394.0;;;;;Негосударственное;Общеобразовательное учреждение;Центр образования;548-07-55;
57;POINT (4202113.240800001 7505632.408699997);3828.0;"Негосударственное общеобразовательное учреждение Центр образования ""Татьянинская школа""";НОУ ЦО Татьянинская школа;109202 3-я Карачаровская улица, д.10;15704.5652455;7478.31355136;2128800.0;;;;;Негосударственное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 170-40-06,171-43-71;
58;POINT (4193645.3335000016 7500449.411399998);8781.0;Негосударственное образовательное частное учреждение Центр образования «Владимира»;Негосударственное образовательное частное учреждение ЦО «Владимира»;115193 6-я Кожуховская улица, д.11 корпус 2;10933.135125;4544.2555535;270069.0;;;;;Негосударственное;Общеобразовательное учреждение;Центр образования;(495) 728-36-07,(495) 728-36-08;http://www.vladimira-center.ru
59;POINT (4185618.621100001 7523453.329400003);5443.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1494;ГБОУ ЦО № 1494;127427, город  Москва, улица Ботаническая, дом 9А;6381.900100000001;17478.8957148;2103766.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;"(499) 975-06-08; (499) 975-06-09";http://co1494.svao.mskobr.ru
60;POINT (4203075.263599999 7499805.325199999);6406.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 641 имени Сергея Есенина;ГБОУ ЦО № 641 имени Сергея Есенина;109462 Волгоградский проспект, дом 66, корп. 4,5;16259.57575;4197.70542145;2128871.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;(499) 172-36-36;http://s641.ru
61;POINT (4193694.589499999 7513369.334600002);6811.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 345;ГБОУ ЦО № 345;105066 Елоховский проезд, 1 стр. 5;10942.9294431;11818.6132639;2116383.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;(499) 267-66-76;http://school345.ru/
62;POINT (4165525.5687999986 7520065.9978);6714.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1302;ГБОУ СОШ № 1302;123181, г. Москва, ул. Исаковского, д. 29, корп. 1;-4933.245725;15573.9097353;2114758.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(495) 942-98-10;http://school-1302.ru/
63;POINT (4184604.3742999993 7505379.204300001);6828.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 588;ГБОУ СОШ № 588;119021 г.Москва, ул.Тимура Фрунзе, д.3;5824.07;7311.68070927;2121150.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;245-05-83;http://www.sch588.cao.mskobr.ru
64;POINT (4190063.5705000013 7512930.967299998);6854.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1283;ГБОУ СОШ № 1283;107045 Садовая-Спасская улица, д.8, стр. 1;8896.400075;11567.4068441;2400044.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;"(495) 607-82-98; (495) 607-83-84";http://school1283.ru/
65;POINT (4209363.9498 7509329.174599998);7500.0;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1666 ""Феникс""";"ГБОУ ЦО №1666 ""Феникс""";111558, г.Москва, Зеленый пр-кт, д. 75;19786.92425;9576.05805774;2122178.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;(495) 302-81-15;http://sch1666.ru
66;POINT (4185235.2622999996 7508519.145800002);6840.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1233;ГБОУ СОШ № 1233;119019 Большой Афанасьевский переулок, д. 27, стр. 1;6177.6657000000005;9080.02827413;4301347.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(495) 691-72-03;http://schu1233.cao.mskobr.ru
67;POINT (4191322.2544 7508560.039300002);6870.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1685;ГБОУ ЦО № 1685;109240 г.Москва, Берниковская набер., д.12, стр.1;9611.375100000001;9109.14518885;2130771.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;"(495) 915-05-60; (495) 915-36-68";http://centre1685.ru
68;POINT (4177126.9472999983 7509012.1941);5892.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2048;ГБОУ СОШ № 2048;123290 г. Москва, Мукомольный пр., д.3, стр.1;1603.5541;9353.64729728;2100916.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 256-55-20;http:/school2048.ru/
69;POINT (4173512.3603000008 7511750.953500003);624.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1114;ГБОУ СОШ № 1114;121601 г.Москва, Филевский бульвар, д. 3,стр.1;-435.14610000000005;10894.7643612;2127919.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;(495) 738-60-54;http://dskv1633.mskzapad.ru
70;POINT (4221002.885200001 7495795.839000002);6552.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1830;ГБОУ ЦО № 1830;111674 1-я Вольская улица, д. 5;26397.73155;1986.74516398;2710460.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;(495) 706-94-01;http://www.zo1830.ru
71;POINT (4181871.5577000007 7473433.914899997);6688.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1825;ГБОУ СОШ № 1825;117216 Куликовская улица, 3А;4298.85124289;-10716.7511232;2900104.0;;;;;Бюджетное;Общеобразовательное учреждение;Средняя общеобразовательная школа;712-29-36;http://1825.ru
