0_OBJECTID;0_UIDNFTN;0_Код;0_АС УР OLD_ID;0_Наименование объекта;1_Адресный ориентир;1_Стоимость посещения;0_Координата X;0_Координата Y;0_УНОМ БТИ;0_ID спортивной зоны/зоны отдыха;0_Тип спортивной зоны/зоны отдыха;0_Название спортивной зоны/зоны отдыха;1_Наличие проката оборудования и инвентаря (да/нет);1_Время работы;1_Тип покрытия;1_Освещение;1_Наличие бесплатных занятий (да/нет);1_Стоимость проката оборудования и инвентаря (указать наименование);0_Уточненные координаты (широта);0_Уточненные координаты  (долгота);0_ID объекта;0_Тип объекта;1_Ведомственная принадлежность;1_Округ;1_Район;1_Наличие сервиса технического обслуживания инвентаря (да/нет);1_Наличие раздевалки (да/нет);1_Наличие звукового сопровождения (да/нет);1_Наличие точки питания (да/нет);1_Наличие туалета (да/нет);1_Наличие точки доступа в интернет, Wi-Fi (да/нет);1_Наличие банкомата (да/нет);1_Наличие медпункта (да/нет);1_ОГРН эксплуатирующей организации;1_Наименование эксплуатирующей организации, предоставляющей услугу по спортивной зоне/зоне объекта;1_Телефон эксплуатирующей организации;1_Сайт эксплуатирующей организации;1_Электронная почта эксплуатирующей организации;0_Статус;0_Комментарии
1;4525;4525;DPIOOS29;"Природно-исторический парк ""Кузьминки-Люблино""";улица Тополевая аллея, дом 16;бесплатно;19070,6064;2491,5269;2700359;;площадка для пляжных видов спорта;;нет;будни с 00:00 до 24:00, выходные с 00:00 до 24:00;песчаное;без освещения;нет;нет;;;;плоскостные спортивные сооружения;Департамент природопользования и охраны окружающей среды города Москвы;ЮВАО;Выхино-Жулебино;нет;нет;нет;нет;да;нет;нет;нет;1087746155892;"ГПБУ ""Управление ООПТ по ЮВАО""";(495) 258-45-60;kuzpark.ru;info@kuzpark.ru;Добавлено;
2;4526;4526;DPIOOS30;"Природно-исторический парк ""Кузьминки-Люблино""";улица Заречье, владение 14;бесплатно;17707,9995;3023,3405;2707516;;площадка для пляжных видов спорта;;нет;будни с 00:00 до 24:00, выходные с 00:00 до 24:00;песчаное;без освещения;нет;нет;;;;плоскостные спортивные сооружения;Департамент природопользования и охраны окружающей среды города Москвы;ЮВАО;Кузьминки;нет;нет;нет;нет;да;нет;нет;нет;1087746155892;"ГПБУ ""Управление ООПТ по ЮВАО""";(495) 258-45-60;kuzpark.ru;info@kuzpark.ru;Добавлено;
3;4527;4527;DPIOOS31;"Природно-исторический парк ""Кузьминки-Люблино""";улица Заречье, владение 14;бесплатно;17515,5148;2981,6685;2707516;;площадка для пляжных видов спорта;;нет;будни с 00:00 до 24:00, выходные с 00:00 до 24:00;песчаное;без освещения;нет;бесплатно;;;;плоскостные спортивные сооружения;Департамент природопользования и охраны окружающей среды города Москвы;ЮВАО;Кузьминки;нет;нет;нет;нет;да;нет;нет;нет;1087746155892;"ГПБУ ""Управление ООПТ по ЮВАО""";(495) 258-45-60;kuzpark.ru;info@kuzpark.ru;Добавлено;
4;4;;;сведения отсутствуют;бульв. Адмирала Ушакова 9;бесплатно;3395,4678;-13562,7603;305216;;площадка для пляжных видов спорта;;нет;с 9.00 до 22.00;песчаное;без освещения;да;нет;;;;междворовые спортивные площадки;Муниципалитет;ЮЗАО;Южное Бутово;нет;нет;нет;нет;нет;нет;нет;нет;1067761146342;"МБУ ЦдиК ""Южное Бутово""";8-499-232-89-14;нашебутово.рф;;Внесены изменения;
5;5;;;"Дворец спорта ""Янтарь""";;нет данных;-5248,2393;14995,2996;;;площадка для пляжных видов спорта;;да;нет данных;песчаное;смешанное освещение;нет;нет данных;;;;спортивные комплексы;;СЗАО;Строгино;нет;да;нет;да;да;да;нет;да;нет данных;нет данных;(499) 252-98-08;http://stroginosport.ru/;kpfsc-strogino@yandex.ru;;
6;6;;;Дизайн завод Флакон;ул. Большая Новодмитровская, 36/4;нет;5500,3398;15327,0314;;;площадка для пляжных видов спорта;;да;с 11:00 до 23:00;песчаное;смешанное освещение;нет;нет;;;;парки (озелененные городские территории);частная;СВАО;Марьина роща;да;да;нет;да;да;да;нет;да;нет данных;нет данных;(495) 790-79-01;http://flacon.ru/;http://flacon.ru/;;
7;7;;;"ДВОРЕЦ СПОРТА ""ДИНАМО"""; ул. Лавочкина, д. 32;нет данных;-158,4379;20974,6531;;;площадка для пляжных видов спорта;;да;с 11:00 до 22:00;песчаное;смешанное освещение;да;нет данных;;;;парки (озелененные городские территории);;САО;Ховрино;нет;да;нет;да;да;нет;нет;да;нет данных;нет данных;(495) 454-95-41;http://dsdynamo.ru/;нет данных ;;
8;8;;;СЕРЕБРЯНЫЙ БОР, ПЛЯЖ №3;Таманская улица, дом 2;нет данных;-3609,9872;12703,9247;;;площадка для пляжных видов спорта;;да;с 11:00 до 21:00;песчаное;смешанное освещение;да;нет данных;;;;парки (озелененные городские территории);;СЗАО;Хорошёво-Мневники;да;да;да;да;да;да;нет;да;нет данных;нет данных;(926) 015-96-15;http://www.uletay.com/;9260159615@bk.ru;;
9;9;;;Измайловский ПКиО;Народный проспект, дом 17;нет данных;15979,0221;11470,6496;;;площадка для пляжных видов спорта;;да;с 11:00 до 22:00;песчаное;смешанное освещение;да;нет данных;;;;парки (озелененные городские территории);;ВАО;Измайлово;нет;да;да;да;да;да;нет;да;нет данных;нет данных;(499) 166-61-19;http://www.izmailovsky-park.ru/;izmpark@mail.ru;;
10;10;;;"ПКиО ""Сокольники""";Сокольнический Вал улица, дом 1;нет данных;11233,4255;14109,1435;;;площадка для пляжных видов спорта;;да;с 11:00 до 22:00;песчаное;смешанное освещение;да;нет данных;;;;парки (озелененные городские территории);;ВАО;Сокольники;нет;да;нет;да;да;да;нет;да;нет данных;нет данных;(495) 268-54-30;www.park-sokolniki.ru;park@park-sokolniki.ru;;
