0_Номер строки;1_Номер маршрута;1_Наименование маршрута;1_Трасса следования маршрута;1_Количество ТС;1_Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы, рабочие/выходные, начало;1_Режим работы, рабочие/выходные, окончание;1_Наименование перевозчика;0_Координаты Х;0_Координаты Y;0_Состояние подписи
113;338;ст. Железнодорожная – Москва (м. Щёлковская);Щелковская-прям. напр. :,Щёлковское шоссеобр. напр. ::;16;Не регламентируется;Не регламентируется;25,3;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 204";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 204";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
116;341;Озеры – Москва (м. Красногвардейская);Красногвардейская-прям. напр. :,Каширское шоссе,Ясеневая улица,Ореховый бульвар,Ясеневая улица,Каширское шоссеобр. напр. ::;3;Не регламентируется;Не регламентируется;129,5;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 12,3,4,5,6,7; кол-во рейсов: 54";"день нед.: 12,3,4,5,6,7; кол-во рейсов: 54";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
118;342;ст.Химки(ул.Павлова)-ст.м.Речной вокзал;Речной вокзал-прям. напр. :,Фестивальная улица,Смольная улица,Беломорская улица,Ленинградское шоссеобр. напр. :,Ленинградское шоссе,Беломорская улица,Смольная улица,Фестивальная улица,улица Лавочкина,Флотская улица,Ленинградское шоссе,Фестивальная улица:;6;Не регламентируется;Не регламентируется;9,5;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 60";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 60";ООО СЕВЕРНЫЙ ТРАКТ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
121;345;ст.Химки-ст.м.Речной вокзал;Речной вокзал-прям. напр. :,Фестивальная улица,Смольная улица,Беломорская улица,Ленинградское шоссе,Правобережная улицаобр. напр. :,Правобережная улица,Ленинградское шоссе,Беломорская улица,Смольная улица,Фестивальная улица:;4;Не регламентируется;Не регламентируется;7;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 40";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 40";ООО СЕВЕРНЫЙ ТРАКТ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
125;347;г.Дзержинский (Областная больница) - м.Кузьминки;Кузьминки-прям. напр. :обр. напр. ::;5;Не регламентируется;Не регламентируется;15,5;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 86";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 86";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
126;349;Щёлково-7 – Москва (м. Щелковская);Щелковская-прям. напр. :,Щёлковское шоссеобр. напр. ::;15;Не регламентируется;Не регламентируется;25,6;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,56,7; кол-во рейсов: 212154";"день нед.: 1,2,3,4,56,7; кол-во рейсов: 212154";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
130;353;Люберцы(ст.Панки) - ст.м.Выхино;Выхино-прям. напр. :,улица Хлобыстова,Рязанский проспект,Лермонтовский проспектобр. напр. ::;9;Не регламентируется;Не регламентируется;12;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 72";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 72";ООО СТАФФТРАНС;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
131;354;Люберцы (Гарнизон)-г.Москва (м.Кузьминки);Кузьминки-прям. напр. :,Жигулёвская улица,Зеленодольская улица,Волгоградский проспектобр. напр. ::;2;Не регламентируется;Не регламентируется;10,7;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,56,7; кол-во рейсов: 6434";"день нед.: 1,2,3,4,56,7; кол-во рейсов: 6434";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
135;357;Зеленоград (ст. Крюково) – Баранцево;-прям. напр. :,Новокрюковская улица,Привокзальная площадьобр. напр. ::;1;Не регламентируется;Не регламентируется;8,3;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 18";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 18";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
136;358;Воскресенск – Москва (а/с Выхино);Выхино-прям. напр. :,Новорязанское шоссе,МКАД, 11-й километр,МКАД, 8-й километр,Рязанский проспект,улица Хлобыстова,улица Академика Скрябина,Волгоградский проспект,Новорязанское шоссеобр. напр. ::;15;Не регламентируется;Не регламентируется;88,1;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,567; кол-во рейсов: 605644";"день нед.: 1,2,3,4,567; кол-во рейсов: 605644";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
