0_Код;1_Название;1_Краткое наименование;1_Адрес;1_Административный округ по территориальной принадлежности;1_Руководитель;1_Телефон руководителя;1_Факс;1_Доп информация;0_Мощность;0_Детское население;0_MODDATE;0_MODUSER;0_Признак закрытого ЛПУ;0_Причина закрытия;0_Главное ЛПУ;0_Должность руководителя;0_Дата закрытия;0_Дата повторного открытия после закрытия;0_X;0_Y
38;Государственное бюджетное  учреждение здравоохранения города Москвы «Детская городская поликлиника № 16  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 16  Департамента здравоохранения города Москвы;107143, Москва, Открытое шоссе, д. 24, корп.6;ВАО;Смирнов Владимир Рудольфович;8-499-167-8511;8-499-167-8511;с 01.11.2012г. присоединяется к «ДГП № 28»;320;8151;;;;;;;;;16097,0913;17302,4744
39;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 17  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 17  Департамента здравоохранения города Москвы;111401, Москва, 2-я Владимирская ул., д. 29а;ВАО;Коновалов Александр Васильевич;304-7430;304-7430;с 01.11.2012г. присоединяется к «ДГП № 7»;320;11172;;;;;;;;;17898,1441;9880,9262
40;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 18 Департамента здравоохранения города Москвы»; Детская городская поликлиника № 18 Департамента здравоохранения города Москвы;113114, Москва, Космодамианская набережная, д. 46/50;ЦАО;Аристархов Евгений Юрьевич;(495) 953-3721;(495) 953-3721;с 01.11.2012г. присоединяется к «ДГП № 38»;111;7000;;;;;;;;;9202,5338;7672,9262
41;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 19  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 19  Департамента здравоохранения города Москвы;125319, Москва, ул. Красноармейская, д.30а;САО;Лазарева Светлана Ильтезяревна;(499) 152-0179;(499) 152-0179;с 01.11.2012г. присоединяется к «ДГП № 39»;422;16150;;;;;;;;;2724,8767;15041,2914
42;ДГП № 43 - филиал Государственного бюджетного учреждения здравоохранения города Москвы «Детская городская поликлиника № 19  Департамента здравоохранения города Москвы»;ДГП № 43 - филиал Государственного бюджетного учреждения здравоохранения города Москвы Детская городская поликлиника № 19  Департамента здравоохранения города Москвы;127287, Москва, ул.1-я Хуторская, дом 2, кор.1;САО;Белушкина Мария Николаевна;(495) 613-5333;(495) 613-5333;с 01.11.2012г. присоединяется к «ДГП № 39»;;;;;;;;;;;4237,9426;14995,7283
43;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 20  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 20  Департамента здравоохранения города Москвы;105037, Москва, ул. Первомайская, д.10А;ВАО;Скрипка Лариса Владимировна;8-499-367-0245;8-499-367-0245;с 01.11.2012г. присоединяется к «ДГП № 52»;320;14899;;;;;;;;;17357,1845;13751,0101
44;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 21 Департамента здравоохранения  города Москвы»;Детская городская поликлиника № 21 Департамента здравоохранения  города Москвы;111539, Москва, ул. Старый Гай, д.3;ВАО;Лазарова Татьяна Тимофеевна;375-6770;375-3060;с 01.11.2012г. присоединяется к «ДГП № 7»;320;11457;;;;;;;;;20831,0796;8063,9286
45;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 22  Департамента здравоохранения  города Москвы»;Детская городская поликлиника № 22  Департамента здравоохранения  города Москвы;125080, Москва, ул. Панфилова , д.10;САО;Менжинская Наталья Григорьевна;(499) 158-3488;(499) 158-2262;с 01.11.2012г. присоединяется к «ДГП № 39»;120;7302;;;;;;;;;-104,2691;15195,8367
46;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 23  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 23  Департамента здравоохранения города Москвы;115409, Москва, ул. Кошкина, д.10,к.1;ЮАО;Ковалева Елена Александровна;320-4684;320-4522;амбулаторный центр;320;10792;;;;;;;;;10858,6408;-2946,5139
1;Государственное бюджетное  учреждение здравоохранения города Москвы «Диагностический центр  (Центр лабораторных исследований) Департамента здравоохранения  города Москвы»;ДЦ ЦЛИ;115580, Москва, Ореховый бульвар, д.49, к.1;ЮАО;и.о.  Гаврилова Ирина Николаевна;(495) 396-73-70;(495) 396-65-10;отсутствует;480;11776;;;;;;;;;15725,359;-5733,7074
2;Государственное бюджетное учреждение здравоохранения города Москвы «Городская больница № 9  Департамента здравоохранения города Москвы»;Городская больница № 9  Департамента здравоохранения города Москвы;105173, Москва, ул. Западная, д.2;ВАО;Дрошнев Вячеслав Михайлович;(499) 722-2634;(499) 722-2634;отсутствует;-;3231;;;;;;;;;22554,5139;16904,274
3;Государственное бюджетное учреждение здравоохранения города Москвы «Городская больница № 49  Департамента здравоохранения города Москвы»;Городская больница № 49  Департамента здравоохранения города Москвы;109429, Москва, р-н Капотня, 2-ой квартал, д.16;ЮВАО;Леков Руслан Мурадович;(495) 355-1547;(495) 355-3638;отсутствует;-;4600;;;;;;;;;19219,1998;-3121,9661
5;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 36  Департамента здравоохранения  города Москвы»; Городская поликлиника № 36  Департамента здравоохранения  города Москвы;109652, Москва, ул. Новомарьинская, д.2;ВАО;Пуделев Игорь Анатольевич;(499) 722-2634;(499) 722-2634;отсутствует;-;9000;;;;;;;;;15687,7131;-1774,2934
6;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 43  Департамента здравоохранения города Москвы»; Городская поликлиника № 43  Департамента здравоохранения города Москвы;127410, Москва, ул. Инженерная, д. 3;СВАО;Карлович Сергей Эдуардович;(499) 900-9081;(499) 900-9081;С 15.09.2012г. присоединяется к «ДЦ № 5 с поликлиническим отделением»;-;2296;;;;;;;;;5176,9891;23617,8801
7;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 66   Департамента здравоохранения города Москвы»; Городская поликлиника № 66   Департамента здравоохранения города Москвы;111672, Москва, ул. Салтыковская, д.7б;ВАО;Паскачев Абдулбек Баклуевич;701-7655;701-7655;отсутствует;-;9910;;;;;;;;;22789,8976;7523,4477
8;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 68 Департамента здравоохранения  города Москвы»; Городская поликлиника № 68 Департамента здравоохранения  города Москвы;109180,Москва, ул. Якиманка, д.22;ЦАО;Кашежева Анисат Заурбековна;(499) 238-5079;(499) 951-4872;отсутствует;-;2500;;;;;;;;;7307,531;7943,192
10;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская клиническая больница № 9  им. Г.Н. Сперанского  Департамента здравоохранения города Москвы»;Детская городская клиническая больница № 9  им. Г.Н. Сперанского  Департамента здравоохранения города Москвы;123317, Москва, Шмитовский проезд, д.29;ЦАО;Продеус Пётр Павлович;(499) 256-2162;(499) 256-6127;С 01.09.2012г. присоединяется Детская инфекционная больница № 12 и Детская городская больница № 21;372;4120;;;;;;;;;2602,4325;9831,6414
11;Государственное бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностическая поликлиника № 121  Департамента здравоохранения города Москвы»; Консультативно-диагностическая поликлиника № 121  Департамента здравоохранения города Москвы;117042, Москва, ул. Южнобутовская.д.87;ЮЗАО;Сафарян Сергей Левони;(495) 474-5436;(495) 474-5436;отсутствует;-;7253;;;;;;;;;1624,5026;-14738,229
12;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 175  Департамента здравоохранения  города Москвы»; Городская поликлиника № 175  Департамента здравоохранения  города Москвы;105568, Москва, ул. Челябинская, д.16;ВАО;Соколова Мария Валерьяновна;300-7250;300-7250;отсутствует;-;5954;;;;;;;;;20754,3722;12243,9362
13;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 193  Департамента здравоохранения города Москвы»; Городская поликлиника № 193  Департамента здравоохранения города Москвы;125599, Москва, ул. маршала Федоренко, д.6;САО;Ивашевская Наталья Николаевна;(495) 486-2064;(495) 486-1596;с 15.09.2012г. присоединяется к «КДЦ № 6»;-;2582;;;;;;;;;-368,2908;23721,986
14;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 196 Департамента здравоохранения города Москвы»; Городская поликлиника № 196 Департамента здравоохранения города Москвы;111621, Москва, ул. Красносолнечная, д.40а;ВАО;Фарутина Алла Геннадиевна;700-0120;700-0111;с 15.09.2012г. присоединяется к «ГП № 66»;-;2788;;;;;;;;;21899,6239;5506,374
15;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 199 Департамента здравоохранения города Москвы»; Городская поликлиника № 199 Департамента здравоохранения города Москвы;121601, Москва, Филевский Бульвар, д.18;ЗАО;Маер Руслан Юрьевич;(499) 145-1074;(499) 145-0986;с 15.09.2012г. присоединяется к «ГП № 195»;-;4700;;;;;;;;;-1213,6272;10786,8643
16;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 200 Департамента здравоохранения   города Москвы»; Городская поликлиника № 200 Департамента здравоохранения   города Москвы;Москва, ул. Родионовская, дом 10, к.2;ЦАО;Павлов Сергей Валерьевич;(499) 401-7040;(499) 401-7040;с 15.09.2012г. присоединяется к «ГП № 219»;-;9900;;;;;;;;;-6682,16;25285,0818
17;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 203  Департамента здравоохранения города Москвы»; Городская поликлиника № 203  Департамента здравоохранения города Москвы;117513, Москва, ул. академика Бакулева, д.18;ЮЗАО;Волков Дмитрий Владимирович;438-4070;438-4070;с 15.09.2012г. присоединяется к «КДЦ № 1»;-;6051;;;;;;;;;-1336,2254;-2908,1043
