0_Код;1_Название;1_Адрес;1_Административный округ по территориальной принадлежности;1_Руководитель;1_Телефон;1_Факс;1_Доп информация;0_X;0_Y
69;Государственное  бюджетное учреждение здравоохранения города Москвы «Научно-практический психоневрологический центр  Департамента здравоохранения города Москвы»;115419, Москва, ул. Донская, д. 43;ЮАО;Гехт Алла Борисовна;(495) 237-0170;(495) 237-0170;ОТСУТСТВУЕТ;6695,125;5515,4085
73;Государственное бюджетное  учреждение здравоохранения города Москвы Психиатрическая клиническая больница  № 12  Департамента здравоохранения города Москвы;123367, Москва, Волоколамское шоссе, д.47;СЗАО;Соболев Владимир Алексеевич;(499) 193-7233;(499) 193-6040;ОТСУТСТВУЕТ;-2097,1104;16404,7067
74;Государственное  казенное  учреждение здравоохранения города Москвы «Психиатрическая больница № 13  Департамента здравоохранения города Москвы»;109559, Москва, ул. Ставропольская, д.27;ЮВАО;Исраелян Алексей Юрьевич;(495) 350-3580;(495) 350-4333;С 01.09.2012г. – присоединяется  ПНД № 11, ПНД № 12 и ПНД № 20;16792,2806;1741,412
75;Государственное казенное  учреждение здравоохранения города Москвы «Психиатрическая больница № 14  Департамента здравоохранения города Москвы»;115477, Москва, ул. Бехтерева, д.15;ЮАО;Кожекин Игорь Геннадьевич;(495) 325-3920;(495) 325-2833;С 01.09.2012г. – присоединяется  ПНД № 10 и ПНД № 18;9520,4696;-3858,0224
76;Государственное  казенное учреждение здравоохранения города Москвы «Психиатрическая клиническая больница  № 15  Департамента здравоохранения города Москвы»;115522, Москва, ул. Москворечье, д.7             ;ЮАО;Кононец Александр Семенович;(495) 324-5389;(495) 324-4019;С 01.09.2012г. – присоединяется  ПНД № 7, ПНД № 16 и ПНД № 19;9306,658;-1637,1283
78;Государственное  казенное  учреждение здравоохранения города Москвы «Детская психоневрологическая больница № 32    Департамента  здравоохранения   города Москвы»;111116, Москва, Энергетическая ул, д.8, кор.2;ЮВАО;Логунков Андрей Михайлович;(495) 362-5560;(495) 362-5560;С 01.09.2012г. присоединяется к  «НПЦ  детской психневрологии»;12901,2;10333,7019
79;Государственное  казенное  учреждение здравоохранения города Москвы «Наркологическая клиническая больница   № 17   Департамента здравоохранения города Москвы»;117638, Москва, Болотниковская ул., д.16;ЮЗАО;и.о. Золотухин Сергей Владимирович;(499) 619-3311, (499) 317-2081;(499) 794-1200;С.01.01.2013 г. присоединяется к МНПЦ наркологии;6653,5735;-1131,2529
80;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская  гинекологическая больница № 5    Департамента  здравоохранения   города Москвы»;105275, Москва, 5-я ул.Соколиной горы,д.14а;ЦАО;Казачков Александр Робертович;(495) 366-81-00;(495) 366-7910;С 01.09.2012г. присоединяется к  Роддому № 20;15079,2876;10681,9387
81;Государственное бюджетное  учреждение здравоохранения города Москвы «Гинекологическая больница  № 11   Департамента здравоохранения города Москвы» ;115093, Москва, 1-й Щипковский пер.. д.19;ЦАО;Воднева Галина Михайловна;(499) 237-2581;(499) 236-5126; С 15.09.2012г. присоединяется к  «ГБ  № 56»;8287,1443;6389,7183
82;Государственное  бюджетное учреждение здравоохранения города Москвы «Морозовская детская городская клиническая больница  Департамента здравоохранения города Москвы»;117049, Москва, 4-й Добрынинский пер., д.1;ЦАО;Колтунов Игорь Ефимович;(499) 236-24-02;(499) 236-22-13;ОТСУТСТВУЕТ;7475,0233;6379,5023
83;Государственное бюджетное  учреждение здравоохранения города Москвы «Детская городская клиническая больница Святого Владимира Департамента здравоохранения города Москвы»;107014, Москва, ул. Рубцовско-Дворцовая, 1/3;ВАО;Выборнов Дмитрий Юрьевич;(499) 268-22-31;(499) 268-22-80;ОТСУТСТВУЕТ;12459,7376;13397,462
