0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Телефон;1_Электронная почта;0_moddate;0_moduser
18;Городской отдел жилищных субсидий района Ново-Переделкино                                                                                                                                                                                                     ;Городской отдел жилищных субсидий района Ново-Переделкино                                                                                                                                                                                                     ;ул. Скульптора Мухиной, д.10                                                                                                                                                                                                                                  ;-9788,457875;-2943,80252;0;                                                                                                                                                                                                                                                              ;ул. Скульптора Мухиной                                                                                                                                                                                                                                        ;10;                                                                                                                                                                                                                                                              ;(495)733-64-19                                                                                                                                                                                                                                                ;28@zao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
19;Городской отдел жилищных субсидий района Очаково                                                                                                                                                                                                              ;Городской отдел жилищных субсидий района Очаково                                                                                                                                                                                                              ;ул. Наташи Ковшовой, д. 21                                                                                                                                                                                                                                    ;-3148,712;1391,904139;0;                                                                                                                                                                                                                                                              ;ул. Наташи Ковшовой                                                                                                                                                                                                                                           ;21;                                                                                                                                                                                                                                                              ;(495)430-72-40                                                                                                                                                                                                                                                ;111@zao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
20;Городской отдел жилищных субсидий района Проспект Вернадского                                                                                                                                                                                                 ;Городской отдел жилищных субсидий района Проспект Вернадского                                                                                                                                                                                                 ;ул. Удальцова, д. 4                                                                                                                                                                                                                                           ;1216,983628;658,3766175;0;                                                                                                                                                                                                                                                              ;ул. Удальцова                                                                                                                                                                                                                                                 ;4;                                                                                                                                                                                                                                                              ;(499)726-81-63                                                                                                                                                                                                                                                ;110@zao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
21;Городской отдел жилищных субсидий района Раменки                                                                                                                                                                                                              ;Городской отдел жилищных субсидий района Раменки                                                                                                                                                                                                              ;Мичуринский пр-т, д. 25, кор.3                                                                                                                                                                                                                                ;313,7925478;3176,969655;0;                                                                                                                                                                                                                                                              ;Мичуринский пр-т                                                                                                                                                                                                                                              ;25;кор. 3                                                                                                                                                                                                                                                        ;(495)931-00-56                                                                                                                                                                                                                                                ;119@zao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
22;Городской отдел жилищных субсидий района Солнцево                                                                                                                                                                                                             ;Городской отдел жилищных субсидий района Солнцево                                                                                                                                                                                                             ;ул. Наро-фоминская, д. 13                                                                                                                                                                                                                                     ;-7046,6433;-1183,006522;0;                                                                                                                                                                                                                                                              ;ул. Наро-фоминская                                                                                                                                                                                                                                            ;13;                                                                                                                                                                                                                                                              ;(495)439-67-11                                                                                                                                                                                                                                                ;25@zao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
23;Городской отдел жилищных субсидий района Тропарево-Никулино                                                                                                                                                                                                   ;Городской отдел жилищных субсидий района Тропарево-Никулино                                                                                                                                                                                                   ;просп. Вернадского, д. 97, кор. 3                                                                                                                                                                                                                             ;-483,3858816;-29,51212608;0;                                                                                                                                                                                                                                                              ;просп. Вернадского                                                                                                                                                                                                                                            ;97;кор.3                                                                                                                                                                                                                                                         ;(499)940-98-01                                                                                                                                                                                                                                                ;22@zao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
24;Городской отдел жилищных субсидий района Филевский парк                                                                                                                                                                                                       ;Городской отдел жилищных субсидий района Филевский парк                                                                                                                                                                                                       ;ул. Новозаводская, д.25, кор.1                                                                                                                                                                                                                                ;130,314025;9519,557731;0;                                                                                                                                                                                                                                                              ;ул. Новозаводская, д.25, кор.1                                                                                                                                                                                                                                ;25;кор.1                                                                                                                                                                                                                                                         ;(499)940-34-20                                                                                                                                                                                                                                                ;49@zao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
25;Городской отдел жилищных субсидий района Фили-Давыдково                                                                                                                                                                                                       ;Городской отдел жилищных субсидий района Фили-Давыдково                                                                                                                                                                                                       ;ул. Кременчугская, д. 9                                                                                                                                                                                                                                       ;-2196,0064;5929,6354;0;                                                                                                                                                                                                                                                              ;ул. Кременчугская                                                                                                                                                                                                                                             ;9;                                                                                                                                                                                                                                                              ;(499)940-96-78                                                                                                                                                                                                                                                ;126@zao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
26;Городской отдел жилищных субсидий района Хорошево-Мневники                                                                                                                                                                                                    ;Городской отдел жилищных субсидий района Хорошево-Мневники                                                                                                                                                                                                    ;ул. Маршала Жукова, д.35, корп.1                                                                                                                                                                                                                              ;-1528,904076;12016,97452;0;                                                                                                                                                                                                                                                              ;ул. Маршала Жукова                                                                                                                                                                                                                                            ;35;корп.1                                                                                                                                                                                                                                                        ;(499)940-99-66                                                                                                                                                                                                                                                ;45@szao@subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
27;Городской отдел жилищных субсидий района Митино                                                                                                                                                                                                               ;Городской отдел жилищных субсидий района Митино                                                                                                                                                                                                               ;Новотушинский проезд, д. 10, кор. 1                                                                                                                                                                                                                           ;-7420,776179;19233,69876;0;                                                                                                                                                                                                                                                              ;Новотушинский проезд                                                                                                                                                                                                                                          ;10;кор.1                                                                                                                                                                                                                                                         ;(495)753-54-62                                                                                                                                                                                                                                                ;122@szao.subsident.ru                                                                                                                                                                                                                                         ;0;                                                                                                    
28;Городской отдел жилищных субсидий района Покровское-Стрешнево                                                                                                                                                                                                 ;Городской отдел жилищных субсидий района Покровское-Стрешнево                                                                                                                                                                                                 ;ул. Б.Набережная, д.19                                                                                                                                                                                                                                        ;-2488,542483;18341,56647;0;                                                                                                                                                                                                                                                              ;ул. Б.Набережная                                                                                                                                                                                                                                              ;19;                                                                                                                                                                                                                                                              ;(495)491-35-56                                                                                                                                                                                                                                                ;77@szao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
29;Городской отдел жилищных субсидий района Северное Тушино                                                                                                                                                                                                      ;Городской отдел жилищных субсидий района Северное Тушино                                                                                                                                                                                                      ;ул. Героев Панфиловцев, д. 1, кор. 2                                                                                                                                                                                                                          ;-3912,34325;20651,74856;0;                                                                                                                                                                                                                                                              ;ул. Героев Панфиловцев                                                                                                                                                                                                                                        ;1;кор.2                                                                                                                                                                                                                                                         ;(495)944-17-91                                                                                                                                                                                                                                                ;71@szao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
30;Городской отдел жилищных субсидий района Строгино                                                                                                                                                                                                             ;Городской отдел жилищных субсидий района Строгино                                                                                                                                                                                                             ;ул. Твардовского,  д. 23, кор. 3                                                                                                                                                                                                                              ;-5854,401568;14343,97851;0;                                                                                                                                                                                                                                                              ;ул. Твардовского                                                                                                                                                                                                                                              ;23;кор.3                                                                                                                                                                                                                                                         ;(499)740-22-02                                                                                                                                                                                                                                                ;80@szao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
31;Городской отдел жилищных субсидий района Южное Тушино                                                                                                                                                                                                         ;Городской отдел жилищных субсидий района Южное Тушино                                                                                                                                                                                                         ;ул. Штурвальная, д.5, стр. 1                                                                                                                                                                                                                                  ;-3340,909825;20087,67207;0;                                                                                                                                                                                                                                                              ;ул. Штурвальная                                                                                                                                                                                                                                               ;5;стр.1                                                                                                                                                                                                                                                         ;(499)492-77-04                                                                                                                                                                                                                                                ;37@szao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
32;Городской отдел жилищных субсидий района Щукино                                                                                                                                                                                                               ;Городской отдел жилищных субсидий района Щукино                                                                                                                                                                                                               ;ул. Рогова, д.12, кор. 2, стр. 1                                                                                                                                                                                                                              ;-2393,2259;14504,36299;0;                                                                                                                                                                                                                                                              ;ул. Рогова                                                                                                                                                                                                                                                    ;12;кор.2 стр.1                                                                                                                                                                                                                                                   ;(495)947-70-74                                                                                                                                                                                                                                                ;67@szao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
33;Городской отдел жилищных субсидий района Куркино                                                                                                                                                                                                              ;Городской отдел жилищных субсидий района Куркино                                                                                                                                                                                                              ;ул. Воротынская, д. 12, кор. 1                                                                                                                                                                                                                                ;-6438,430432;24858,72949;0;                                                                                                                                                                                                                                                              ;ул. Воротынская                                                                                                                                                                                                                                               ;12;кор.1                                                                                                                                                                                                                                                         ;(499)401-80-86                                                                                                                                                                                                                                                ;141@szao.subsident.ru                                                                                                                                                                                                                                         ;0;                                                                                                    
34;Окружной отдел Северного Административного Округа Аэропорт                                                                                                                                                                                                    ;Окружной отдел Северного Административного Округа Аэропорт                                                                                                                                                                                                    ;ул. Черняховского, д. 15, кор. 1                                                                                                                                                                                                                              ;2464,812225;15584,29019;0;                                                                                                                                                                                                                                                              ;ул. Черняховского                                                                                                                                                                                                                                             ;15;кор.1                                                                                                                                                                                                                                                         ;(499)152-53-21                                                                                                                                                                                                                                                ;64@sao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
35;Городской отдел жилищных субсидий района Беговой                                                                                                                                                                                                              ;Городской отдел жилищных субсидий района Беговой                                                                                                                                                                                                              ;Ленинградский пр-т, д. 14, корп. 1                                                                                                                                                                                                                            ;5033,654375;12678,97062;0;                                                                                                                                                                                                                                                              ;Ленинградский пр-т                                                                                                                                                                                                                                            ;14;корп.1                                                                                                                                                                                                                                                        ;(495)612-24-29                                                                                                                                                                                                                                                ;62@sao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
36;Городской отдел жилищных субсидий района Бескудниковский                                                                                                                                                                                                      ;Городской отдел жилищных субсидий района Бескудниковский                                                                                                                                                                                                      ;ул. 800-летия Москвы, д. 4, кор. 2                                                                                                                                                                                                                            ;2373,664512;23275,18871;0;                                                                                                                                                                                                                                                              ;ул. 800-летия Москвы                                                                                                                                                                                                                                          ;4;кор.2                                                                                                                                                                                                                                                         ;(495)484-98-07                                                                                                                                                                                                                                                ;53@sao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
37;Городской отдел жилищных субсидий района Войковский                                                                                                                                                                                                           ;Городской отдел жилищных субсидий района Войковский                                                                                                                                                                                                           ;ул. Клары Цеткин, д. 29, кор. 1                                                                                                                                                                                                                               ;1070,030492;17638,78894;0;                                                                                                                                                                                                                                                              ;ул. Клары Цеткин                                                                                                                                                                                                                                              ;29;кор.1                                                                                                                                                                                                                                                         ;(495)601-43-09                                                                                                                                                                                                                                                ;83@sao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
