0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
1;Государственное бюджетное учреждение культуры города Москвы «Московский музыкальный театр для детей и юношества «На Басманной»                                                                                                                                ;ГБУК г.Москвы «Московский музыкальный театр для детей и юношества «На Басманной»                                                                                                                                                                              ;107066, г.Москва, 1-й Басманный пер., д.12                                                                                                                                                                                                                    ;10399,2626;11662,82699;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Басманный                                                                                                                                                                                                                                                     ;107066, г.Москва, 1-й Басманный пр-д, д.12                                                                                                                                                                                                                    ;(495) 607-60-80, (495) 607-67-48, (495) 607-40-28                                                                                                                                                                                                             ;(495) 607-67-48                                                                                                                                                                                                                                               ;mteatr.ru                                                                                                                                                                                                                                                     ;muzteatr@yandex.ru                                                                                                                                                                                                                                            
2;Государственное бюджетное учреждение культуры города Москвы «Московская государственная творческая мастерская под руководством Алексея Рыбникова»                                                                                                             ;ГБУК г.Москвы «МГТМ п/р А.Рыбникова»                                                                                                                                                                                                                          ;121069, г.Москва, Большой Ржевский пер., д.11                                                                                                                                                                                                                 ;5871,835011;9750,273874;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Арбат                                                                                                                                                                                                                                                         ;121069, г.Москва, Большой Ржевский пер., д.11                                                                                                                                                                                                                 ;(495) 690-40-16, (495) 690-38-55, (495) 690-40-23                                                                                                                                                                                                             ;(495) 690-40-23                                                                                                                                                                                                                                               ;alexeyrybnikov.ru                                                                                                                                                                                                                                             ;mocmgtm@mail.ru                                                                                                                                                                                                                                               
3;Государственное бюджетное учреждение культуры города Москвы «Московский детский Сказочный театр»                                                                                                                                                              ;ГБУК г.Москвы «Московский детский Сказочный театр»                                                                                                                                                                                                            ;109004, г.Москва, Большой Факельный пер., д.18 стр.3, 4, 5                                                                                                                                                                                                    ;10439,68787;8285,5069;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Таганский                                                                                                                                                                                                                                                     ;109004, г.Москва, Большой Факельный пер., д.18 стр.3, 4, 5                                                                                                                                                                                                    ;(495) 911-04-38, (495) 912-28-78                                                                                                                                                                                                                              ;(495) 912-28-78                                                                                                                                                                                                                                               ;teatr-skazka.ru                                                                                                                                                                                                                                               ;skaz.teatr@mail.ru                                                                                                                                                                                                                                            
4;Государственное бюджетное учреждение культуры города Москвы «Московский еврейский театр «Шалом»                                                                                                                                                               ;ГБУК г.Москвы «Московский еврейский театр «Шалом»                                                                                                                                                                                                             ;117556, г.Москва, Варшавское ш., д.71 корп.1                                                                                                                                                                                                                  ;7687,682575;-778,9140722;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Южный АО                                                                                                                                                                                                                                                      ;Нагорный                                                                                                                                                                                                                                                      ;117556, г.Москва, Варшавское ш., д.71 корп.1                                                                                                                                                                                                                  ;(499) 613-27-53, (499) 610-78-86                                                                                                                                                                                                                              ;(499) 610-29-98                                                                                                                                                                                                                                               ;shalom-theatre.ru                                                                                                                                                                                                                                             ;shalom.teatr@gmail.com                                                                                                                                                                                                                                        
5;Государственное бюджетное учреждение культуры города Москвы «Московский театр Около дома Станиславского»                                                                                                                                                      ;ГБУК г.Москвы «Московский театр Около дома Станиславского»                                                                                                                                                                                                    ;125009, г.Москва, Вознесенский пер., д.9а                                                                                                                                                                                                                     ;6633,263961;10193,59022;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Пресненский                                                                                                                                                                                                                                                   ;125009, г.Москва, Вознесенский пер., д.9а                                                                                                                                                                                                                     ;(495) 691-17-08, (495) 695-37-21                                                                                                                                                                                                                              ;(495) 695-37-21                                                                                                                                                                                                                                               ;okolo.ru                                                                                                                                                                                                                                                      ;2411576@mail.ru                                                                                                                                                                                                                                               
6;Государственное бюджетное учреждение культуры города Москвы «Московский детский театр теней»                                                                                                                                                                  ;ГБУК г.Москвы «Московский детский театр теней»                                                                                                                                                                                                                ;105007, г.Москва, Измайловский б-р, д.60/10                                                                                                                                                                                                                   ;19817,06733;14470,42699;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Восточное Измайлово                                                                                                                                                                                                                                           ;105007, г.Москва, Измайловский б-р, д.60/10                                                                                                                                                                                                                   ;(495) 465-50-70                                                                                                                                                                                                                                               ;(495) 465-50-70                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;info@teniteatr.ru                                                                                                                                                                                                                                             
7;Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр имени Рубена Симонова»                                                                                                                                            ;ГБУК г.Москвы «МДТ им. Р.Симонова»                                                                                                                                                                                                                            ;119002, г.Москва, Калошин пер., д.10 стр.2                                                                                                                                                                                                                    ;5951,670375;9140,966673;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Арбат                                                                                                                                                                                                                                                         ;119048, г.Москва, ул. Доваторов, д.12 корп.2 стр.5                                                                                                                                                                                                            ;(499) 248-26-80, (499) 248-20-61                                                                                                                                                                                                                              ;(499) 248-20-61                                                                                                                                                                                                                                               ;teatr-simonova.ru                                                                                                                                                                                                                                             ;mdtrubensimonov@yandex.ru                                                                                                                                                                                                                                     
8;Государственное бюджетное учреждение культуры города Москвы «Театр кошек Куклачева»                                                                                                                                                                           ;ГБУК г.Москвы «Театр кошек Куклачева»                                                                                                                                                                                                                         ;121151, г.Москва, Кутузовский пр-т, д.25                                                                                                                                                                                                                      ;3055,007338;8562,809428;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Дорогомилово                                                                                                                                                                                                                                                  ;121151, г.Москва, Кутузовский пр-т, д.25                                                                                                                                                                                                                      ;(499) 249-65-70                                                                                                                                                                                                                                               ;(499) 249-65-70                                                                                                                                                                                                                                               ;catstheatre.ru                                                                                                                                                                                                                                                ;tkk-69@mail.ru                                                                                                                                                                                                                                                
9;Государственное бюджетное учреждение культуры города Москвы «Московский театр «Мастерская П.Н.Фоменко»                                                                                                                                                        ;ГБУК г.Москвы «Московский театр «Мастерская П.Н.Фоменко»                                                                                                                                                                                                      ;112165, г.Москва, Кутузовский пр-т, д.30/32                                                                                                                                                                                                                   ;2424,0519;8270,79232;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Дорогомилово                                                                                                                                                                                                                                                  ;112165, г.Москва, Кутузовский пр-т, д.30/32                                                                                                                                                                                                                   ;(495) 645-33-55, (495) 645-33-18                                                                                                                                                                                                                              ;(499) 249-51-29                                                                                                                                                                                                                                               ;fomenko.theatre.ru                                                                                                                                                                                                                                            ;fomenko@theatre.ru                                                                                                                                                                                                                                            
10;Государственное бюджетное учреждение культуры города Москвы «Московский музыкально-драматический цыганский театр «Ромэн»                                                                                                                                      ;ГБУК г.Москвы «Цыганский театр «Ромэн»                                                                                                                                                                                                                        ;125040, г.Москва, Ленинградский пр-т, д.32/2                                                                                                                                                                                                                  ;4487,8861;13092,14663;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северный АО                                                                                                                                                                                                                                                   ;Беговой                                                                                                                                                                                                                                                       ;125040, г.Москва, Ленинградский пр-т, д.32/2                                                                                                                                                                                                                  ;(495) 612-03-33, (495) 614-80-79                                                                                                                                                                                                                              ;(495) 614-80-79                                                                                                                                                                                                                                               ;teatr-romen.ru                                                                                                                                                                                                                                                ;morozov@teatr-romen.ru                                                                                                                                                                                                                                        
