0_Код;1_Название;1_Адрес;0_Признак закрытого ЛПУ;0_Полное наименование согласно документам;1_Краткое наименование;0_Причина закрытия;0_Дата закрытия;0_Дата повторного открытия после закрытия;1_Административный округ по территориальной принадлежности;0_Главное ЛПУ;1_Руководитель;0_Пол руководителя;1_Должность руководителя;1_Телефон руководителя;1_Общий телефон;0_факс;0_Доп. информация;0_X;0_Y
673;Центр восстановительного лечения для детей № 6;127055, город Москва, Тихвинский переулок, дом 7; ;Центр восстановительного лечения для детей № 6;ЦВЛ № 6; ;;;ЦАО; ;Копылова Ирина Павловна;женский;Заведующая;(499) 978-11-52;(499) 978-11-52; ; ;6202,6877;13393,897
258;Центр восстановительной медицины и реабилитации;125362, город Москва, Булатниковский проезд, дом 16; ;Центр восстановительной медицины и реабилитации;ЦВМиР; ;;;ДЗ; ;Воловец Светлана Альбертовна;женский;Главный врач;(495) 493-50-49;(495) 493-50-49; ; ;10121,7661;-9917,4709
268;Центр медицинской инспекции;105064, город Москва, Хомутовский тупик, дом 5, строение 1; ;Центр медицинской инспекции;ЦМИ; ;;;ДЗ; ;Старшинин Андрей Викторович;мужской;Директор;(495) 608-38-23;(495) 608-38-23; ; ;9804,7815;11129,5714
267;Центр медицинской и социальной реабилитации с отделением постоянного проживания для подростков и взрослых инвалидов с тяжелыми формами детского церебрального паралича самостоятельно не передв;115569, город Москва, Радиальная 3-я улица, дом 6; ;Центр медицинской и социальной реабилитации с отделением постоянного проживания для подростков и взрослых инвалидов с тяжелыми формами детского церебрального паралича самостоятельно не передв;ЦМСР ДЦП; ;;;ЮАО; ;Снегирев Андрей Юрьевич;мужской;Директор;(495) 325-56-53;(495) 325-56-53; ; ;11103,4148;-6627,9679
271;Центр повышения квалификации;117732, город Москва, Профсоюзная улица, дом 136, корпус 5; ;Центр повышения квалификации;ЦПК; ;;;ДЗ; ;Шаталова Людмила Михайловна;женский;Директор;(495) 339-45-88;(495) 339-45-88; ; ;444,3396;-4207,5239
218;Научно-практический центр медицинской помощи детям с пороками развития черепно-лицевой области и врожденными заболеваниями нервной системы;119620, город Москва, Авиаторов улица, дом 38; ;Научно-практический центр медицинской помощи детям с пороками развития черепно-лицевой области и врожденными заболеваниями нервной системы;НПЦ МП ДПРЦЛ; ;;;ДЗ; ;Притыко Андрей Георгиевич;мужской;Директор;(495) 435-41-07;(495) 435-41-07; ; ;-5193,1083;-2928,3807
353;Центр мануальной терапии;119571, город Москва, Вернадского проспект, дом 121; ;Центр мануальной терапии;ЦМТ ( ГП 216); ;;;ЗАО; ;Ситель Анатолий Болеславович;мужской;Главный врач;(495) 434-56-94;(495) 434-56-94; ; ;-923,0149;-1137,858
149;"Медицинский центр мобилизационных резервов ""Резерв""";117218, город Москва, Кржижановского улица, дом 20, корпус 2; ;"Медицинский центр мобилизационных резервов ""Резерв""";"ГУ МЦ ""Резерв"""; ;;;ДЗ; ;Чернявский Владимир Николаевич;мужской;Директор;(499) 125-30-34;(499) 125-30-34; ; ;4702,9818;1300,5447
901;Центр восстановительного лечения для детей № 9;117449, город Москва, Винокурова улица, дом 4, корпус 3; ;Центр восстановительного лечения для детей № 9;ЦВЛ № 9; ;;;ЮЗАО;ДГП № 69;Нуждина Ольга Владимировна;женский;Главный врач;(499) 126-21-02;(499) 126-21-02; ; ;5272,2405;2426,1143
161;Научно-практический центр психического здоровья детей и подростков;119334, город Москва, Донской 5-й проезд, дом 21; ;Научно-практический центр психического здоровья детей и подростков;НПЦ ПЗДП; ;;;ДЗ; ;Усачева Елена Леонидовна;женский;Директор;(495) 954-53-36;(495) 954-53-36; ; ;6214,4191;4272,3686
