0_OBJECTID;0_UIDNFTN;0_Код;0_АС УР OLD_ID;0_Наименование объекта;1_Адресный ориентир;1_Стоимость посещения;0_Координата X;0_Координата Y;0_УНОМ БТИ;0_ID спортивной зоны/зоны отдыха;0_Тип спортивной зоны/зоны отдыха;0_Название спортивной зоны/зоны отдыха;1_Наличие проката оборудования и инвентаря (да/нет);1_Время работы;1_Тип покрытия;1_Освещение;1_Наличие бесплатных занятий (да/нет);1_Стоимость проката оборудования и инвентаря (указать наименование);0_Уточненные координаты (широта);0_Уточненные координаты  (долгота);0_ID объекта;0_Тип объекта;1_Ведомственная принадлежность;1_Округ;1_Район;1_Наличие сервиса технического обслуживания инвентаря (да/нет);1_Наличие раздевалки (да/нет);1_Наличие звукового сопровождения (да/нет);1_Наличие точки питания (да/нет);1_Наличие туалета (да/нет);1_Наличие точки доступа в интернет, Wi-Fi (да/нет);1_Наличие банкомата (да/нет);1_Наличие медпункта (да/нет);1_ОГРН эксплуатирующей организации;1_Наименование эксплуатирующей организации, предоставляющей услугу по спортивной зоне/зоне объекта;1_Телефон эксплуатирующей организации;1_Сайт эксплуатирующей организации;1_Электронная почта эксплуатирующей организации;0_Статус;0_Комментарии
26;26;;;сведения отсутствуют;"ул. Академика Виноградова, 12
";бесплатно;-338,5225;-3585,9527;;;пляж;"зона отдыха ""Тропарево""
";да ;нет данных;песчаное;без освещения;нет;"катамаран 200 р.
";;;;"парки (озелененные городские территории
";нет данных;ЮЗАО;"Тёплый Стан
";нет;да;нет;нет;да;нет;нет;нет;"нет данных
";"нет данных
";"нет данных
";"нет данных
";"нет данных
";добавлено;
27;27;;;"ПКиО им. М. Горького
";"Крымский Вал ул., д. 9
";бесплатно;6706,9851;7106,8291;;;"пляж
";"Оливковый пляж
";да;"нет данных
";"деревянное
";смешанное освещение;нет;"лежак и полотенце - 600 руб
";;;;парки (озелененные городские территории;нет данных;ЦАО;Якиманка;нет;да;да;да;да;да;да;да;"нет данных
";"нет данных
";"(495) 995?00?20
";"http://www.park-gorkogo.com/
";"info@park-gorkogo.com
";добавлено;
2;8482;;ZELAO_54;Пруд на ручье Ржавка;г.Зеленоград, 5а;бесплатно;-15465,3927;36336,0361;0;;пляж;Пруд на ручье ржавка;нет;свободное посещение;травяное;без освещения;нет;нет;55,993167;37,250045;;пруд;Департамент природопользования и охраны окружающей среды города Москвы;ЗелАО;Савёлки;нет;нет;нет;нет;нет;нет;нет;нет;сведений нет;"ГКУ г.Москвы ""Дирекция ЖКХиБ ЗелАО";(499) 210-29-20;www.zelguis.ru;zel_guis@mail.ru;;
7;547;;DK____231;"ПКиО ""Фили""";ул. Большая Филевская, д.22;0;-1445,8876;9058,4984;0;;пляж;;нет;11:00-20:00;травяное;без освещения;да;0;;;;парки (озелененные городские территории);Департамент культуры города Москвы;ЗАО;Филёвский Парк;нет;да;да;да;да;да;нет;нет;1037739444060;"ГАУК г. Москвы ""ПКиО ""Фили""";(499) 145-45-05;parkfili.com;info@parkfili.com;Подтверждено;
29;29;;;"Парк «Сокольники»
";"ул. Сокольнический вал 1, стр. 1
";"250-1600 р. в зависимости от дня
";10412,6863;14576,6632;;;пляж;;"да
";"10.00 до 20.00
";песчаное;смешанное освещение;нет;нет;;;;парки (озелененные городские территории;нет данных;ВАО;Сокольники;нет;"да
";"да
";"да
";"да
";нет ;нет;нет;нет данных ;нет данных;"(499) 268-60-26
";"www.park-sokolniki.ru/
";нет данных;добавлено;
28;28;;;"Парк «Северное Тушино»
";"ул. Свободы, д.56 
";бесплатно;-2841,1037;21752,2516;;;пляж;;"да
";"нет данных
";песчаное;"смешанное освещение
";да;нет данных;;;;парки (озелененные городские территории;нет данных;СЗАО;"Северное тушино
";нет;"да
";"да
";"да
";"да
";"да
";нет;нет;"нет данных
";"нет данных
";"(499) 497-03-80
";"http://mosparks.ru/
";нет данных;добавлено;
12;8492;;ZELAO_64;Озеро Черное;г.Зеленоград, 6 мкрн.;нет;-16303,5944;36164,4535;0;;пляж;Озеро Черное;нет;свободное посещение;песчаное;уличные столбы освещения;нет;нет;55,991637;37,236892;;открытая городская территория;Департамент природопользования и охраны окружающей среды города Москвы;ЗелАО;Савёлки;нет;да;нет;нет;да;нет;нет;да;сведений нет;Дирекция ЖКХиБ ЗелАО;(499) 210-29-20;zelguis.ru;zel_guis@mail.ru;;
13;8482;;ZELAO_54;Пруд на ручье Ржавка;г.Зеленоград, 5а;бесплатно;-15465,3927;36336,0361;0;;пляж;Пруд на ручье ржавка;нет;свободное посещение;травяное;без освещения;нет;нет;55,993167;37,250045;;пруд;Департамент природопользования и охраны окружающей среды города Москвы;ЗелАО;Савёлки;нет;нет;нет;нет;нет;нет;нет;нет;сведений нет;"ГКУ г.Москвы ""Дирекция ЖКХиБ ЗелАО";(499) 210-29-20;www.zelguis.ru;zel_guis@mail.ru;;
39;39;;;сведения отсутствуют;ул. Ротерта 4;бесплатно;14439,1091;23166,3592;;;зона отдыха у воды;пруд Лось;нет;нет данных;песчаное;без освещения;нет;нет;нет данных;нет данных;;парки (озелененные городские территории);нет данных;ВАО;Метрогородок;нет;нет;нет;нет;нет;нет;нет;нет;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
18;8494;;ZELAO_66;Каскад Малинских прудов;Зеленоград, поселок Малино;сведения отсутствуют;-18139,0126;32844,8521;0;;пляж;Каскад Малинских прудов;нет;0:00-24:00;натуральное;без освещения;нет;нет;;;;пруд;сведения отсутствуют;ЗелАО;Крюково;нет;нет;нет;нет;нет;нет;нет;нет;сведений нет;сведения отсутствуют;нет;нет;нет;подтверждено;
19;8493;;ZELAO_65;Декоративный пруд в 15 мкрн.;г.Зеленоград, 15 мкрн.;нет;-21679,9384;34949,8813;0;;пляж;Декоративный пруд;нет;0:00-24:00;специальное;сведения отсутствуют;нет;нет;;;;Пруд;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;ЗелАО;Крюково;нет;нет;нет;нет;нет;нет;нет;нет;сведений нет;сведения отсутствуют;нет;нет;нет;подтвержден;нет
20;470;;DK____154;спортивный центр;ул. Крымский вал, д.9;сведения отсутствуют;6287,3211;6923,487;0;;пляж;;да;10:00-22:00;песчаное;смешанное освещение;да;800 руб. - сетки, мячи;;;;парки (озелененные городские территории);Департамент культуры города Москвы;ЦАО;Якиманка;нет;да;нет;да;да;да;нет;да;1027739258249;ГАУК г.Москвы ЦПКиО им.М.Горького;(499) 237-11-00;park-gorkogo.com;sportdosy@yandex.ru;Подтверждено;
37;37;;;сведения отсутствуют;Строгинское шоссе, 1;"вход по будням 300руб., 
по выходным 500 руб.";-4039,3407;15368,2094;;;Пляж;"""Супер пляж""";нет;нет данных;натуральное;уличные столбы освещения;нет;"шезлонг - 300 руб.
полотенце - 100 руб.";;;;парки (озелененные городские территории;частная;СВАО;Строгино;нет;да;да;да;да;нет;да;да;нет данных;нет данных;(495) 507-08-09;"http://www.superbeach.ru/
";"info@superbeach.ru
";Добавлено;
22;22;;;сведения отсутствуют;"Строгинское шоссе, 37
";"Будни – 300 руб.
Выходные – 500 руб.";-4495,7478;15370,1937;;;"пляж
";"Пляж Монтероссо
";да ;нет данных;"песчаное
";без освещения;нет;Шезлонг - 500 руб.;;;;парки (озелененные городские территории;частная;СВАО;Строгино;нет;да;да;да;да;да;нет;да;нет данных;нет данных;"(495) 510-96-86
";"http://monterossoclub.ru/
";"pechki@pisem.net
";добавлено;
23;23;;;"Борисовские пруды
";"ул. Борисовские Пруды, 2а
";бесплатно;13230,249;-3712,0443;;;пляж;;да;нет данных;песчаное;без освещения;нет;нет;;;;парки (озелененные городские территории;"нет данных
";ЮАО;"Орехово-Борисово Северное
";нет;да;нет;нет;да;нет;нет;нет;"нет данных
";"нет данных
";"нет данных
";"нет данных
";"нет данных
";Добавлено;
24;24;;;сведения отсутствуют;"Большая Академическая ул., д. 38
";50 руб.;2330,8991;18388,1715;;;пляж;"Пляж Академические пруды
";да;нет данных;песчаное ;без освещения;нет;нет;;;;парки (озелененные городские территории;нет данных;САО;"Коптево
";нет;да;нет;нет;да;нет;нет;нет;нет данных ;"нет данных
";"нет данных
";"нет данных
";"нет данных
";Добавлено;
