0_OBJECTID;0_UIDNFTN;0_Код;0_АС УР OLD_ID;0_Наименование объекта;1_Адресный ориентир;1_Стоимость посещения;0_Координата X;0_Координата Y;0_УНОМ БТИ;0_ID спортивной зоны/зоны отдыха;0_Тип спортивной зоны/зоны отдыха;0_Название спортивной зоны/зоны отдыха;1_Наличие проката оборудования и инвентаря (да/нет);1_Время работы;1_Тип покрытия;1_Освещение;1_Наличие бесплатных занятий (да/нет);1_Стоимость проката оборудования и инвентаря (указать наименование);0_Уточненные координаты (широта);0_Уточненные координаты  (долгота);0_ID объекта;0_Тип объекта;1_Ведомственная принадлежность;1_Округ;1_Район;1_Наличие сервиса технического обслуживания инвентаря (да/нет);1_Наличие раздевалки (да/нет);1_Наличие звукового сопровождения (да/нет);1_Наличие точки питания (да/нет);1_Наличие туалета (да/нет);1_Наличие точки доступа в интернет, Wi-Fi (да/нет);1_Наличие банкомата (да/нет);1_Наличие медпункта (да/нет);1_ОГРН эксплуатирующей организации;1_Наименование эксплуатирующей организации, предоставляющей услугу по спортивной зоне/зоне объекта;1_Телефон эксплуатирующей организации;1_Сайт эксплуатирующей организации;1_Электронная почта эксплуатирующей организации;0_Статус;0_Комментарии
146;146;;;Фитнес-клуб Камелот GYM;Комсомольский просп. 32;нет данных;4946,3366;6444,466;;;бассейн плавательный крытый;нет данных;да;нет данных;специальное;лампы дневного освещения;нет;нет данных;нет данных;нет данных;;физкультурно-оздоровительные комплексы;частная;ЦАО;Хамовники;нет;да;да;да;да;нет;нет;да;нет дынных;нет данных;нет данных;kamelot-gym.ru;"нет данных
";"нет данных
";"нет данных
"
148;148;;;"Фитнес-клуб ""Зебра""
";"Новоалексеевская ул. 25
";"нет данных
";9590,2467;16034,5295;;;"бассейн плавательный крытый
";"Фитнес-клуб ""Зебра""
";"да
";"нет данных
";"специальное
";"лампы дневного освещения
";"нет
";"нет данных
";;;;"физкультурно-оздоровительные комплексы
";"частная
";"СВАО
";"Алексеевский
";"нет
";"да
";"да
";"да
";"да
";нет;нет;"да
";"нет данных
";"ОАО Завод ""Водоприбор""
";"нет данных
";"fitnes.ru
";нет данных;нет данных;
181;181;;;"Фитнес-клуб ""Куркино""Фитнес-клуб  Wild fitness
";"Родионовская ул.,16 к12
";нет данных;-7027,7779;25561,6382;;;"бассейн плавательный крытый
";"Фитнес-клуб ""Куркино""Фитнес-клуб  Wild fitness
";да;нет данных;"специальное
";"лампы дневного освещения
";нет;нет данных;;;;"физкультурно-оздоровительные комплексы
";"частная
";СЗАО;"Куркино
";"нет данных
";да;да;да;да;нет;нет;да;"нет данных
";"ООО ""Куркино""
";нет данных;"wildfitness.ru
";нет данных;;
182;182;;;"Фитнес клуб ""Икс-фит – Лианозово""
";"Угличская ул. 12к1
";"нет данных
";4497,1521;26159,3779;;;"бассейн плавательный крытый
";;"да
";"нет данных
";"специальное
";"лампы дневного освещения
";"нет
";нет данных;;;;"физкультурно-оздоровительные комплексы
";"частная
";"СВАО
";"Лианозово
";нет;да;да;да;да;нет;нет;да;нет данных;"ООО РТК-Энтер
";нет данных;xfit.ru;нет данных;;
183;183;;;Фитнес клуб marina-club на базе ЦСКА ВМФ;Ленинградское шоссе 25Ас1;нет данных;-1146,5331;17941,7545;;;бассейн плавательный крытый;нет данных;да;нет данных;специальное;лампы дневного освещения;нет;нет данных;нет данных;нет данных;;физкультурно-оздоровительные комплексы;частная;САО;Войковский;нет;да;да;да;да;нет;нет;да;нет дынных;"Спортивный клуб ""Марина клаб""  на базе ЦСКА ВМФ";нет данных;marina-club.ru;нет данных;нет данных;нет данных
184;184;;;"Бассейн ""Дельфин""
";"3-я Мытищинская ул. 16с61
";"нет данных
";9292,6452;15591,8015;;;"бассейн плавательный крытый
";;да;"нет данных
";"специальное
";"лампы дневного освещения
";нет;"нет данных
";;;;"бассейны плавательные
";"частная
";СВАО;"Алексеевский
";нет;да;да;да;да;нет;нет;да;"нет данных
";"ОАО ""Квант-Н""
";нет данных;"нет данных
";"нет данных
";"нет данных
";
185;185;;;"Фитнес-клуб ""Локо-Парк""
";"Верхоянская ул. 9
";"нет данных
";10593,7046;21069,4291;;;"бассейн плавательный крытый
";"Фитнес-клуб ""Локо-Парк""
";да;нет данных;"специальное
";"лампы дневного освещения
";нет;"нет данных
";;;;"бассейны плавательные
";"частная
";СВАО;"Бабушкинский
";нет;да;да;да;да;нет;нет;да;нет данных;"ООО ""Спортстройинвест"" ""Локо-парк""
";нет данных;"loko-park.ru
";нет данных;нет данных;
186;186;;;Фитнес-клуб POINT;Конный пер. 4;нет данных;7201,7836;6068,2757;;;бассейн плавательный крытый;нет данных;да;нет данных;специальное;смешанное освещение;нет;нет данных;нет данных;нет данных;;спортивные залы;частная;ЦАО;Якиманка;нет;да;да;да;да;нет;нет;да;нет дынных;нет дынных;нет дынных;http://www.pointfitness.ru/;нет дынных;нет дынных;нет дынных
155;155;;;Фитнес-клуб ГЕРАКЛ;Тверская ул. 12с8;нет данных;6956,723;10818,0351;;;бассейн плавательный крытый;нет данных;да;нет данных;специальное;лампы дневного освещения;нет;нет данных;нет данных;нет данных;;физкультурно-оздоровительные комплексы;частная;ЦАО;Тверской;нет;да;да;да;да;нет;нет;да;нет дынных;Фитнес-клуб ГЕРАКЛ;нет данных;http://www.fitness96.ru/catalog/company1006/;нет данных;нет данных;нет данных
187;187;;;"Фитнес клуб ""Зебра""
";"Балтийская ул., д.15
";"нет данных
";1029,9558;16040,1388;;;"бассейн плавательный крытый
";;"да
";"нет данных
";"специальное
";"лампы дневного освещения
";"нет
";"нет данных
";;;;физкультурно-оздоровительные комплексы;"частная
";"САО
";"Сокол
";"нет
";"да
";"да
";"да
";"да
";"нет
";"нет
";"да
";"нет данных
";"нет данных
";нет данных;"fitnes.ru
";нет данных;;
