0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Электронная почта
6;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Московская городская детская музыкальная школа имени С.С.Прокофьева»                                                                                    ;ГБОУ ДОД г.Москвы «Московская городская детская музыкальная школа имени С.С.Прокофьева»                                                                                                                                                                       ;105066, г.Москва, Токмаков пер., д.8                                                                                                                                                                                                                          ;10739,9001;11072,47332;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Басманный                                                                                                                                                                                                                                                     ;105066, г.Москва, Токмаков пер., д.8                                                                                                                                                                                                                          ;(499) 261-07-11, (499) 261-03-83                                                                                                                                                                                                                              ;(499) 261-38-67                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;msprokofiev@yandex.ru                                                                                                                                                                                                                                         
7;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Московская городская детская музыкальная школа имени В.М.Блажевича»                                                                                     ;ГБОУ ДОД г.Москвы «Московская городская детская музыкальная школа имени В.М.Блажевича»                                                                                                                                                                        ;123022, г.Москва, ул. Трехгорный вал, д.2/4 стр.1                                                                                                                                                                                                             ;4028,7378;10198,54636;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Пресненский                                                                                                                                                                                                                                                   ;123022, г.Москва, ул. Трехгорный вал, д.2/4 стр.1                                                                                                                                                                                                             ;(499) 252-03-05, (495) 605-94-36                                                                                                                                                                                                                              ;(499) 252-03-05                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;gudikanc@yandex.ru                                                                                                                                                                                                                                            
8;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Московская городская детская музыкальная школа имени В.М.Блажевича»                                                                                     ;ГБОУ ДОД г.Москвы «Московская городская детская музыкальная школа имени В.М.Блажевича»                                                                                                                                                                        ;129223, г.Москва, пр-т Мира, д.123                                                                                                                                                                                                                            ;9124,987625;17607,52162;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Пресненский                                                                                                                                                                                                                                                   ;123022, г.Москва, ул. Трехгорный вал, д.2/4 стр.1                                                                                                                                                                                                             ;(499) 252-03-05, (495) 605-94-36                                                                                                                                                                                                                              ;(499) 252-03-05                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;lebusov@bk.ru                                                                                                                                                                                                                                                 
9;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Московская городская детская музыкальная школа имени В.М.Блажевича»                                                                                     ;ГБОУ ДОД г.Москвы «Московская городская детская музыкальная школа имени В.М.Блажевича»                                                                                                                                                                        ;125284, г.Москва, ул. Поликарпова, д.21                                                                                                                                                                                                                       ;2996,463307;12433,06878;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Пресненский                                                                                                                                                                                                                                                   ;123022, г.Москва, ул. Трехгорный вал, д.2/4 стр.1                                                                                                                                                                                                             ;(499) 252-03-05, (495) 605-94-36                                                                                                                                                                                                                              ;(499) 252-03-05                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;lebusov@bk.ru                                                                                                                                                                                                                                                 
13;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкально-хоровая школа имени И.И.Радченко»                                                                                                    ;ГБОУ ДОД г.Москвы «Детская музыкально-хоровая школа имени И.И.Радченко»                                                                                                                                                                                       ;109044, г.Москва, ул. Воронцовская, д.30а стр.1                                                                                                                                                                                                               ;10161,03011;7658,622401;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Таганский                                                                                                                                                                                                                                                     ;123242, г.Москва, ул. Красная Пресня, д.13                                                                                                                                                                                                                    ;(495) 912-75-85                                                                                                                                                                                                                                               ;(495) 912-75-85                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;ms-radchenko@yandex.ru                                                                                                                                                                                                                                        
14;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №100»                                                                                                                         ;ГБОУ ДОД г.Москвы «Детская музыкальная школа №100»                                                                                                                                                                                                            ;129110, г.Москва, ул. Большая Переяславская, д.8а                                                                                                                                                                                                             ;9090,9751;12762,55978;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Мещанский                                                                                                                                                                                                                                                     ;129110, г.Москва, ул. Малая Переяславская, д.6/8                                                                                                                                                                                                              ;(495) 684-50-58, (903) 249-66-44                                                                                                                                                                                                                              ;(495) 684-50-58                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dmsh100@mail.ru                                                                                                                                                                                                                                               
15;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Н.А.Алексеева»                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени Н.А.Алексеева»                                                                                                                                                                                             ;109004, г.Москва, ул. Николоямская, д.42                                                                                                                                                                                                                      ;10163,75405;8912,180212;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Таганский                                                                                                                                                                                                                                                     ;109004, г.Москва, ул. Николоямская, д.42                                                                                                                                                                                                                      ;(495) 915-01-35                                                                                                                                                                                                                                               ;(495) 915-01-37                                                                                                                                                                                                                                               ;dmsh30.ru                                                                                                                                                                                                                                                     ;alexeev-school@yandex.ru                                                                                                                                                                                                                                      
16;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени В.В.Стасова»                                                                                                            ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени В.В.Стасова»                                                                                                                                                                                               ;115054, г.Москва, Малый Строченовский пер., д.14                                                                                                                                                                                                              ;8471,94895;6577,707387;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Замоскворечье                                                                                                                                                                                                                                                 ;115054, г.Москва, Малый Строченовский пер., д.14                                                                                                                                                                                                              ;(495) 236-30-72                                                                                                                                                                                                                                               ;(495) 236-84-96                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dmsh36stasova@mail.ru                                                                                                                                                                                                                                         
17;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени А.К.Лядова»                                                                                                             ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени А.К.Лядова»                                                                                                                                                                                                ;123022, г.Москва, ул. 1905 года, д.8 стр.1                                                                                                                                                                                                                    ;3865,796875;11143,36225;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Пресненский                                                                                                                                                                                                                                                   ;123022, г.Москва, ул. 1905 года, д.8                                                                                                                                                                                                                          ;(499) 252-19-14                                                                                                                                                                                                                                               ;(499) 252-19-14                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dmsh-Ljadova@yandex.ru                                                                                                                                                                                                                                        
18;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Вольфганга Амадея Моцарта»                                                                                              ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени Вольфганга Амадея Моцарта»                                                                                                                                                                                 ;109147, г.Москва, ул. Таганская, д.9 стр.5                                                                                                                                                                                                                    ;10205,54205;8293,900845;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Таганский                                                                                                                                                                                                                                                     ;109147, г.Москва, ул. Таганская, д.9 стр.5                                                                                                                                                                                                                    ;(495) 912-14-28                                                                                                                                                                                                                                               ;(495) 912-25-28                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;mozart_00@mail.ru                                                                                                                                                                                                                                             
