0_OBJECTID;0_UIDNFTN;0_Код;0_АС УР OLD_ID;0_Наименование объекта;1_Адресный ориентир;1_Стоимость посещения;0_Координата X;0_Координата Y;0_УНОМ БТИ;0_ID спортивной зоны/зоны отдыха;0_Тип спортивной зоны/зоны отдыха;0_Название спортивной зоны/зоны отдыха;1_Наличие проката оборудования и инвентаря (да/нет);1_Время работы;1_Тип покрытия;1_Освещение;1_Наличие бесплатных занятий (да/нет);1_Стоимость проката оборудования и инвентаря (указать наименование);0_Уточненные координаты (широта);0_Уточненные координаты  (долгота);0_ID объекта;0_Тип объекта;1_Ведомственная принадлежность;1_Округ;1_Район;1_Наличие сервиса технического обслуживания инвентаря (да/нет);1_Наличие раздевалки (да/нет);1_Наличие звукового сопровождения (да/нет);1_Наличие точки питания (да/нет);1_Наличие туалета (да/нет);1_Наличие точки доступа в интернет, Wi-Fi (да/нет);1_Наличие банкомата (да/нет);1_Наличие медпункта (да/нет);1_ОГРН эксплуатирующей организации;1_Наименование эксплуатирующей организации, предоставляющей услугу по спортивной зоне/зоне объекта;1_Телефон эксплуатирующей организации;1_Сайт эксплуатирующей организации;1_Электронная почта эксплуатирующей организации;0_Статус;0_Комментарии
90;4657;4657;MSPORT37;ГБОУ ДОДСН «СДЮСШОР по теннису «Олимпиец» Москомспорта;ул. Удальцова 54;разовое посещение - 300 руб/45 мин.;-470,1024;2181,8977;;106963;теннисный корт;;нет;Понедельник с 8:30 до 21:00 Вторник с 8:30 до 21:00 Среда с 8:30 до 21:00 Четверг с 8:30 до 21:00 Пятница с 8:30 до 21:00 Суббота с 8:30 до 21:00 Воскресенье с до;искусственное;смешанное освещение;нет;нет;55.686466945741984;37.491144681720364;39827;учреждения (центры) дополнительного образования;Департамент физической культуры и спорта города Москвы;ЗАО;Проспект Вернадского;нет;да;да;да;да;нет;нет;да;1027739091951;"Государственное бюджетное образовательное учреждение дополнительного образования детей спортивной направленности города Москвы ""Специализированная детско-юношеская спортивная школа олимпийского резерва по теннису ""Олимпиец"" Департамента физической культуры города Москвы";(495) 431-90-65;нет;olimpiets@mossport.ru;внесены изменения;
91;2412;2412;DOGM__1820;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 904;"Южный / Царицыно / Кавказский бульв. / Дом- 16; Корп- 2";бесплатно;10535,9407;-3733,3455;3801961;2422;теннисный корт;;нет;будни с 08.30 - 21.00, выходные 10.00-20.00;искусственное;уличные столбы освещения;да;нет;;;2422;общеобразовательные учреждения;Департамент образования города Москвы;ЮАО;Царицыно;нет;нет;нет;нет;нет;нет;нет;нет;1027739373045;ГБОУ СОШ №904;(495) 325-41-11;schu904.mskobr.ru;sch904@sinergi.ru;;
92;5968;5968;UAO___260;сведения отсутствуют;Кировоградская ул. 44ак2;нет;6081,1819;-7609,648;10136;93770;теннисный корт;;нет;09.00 - 22.00;специальное;прожекторное освещение;да;нет;;;8537;междворовые спортивные площадки;муниципалитет;ЮАО;Чертаново Южное;нет;нет;нет;нет;нет;нет;нет;нет;1027726008903;управа района Чертаново Южное;(495) 381-15-10;нет;uao19k@yandex.ru;подтверждено;
93;6517;6517;UZAO__46;сведения отсутствуют;Голубинская ул. 25к1;бесплатно;2180,8957;-7648,9141;5672;0;теннисный корт;;нет;Будни с 09.00-22.00 Выходные с 10.00-22.00;специальное;прожекторное освещение;да;нет;;;36040;междворовые спортивные площадки;муниципалитет;ЮЗАО;Ясенево;нет;нет;нет;нет;нет;нет;нет;нет;1127746758501;"ООО ""Наши Катки""";(963) 718-98-19;нет;gorr2006@mail.ru;Внесены изменения;
94;251;251;DGKHIB69;Парк по Борисовским прудам;Маршала Захарова 2-10, Борисовский проезд 1-15;нет;13830,5231;-4150,1895;0;0;теннисный корт;;нет;с7до22ч;искусственное;смешанное освещение;да;нет;;;0;парки (озелененные городские территории);Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;ЮАО;Орехово-Борисово Северное;нет;нет;нет;нет;да;нет;нет;нет;1057748436811;"ГУП ""Горзеленхоз №4""";(499) 613-79-94;нет;zelenhoz4@mail.ru;Добавлено;
69;4717;4717;MSPORT97;"Государственное бюджетное образовательное учреждение дополнительного образования детей спортивной направленности города Москвы ""Специализированная детско-юношеская спортивная школа олимпийского резерва ""Москвич"" Департамента физической культуры и спорта города Москвы";Волгоградский просп. 46/15;1500-1700 руб./час;15016,3879;4371,5275;;107094;теннисный корт;;нет;Понедельник с 8:00 до 23:00 Вторник с 8:00 до 23:00 Среда с 8:00 до 23:00 Четверг с 8:00 до 23:00 Пятница с 8:00 до 23:00 Суббота с 8:00 до 23:00 Воскресенье с 8:00 до 23:00;искусственное;лампы дневного освещения;нет;нет;55.706550478942354;37.737244707092096;39872;учреждения (центры) дополнительного образования;Департамент физической культуры и спорта города Москвы;ЮВАО;Текстильщики;нет;да;да;да;да;нет;да;да;1037739215392;"Государственное бюджетное образовательное учреждение дополнительного образования детей спортивной направленности города Москвы ""Специализированная детско-юношеская спортивная школа олимпийского резерва ""Москвич"" Департамента физической культуры и спорта";(499) 178-34-74;sport-moskvich.ru;moskvich@sport-moskvich.ru;внесены изменения;
70;6942;6942;VAO___118;сведения отсутствуют;аллея Жемчуговой 1к1;бесплатно;19990,9615;7490,4421;7657;101330;теннисный корт;;нет;ежедневно 07.00-22.00;специальное;без освещения;да;нет;;;11853;междворовые спортивные площадки;префектура;ВАО;Вешняки;нет;нет;нет;нет;нет;нет;нет;нет;1027700522948;администрация муниципального округа Вешняки в городе Москве;(495) 770-09-42;www.veshnyaki.su;sport-dosug@inbox.ru;Внесены изменения;
71;1762;1762;DOGM__1170;Государственное бюджетное образовательное учреждение города Москвы лицей № 1502 при МЭИ;Восточный / Ивановское / ул. Молостовых / Дом- 10А;бесплатно;20841,5655;10435,0387;2122249;11742;теннисный корт;;нет;с16:00 до 20:30, выходные с 12:00 до 21:00;искусственное;уличные столбы освещения;да;нет;;;11742;общеобразовательные учреждения;Департамент образования города Москвы;ВАО;Ивановское;нет;нет;нет;нет;нет;нет;нет;нет;1027739012806;ГБОУ лицей № 1502 при МЭИ;(495) 307-11-61;lyceum1502.ru;lyceum1502@inbox.ru;;
72;4580;4580;DPIOOS84;"ПИП ""Измайловский""Лесопарк ""Терлеций""";ул. Металлургов 41;нет;19589,8523;10560,6733;;;теннисный корт;;нет;Круглосуточно;асфальтовое, бетонное;без освещения;да;нет;;;;парки (озелененные городские территории);Департамент природопользования и охраны окружающей среды города Москвы;ВАО;Ивановское;нет;нет;нет;нет;нет;нет;нет;нет;сведений нет;"Санитарное состояние ГБУ ""Автодороги ВАО"" Текущий ремонт - ""ООО Серебряный родник""";(926) 728-70-52;нет;нет;Добавлено;
73;3104;3104;DOGM__2512;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1101;Юго-Западный / Теплый Стан / ул. Академика Варги / Дом- 32;бесплатно;-1387,0935;-3757,7342;3000232;9431;теннисный корт;нет;нет;нет;асфальтовое, бетонное;уличные столбы освещения;нет;нет;;;9431;общеобразовательные учреждения;Департамент образования города Москвы;ЮЗАО;Тёплый Стан;нет;нет;нет;нет;нет;нет;нет;нет;1037739304460;ГБОУ СОШ № 1101;(495) 339-77-39;нет;нет;;
