"0_№ п/п";"1_Код по Общероссийскому классификатору видов  экономической деятельности, продукции и услуг (ОКДП)";"1_Наименование по Перечню"
"101";"3140000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"102";"3149160";"Переносной солнечный калорифер из полимерных материалов для обеспечения горячей водой в полевых условиях."
"103";"3149163";"Солнечные батареи"
"104";"3150000";"Светодиоды"
"105";"3150000";"Лампы галогеновые"
"106";"3150000";"Светильники светодиодные для внутреннего освещения"
"107";"3150000";"Светодиодный светильник прожекторного типа"
"108";"3150000";"Светильник наружного освещения"
"109";"3150000";"Светильник внутреннего освещения"
"110";"3150000";"Светодиодный светильник промышленных объектов"
"111";"3150000";"Уличный светильник"
"112";"3150000";"Стойки автономного освещения"
"113";"3150000";"Светильники светодиодные"
"114";"3150000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"115";"3150000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"116";"3150000";"Светодиодные светильники для внутреннего освещения"
"117";"3150000";"Светодиодные светофоры"
"118";"3150000";"Светодиодные светильники для дорожного, уличного освещения различного назначения"
"119";"3150106";"Светильник светодиодный офисный"
"120";"3150350";"Альтернативные источники освещения"
"121";"3150350";"Автономные источники освещения"
"122";"3190000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
"123";"3190000";"Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ"
"124";"3190040";"Устройство энергосберегающее цифровое"
"125";"3190040";"Малые архитектурные формы антивандальной устойчивости"
"126";"3190190";"Комплексы бортового оборудования безопасности"
"127";"3190290";"Динамический дизельный источник бесперебойного питания"
"128";"3190785";"Углеродная лента FibARMTape для системы внешнего армирования"
"129";"3190785";"Углепластиковая ламель FibARMLamel для системы внешнего армирования"
"130";"3190785";"Углеродные сетки FibARMGrid для системы внешнего армирования"
"131";"3200000";"Мачты зоо- и пиромониторинга"
"132";"3200000";"Мачты видеонаблюдения"
"133";"3200000";"Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера"
