0_Код;1_Название;1_Адрес;0_Признак закрытого ЛПУ;0_Полное наименование согласно документам;1_Краткое наименование;0_Причина закрытия;0_Дата закрытия;0_Дата повторного открытия после закрытия;1_Административный округ по территориальной принадлежности;0_Главное ЛПУ;1_Руководитель;0_Пол руководителя;1_Должность руководителя;1_Телефон руководителя;1_Общий телефон;0_факс;0_Часы работы;1_Рабочие дни;1_Выходные дни;0_Тип Выходного;0_Доп информация;0_X;0_Y
39;Детская городская поликлиника № 16. Молочная кухня;город Москва, Открытое шоссе, дом 24, корпус 1; ;Детская городская поликлиника № 16. Молочная кухня;ДГП № 16. Молочная кухня; ;;;ВАО; ;Смирнов Владимир Рудольфович;мужской;Главный врач;(495) 167-85-11;(495) 167-85-11;(499) 167-63-51;00.00-00.00;пн-пт;сб/вс;выходной; ;15958,158;17168,5423
50;Детская городская поликлиника № 83 Молочная кухня;город Москва, Сиреневый бульвар, дом 73; ;Детская городская поликлиника № 83 Молочная кухня;ДГП № 83 Молочная кухня; ;;;ВАО; ;Панагриева Оксана Вячеславовна;женский;Главный врач;(495) 468-75-28;(495) 468-75-28;(495) 469-74-86;00.00-00.00;пн-пт;сб/вс;выходной; ;20674,5414;15262,1951
2017;Детская городская поликлиника № 193 Молочная кухня;город Москва, Маршала Федоренко улица, дом 6; ;Детская городская поликлиника № 193 Молочная кухня;ДГП № 193 Молочная кухня; ;;; ; ;Шихманова Любовь Акрамовна;женский;Главный врач;(495) 486-20-63;(495) 486-20-63;(495) 486-20-64;00.00-00.00;пн-пт;сб/вс;выходной; ;-368,0648;23721,0338
2030;Детская городская поликлиника № 112 Молочная кухня;город Москва, Подольская улица, дом 27, корпус 2, строение 1; ;Детская городская поликлиника № 112 Молочная кухня;ДГП № 112 Молочная кухня; ;;; ; ;Толстолесов В. А.;мужской;Главный врач;(495) 356-04-81;(495) 356-04-81;(495) 356-16-71;00.00-00.00;пн-пт;сб/вс;выходной; ;13266,3738;-1930,2752
2036;Детская городская поликлиника № 143 Молочная кухня;город Москва, Генерала Кузнецова улица, дом 14, корпус 1; ;Детская городская поликлиника № 143 Молочная кухня;ДГП № 143 Молочная кухня; ;;; ; ;Казыкина Т. Н.;женский;Главный врач;(495) 704-58-72;(495) 704-58-72;(495) 705-03-45;00.00-00.00;пн-пт;сб/вс;выходной; ;22652,7591;2582,1286
2022;Детская городская поликлиника № 48 Молочная кухня;город Москва, Артюхиной улица, дом 8/10; ;Детская городская поликлиника № 48 Молочная кухня;ДГП № 48 Молочная кухня; ;;; ; ;Коршикова Л. В.;женский;Главный врач;(495) 179-58-82;(495) 179-58-82;(499) 179-58-81;00.00-00.00;пн-пт;сб/вс;выходной; ;15025,0641;3798,9358
325;ДГП № 73 Молочная кухня;город Москва, Академика Павлова улица, дом 21, корпус 1; ;Детская городская поликлиника № 73 Молочная кухня;ДГП № 73; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-5882,9854;8951,7983
40;Детская городская поликлиника № 17 Молочная кухня;город Москва, Зелёный пр. улица, дом 6, корпус 2; ;Детская городская поликлиника № 17 Молочная кухня;ДГП № 17 Молочная кухня; ;;;ВАО; ;Коновалов Александр Васильевич;мужской;Главный врач;(495) 304-74-30;(495) 304-74-30;(495) 368-34-50;00.00-00.00;пн-пт;сб/вс;выходной; ;17382,8703;9050,4504
38;Детская городская поликлиника № 14. Молочная кухня № 15;город Москва, Федеративный проезд, дом 19а; ;Детская городская поликлиника № 14. Молочная кухня № 15;ДГП № 14. Молочная кухня № 15; ;;;ВАО;Детская городская поликлиника № 7;Хмырова Лариса Леонидовна;женский;Главный врач;(495) 303-50-37;(495) 303-50-37;(495) 302-51-77;00.00-00.00;пн-пт;сб/вс;выходной; ;19949,0742;9932,6188
313;ДГП № 128 Молочная кухня;город Москва, Крылатские холмы улица, дом 34; ;Детская городская поликлиника № 128 Молочная кухня;ДГП № 128; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-5514,1592;10910,7376
