0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
1;Государственное бюджетное учреждение города Москвы «Московский государственный зоологический парк»                                                                                                                                                            ;ГБУ г.Москвы «Московский государственный зоологический парк»                                                                                                                                                                                                  ;123242, г.Москва, ул. Большая Грузинская, д.1                                                                                                                                                                                                                 ;5034,149215;10479,33417;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Пресненский                                                                                                                                                                                                                                                   ;123242, г.Москва, ул. Большая Грузинская, д.1                                                                                                                                                                                                                 ;(499) 255-60-34, (499) 605-17-17, (499) 252-35-80                                                                                                                                                                                                             ;(499) 973-20-56                                                                                                                                                                                                                                               ;moscowzoo.ru                                                                                                                                                                                                                                                  ;zoopark@cumail.ru                                                                                                                                                                                                                                             
2;Государственное бюджетное учреждение культуры города Москвы «Московский государственный музей С.А.Есенина»                                                                                                                                                    ;ГБУК г.Москвы «Московский государственный музей С.А.Есенина»                                                                                                                                                                                                  ;115054, г.Москва, Большой Строченовский пер., д.24 стр.2                                                                                                                                                                                                      ;8326,374352;6642,782535;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Замоскворечье                                                                                                                                                                                                                                                 ;115054, г.Москва, Большой Строченовский пер., д.24 стр.2                                                                                                                                                                                                      ;(495) 954-97-64, (495) 958-16-74                                                                                                                                                                                                                              ;(495) 954-97-66                                                                                                                                                                                                                                               ;mgme.ru                                                                                                                                                                                                                                                       ;muzeiesenina@cumail.ru                                                                                                                                                                                                                                        
3;Государственное бюджетное учреждение культуры города Москвы «Московский государственный музей «Дом Бурганова»                                                                                                                                                 ;ГБУК г.Москвы «Московский государственный музей «Дом Бурганова»                                                                                                                                                                                               ;119019, г.Москва, Большой Афанасьевский пер., д.15 стр.9                                                                                                                                                                                                      ;6214,41973;8857,410129;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Хамовники                                                                                                                                                                                                                                                     ;119019, г.Москва, Большой Афанасьевский пер., д.15 стр.9                                                                                                                                                                                                      ;(495) 695-04-29, (495) 695-45-15                                                                                                                                                                                                                              ;(495) 695-45-15                                                                                                                                                                                                                                               ;burganov.ru                                                                                                                                                                                                                                                   ;domburganova@cumail.ru                                                                                                                                                                                                                                        
4;Государственное бюджетное учреждение культуры города Москвы «Московский государственный музей «Дом Бурганова»                                                                                                                                                 ;ГБУК г.Москвы «Московский государственный музей «Дом Бурганова»                                                                                                                                                                                               ;119019, г.Москва, Большой Афанасьевский пер., д.17 стр.1                                                                                                                                                                                                      ;6178,939721;8902,039811;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Хамовники                                                                                                                                                                                                                                                     ;119019, г.Москва, Большой Афанасьевский пер., д.15 стр.9                                                                                                                                                                                                      ;(495) 695-04-29, (495) 695-45-15                                                                                                                                                                                                                              ;(495) 695-45-15                                                                                                                                                                                                                                               ;burganov.ru                                                                                                                                                                                                                                                   ;domburganova@cumail.ru                                                                                                                                                                                                                                        
5;Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Дом-музей Марины Цветаевой»                                                                                                                                                    ;ГБУК г.Москвы «Культурный центр «Дом-музей Марины Цветаевой»                                                                                                                                                                                                  ;121069, г.Москва, Борисоглебский пер., д.6 стр.1                                                                                                                                                                                                              ;5769,183437;9710,50771;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Арбат                                                                                                                                                                                                                                                         ;121069, г.Москва, Борисоглебский пер., д.6 стр.1                                                                                                                                                                                                              ;(495) 697-35-43, (495) 697-80-51                                                                                                                                                                                                                              ;(495) 697-80-51                                                                                                                                                                                                                                               ;dommuseum.ru                                                                                                                                                                                                                                                  ;muzeicvetaevoi@cumail.ru                                                                                                                                                                                                                                      
6;Государственное бюджетное учреждение культуры города Москвы «Государственный музей А.С.Пушкина»                                                                                                                                                               ;ГБУК г.Москвы «Государственный музей А.С.Пушкина»                                                                                                                                                                                                             ;119034, г.Москва, ул. Пречистенка, д.12/2                                                                                                                                                                                                                     ;6232,131825;8532,593736;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Хамовники                                                                                                                                                                                                                                                     ;119034, г.Москва, ул. Пречистенка, д.12/2                                                                                                                                                                                                                     ;(495) 637-26-36, (495) 637-73-61                                                                                                                                                                                                                              ;(495) 637-73-61                                                                                                                                                                                                                                               ;pushkinmuseum.ru                                                                                                                                                                                                                                              ;muzeipushkina@cumail.ru                                                                                                                                                                                                                                       
7;Государственное бюджетное учреждение культуры города Москвы «Государственный музей А.С.Пушкина». Мемориальная квартира А.С. Пушкина                                                                                                                           ;Мемориальная квартира А.С. Пушкина                                                                                                                                                                                                                            ;119002, г.Москва, ул. Арбат, д.53                                                                                                                                                                                                                             ;5496,7752;8960,314772;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Хамовники                                                                                                                                                                                                                                                     ;119034, г.Москва, ул. Пречистенка, д.12/2                                                                                                                                                                                                                     ;(495) 637-26-36, (495) 637-73-61                                                                                                                                                                                                                              ;(495) 637-73-61                                                                                                                                                                                                                                               ;pushkinmuseum.ru                                                                                                                                                                                                                                              ;muzeipushkina@cumail.ru                                                                                                                                                                                                                                       
8;Государственное бюджетное учреждение культуры города Москвы «Государственный музей А.С.Пушкина». Мемориальная квартира А. Белого                                                                                                                              ;Мемориальная квартира А. Белого                                                                                                                                                                                                                               ;119002, г.Москва, ул. Арбат, д.55/32                                                                                                                                                                                                                          ;5475,36505;8921,388981;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Хамовники                                                                                                                                                                                                                                                     ;119034, г.Москва, ул. Пречистенка, д.12/2                                                                                                                                                                                                                     ;(495) 637-26-36, (495) 637-73-61                                                                                                                                                                                                                              ;(495) 637-73-61                                                                                                                                                                                                                                               ;pushkinmuseum.ru                                                                                                                                                                                                                                              ;muzeipushkina@cumail.ru                                                                                                                                                                                                                                       
9;Государственное бюджетное учреждение культуры города Москвы «Государственный музей А.С.Пушкина». Музей И.С. Тургенева                                                                                                                                         ;Музей И.С. Тургенева                                                                                                                                                                                                                                          ;119034, г.Москва, ул. Остоженка, д.37/7 стр.1                                                                                                                                                                                                                 ;6149,648705;7987,833308;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Хамовники                                                                                                                                                                                                                                                     ;119034, г.Москва, ул. Пречистенка, д.12/2                                                                                                                                                                                                                     ;(495) 637-26-36, (495) 637-73-61                                                                                                                                                                                                                              ;(495) 637-73-61                                                                                                                                                                                                                                               ;pushkinmuseum.ru                                                                                                                                                                                                                                              ;muzeipushkina@cumail.ru                                                                                                                                                                                                                                       
10;Государственное бюджетное учреждение культуры города Москвы «Государственный музей истории «ГУЛАГа»                                                                                                                                                           ;ГБУК г.Москвы «Государственный музей истории «ГУЛАГа»                                                                                                                                                                                                         ;127051, г.Москва, ул. Петровка, д.16                                                                                                                                                                                                                          ;7494,265725;10750,91014;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Тверской                                                                                                                                                                                                                                                      ;127051, г.Москва, ул. Петровка, д.16                                                                                                                                                                                                                          ;(495) 621-73-35, (495) 621-73-10                                                                                                                                                                                                                              ;(495) 621-73-15                                                                                                                                                                                                                                               ;gmig.ru                                                                                                                                                                                                                                                       ;muzeigulaga@cumail.ru                                                                                                                                                                                                                                         
11;Государственное бюджетное учреждение культуры города Москвы «Музей В.А.Тропинина и московских художников его времени»                                                                                                                                         ;ГБУК г.Москвы «Музей В.А.Тропинина и московских художников его времени»                                                                                                                                                                                       ;119017, г.Москва, Щетининский пер., д.10 стр.1                                                                                                                                                                                                                ;7824,552647;7441,124214;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Якиманка                                                                                                                                                                                                                                                      ;119017, г.Москва, Щетининский пер., д.10 стр.1                                                                                                                                                                                                                ;(495) 959-22-20, (495) 959-10-02                                                                                                                                                                                                                              ;(495) 959-22-20                                                                                                                                                                                                                                               ;museum.M342.ru                                                                                                                                                                                                                                                ;muzeitropinina@cumail.ru                                                                                                                                                                                                                                      
12;Государственное бюджетное учреждение культуры города Москвы «Московская государственная картинная галерея Народного художника СССР А.Шилова»                                                                                                                  ;ГБУК г.Москвы «Московская государственная картинная галерея Народного художника СССР А.Шилова»                                                                                                                                                                ;119019, г.Москва, ул. Знаменка, д.5                                                                                                                                                                                                                           ;6889,822253;9151,208172;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Центральный АО                                                                                                                                                                                                                                                ;Хамовники                                                                                                                                                                                                                                                     ;119019, г.Москва, ул. Знаменка, д.5                                                                                                                                                                                                                           ;(495) 697-42-08, (495) 697-69-75                                                                                                                                                                                                                              ;(495) 697-69-75                                                                                                                                                                                                                                               ;amshilov.ru                                                                                                                                                                                                                                                   ;galereyashilova@cumail.ru                                                                                                                                                                                                                                     
