0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Руководитель;1_Телефон;1_Факс;1_Бывшее название;1_Административный округ;0_moddate;0_moduser
11;Государственное казенное учреждение здравоохранения города Москвы «Туберкулезный санаторий № 58 Департамента здравоохранения города Москвы»                                                                                                                   ;Туберкулезный санаторий № 58 Департамента здравоохранения города Москвы                                                                                                                                                                                       ;143155, Московская область, Рузский район, п/о Кожино                                                                                                                                                                                                         ;36,239596;55,614313;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;"Доманская 
Татьяна Харлампиевна                                                                                                                                                                                                                               ";(592)992-7735                                                                                                                                                                                                                                                 ;(592) 992-7727                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;МО                                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
27;Государственное казенное учреждение здравоохранения города Москвы «Детский туберкулёзный санаторий № 34 Департамента здравоохранения города Москвы»                                                                                                           ;Детский туберкулёзный санаторий № 34 Департамента здравоохранения города Москвы                                                                                                                                                                               ;143081, Московская область, Одинцовский район, поселок Дубки, ул. Санаторная, д.7/5                                                                                                                                                                           ;37,214089;55,666311;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Киселёва Валентина Петровна                                                                                                                                                                                                                                   ;(495) 598-8878                                                                                                                                                                                                                                                ;(495) 598-8849                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;ЗАО                                                                                                                                                                                                                                                           ;25.01.2013;opens\egipuser                                                                                      
4;Государственное казенное учреждение здравоохранения города Москвы «Научно-практический центр детской психоневрологии Департамента здравоохранения города Москвы»                                                                                              ;Научно-практический центр детской психоневрологии Департамента здравоохранения города Москвы                                                                                                                                                                  ;103027, Московская область, Ленинский район, Лапшинка                                                                                                                                                                                                         ;37,327102;55,609614;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Михайлова Надежда Ивановна                                                                                                                                                                                                                                    ;(495) 436-8985                                                                                                                                                                                                                                                ;(495) 436-8487                                                                                                                                                                                                                                                ;Государственное казенное учреждение здравоохранения города Москвы «Детский психоневрологический санаторий № 25 Департамента здравоохранения города Москвы»                                                                                                    ;МО                                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
21;Государственное казенное учреждение здравоохранения города Москвы «Детский кардиоревматологический санаторий № 20 « Красная Пахра » Департамента здравоохранения города Москвы                                                                                ;Детский кардиоревматологический санаторий № 20 « Красная Пахра Департамента здравоохранения города Москвы                                                                                                                                                     ;142191, Московская область, г.Троицк , дер.Ватутинки                                                                                                                                                                                                          ;37,331821;55,508831;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Дятлова Лариса Ивановна.                                                                                                                                                                                                                                      ;(495)334-5947                                                                                                                                                                                                                                                 ;(495)334-5947                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;МО                                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
3;Государственное казенное учреждение здравоохранения города Москвы «Научно-практический центр детской психоневрологии Департамента здравоохранения города Москвы»                                                                                              ;Научно-практический центр детской психоневрологии Департамента здравоохранения города Москвы                                                                                                                                                                  ;142783, Московская область, Ленинский район, п/о Мичуринское , станция Переделкино                                                                                                                                                                            ;37,355887;55,656908;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Цейслер Анатолий Викторович                                                                                                                                                                                                                                   ;"(495) 593-1676
                                                                                                                                                                                                                                               ";(495) 593-1676                                                                                                                                                                                                                                                ;Государственное казенное учреждение здравоохранения города Москвы «Детский пульмонологический санаторий № 39 Департамента здравоохранения города Москвы»                                                                                                      ;МО                                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
20;Государственное казенное учреждение здравоохранения города Москвы «Детский бронхолегочный санаторий № 19 Департамента здравоохранения города Москвы                                                                                                           ;Детский бронхолегочный санаторий № 19 Департамента здравоохранения города Москвы                                                                                                                                                                              ;301001, Тульская область, Заокский район, пос. Приокский                                                                                                                                                                                                      ;37,398772;54,733343;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Никитин Дмитрий Александрович                                                                                                                                                                                                                                 ;8 (48734) 2-2247                                                                                                                                                                                                                                              ;8 (48734) 2-2247                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;МО                                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
23;Государственное учреждение здравоохранения города Москвы Детский санаторий № 24 Управления здравоохранения Северного АО города Москвы                                                                                                                         ;Государственное учреждение здравоохранения города Москвы Детский санаторий № 24 Управления здравоохранения Северного АО города Москвы                                                                                                                         ;141760, Московская область, Дмитровский район, станция Катуар ,дер. Саморядово                                                                                                                                                                                ;37,452367;56,104176;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;и.о. Красноштанова Надежда Дмитриевна                                                                                                                                                                                                                         ;(495) 587-7164                                                                                                                                                                                                                                                ;(495) 587-7164                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;МО                                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
35;Государственное казенное учреждение здравоохранения города Москвы «Детский туберкулезный санаторий № 64 Департамента здравоохранения города Москвы»                                                                                                           ;Детский туберкулезный санаторий № 64 Департамента здравоохранения города Москвы                                                                                                                                                                               ;142718, Московская область, Ленинский р-н, пос.Дубровский , ул. Советская, д. 3                                                                                                                                                                               ;37,627626;55,567456;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Пучков Константин Геннадьевич                                                                                                                                                                                                                                 ;(495) 549-3668                                                                                                                                                                                                                                                ;(495) 549-3668                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;МО                                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
16;Государственное казенное учреждение здравоохранения города Москвы «Детский бронхолегочный санаторий № 13 Департамента здравоохранения города Москвы»                                                                                                          ;Детский бронхолегочный санаторий № 13 Департамента здравоохранения города Москвы                                                                                                                                                                              ;141070, Московская область, г.Королёв, ул.Цветаевой, д. 5                                                                                                                                                                                                     ;37,861837;55,924793;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Ермакова Людмила Максимовна                                                                                                                                                                                                                                   ;(495)519-4851                                                                                                                                                                                                                                                 ;(495)519-9723                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;МО                                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
36;Государственное казенное учреждение здравоохранения города Москвы «Детский санаторий № 68 Департамента здравоохранения города Москвы»                                                                                                                         ;Детский санаторий № 68 Департамента здравоохранения города Москвы                                                                                                                                                                                             ;141207, Московская область, г. Пушкино, ул. Пушкинское поле, д.2                                                                                                                                                                                              ;37,869765;55,97164;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Вечерко Валерий Иванович                                                                                                                                                                                                                                      ;(495) 993-4355                                                                                                                                                                                                                                                ;(495) 993-4355                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;МО                                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
41;ГБОУ г. Москвы Санаторный детский дом №39                                                                                                                                                                                                                     ;ГБОУ г. Москвы Санаторный детский дом №39                                                                                                                                                                                                                     ;141253, Московская обл., Зеленоградский п., Пушкинский р-н, Железнодорожная ул., д.2а                                                                                                                                                                         ;37,875178;56,073996;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Миначенко Сергей Константинович                                                                                                                                                                                                                               ;(495)993-57-34                                                                                                                                                                                                                                                ;495-747-53-97                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;МО                                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
22;Государственное казенное учреждение здравоохранения города Москвы «Детский бронхолегочный санаторий № 23 Департамента здравоохранения города Москвы»                                                                                                          ;Детский бронхолегочный санаторий № 23 Департамента здравоохранения города Москвы                                                                                                                                                                              ;140090, Московская область, пос. Малаховка, дер. Пехорка, ул. Красковский обрыв, д.16                                                                                                                                                                         ;37,978301;55,629209;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Лихачева Марина Михайловна                                                                                                                                                                                                                                    ;(495)501-3133                                                                                                                                                                                                                                                 ;(495)501-5460                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;МО                                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
