0_Код;1_Название;1_Адрес;0_Признак закрытого ЛПУ;0_Полное наименование согласно документам;1_Краткое наименование;0_Причина закрытия;0_Дата закрытия;0_Дата повторного открытия после закрытия;1_Административный округ по территориальной принадлежности;0_Главное ЛПУ;1_Руководитель;0_Пол руководителя;1_Должность руководителя;1_Телефон руководителя;1_Общий телефон;0_факс;0_Доп информация;0_X;0_Y
337;Клинико-диагностический центр № 4;121609, город Москва, Крылатские холмы улица, дом 3; ;Государственное бюджетное  учреждение здравоохранения города Москвы «Клинико-диагностический центр № 4 Департамента здравоохранения города Москвы»;КДЦ № 4; ;;;ЗАО; ;Буславская Ирина Олеговна;женский;Главный врач;(495) 413-17-64;(495) 413-17-64;(495) 413-17-64; ;-4641,5654;9006,1802
673;Центр восстановительного лечения для детей № 6;127055, город Москва, Тихвинский переулок, дом 7а, строение 1; ;Государственное бюджетное  учреждение здравоохранения города Москвы «Центр восстановительного лечения для детей № 6   Департамента здравоохранения города Москвы»;ЦВЛ № 6; ;;;ЦАО; ;Копылова Ирина Павловна;женский;Главный врач;(499) 978-11-52;(499) 978-11-52;(499) 978-11-52; ;6149,9817;13507,3201
528;Центр организации восстановительного лечения специализированной психоневрологической помощи детям № 2;127562, город Москва, Алтуфьевское шоссе, дом 30б; ;Государственное  казенное  учреждение здравоохранения города Москвы «Центр организации восстановительного лечения специализированной психоневрологической помощи детям № 2 Департамента здравоохранения   города Москвы»;ЦВЛ № 2; ;;;СВАО;Научно-практический центр детской психоневрологии;Сторожев Владимир Леонидович;мужской;Главный врач;(499) 201-66-48;(499) 201-66-48;(499) 201-66-48; ;5613,0496;22237,9194
177;Городской консультативно-диагностический центр по специфической иммунопрофилактике;103006, город Москва, Успенский переулок, дом 16; ;Государственное   бюджетное  учреждение здравоохранения города Москвы «Городской консультативно-диагностический центр по специфической иммунопрофилактике  Департамента здравоохранения города Москвы»;ГКДЦпоСИ; ;;;ЦАО; ;Лешкевич Иван Александрович;мужской;Главный врач;(495) 699-01-47;(495) 699-01-47;(495) 699-52-40; ;7042,0395;11398,9604
502;Диагностический центр № 5;127572, город Москва, Абрамцевская улица, дом 16; ;Государственное  бюджетное учреждение здравоохранения города Москвы «Диагностический центр № 5  с поликлиническим отделением  Департамента  здравоохранения города Москвы»;ДЦ № 5; ;;;СВАО; ;Станке Ольга Михайловна;женский;Главный врач;(499) 200-12-10;(499) 200-12-10;(499) 200-12-65; ;4772,6963;26149,2703
171;Диагностический центр  (Клиника женского здоровья);109172, город Москва, Гончарная улица, дом 23; ;Государственное  бюджетное учреждение здравоохранения города Москвы «Диагностический центр  (Клиника женского здоровья) Департамента здравоохранения города Москвы»;ДЦ (КЖЗ); ;;;ЦАО; ;Нисневич Лев Анатольевич;мужской;Главный врач;(495) 915-14-64;(495) 915-14-64;(495) 915-14-74; ;9513,3379;8477,3117
901;Центр восстановительного лечения для детей № 9;117449, город Москва, Винокурова улица, дом 3, корпус 4; ;Государственное учреждение здравоохранения города Москвы Центр восстановительного лечения для детей № 9  Департамента здравоохранения города Москвы»;ЦВЛ № 9; ;;;ЮЗАО; ;Нуждина Ольга Владимировна;женский;Главный врач;(499) 126-21-02;(499) 126-21-02;(499) 126-21-02; ;5381,3148;2560,4451
710;Диагностический центр  (Центр лабораторных исследований);115580, город Москва, Ореховый улица, дом 49, корпус 1; ;Государственное бюджетное  учреждение здравоохранения города Москвы «Диагностический центр  (Центр лабораторных исследований) Департамента здравоохранения  города Москвы»;ДЦ ЦЛИ; ;;;ЮАО;Детская городская поликлиника № 145;Аверина Елена Леонидовна;женский;Главный врач;(495) 396-73-70;(495) 396-73-70;(495) 396-65-10; ;15725,359;-5733,7074
809;Диагностический центр № 3;109444, город Москва, Сормовская улица, дом 9; ;Государственное бюджетное  учреждение здравоохранения города Москвы «Диагностический центр № 3 Департамента  здравоохранения города Москвы»;ДЦ № 3; ;;;ЮВАО; ;Цайтлер Александр Викторович;мужской;Главный врач;(495) 919-11-44;(495) 919-11-44;(495) 919-11-76; ;19697,8376;4729,559
674;Центр восстановительного лечения для детей № 7;119270, город Москва, Хамовнический вал улица, дом 12; ;Государственное  бюджетное  учреждение здравоохранения города Москвы «Центр восстановительного лечения для детей № 7 Департамента здравоохранения города Москвы»;ЦВЛ № 7; ;;;ЦАО; ;Марченко Мария Робертовна;женский;Главный врач;(499) 242-16-21;(499) 242-16-21;(499) 242-16-21; ;4773,5288;5651,1235
